,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
10,Cleveland Browns,12,24.2,370.8,67,5.5,1.42,0.75,22,20.7,32.6,214.8,1,0.67,6.2,11.3,32.3,156,1.5,4.8,9,6.17,50.4,1.75,37.7,12.3,5.48
11,Minnesota Vikings,12,24.1,335.8,64.7,5.2,1,0.25,21.5,24.9,38.3,234.1,1.5,0.75,5.7,13.3,23.8,101.8,1.17,4.3,5.58,5,41.7,2.67,36.2,8.7,4.16
12,Atlanta Falcons,13,22.2,314.6,57.4,5.5,1.31,0.62,19.2,14.2,23.1,155.7,1.15,0.69,6.2,8.54,32.2,158.9,0.92,4.9,8.77,4.08,32.9,1.92,38.8,11.6,4.65
13,Baltimore Ravens,12,23.8,350.2,62.8,5.6,1.17,0.42,21,19.2,29.9,192.4,1.42,0.75,6,9.42,30.6,157.8,1,5.2,10.2,5.33,45.8,1.42,41.9,10.9,5.68
14,San Francisco 49ers,12,23.5,357.9,62.8,5.7,1.17,0.58,20.5,21,32.2,233.8,1.58,0.58,6.9,11.5,28.7,124.1,0.83,4.3,7.25,5.83,45.8,1.75,38.6,11,6.04
15,Los Angeles Chargers,12,22.7,351.2,67.6,5.2,1.08,0.5,20.4,28.3,42.7,266.5,1.67,0.58,5.9,13.7,22.7,84.7,0.67,3.7,4.92,4.92,38.5,1.83,37.6,9,3.38
16,Chicago Bears,13,20.8,329.8,59.7,5.5,1.38,0.54,17.7,13.2,21.5,140.6,1.08,0.85,5.7,6.46,35,189.2,1.23,5.4,9.85,5.15,49.2,1.38,38.8,11.9,2.8
17,New Orleans Saints,13,20.4,343.5,60.2,5.7,1.62,0.69,18.4,21.7,33,233.9,1.54,0.92,6.7,11.4,25,109.5,0.69,4.4,5.69,6.62,57.3,1.31,34,13.9,1.69
18,Arizona Cardinals,12,22,334.8,68.6,4.9,1.08,0.33,20.4,26.3,39.5,219.8,1.25,0.75,5.2,11.9,26.5,114.9,0.92,4.3,7.08,6.83,54,1.42,33.3,9.5,1.91
19,Green Bay Packers,13,20.2,345.6,61.5,5.6,1.31,0.62,19.5,21.8,33.9,220.2,1.77,0.69,6.2,10.8,25.8,125.4,0.54,4.9,6.77,5.62,43.2,1.85,32.6,10.9,3.81
20,Jacksonville Jaguars,12,21.5,351.7,63.1,5.6,1.25,0.75,21,22.9,35,224.3,1.42,0.5,6.1,12.3,26.2,127.4,0.92,4.9,6.67,5.67,40.6,2.08,36.8,12,5.21
21,Washington Commanders,13,19.5,331.5,67.8,4.9,1.15,0.31,20.4,21.2,34.2,207.1,1.46,0.85,5.6,10.8,30.8,124.5,0.54,4,7.62,5.62,52.3,1.92,30.7,10,-0.46
22,New York Jets,12,21,339.2,63.7,5.3,1.25,0.42,18,20.9,36.1,224.1,1.08,0.83,5.8,11.1,25.3,115.1,1,4.5,5.25,5.42,54.8,1.67,34.5,10.8,-0.08
23,New England Patriots,12,20.8,318.9,59.3,5.4,1.42,0.58,16.8,21.2,30.7,214,1,0.83,6.4,9.67,26,104.9,0.75,4,6,6,49.2,1.17,34.3,12.7,-0.73
24,New York Giants,12,20.4,330.1,64.5,5.1,1,0.58,20.7,19.2,29.2,180.4,0.92,0.42,5.6,9.67,32.3,149.7,1.25,4.6,8.83,6.5,51.2,2.17,37.2,7,3.49
25,Carolina Panthers,12,19.2,291.3,56.4,5.2,1.33,0.5,14.9,16.3,28,174.6,0.83,0.83,5.8,7.5,26.3,116.8,0.92,4.4,6.25,6.08,53.4,1.17,32.6,9.8,-3.7
26,Tennessee Titans,12,18.3,291.3,56.5,5.2,0.92,0.5,15.5,15.7,25.1,171.4,1,0.42,6.2,8.5,28.8,119.9,0.92,4.2,5.58,6.58,54.2,1.42,29.5,6.1,0.37
27,Los Angeles Rams,13,16.8,283,60.5,4.7,1.54,0.54,17.5,22.1,33.6,196.9,1,1,5.3,11.4,23.4,86.1,0.77,3.7,4.77,4.54,39.7,1.38,30.7,14.6,-1.89
28,Tampa Bay Buccaneers,12,18.1,340,67.5,5,0.92,0.58,20.4,28.9,43.8,266.8,1.33,0.33,5.9,14,22.3,73.3,0.33,3.3,4.5,5.67,46.8,1.92,32.8,6.7,1.53
29,Pittsburgh Steelers,12,17.8,316.3,65.4,4.8,1.17,0.33,19.7,22.6,35.3,199.3,0.67,0.83,5.3,11,27.5,117,0.83,4.3,7,6,43.1,1.67,33.6,9.2,0.01
30,Indianapolis Colts,13,16.1,318,65.2,4.9,2,0.92,18.5,24.8,36.9,217.8,1,1.08,5.4,12,24.8,100.2,0.54,4,5.15,5.15,46.9,1.38,29.5,17.4,-5.77
31,Houston Texans,12,15.7,279.3,58.3,4.8,1.67,0.42,16.4,20.8,33.9,191.4,1.08,1.25,5.2,9.08,21.6,87.9,0.42,4.1,5.5,5.17,38.8,1.83,28.5,13.9,-7.02
32,Denver Broncos,12,13.8,315.2,62.8,5,1,0.5,16.6,19.9,33.7,212.3,0.67,0.5,5.8,9.58,25.9,102.9,0.5,4,5.17,7.58,65.6,1.83,26.6,7.2,-3.37
