,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,12,15.8,283.9,58.8,4.8,1.5,0.5,16.3,21.3,33.3,208.3,0.92,1,5.7,10.3,22.6,75.6,0.75,3.3,4.42,5.08,45.1,1.67,25.6,12.8,3.3
2,Denver Broncos,12,17,304.6,63.7,4.8,1.08,0.42,18.5,21.8,34.4,184.5,0.75,0.67,5,9,26.8,120.1,0.58,4.5,6.92,6.83,61.3,2.58,32.6,8.7,2.61
3,Dallas Cowboys,12,17.2,309.6,64.2,4.8,1.75,0.92,18.9,20.3,31.9,179.8,1.17,0.83,5,9.58,28.3,129.8,0.5,4.6,6.92,6.33,53.8,2.42,32.1,14.9,3.4
4,Buffalo Bills,12,17.4,320.2,62,5.2,1.67,0.58,20.3,22.8,35.4,218.3,1.25,1.08,5.7,11.7,24,101.8,0.67,4.2,6.58,5.83,50.6,2,30.8,14.2,-1.14
5,Tampa Bay Buccaneers,12,18.3,313.8,62.5,5,0.92,0.33,17.5,21.1,32.9,195.3,1.5,0.58,5.4,10.8,26.4,118.4,0.58,4.5,5.5,6.25,55.9,1.25,29.6,8.1,0.7
6,New York Jets,12,18.6,307,63.9,4.8,1.25,0.25,18.6,20.8,33.3,194.3,0.92,1,5.3,9.92,27.6,112.7,1,4.1,6.83,5.5,43.6,1.83,30,10.7,2.11
7,Philadelphia Eagles,12,18.8,296.4,62.5,4.7,1.83,0.58,19.2,20.3,33.6,178.5,1.17,1.25,4.8,10.7,25.4,117.9,0.83,4.6,6.75,5.75,51,1.75,31.2,18.4,1.24
8,New England Patriots,12,18.8,311.8,62.8,5,1.58,0.58,17.5,19.4,32.8,200.6,1.42,1,5.6,10.8,26.7,111.2,0.42,4.2,5.08,4.08,34,1.58,31.1,12.6,3.36
9,Baltimore Ravens,12,19.7,330.5,60.7,5.4,1.67,0.75,18.9,24.3,36,248,1.33,0.92,6.3,12.3,21.6,82.5,0.75,3.8,5,5,39.8,1.58,36.5,15.1,-2.46
10,Tennessee Titans,12,20,359.8,65,5.5,1.08,0.33,20,26,40.2,276.7,1.83,0.75,6.4,12.5,22.1,83.1,0.42,3.8,5.67,7.67,54.3,1.83,31.6,9.8,-3.2
11,New York Giants,12,21,359.8,62.9,5.7,1.25,0.92,21.9,20,33.2,218.8,1.17,0.33,6.2,12.1,27.7,141.1,0.92,5.1,7.5,7.5,55.5,2.33,38.8,9.3,-4.97
