Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Patrick Mahomes,KAN,27,QB,12,12,9-3-0,25.7,39.1,65.7,317.3,2.5,6.4,0.67,1.7,16.8,57,8.1,8.6,12.4,317.3,104.9,78.5,1.58,10.8,3.9,7.54,8.03,0.17,0.17
2,Joe Burrow,CIN,26,QB,12,12,8-4-0,25.3,36.7,69.1,287.2,2.08,5.7,0.67,1.8,13.7,60,7.8,8.2,11.3,287.2,103.7,59,2.83,18.4,7.2,6.8,7.1,0.25,0.33
3,Josh Allen,BUF,26,QB,12,12,9-3-0,23.7,36.9,64.1,283.8,2.08,5.6,0.92,2.5,14.3,98,7.7,7.7,12,283.8,96,75.1,2.08,10,5.3,7.02,7.03,0.17,0.25
4,Justin Herbert,LAC,24,QB,12,12,6-6-0,28.3,42.5,66.7,278.3,1.67,3.9,0.58,1.4,13.7,54,6.5,6.7,9.8,278.3,92.3,56.6,2.17,11.7,4.9,5.97,6.13,0.33,0.33
5,Tom Brady,TAM,45,QB,12,12,6-6-0,28.9,43.7,66.2,277.7,1.33,3.1,0.25,0.6,14,51,6.4,6.7,9.6,277.7,91.6,52.2,1.5,10.9,3.3,5.91,6.25,0.17,0.25
6,Geno Smith,SEA,32,QB,12,12,7-5-0,23.8,32.7,72.7,264.1,1.83,5.6,0.5,1.5,12.8,54,8.1,8.5,11.1,264.1,108.7,64.9,2.58,19.7,7.3,6.93,7.34,0.08,0.17
7,Derek Carr,LVR,31,QB,13,13,5-8-0,20.7,33.4,62,239.8,1.54,4.6,0.77,2.3,10.9,60,7.2,7.1,11.6,239.8,89.4,59.1,1.62,10.8,4.6,6.54,6.43,0.23,0.23
8,Jared Goff,DET,28,QB,12,12,5-7-0,21.9,33.8,64.9,251.8,1.58,4.7,0.58,1.7,12.8,81,7.5,7.6,11.5,251.8,95.7,60.5,1.58,10.3,4.5,6.84,6.99,0.08,0.08
9,Jalen Hurts,PHI,24,QB,12,12,11-1-0,20.3,29.8,68.1,245,1.67,5.6,0.25,0.8,11.1,54,8.2,9,12.1,245,108.3,69.2,2.5,14.2,7.8,7.16,7.84,0.08,0.17
10,Kirk Cousins,MIN,34,QB,12,12,10-2-0,24.2,37.4,64.6,244.4,1.5,4,0.75,2,12.8,64,6.5,6.4,10.1,244.4,88.1,51.6,2.5,18.5,6.3,5.66,5.57,0.5,0.5
11,Matt Ryan,IND,37,QB,11,11,4-6-1,26.4,38.9,67.8,261.4,1.18,3,1.18,3,13.2,45,6.7,6,9.9,261.4,84,44.9,3.18,25,7.6,5.62,4.91,0.45,0.36
12,Aaron Rodgers,GNB,39,QB,13,13,5-8-0,20.9,32.5,64.3,220.3,1.69,5.2,0.69,2.1,10.2,58,6.8,6.9,10.5,220.3,92.4,41.9,1.85,14.4,5.4,5.99,6.07,0.23,0.23
13,Tua Tagovailoa,MIA,24,QB,10,10,8-2-0,21.6,31.7,68.1,285.9,2.1,6.6,0.5,1.6,13.7,75,9,9.6,13.2,285.9,112,77.4,1.5,11.2,4.5,8.27,8.86,0.2,0.2
14,Trevor Lawrence,JAX,23,QB,12,12,4-8-0,22.8,34.7,65.6,236.2,1.42,4.1,0.5,1.4,12.3,49,6.8,7,10.4,236.2,92.8,53.8,1.92,12.4,5.2,6.12,6.28,0.17,0.17
15,Jacoby Brissett,CLE,30,QB,12,11,4-7-0,19.7,30.7,64.1,217.3,1,3.3,0.5,1.6,10.8,55,7.1,7,11.1,217.3,89.1,60.4,2,13.3,6.1,6.24,6.17,0.17,0.17
16,Russell Wilson,DEN,34,QB,11,11,3-8-0,19.5,32.5,60.1,232.5,0.73,2.2,0.45,1.4,9.55,67,7.1,7,11.9,232.5,83.5,35,3.36,20.9,9.4,5.89,5.73,0.27,0.27
17,Jimmy Garoppolo,SFO,31,QB,11,10,7-3-0,18.8,28,67.2,221.5,1.45,5.2,0.36,1.3,10.4,57,7.9,8.4,11.8,221.5,103,53.5,1.64,9.09,5.5,7.17,7.6,0.09,0.09
