player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Michael Pittman Jr,WR,JAX,10.982242860099337,20,Home,0.5491121430049668
Tee Higgins,WR,NO,8.660291714520099,22,Away,0.3936496233872772
Tyler Conklin,TE,GB,5.011850234749035,13,Away,0.38552694113454117
Chris Godwin,WR,PIT,7.751023903529388,22,Away,0.3523192683422449
David Njoku,TE,NE,9.83761313511327,17,Home,0.5786831255948982
Jaylen Waddle,WR,MIN,12.831554115879111,25,Home,0.5132621646351645
Gerald Everett,TE,DEN,6.799013949356566,17,Home,0.3999419970209745
Cole Kmet,TE,WAS,4.018265636982318,11,Home,0.3652968760893016
Darnell Mooney,WR,WAS,7.576100744532342,16,Home,0.47350629653327136
Evan Engram,TE,IND,4.82513707329306,13,Away,0.3711643902533123
Terry McLaurin,WR,CHI,7.461249234848808,17,Away,0.4388970138146358
Marquise Brown,WR,SEA,16.467744417063173,24,Away,0.6861560173776322
Amari Cooper,WR,NE,13.551206929373691,21,Home,0.6452955680654139
Adam Thielen,WR,MIA,8.78253040007426,19,Away,0.46223844210917153
Christian Kirk,WR,IND,11.85494315775395,20,Away,0.5927471578876975
DeVonta Smith,WR,DAL,10.266936960054743,19,Home,0.5403651031607759
A J Brown,WR,DAL,11.716082456590541,24,Home,0.48817010235793923
Tyler Boyd,WR,NO,7.674863002461034,16,Away,0.47967893765381464
Brandon Aiyuk,WR,ATL,9.539626623376625,16,Away,0.5962266639610391
K J Osborn,WR,MIA,6.089466722361459,16,Away,0.3805916701475912
Chase Claypool,WR,TB,4.0728440735299145,12,Home,0.33940367279415956
Hayden Hurst,TE,NO,5.741808767350288,11,Away,0.5219826152136625
Jakobi Meyers,WR,CLE,13.143422551732435,16,Away,0.8214639094832772
Allen Lazard,WR,NYJ,11.03086797325701,18,Home,0.6128259985142783
Logan Thomas,TE,CHI,4.630318599874872,13,Away,0.3561783538365286
Russell Gage,WR,PIT,6.780281912282351,13,Away,0.5215601470986424
Elijah Moore,WR,GB,4.838097297297297,14,Away,0.3455783783783784
Courtland Sutton,WR,LAC,13.749881959624535,17,Away,0.8088165858602667
Robert Tonyan,TE,NYJ,5.361919588010376,13,Home,0.4124553529238751
Will Dissly,TE,ARI,7.899345758646824,17,Home,0.4646673975674602
Maxx Williams,TE,SEA,0,13,Away,0
Jarvis Landry,WR,CIN,5.933281226598772,14,Home,0.4238058018999123
Donovan Peoples Jones,WR,NE,5.477772225395013,12,Home,0.45648101878291775
Corey Davis,WR,GB,8.428673359073358,15,Away,0.5619115572715572
Nelson Agholor,WR,CLE,5.989760587102984,11,Away,0.5445236897366349
Randall Cobb,WR,NYJ,5.899415052994052,11,Home,0.5363104593630956
Laviska Shenault Jr,WR,LAR,9.206618447755286,12,Away,0.7672182039796072
DeVante Parker,WR,CLE,6.134276547962784,11,Away,0.5576615043602531
Marquez Valdes Scantling,WR,BUF,6.107414456800685,11,Home,0.5552194960727895
Zay Jones,WR,IND,7.636785607208935,12,Away,0.6363988006007446
Olamide Zaccheaus,WR,SF,7.32159438646266,11,Home,0.6655994896784236
Rashod Bateman,WR,NYG,8.980017982878273,16,Away,0.5612511239298921
Michael Gallup,WR,PHI,8.943923110305569,15,Away,0.596261540687038
Tre Quan Smith,WR,CIN,5.284964430133293,11,Home,0.4804513118302994
Rondale Moore,WR,SEA,6.265583701412128,17,Away,0.3685637471418899
Devin Duvernay,WR,NYG,8.738474241426474,14,Away,0.6241767315304624
Julio Jones,WR,PIT,4.823276825536093,14,Away,0.34451977325257804
Jerry Jeudy,WR,LAC,10.528085722857998,14,Away,0.7520061230612856
Colby Parkinson,TE,ARI,4.227474162532727,14,Home,0.30196244018090906
Darius Slayton,WR,BAL,4.358088685349539,14,Home,0.3112920489535385
Isaiah McKenzie,WR,KC,9.527904761904761,16,Away,0.5954940476190476
Taysom Hill,TE,CIN,-0.34138504146697624,22,Home,-0.015517501884862556
Chris Olave,WR,CIN,10.356858747512783,22,Home,0.4707663067051265
DK Metcalf,WR,ARI,11.775528179688578,28,Home,0.4205545778460206
Curtis Samuel,WR,CHI,7.79997177198095,16,Away,0.48749823574880935
Gabe Davis,WR,KC,12.503275132275133,24,Away,0.5209697971781305
Garrett Wilson,WR,GB,8.675295752895753,16,Away,0.5422059845559846
Drake London,WR,SF,10.084152058634784,18,Home,0.5602306699241546
JuJu Smith Schuster,WR,BUF,5.569152053036784,14,Home,0.39779657521691314
George Pickens,WR,TB,6.510927836812792,16,Home,0.4069329898007995
DJ Moore,WR,LAR,7.660344132059595,16,Away,0.47877150825372466
Romeo Doubs,WR,NYJ,7.521237422297751,15,Home,0.5014158281531834
Alec Pierce,WR,JAX,6.421287769039735,14,Home,0.4586634120742668
Marvin Jones Jr,WR,IND,6.151854494995654,12,Away,0.5126545412496378
Robbie Anderson,WR,LAR,6.31664685937732,13,Away,0.48589591225979384
Joshua Palmer,WR,DEN,5.253649146905726,11,Home,0.4776044679005205
Richie James Jr,WR,BAL,6.696148734315569,12,Home,0.5580123945262975
Michael Thomas,WR,CIN,12.886406015319114,22,Home,0.5857457279690507
Equanimeous St Brown,WR,WAS,4.943529869845746,13,Home,0.3802715284496728
Jahan Dotson,WR,CHI,8.917082583054533,15,Away,0.5944721722036356
Irv Smith Jr,TE,MIA,5.129076982966676,13,Away,0.39454438330512887
Dyami Brown,WR,CHI,3.2646822924435828,11,Away,0.296789299313053
Allen Robinson II,WR,CAR,4.565475053823832,12,Home,0.38045625448531933
Daniel Bellinger,TE,BAL,6.8725662146052855,12,Home,0.5727138512171072
Khalil Shakir,WR,KC,5.620052910052911,14,Away,0.40143235071806505
David Sills V,WR,BAL,3.1528836036666235,12,Home,0.26274030030555195
Josh Allen,NA,NA,NA,NA,NA,NA
Carson Wentz,NA,NA,NA,NA,NA,NA
Justin Herbert,NA,NA,NA,NA,NA,NA
Tom Brady,NA,NA,NA,NA,NA,NA
Patrick Mahomes,NA,NA,NA,NA,NA,NA
Matt Ryan,NA,NA,NA,NA,NA,NA
Jalen Hurts,NA,NA,NA,NA,NA,NA
Kirk Cousins,NA,NA,NA,NA,NA,NA
Matthew Stafford,NA,NA,NA,NA,NA,NA
Joe Burrow,NA,NA,NA,NA,NA,NA
Geno Smith,NA,NA,NA,NA,NA,NA
Russell Wilson,NA,NA,NA,NA,NA,NA
Kyler Murray,NA,NA,NA,NA,NA,NA
Trevor Lawrence,NA,NA,NA,NA,NA,NA
Aaron Rodgers,NA,NA,NA,NA,NA,NA
Lamar Jackson,NA,NA,NA,NA,NA,NA
Jacoby Brissett,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,NA,NA,NA,NA,NA,NA
Baker Mayfield,NA,NA,NA,NA,NA,NA
Marcus Mariota,NA,NA,NA,NA,NA,NA
Joe Flacco,NA,NA,NA,NA,NA,NA
Justin Fields,NA,NA,NA,NA,NA,NA
