player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Nick Chubb,NA,NA,NA,NA,NA,NA
Tyreek Hill,NA,NA,NA,NA,NA,NA
Austin Ekeler,NA,NA,NA,NA,NA,NA
Christian McCaffrey,NA,NA,NA,NA,NA,NA
Stefon Diggs,NA,NA,NA,NA,NA,NA
Breece Hall,NA,NA,NA,NA,NA,NA
Aaron Jones,NA,NA,NA,NA,NA,NA
Leonard Fournette,NA,NA,NA,NA,NA,NA
Miles Sanders,NA,NA,NA,NA,NA,NA
Dalvin Cook,NA,NA,NA,NA,NA,NA
Jeff Wilson Jr,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,NA,NA,NA,NA,NA,NA
Khalil Herbert,NA,NA,NA,NA,NA,NA
A J Brown,NA,NA,NA,NA,NA,NA
Joe Mixon,NA,NA,NA,NA,NA,NA
Courtland Sutton,NA,NA,NA,NA,NA,NA
Jaylen Waddle,NA,NA,NA,NA,NA,NA
Marquise Brown,NA,NA,NA,NA,NA,NA
Tyler Lockett,NA,NA,NA,NA,NA,NA
Mike Williams,NA,NA,NA,NA,NA,NA
Deebo Samuel,NA,NA,NA,NA,NA,NA
Chris Olave,NA,NA,NA,NA,NA,NA
Terry McLaurin,NA,NA,NA,NA,NA,NA
DK Metcalf,NA,NA,NA,NA,NA,NA
Jonathan Taylor,NA,NA,NA,NA,NA,NA
Cordarrelle Patterson,NA,NA,NA,NA,NA,NA
Antonio Gibson,NA,NA,NA,NA,NA,NA
Rashaad Penny,NA,NA,NA,NA,NA,NA
Clyde Edwards Helaire,NA,NA,NA,NA,NA,NA
David Montgomery,NA,NA,NA,NA,NA,NA
DeVonta Smith,NA,NA,NA,NA,NA,NA
Mark Andrews,NA,NA,NA,NA,NA,NA
Travis Kelce,NA,NA,NA,NA,NA,NA
CeeDee Lamb,NA,NA,NA,NA,NA,NA
Ja Marr Chase,NA,NA,NA,NA,NA,NA
Christian Kirk,NA,NA,NA,NA,NA,NA
Travis Etienne Jr,NA,NA,NA,NA,NA,NA
Curtis Samuel,NA,NA,NA,NA,NA,NA
Dallas Goedert,NA,NA,NA,NA,NA,NA
Ezekiel Elliott,NA,NA,NA,NA,NA,NA
James Robinson,NA,NA,NA,NA,NA,NA
Kareem Hunt,NA,NA,NA,NA,NA,NA
Raheem Mostert,NA,NA,NA,NA,NA,NA
Tony Pollard,NA,NA,NA,NA,NA,NA
Mike Evans,NA,NA,NA,NA,NA,NA
Devin Singletary,NA,NA,NA,NA,NA,NA
Tee Higgins,NA,NA,NA,NA,NA,NA
AJ Dillon,NA,NA,NA,NA,NA,NA
Alvin Kamara,NA,NA,NA,NA,NA,NA
Gabe Davis,NA,NA,NA,NA,NA,NA
Amari Cooper,NA,NA,NA,NA,NA,NA
James Conner,NA,NA,NA,NA,NA,NA
Corey Davis,NA,NA,NA,NA,NA,NA
Melvin Gordon III,NA,NA,NA,NA,NA,NA
Tyler Higbee,NA,NA,NA,NA,NA,NA
Damien Harris,NA,NA,NA,NA,NA,NA
Najee Harris,NA,NA,NA,NA,NA,NA
David Njoku,NA,NA,NA,NA,NA,NA
Michael Pittman Jr,NA,NA,NA,NA,NA,NA
Javonte Williams,NA,NA,NA,NA,NA,NA
Garrett Wilson,NA,NA,NA,NA,NA,NA
Noah Brown,NA,NA,NA,NA,NA,NA
Diontae Johnson,NA,NA,NA,NA,NA,NA
Jakobi Meyers,NA,NA,NA,NA,NA,NA
Drake London,NA,NA,NA,NA,NA,NA
Michael Carter,NA,NA,NA,NA,NA,NA
JuJu Smith Schuster,NA,NA,NA,NA,NA,NA
Marquez Valdes Scantling,NA,NA,NA,NA,NA,NA
George Pickens,NA,NA,NA,NA,NA,NA
Randall Cobb,NA,NA,NA,NA,NA,NA
Devin Duvernay,NA,NA,NA,NA,NA,NA
Adam Thielen,NA,NA,NA,NA,NA,NA
Brandon Aiyuk,NA,NA,NA,NA,NA,NA
J D McKissic,NA,NA,NA,NA,NA,NA
Rashod Bateman,NA,NA,NA,NA,NA,NA
Darnell Mooney,NA,NA,NA,NA,NA,NA
Jerry Jeudy,NA,NA,NA,NA,NA,NA
DJ Moore,NA,NA,NA,NA,NA,NA
Pat Freiermuth,NA,NA,NA,NA,NA,NA
Eno Benjamin,NA,NA,NA,NA,NA,NA
Zach Ertz,NA,NA,NA,NA,NA,NA
Nelson Agholor,NA,NA,NA,NA,NA,NA
Romeo Doubs,NA,NA,NA,NA,NA,NA
Alec Pierce,NA,NA,NA,NA,NA,NA
Gerald Everett,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,NA,NA,NA,NA,NA,NA
Tyler Allgeier,NA,NA,NA,NA,NA,NA
Allen Lazard,NA,NA,NA,NA,NA,NA
Marvin Jones Jr,NA,NA,NA,NA,NA,NA
Robbie Anderson,NA,NA,NA,NA,NA,NA
Darrell Henderson Jr,NA,NA,NA,NA,NA,NA
Greg Dortch,NA,NA,NA,NA,NA,NA
Elijah Moore,NA,NA,NA,NA,NA,NA
Tyler Conklin,NA,NA,NA,NA,NA,NA
Donovan Peoples Jones,NA,NA,NA,NA,NA,NA
DeVante Parker,NA,NA,NA,NA,NA,NA
Joshua Palmer,NA,NA,NA,NA,NA,NA
Zay Jones,NA,NA,NA,NA,NA,NA
Ben Skowronek,NA,NA,NA,NA,NA,NA
Richie James Jr,NA,NA,NA,NA,NA,NA
Chase Claypool,NA,NA,NA,NA,NA,NA
Russell Gage,NA,NA,NA,NA,NA,NA
Ashton Dulin,NA,NA,NA,NA,NA,NA
Michael Thomas,NA,NA,NA,NA,NA,NA
DeAndre Carter,NA,NA,NA,NA,NA,NA
Cam Akers,NA,NA,NA,NA,NA,NA
Evan Engram,NA,NA,NA,NA,NA,NA
Jarvis Landry,NA,NA,NA,NA,NA,NA
Samaje Perine,NA,NA,NA,NA,NA,NA
Mark Ingram II,NA,NA,NA,NA,NA,NA
Joshua Kelley,NA,NA,NA,NA,NA,NA
Kenneth Walker III,NA,NA,NA,NA,NA,NA
Isaiah McKenzie,NA,NA,NA,NA,NA,NA
K J Osborn,NA,NA,NA,NA,NA,NA
Chris Godwin,NA,NA,NA,NA,NA,NA
Hayden Hurst,NA,NA,NA,NA,NA,NA
Jerick McKinnon,NA,NA,NA,NA,NA,NA
Chase Edmonds,NA,NA,NA,NA,NA,NA
Sterling Shepard,NA,NA,NA,NA,NA,NA
Equanimeous St Brown,NA,NA,NA,NA,NA,NA
Kendrick Bourne,NA,NA,NA,NA,NA,NA
Alexander Mattison,NA,NA,NA,NA,NA,NA
Kyle Pitts,NA,NA,NA,NA,NA,NA
J K Dobbins,NA,NA,NA,NA,NA,NA
Mecole Hardman,NA,NA,NA,NA,NA,NA
Justice Hill,NA,NA,NA,NA,NA,NA
Jahan Dotson,NA,NA,NA,NA,NA,NA
Isiah Pacheco,NA,NA,NA,NA,NA,NA
Jaylen Warren,NA,NA,NA,NA,NA,NA
Jauan Jennings,NA,NA,NA,NA,NA,NA
Will Dissly,NA,NA,NA,NA,NA,NA
Mo Alie Cox,NA,NA,NA,NA,NA,NA
Dante Pettis,NA,NA,NA,NA,NA,NA
Irv Smith Jr,NA,NA,NA,NA,NA,NA
Tre Quan Smith,NA,NA,NA,NA,NA,NA
Nyheim Hines,NA,NA,NA,NA,NA,NA
Juwan Johnson,NA,NA,NA,NA,NA,NA
Robert Tonyan,NA,NA,NA,NA,NA,NA
KhaDarel Hodge,NA,NA,NA,NA,NA,NA
James Cook,NA,NA,NA,NA,NA,NA
Kylen Granson,NA,NA,NA,NA,NA,NA
Rachaad White,NA,NA,NA,NA,NA,NA
Zack Moss,NA,NA,NA,NA,NA,NA
Mike Boone,NA,NA,NA,NA,NA,NA
Cole Kmet,NA,NA,NA,NA,NA,NA
Colby Parkinson,NA,NA,NA,NA,NA,NA
Parris Campbell,NA,NA,NA,NA,NA,NA
Dyami Brown,NA,NA,NA,NA,NA,NA
Dawson Knox,NA,NA,NA,NA,NA,NA
Allen Robinson II,NA,NA,NA,NA,NA,NA
Logan Thomas,NA,NA,NA,NA,NA,NA
Noah Fant,NA,NA,NA,NA,NA,NA
Shi Smith,NA,NA,NA,NA,NA,NA
Daniel Bellinger,NA,NA,NA,NA,NA,NA
Mike Gesicki,NA,NA,NA,NA,NA,NA
