,,Passing,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Tua Tagovailoa,123.8,18,Sun,3,3,2022-09-25,24-207,MIA,,BUF,W 21-19,13,18,5,72.2,186,1,0,,5.6,0,123.8,1,7,5.26,10.3,11.44,10.47,14.3,QB,1-5
2,Jalen Hurts,123.5,35,Sun,3,3,2022-09-25,24-049,PHI,@,WAS,W 24-8,22,35,13,62.9,340,3,0,,8.6,0,123.5,3,12,7.89,9.7,11.43,10.21,15.5,QB,2-53
3,Trevor Lawrence,115.5,39,Sun,3,3,2022-09-25,22-354,JAX,@,LAC,W 38-10,28,39,11,71.8,262,3,0,,7.7,0,115.5,0,0,0,6.7,8.26,8.26,9.4,QB,1-1
4,Joe Burrow,114.9,36,Sun,3,3,2022-09-25,25-289,CIN,@,NYJ,W 27-12,23,36,13,63.9,275,3,0,,8.3,0,114.9,2,14,5.26,7.6,9.31,8.45,12,QB,1-1
5,Lamar Jackson,110.3,29,Sun,3,3,2022-09-25,25-261,BAL,@,NWE,W 37-26,18,29,11,62.1,218,4,1,,13.8,3.4,110.3,4,12,12.12,7.5,8.72,7.3,12.1,QB,1-32
6,Jacoby Brissett,109.6,31,Thu,3,3,2022-09-22,29-285,CLE,,PIT,W 29-17,21,31,10,67.7,220,2,0,,6.5,0,109.6,2,15,6.06,7.1,8.39,7.42,10.5,QB,3-91
7,Matt Ryan,105.9,37,Sun,3,3,2022-09-25,37-131,IND,,KAN,W 20-17,27,37,10,73,222,2,0,,5.4,0,105.9,5,45,11.9,6,7.08,5.17,8.2,QB,1-3
8,Aaron Rodgers,103.9,35,Sun,3,3,2022-09-25,38-297,GNB,@,TAM,W 14-12,27,35,8,77.1,255,2,1,,5.7,2.9,103.9,1,7,2.78,7.3,7.14,6.75,9.4,QB,1-24
9,Matthew Stafford,103.6,25,Sun,3,3,2022-09-25,34-230,LAR,@,ARI,W 20-12,18,25,7,72,249,0,0,,0,0,103.6,1,10,3.85,10,9.96,9.19,13.8,QB,1-1
10,Marcus Mariota,99.8,20,Sun,3,3,2022-09-25,28-330,ATL,@,SEA,W 27-23,13,20,7,65,229,1,1,,5,5,99.8,3,22,13.04,11.5,10.2,7.91,17.6,QB,1-2
11,Geno Smith,99.1,44,Sun,3,3,2022-09-25,31-350,SEA,,ATL,L 23-27,32,44,12,72.7,325,2,1,,4.5,2.3,99.1,2,17,4.35,7.4,7.27,6.59,10.2,QB,2-39
12,Tom Brady,98.4,42,Sun,3,3,2022-09-25,45-053,TAM,,GNB,L 12-14,31,42,11,73.8,271,1,0,,2.4,0,98.4,3,20,6.67,6.5,6.93,6.02,8.7,QB,6-199
13,Ryan Tannehill,98.4,27,Sun,3,3,2022-09-25,34-060,TEN,,LVR,W 24-22,19,27,8,70.4,264,1,1,,3.7,3.7,98.4,1,12,3.57,9.8,8.85,8.11,13.9,QB,1-8
14,Cooper Rush,98.2,31,Mon,3,3,2022-09-26,28-309,DAL,@,NYG,W 23-16,21,31,10,67.7,215,1,0,,3.2,0,98.2,0,0,0,6.9,7.58,7.58,10.2,QB,
15,Josh Allen,94.7,63,Sun,3,3,2022-09-25,26-127,BUF,@,MIA,L 19-21,42,63,21,66.7,400,2,0,,3.2,0,94.7,4,18,5.97,6.3,6.98,6.3,9.5,QB,1-7
16,Kirk Cousins,93.5,41,Sun,3,3,2022-09-25,34-037,MIN,,DET,W 28-24,24,41,17,58.5,260,2,0,,4.9,0,93.5,1,10,2.38,6.3,7.32,6.9,10.8,QB,4-102
17,Derek Carr,85.7,44,Sun,3,3,2022-09-25,31-181,LVR,@,TEN,L 22-24,26,44,18,59.1,303,2,1,,4.5,2.3,85.7,1,7,2.22,6.9,6.77,6.47,11.7,QB,2-36
18,Baker Mayfield,83.7,25,Sun,3,3,2022-09-25,27-164,CAR,,NOR,W 22-14,12,25,13,48,170,1,0,,4,0,83.7,3,22,10.71,6.8,7.6,6,14.2,QB,1-1
19,Mack Hollins,83.3,1,Sun,3,3,2022-09-25,29-009,LVR,@,TEN,L 22-24,1,1,0,100,4,0,0,,0,0,83.3,0,0,0,4,4,4,4,WR,4-118
20,Jimmy Garoppolo,81.3,29,Sun,3,3,2022-09-25,30-327,SFO,@,DEN,L 10-11,18,29,11,62.1,211,1,1,,3.4,3.4,81.3,4,32,12.12,7.3,6.41,4.67,11.7,QB,2-62
21,Mitchell Trubisky,81.1,32,Thu,3,3,2022-09-22,28-033,PIT,@,CLE,L 17-29,20,32,12,62.5,207,0,0,,0,0,81.1,1,3,3.03,6.5,6.47,6.18,10.4,QB,1-2
22,Jared Goff,79,41,Sun,3,3,2022-09-25,27-346,DET,@,MIN,L 24-28,25,41,16,61,277,1,1,,2.4,2.4,79,0,0,0,6.8,6.15,6.15,11.1,QB,1-1
23,Patrick Mahomes,78.5,35,Sun,3,3,2022-09-25,27-008,KAN,@,IND,L 17-20,20,35,15,57.1,262,1,1,,2.9,2.9,78.5,1,5,2.78,7.5,6.77,6.44,13.1,QB,1-10
24,Kyler Murray,77.8,58,Sun,3,3,2022-09-25,25-049,ARI,,LAR,L 12-20,37,58,21,63.8,314,0,0,,0,0,77.8,2,19,3.33,5.4,5.41,4.92,8.5,QB,1-1
25,Jameis Winston,76.6,41,Sun,3,3,2022-09-25,28-262,NOR,@,CAR,L 14-22,25,41,16,61,353,1,2,,2.4,4.9,76.6,1,11,2.38,8.6,6.9,6.48,14.1,QB,1-1
26,Russell Wilson,75.8,33,Sun,3,3,2022-09-25,33-300,DEN,,SFO,W 11-10,20,33,13,60.6,184,0,0,,0,0,75.8,4,24,10.81,5.6,5.58,4.32,9.2,QB,3-75
27,Justin Herbert,74,45,Sun,3,3,2022-09-25,24-199,LAC,,JAX,L 10-38,25,45,20,55.6,297,1,1,,2.2,2.2,74,1,11,2.17,6.6,6.04,5.67,11.9,QB,1-6
28,Carson Wentz,71,43,Sun,3,3,2022-09-25,29-269,WAS,,PHI,L 8-24,25,43,18,58.1,211,0,0,,0,0,71,9,58,17.31,4.9,4.91,2.94,8.4,QB,1-2
29,Davis Mills,70.4,32,Sun,3,3,2022-09-25,23-339,HOU,@,CHI,L 20-23,20,32,12,62.5,245,1,2,,3.1,6.3,70.4,1,8,3.03,7.7,5.47,5.06,12.3,QB,3-67
30,Mac Jones,62.1,32,Sun,3,3,2022-09-25,24-020,NWE,,BAL,L 26-37,22,32,10,68.8,321,0,3,,0,9.4,62.1,3,19,8.57,10,5.81,4.77,14.6,QB,1-15
31,Daniel Jones,57.9,37,Mon,3,3,2022-09-26,25-122,NYG,,DAL,L 16-23,20,37,17,54.1,196,0,1,,0,2.7,57.9,5,27,11.9,5.3,4.08,2.95,9.8,QB,1-6
32,Joe Flacco,53.8,52,Sun,3,3,2022-09-25,37-252,NYJ,,CIN,L 12-27,28,52,24,53.8,285,0,2,,0,3.8,53.8,4,33,7.14,5.5,3.75,2.89,10.2,QB,1-18
33,Teddy Bridgewater,39.6,2,Sun,3,3,2022-09-25,29-319,MIA,,BUF,W 21-19,0,2,2,0,0,0,0,,0,0,39.6,1,8,33.33,0,0,-2.67,,QB,1-32
34,Tommy Townsend,39.6,1,Sun,3,3,2022-09-25,25-317,KAN,@,IND,L 17-20,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,P,
35,Justin Fields,27.7,17,Sun,3,3,2022-09-25,23-204,CHI,,HOU,W 23-20,8,17,9,47.1,106,0,2,,0,11.8,27.7,5,24,22.73,6.2,0.94,-0.36,13.3,QB,1-11
