,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,DeVonta Smith,169,12,Sun,3,3,2022-09-25,23-315,PHI,@,WAS,W 24-8,12,8,169,21.1,1,66.7,14.1,7,WR,1-10
2,Mack Hollins,158,11,Sun,3,3,2022-09-25,29-009,LVR,@,TEN,L 22-24,11,8,158,19.8,1,72.7,14.4,6,WR,4-118
3,DeVante Parker,156,10,Sun,3,3,2022-09-25,29-248,NWE,,BAL,L 26-37,10,5,156,31.2,0,50,15.6,5,WR,1-14
4,Chris Olave,147,13,Sun,3,3,2022-09-25,22-090,NOR,@,CAR,L 14-22,13,9,147,16.3,0,69.2,11.3,5,WR,1-11
5,Marquise Brown,140,17,Sun,3,3,2022-09-25,25-113,ARI,,LAR,L 12-20,17,14,140,10,0,82.4,8.2,7,WR,1-25
6,Tyler Boyd,105,5,Sun,3,3,2022-09-25,27-314,CIN,@,NYJ,W 27-12,5,4,105,26.3,1,80,21,4,WR,2-55
7,Tre'Quan Smith,105,5,Sun,3,3,2022-09-25,26-261,NOR,@,CAR,L 14-22,5,4,105,26.3,0,80,21,4,WR,3-91
8,Terry McLaurin,102,9,Sun,3,3,2022-09-25,27-010,WAS,,PHI,L 8-24,9,6,102,17,0,66.7,11.3,4,WR,3-76
9,Jaylen Waddle,102,6,Sun,3,3,2022-09-25,23-304,MIA,,BUF,W 21-19,6,4,102,25.5,0,66.7,17,4,WR,1-6
10,Amari Cooper,101,11,Thu,3,3,2022-09-22,28-097,CLE,,PIT,W 29-17,11,7,101,14.4,1,63.6,9.2,4,WR,1-4
11,Josh Palmer,99,9,Sun,3,3,2022-09-25,24-003,LAC,,JAX,L 10-38,9,6,99,16.5,0,66.7,11,5,WR,3-77
12,Courtland Sutton,97,10,Sun,3,3,2022-09-25,26-350,DEN,,SFO,W 11-10,10,8,97,12.1,0,80,9.7,5,WR,2-40
13,Josh Reynolds,96,10,Sun,3,3,2022-09-25,27-221,DET,@,MIN,L 24-28,10,6,96,16,0,60,9.6,4,WR,4-117
14,Tee Higgins,93,7,Sun,3,3,2022-09-25,23-250,CIN,@,NYJ,W 27-12,7,5,93,18.6,0,71.4,13.3,4,WR,2-33
15,Laviska Shenault Jr.,90,2,Sun,3,3,2022-09-25,23-355,CAR,,NOR,W 22-14,2,2,90,45,1,100,45,2,WR,2-42
16,Mark Andrews,89,13,Sun,3,3,2022-09-25,27-019,BAL,@,NWE,W 37-26,13,8,89,11.1,2,61.5,6.8,6,TE,3-86
17,David Njoku,89,10,Thu,3,3,2022-09-22,26-074,CLE,,PIT,W 29-17,10,9,89,9.9,1,90,8.9,6,TE,1-29
18,JuJu Smith-Schuster,89,8,Sun,3,3,2022-09-25,25-307,KAN,@,IND,L 17-20,8,5,89,17.8,0,62.5,11.1,4,WR,2-62
19,Russell Gage,87,13,Sun,3,3,2022-09-25,26-246,TAM,,GNB,L 12-14,13,12,87,7.3,1,92.3,6.7,5,WR,6-194
20,CeeDee Lamb,87,12,Mon,3,3,2022-09-26,23-171,DAL,@,NYG,W 23-16,12,8,87,10.9,1,66.7,7.3,6,WR,1-17
21,Kyle Pitts,87,8,Sun,3,3,2022-09-25,21-354,ATL,@,SEA,W 27-23,8,5,87,17.4,0,62.5,10.9,5,TE,1-4
22,A.J. Brown,85,10,Sun,3,3,2022-09-25,25-087,PHI,@,WAS,W 24-8,10,5,85,17,1,50,8.5,5,WR,2-51
23,Zay Jones,85,11,Sun,3,3,2022-09-25,27-179,JAX,@,LAC,W 38-10,11,10,85,8.5,1,90.9,7.7,5,WR,2-37
24,Robert Woods,85,9,Sun,3,3,2022-09-25,30-168,TEN,,LVR,W 24-22,9,4,85,21.3,0,44.4,9.4,3,WR,2-41
25,Tyler Conklin,84,8,Sun,3,3,2022-09-25,27-057,NYJ,,CIN,L 12-27,8,8,84,10.5,0,100,10.5,3,TE,5-157
26,Diontae Johnson,84,11,Thu,3,3,2022-09-22,26-079,PIT,@,CLE,L 17-29,11,8,84,10.5,0,72.7,7.6,4,WR,3-66
27,Greg Dortch,80,10,Sun,3,3,2022-09-25,24-119,ARI,,LAR,L 12-20,10,9,80,8.9,0,90,8,4,WR,
28,Devin Singletary,78,11,Sun,3,3,2022-09-25,25-022,BUF,@,MIA,L 19-21,11,9,78,8.7,1,81.8,7.1,4,RB,3-74
29,Tyler Lockett,76,11,Sun,3,3,2022-09-25,29-362,SEA,,ATL,L 23-27,11,9,76,8.4,0,81.8,6.9,3,WR,3-69
30,Isaiah McKenzie,76,9,Sun,3,3,2022-09-25,27-169,BUF,@,MIA,L 19-21,9,7,76,10.9,1,77.8,8.4,4,WR,5-172
