,,Rushing,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Khalil Herbert,157,20,Sun,3,3,2022-09-25,24-157,CHI,,HOU,W 23-20,20,157,7.9,2,8,RB,6-217
2,Cordarrelle Patterson,141,17,Sun,3,3,2022-09-25,31-192,ATL,@,SEA,W 27-23,17,141,8.3,1,5,RB,1-29
3,Nick Chubb,113,23,Thu,3,3,2022-09-22,26-269,CLE,,PIT,W 29-17,23,113,4.9,1,4,RB,2-35
4,Christian McCaffrey,108,25,Sun,3,3,2022-09-25,26-110,CAR,,NOR,W 22-14,25,108,4.3,0,5,RB,1-8
5,Lamar Jackson,107,11,Sun,3,3,2022-09-25,25-261,BAL,@,NWE,W 37-26,11,107,9.7,1,6,QB,1-32
6,Tony Pollard,105,13,Mon,3,3,2022-09-26,25-149,DAL,@,NYG,W 23-16,13,105,8.1,0,5,RB,4-128
7,James Robinson,100,17,Sun,3,3,2022-09-25,24-047,JAX,@,LAC,W 38-10,17,100,5.9,1,4,RB,
8,Dalvin Cook,96,17,Sun,3,3,2022-09-25,27-046,MIN,,DET,W 28-24,17,96,5.6,1,7,RB,2-41
9,Jamaal Williams,87,20,Sun,3,3,2022-09-25,27-175,DET,@,MIN,L 24-28,20,87,4.4,2,6,RB,4-134
10,Derrick Henry,85,20,Sun,3,3,2022-09-25,28-264,TEN,,LVR,W 24-22,20,85,4.3,1,5,RB,2-45
11,Saquon Barkley,81,14,Mon,3,3,2022-09-26,25-229,NYG,,DAL,L 16-23,14,81,5.8,1,2,RB,1-2
12,Dameon Pierce,80,20,Sun,3,3,2022-09-25,22-218,HOU,@,CHI,L 20-23,20,80,4,1,5,RB,4-107
13,Daniel Jones,79,9,Mon,3,3,2022-09-26,25-122,NYG,,DAL,L 16-23,9,79,8.8,0,7,QB,1-6
14,Jeff Wilson,75,12,Sun,3,3,2022-09-25,26-313,SFO,@,DEN,L 10-11,12,75,6.3,0,3,RB,
15,Ezekiel Elliott,73,15,Mon,3,3,2022-09-26,27-066,DAL,@,NYG,W 23-16,15,73,4.9,1,4,RB,1-4
16,Rhamondre Stevenson,73,12,Sun,3,3,2022-09-25,24-214,NWE,,BAL,L 26-37,12,73,6.1,1,5,RB,4-120
17,Jonathan Taylor,71,21,Sun,3,3,2022-09-25,23-249,IND,,KAN,W 20-17,21,71,3.4,0,3,RB,2-41
18,Josh Jacobs,66,13,Sun,3,3,2022-09-25,24-226,LVR,@,TEN,L 22-24,13,66,5.1,0,4,RB,1-24
19,Rashaad Penny,66,14,Sun,3,3,2022-09-25,26-235,SEA,,ATL,L 23-27,14,66,4.7,0,5,RB,1-27
20,Cam Akers,61,12,Sun,3,3,2022-09-25,23-095,LAR,@,ARI,W 20-12,12,61,5.1,1,3,RB,2-52
21,Alvin Kamara,61,15,Sun,3,3,2022-09-25,27-062,NOR,@,CAR,L 14-22,15,61,4.1,0,3,RB,3-67
22,Justice Hill,60,6,Sun,3,3,2022-09-25,24-315,BAL,@,NWE,W 37-26,6,60,10,0,2,RB,4-113
23,Javonte Williams,58,15,Sun,3,3,2022-09-25,22-153,DEN,,SFO,W 11-10,15,58,3.9,0,1,RB,2-35
24,Najee Harris,56,15,Thu,3,3,2022-09-22,24-197,PIT,@,CLE,L 17-29,15,56,3.7,1,5,RB,1-24
25,Josh Allen,47,8,Sun,3,3,2022-09-25,26-127,BUF,@,MIA,L 19-21,8,47,5.9,0,5,QB,1-7
26,Justin Fields,47,8,Sun,3,3,2022-09-25,23-204,CHI,,HOU,W 23-20,8,47,5.9,0,2,QB,1-11
27,Kareem Hunt,47,12,Thu,3,3,2022-09-22,27-047,CLE,,PIT,W 29-17,12,47,3.9,0,3,RB,3-86
28,Samaje Perine,47,9,Sun,3,3,2022-09-25,27-009,CIN,@,NYJ,W 27-12,9,47,5.2,0,3,RB,4-114
29,Zack Moss,46,4,Sun,3,3,2022-09-25,24-284,BUF,@,MIA,L 19-21,4,46,11.5,0,1,RB,3-86
30,Miles Sanders,46,15,Sun,3,3,2022-09-25,25-147,PHI,@,WAS,W 24-8,15,46,3.1,0,2,RB,2-53
31,Travis Etienne,45,13,Sun,3,3,2022-09-25,23-242,JAX,@,LAC,W 38-10,13,45,3.5,0,3,RB,1-25
32,Equanimeous St. Brown,43,2,Sun,3,3,2022-09-25,25-360,CHI,,HOU,W 23-20,2,43,21.5,0,1,WR,6-207
33,Damien Harris,41,11,Sun,3,3,2022-09-25,25-226,NWE,,BAL,L 26-37,11,41,3.7,1,3,RB,3-87
34,Michael Carter,39,11,Sun,3,3,2022-09-25,23-141,NYJ,,CIN,L 12-27,11,39,3.5,0,2,RB,4-107
35,James Conner,39,13,Sun,3,3,2022-09-25,27-143,ARI,,LAR,L 12-20,13,39,3,0,7,RB,3-105
36,Breece Hall,39,8,Sun,3,3,2022-09-25,21-117,NYJ,,CIN,L 12-27,8,39,4.9,0,2,RB,2-36
37,Antonio Gibson,38,12,Sun,3,3,2022-09-25,24-094,WAS,,PHI,L 8-24,12,38,3.2,1,3,RB,3-66
38,Aaron Jones,36,12,Sun,3,3,2022-09-25,27-297,GNB,@,TAM,W 14-12,12,36,3,0,1,RB,5-182
39,Leonard Fournette,35,12,Sun,3,3,2022-09-25,27-250,TAM,,GNB,L 12-14,12,35,2.9,0,1,RB,1-4
40,AJ Dillon,32,12,Sun,3,3,2022-09-25,24-146,GNB,@,TAM,W 14-12,12,32,2.7,0,2,RB,2-62
41,Mac Jones,31,5,Sun,3,3,2022-09-25,24-020,NWE,,BAL,L 26-37,5,31,6.2,1,2,QB,1-15
42,D'Andre Swift,31,7,Sun,3,3,2022-09-25,23-254,DET,@,MIN,L 24-28,7,31,4.4,0,0,RB,2-35
43,Jaylen Warren,30,4,Thu,3,3,2022-09-22,23-325,PIT,@,CLE,L 17-29,4,30,7.5,0,2,RB,
44,Alexander Mattison,28,7,Sun,3,3,2022-09-25,24-098,MIN,,DET,W 28-24,7,28,4,1,2,RB,3-102
45,Melvin Gordon,26,12,Sun,3,3,2022-09-25,29-165,DEN,,SFO,W 11-10,12,26,2.2,1,3,RB,1-15
46,Patrick Mahomes,26,4,Sun,3,3,2022-09-25,27-008,KAN,@,IND,L 17-20,4,26,6.5,0,3,QB,1-10
47,Tyler Allgeier,25,6,Sun,3,3,2022-09-25,22-163,ATL,@,SEA,W 27-23,6,25,4.2,0,1,RB,5-151
48,Chuba Hubbard,25,3,Sun,3,3,2022-09-25,23-106,CAR,,NOR,W 22-14,3,25,8.3,0,2,RB,4-126
49,Joe Mixon,24,12,Sun,3,3,2022-09-25,26-063,CIN,@,NYJ,W 27-12,12,24,2,0,2,RB,2-48
50,J.K. Dobbins,23,7,Sun,3,3,2022-09-25,23-282,BAL,@,NWE,W 37-26,7,23,3.3,0,0,RB,2-55
51,Trestan Ebner,23,7,Sun,3,3,2022-09-25,23-266,CHI,,HOU,W 23-20,7,23,3.3,0,1,RB,6-203
52,Sony Michel,22,5,Sun,3,3,2022-09-25,27-220,LAC,,JAX,L 10-38,5,22,4.4,0,1,RB,1-31
53,Carson Wentz,22,3,Sun,3,3,2022-09-25,29-269,WAS,,PHI,L 8-24,3,22,7.3,0,0,QB,1-2
54,DeeJay Dallas,21,3,Sun,3,3,2022-09-25,24-009,SEA,,ATL,L 23-27,3,21,7,0,1,RB,4-144
55,Chase Edmonds,21,6,Sun,3,3,2022-09-25,26-165,MIA,,BUF,W 21-19,6,21,3.5,2,2,RB,4-134
56,Jalen Hurts,20,9,Sun,3,3,2022-09-25,24-049,PHI,@,WAS,W 24-8,9,20,2.2,0,1,QB,2-53
57,Cooper Kupp,20,1,Sun,3,3,2022-09-25,29-102,LAR,@,ARI,W 20-12,1,20,20,1,1,WR,3-69
58,Jerick McKinnon,20,7,Sun,3,3,2022-09-25,30-145,KAN,@,IND,L 17-20,7,20,2.9,0,,RB,3-96
59,Kenneth Walker III,19,3,Sun,3,3,2022-09-25,21-340,SEA,,ATL,L 23-27,3,19,6.3,0,1,RB,2-41
60,Mark Ingram,18,5,Sun,3,3,2022-09-25,32-278,NOR,@,CAR,L 14-22,5,18,3.6,1,1,RB,1-28
61,Brandon Bolden,17,3,Sun,3,3,2022-09-25,32-242,LVR,@,TEN,L 22-24,3,17,5.7,0,1,RB,
62,Derek Carr,17,2,Sun,3,3,2022-09-25,31-181,LVR,@,TEN,L 22-24,2,17,8.5,0,2,QB,2-36
63,Darrell Henderson,17,4,Sun,3,3,2022-09-25,25-037,LAR,@,ARI,W 20-12,4,17,4.3,0,,RB,3-70
64,Russell Wilson,17,6,Sun,3,3,2022-09-25,33-300,DEN,,SFO,W 11-10,6,17,2.8,0,1,QB,3-75
65,Eno Benjamin,16,5,Sun,3,3,2022-09-25,23-165,ARI,,LAR,L 12-20,5,16,3.2,0,1,RB,7-222
66,Dontrell Hilliard,14,2,Sun,3,3,2022-09-25,27-211,TEN,,LVR,W 24-22,2,14,7,0,0,RB,
67,D.J. Moore,13,2,Sun,3,3,2022-09-25,25-164,CAR,,NOR,W 22-14,2,13,6.5,0,,WR,1-24
68,Craig Reynolds,13,6,Sun,3,3,2022-09-25,26-102,DET,@,MIN,L 24-28,6,13,2.2,0,,RB,
69,Curtis Samuel,13,3,Sun,3,3,2022-09-25,26-045,WAS,,PHI,L 8-24,3,13,4.3,0,1,WR,2-40
70,Devin Singletary,13,9,Sun,3,3,2022-09-25,25-022,BUF,@,MIA,L 19-21,9,13,1.4,0,1,RB,3-74
71,Jacoby Brissett,11,3,Thu,3,3,2022-09-22,29-285,CLE,,PIT,W 29-17,3,11,3.7,0,3,QB,3-91
72,Chase Claypool,11,1,Thu,3,3,2022-09-22,24-077,PIT,@,CLE,L 17-29,1,11,11,0,1,WR,2-49
73,David Montgomery,11,3,Sun,3,3,2022-09-25,25-110,CHI,,HOU,W 23-20,3,11,3.7,0,,RB,3-73
74,Raheem Mostert,11,8,Sun,3,3,2022-09-25,30-169,MIA,,BUF,W 21-19,8,11,1.4,0,2,RB,
75,Rex Burkhead,9,3,Sun,3,3,2022-09-25,32-085,HOU,@,CHI,L 20-23,3,9,3,0,,RB,6-190
76,Isiah Pacheco,9,3,Sun,3,3,2022-09-25,22-207,KAN,@,IND,L 17-20,3,9,3,0,,RB,7-251
77,Jaylen Waddle,9,1,Sun,3,3,2022-09-25,23-304,MIA,,BUF,W 21-19,1,9,9,0,0,WR,1-6
78,Avery Williams,9,1,Sun,3,3,2022-09-25,24-072,ATL,@,SEA,W 27-23,1,9,9,0,1,RB,5-183
79,Treylon Burks,8,1,Sun,3,3,2022-09-25,22-186,TEN,,LVR,W 24-22,1,8,8,0,0,WR,1-18
80,Jared Goff,8,2,Sun,3,3,2022-09-25,27-346,DET,@,MIN,L 24-28,2,8,4,0,0,QB,1-1
81,J.D. McKissic,8,3,Sun,3,3,2022-09-25,29-041,WAS,,PHI,L 8-24,3,8,2.7,0,0,RB,
82,Kyler Murray,8,2,Sun,3,3,2022-09-25,25-049,ARI,,LAR,L 12-20,2,8,4,0,0,QB,1-1
83,Justin Herbert,7,1,Sun,3,3,2022-09-25,24-199,LAC,,JAX,L 10-38,1,7,7,0,1,QB,1-6
84,Nyheim Hines,7,3,Sun,3,3,2022-09-25,25-317,IND,,KAN,W 20-17,3,7,2.3,0,1,RB,4-104
85,Travis Homer,7,1,Sun,3,3,2022-09-25,24-049,SEA,,ATL,L 23-27,1,7,7,0,,RB,6-204
86,Trevor Lawrence,7,3,Sun,3,3,2022-09-25,22-354,JAX,@,LAC,W 38-10,3,7,2.3,0,1,QB,1-1
87,Jordan Mason,7,1,Sun,3,3,2022-09-25,23-124,SFO,@,DEN,L 10-11,1,7,7,0,,RB,
88,Mitchell Trubisky,7,2,Thu,3,3,2022-09-22,28-033,PIT,@,CLE,L 17-29,2,7,3.5,1,1,QB,1-2
89,Darrel Williams,7,1,Sun,3,3,2022-09-25,27-163,ARI,,LAR,L 12-20,1,7,7,0,,RB,
90,Kenneth Gainwell,6,3,Sun,3,3,2022-09-25,23-195,PHI,@,WAS,W 24-8,3,6,2,0,,RB,5-150
91,Isaiah McKenzie,6,1,Sun,3,3,2022-09-25,27-169,BUF,@,MIA,L 19-21,1,6,6,0,1,WR,5-172
92,Deebo Samuel,6,5,Sun,3,3,2022-09-25,26-253,SFO,@,DEN,L 10-11,5,6,1.2,0,0,WR,2-36
93,Jonathan Williams,6,1,Sun,3,3,2022-09-25,28-235,WAS,,PHI,L 8-24,1,6,6,0,1,RB,5-156
94,Austin Ekeler,5,4,Sun,3,3,2022-09-25,27-131,LAC,,JAX,L 10-38,4,5,1.3,0,0,RB,
95,Jameis Winston,5,2,Sun,3,3,2022-09-25,28-262,NOR,@,CAR,L 14-22,2,5,2.5,0,0,QB,1-1
96,Richie James,4,1,Mon,3,3,2022-09-26,27-021,NYG,,DAL,L 16-23,1,4,4,0,0,WR,7-240
97,Marcus Mariota,4,7,Sun,3,3,2022-09-25,28-330,ATL,@,SEA,W 27-23,7,4,0.6,1,1,QB,1-2
98,Matt Ryan,4,3,Sun,3,3,2022-09-25,37-131,IND,,KAN,W 20-17,3,4,1.3,0,1,QB,1-3
99,Matt Breida,3,1,Mon,3,3,2022-09-26,27-210,NYG,,DAL,L 16-23,1,3,3,0,1,RB,
100,James Cook,3,1,Sun,3,3,2022-09-25,23-000,BUF,@,MIA,L 19-21,1,3,3,0,1,RB,2-63
101,M.J. Stewart,3,1,Sun,3,3,2022-09-25,27-009,HOU,@,CHI,L 20-23,1,3,3,0,1,DB,2-53
102,Michael Burton,2,1,Sun,3,3,2022-09-25,30-236,KAN,@,IND,L 17-20,1,2,2,0,1,FB,5-168
103,Matthew Stafford,2,3,Sun,3,3,2022-09-25,34-230,LAR,@,ARI,W 20-12,3,2,0.7,0,1,QB,1-1
104,Ryan Tannehill,2,4,Sun,3,3,2022-09-25,34-060,TEN,,LVR,W 24-22,4,2,0.5,1,1,QB,1-8
105,Travis Kelce,1,1,Sun,3,3,2022-09-25,32-355,KAN,@,IND,L 17-20,1,1,1,0,1,TE,3-63
106,Joe Burrow,0,5,Sun,3,3,2022-09-25,25-289,CIN,@,NYJ,W 27-12,5,0,0,0,1,QB,1-1
107,Clyde Edwards-Helaire,0,7,Sun,3,3,2022-09-25,23-167,KAN,@,IND,L 17-20,7,0,0,1,1,RB,1-32
108,Evan Engram,0,1,Sun,3,3,2022-09-25,28-023,JAX,@,LAC,W 38-10,1,0,0,0,0,TE,1-23
109,Jimmy Garoppolo,0,1,Sun,3,3,2022-09-25,30-327,SFO,@,DEN,L 10-11,1,0,0,0,0,QB,2-62
110,Alec Ingold,0,1,Sun,3,3,2022-09-25,26-078,MIA,,BUF,W 21-19,1,0,0,0,,FB,
111,Zay Jones,0,1,Sun,3,3,2022-09-25,27-179,JAX,@,LAC,W 38-10,1,0,0,0,0,WR,2-37
112,Zach Pascal,0,1,Sun,3,3,2022-09-25,27-281,PHI,@,WAS,W 24-8,1,0,0,0,0,WR,
113,Breshad Perriman,0,1,Sun,3,3,2022-09-25,29-015,TAM,,GNB,L 12-14,1,0,0,0,0,WR,1-26
114,Boston Scott,0,2,Sun,3,3,2022-09-25,27-151,PHI,@,WAS,W 24-8,2,0,0,0,,RB,6-201
115,Tua Tagovailoa,0,1,Sun,3,3,2022-09-25,24-207,MIA,,BUF,W 21-19,1,0,0,0,0,QB,1-5
116,C.J. Beathard,-1,1,Sun,3,3,2022-09-25,28-313,JAX,@,LAC,W 38-10,1,-1,-1,0,,QB,3-104
117,Tom Brady,-1,1,Sun,3,3,2022-09-25,45-053,TAM,,GNB,L 12-14,1,-1,-1,0,0,QB,6-199
118,Kirk Cousins,-1,1,Sun,3,3,2022-09-25,34-037,MIN,,DET,W 28-24,1,-1,-1,0,0,QB,4-102
119,Baker Mayfield,-1,1,Sun,3,3,2022-09-25,27-164,CAR,,NOR,W 22-14,1,-1,-1,0,0,QB,1-1
120,Aaron Rodgers,-1,1,Sun,3,3,2022-09-25,38-297,GNB,@,TAM,W 14-12,1,-1,-1,0,0,QB,1-24
121,Geno Smith,-1,2,Sun,3,3,2022-09-25,31-350,SEA,,ATL,L 23-27,2,-1,-0.5,0,1,QB,2-39
