,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Denver Broncos,9,16.6,290.4,63.1,4.6,1.11,0.44,18.1,21.9,35.6,174.4,0.67,0.67,4.6,9,24.8,116,0.56,4.7,6.22,7.33,65.3,2.89,31.1,9.4,4.61
2,Buffalo Bills,9,16.8,319.8,62,5.2,1.89,0.44,20,22.2,34.6,210.2,1,1.44,5.6,11.2,24.4,109.6,0.78,4.5,6.89,6.11,52.3,1.89,29.7,16.5,0.94
3,San Francisco 49ers,9,18.1,280.6,59.7,4.7,1.11,0.33,16.6,21.1,32.3,197.9,1,0.78,5.6,10.2,24.1,82.7,0.89,3.4,4.56,4.67,41.9,1.78,29,8.6,0.96
4,Dallas Cowboys,9,18.2,324.8,65.2,5,1.67,0.89,19.1,20.4,31.2,181.7,1.22,0.78,5.2,9.11,30.1,143.1,0.56,4.8,7.67,6.22,48,2.33,34,14,1.08
5,New England Patriots,9,18.4,325,62.9,5.2,1.89,0.67,17.7,19,33.4,204.3,1.33,1.22,5.5,10.7,25.9,120.7,0.44,4.7,5.78,4.11,36.2,1.22,31.1,14.6,4.49
6,Philadelphia Eagles,9,18.6,302.4,65.1,4.6,2.11,0.67,20.7,20.8,35.6,177.7,1.11,1.44,4.6,11.3,26.3,124.8,0.89,4.7,7.44,5.56,45,1.89,29.3,21.7,0.91
7,New York Giants,9,19.2,350.2,60.1,5.8,1.33,1.11,21,19.4,33.4,217,1.11,0.22,6.1,12.2,24.4,133.2,0.56,5.5,6.33,7.22,53.3,2.44,38.9,9.5,-3.49
8,New York Jets,9,19.6,312,65.1,4.8,1.56,0.33,19.4,21.3,34.8,201.1,1,1.22,5.3,10.2,27.4,110.9,1.11,4,7.11,6,46,2.11,32.1,13.2,1.85
9,Tampa Bay Buccaneers,10,18,310,61.9,5,1,0.4,17.4,20.9,32.9,193.4,1.6,0.6,5.4,10.7,25.8,116.6,0.5,4.5,5.5,6.4,54.5,1.2,28.8,9,1.08
10,Cincinnati Bengals,9,20.6,324,61.1,5.3,1.44,0.56,18.3,18.9,32.4,205.2,1,0.89,6,9.89,27.1,118.8,0.78,4.4,7,5.44,45.6,1.44,39.2,12.4,-1.57
11,Tennessee Titans,10,18.5,349,64.7,5.4,1.3,0.4,19.3,26,40.4,266.8,1.8,0.9,6.1,12.3,21.3,82.2,0.2,3.9,5.4,7.1,49.1,1.6,29.7,11.7,-0.75
