,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,9,30,423.1,66.4,6.4,1.33,0.56,25.1,27.2,41,313.9,2.78,0.78,7.3,17.2,23.7,109.2,0.89,4.6,5.56,5.22,48.8,2.33,46.8,9.6,15.3
2,Seattle Seahawks,10,25.7,352.1,58.8,6,1.3,0.8,20.6,23,31.7,227.8,1.7,0.5,6.7,12,24.7,124.3,1,5,6.3,7.2,60.8,2.3,43.4,10.4,5.92
3,Miami Dolphins,10,25.2,391.5,60.8,6.4,1,0.3,21.6,24,35.5,293.8,2.1,0.7,7.9,14.4,23.5,97.7,0.8,4.2,5.5,6.3,49.7,1.7,41.2,9.8,10.5
4,Buffalo Bills,9,27.8,424.1,65.3,6.5,2,0.89,23.8,24.7,38.7,294.2,2.22,1.11,7.2,14.6,24.7,129.9,0.89,5.3,7.44,5.56,39.9,1.78,45.3,18.9,10.7
5,Philadelphia Eagles,9,27.3,376.9,65.1,5.8,0.78,0.44,22.9,20.1,29.7,234.2,1.56,0.33,7.3,11.9,32.9,142.7,1.89,4.3,9.22,5.56,44.3,1.78,41.1,7.4,11.4
6,Baltimore Ravens,9,26.1,354.9,61.2,5.8,1,0.33,21,17.8,28.6,186.8,1.78,0.67,6.1,9.56,30.4,168.1,1,5.5,10,5.33,46.8,1.44,45.3,9.5,7.51
7,Atlanta Falcons,10,23.2,317.2,58.5,5.4,1.3,0.6,19.6,14.3,23.1,156.8,1.2,0.7,6.1,8.9,32.8,160.4,1.1,4.9,8.8,4.3,34.7,1.9,37.9,11.7,5.44
8,Arizona Cardinals,10,23,333.7,68.8,4.9,0.9,0.3,20.6,26.8,40.1,220.6,1.3,0.6,5.2,12.1,26,113.1,0.9,4.4,7,7.4,57.9,1.5,34.6,7.7,2.47
9,Cincinnati Bengals,9,25.3,361.8,65.7,5.5,1.11,0.44,22.4,26.3,37.4,263,2,0.67,6.4,13.6,24.7,98.8,1.11,4,6.56,4.56,30.4,2.33,40.6,9.4,9.61
10,Minnesota Vikings,9,25.1,355.8,65.6,5.4,1.11,0.22,22,25.6,39.7,248.8,1.56,0.89,5.9,13.4,23.7,107,1.33,4.5,6.22,5.22,41.9,2.33,37.1,9.5,5.56
11,New Orleans Saints,10,22.2,358.4,61.7,5.8,1.9,0.7,19.2,22.1,34.2,237.7,1.6,1.2,6.5,11.4,25.4,120.7,0.9,4.8,6.5,7.2,60,1.3,35.7,16.1,2.12
12,Detroit Lions,9,24.3,371.2,62.4,5.9,1.33,0.56,21.2,21.4,33.6,241.4,1.67,0.78,6.9,12.4,27.2,129.8,1.22,4.8,6.56,5.89,48.4,2.22,36.5,12.5,5.53
13,Chicago Bears,10,21.7,329.8,60.4,5.5,1.3,0.6,18.1,12.3,20.8,128.1,1.2,0.7,5.3,6.2,36,201.7,1.2,5.6,10.2,5.4,51.1,1.7,40.4,10.6,2.87
14,Cleveland Browns,9,24.1,375.9,66.7,5.6,1.44,0.78,22.3,20.6,32.3,217.1,0.89,0.67,6.3,11.1,32.2,158.8,1.78,4.9,9.56,6.33,51.7,1.67,41.9,12.9,7.38
15,Jacksonville Jaguars,10,21.6,362.2,64.1,5.7,1.2,0.6,22,22.7,34.9,222.6,1.3,0.6,6.1,12.2,27.5,139.6,1.1,5.1,7.4,5.9,44.4,2.4,35.8,12.3,6.11
16,Dallas Cowboys,9,23.4,333.1,61.4,5.4,1,0.22,18.8,19,31.4,198.6,1.22,0.78,6,10.4,28.4,134.6,1.22,4.7,7,7.11,55.7,1.33,36.6,8.9,2.98
17,Carolina Panthers,10,20.4,294.2,55.8,5.3,1.2,0.4,14.7,16.4,28.4,176.2,0.9,0.8,5.8,7.4,25.2,118,1,4.7,6.1,6,54.1,1.2,33.6,9.1,-3.05
18,New England Patriots,9,22.6,319.9,60.8,5.3,1.89,0.78,17.6,20.1,29.6,202.7,1,1.11,6.3,9.67,28.8,117.2,1,4.1,6.56,5.78,46.4,1.33,35.9,16.5,-1.01
19,Las Vegas Raiders,9,22.6,335.1,60.4,5.5,0.78,0.22,19.7,22.6,36.1,228.6,1.44,0.56,5.9,11.7,22,106.6,0.78,4.8,6.67,6.67,52.1,1.33,44.2,8.1,5.48
20,Green Bay Packers,11,18.4,344.9,62.5,5.5,1.36,0.73,19.4,22.6,35,222.3,1.73,0.64,6,10.7,25.6,122.6,0.36,4.8,6.82,6.09,46.1,1.82,29.1,11.1,2.2
21,Los Angeles Chargers,9,22.2,350.2,67.6,5.2,1.11,0.44,19.9,28.2,43.1,265.3,1.56,0.67,6,13.1,23,84.9,0.78,3.7,4.67,5.22,43,2.11,38,9,2.8
22,San Francisco 49ers,9,22,360,61.1,5.9,1.44,0.78,20,19.9,31,236.3,1.33,0.67,7.2,10.9,28.1,123.7,1,4.4,7.56,6.22,45.6,1.56,35.8,13.7,5.38
23,New York Jets,9,21.8,335,63.3,5.3,1.44,0.56,18.3,21,36,219,1.11,0.89,5.7,11.2,25,116,1.11,4.6,5.33,6.11,66.3,1.78,34.3,12.4,-0.48
24,Tennessee Titans,10,19.3,294.3,56.9,5.2,1.1,0.6,16,15,24.1,165.4,1.1,0.5,6.2,8.5,30.4,128.9,1.1,4.2,6,6.4,51.2,1.5,29.7,7.2,0.89
25,Washington Commanders,10,19.1,324.1,67.3,4.8,1.3,0.3,20,21.9,35.3,211.7,1.5,1,5.5,11,28.8,112.4,0.6,3.9,6.8,5.7,56.1,2.2,28.8,11,-1.72
26,New York Giants,9,20.8,325.8,64.2,5.1,0.89,0.56,20.2,17.4,26.7,161,0.89,0.33,5.4,8.78,34.4,164.8,1.22,4.8,9.22,6.56,50.1,2.22,39.4,5.3,4.87
27,Tampa Bay Buccaneers,10,18.3,340.5,66.9,5.1,0.9,0.6,20.4,28.2,42.8,269.8,1.2,0.3,6.1,14,22.7,70.7,0.4,3.1,4.5,5.5,45.3,1.9,34.5,6.4,1.75
28,Indianapolis Colts,10,15.7,325.1,65.4,5,1.8,0.8,19,25.6,37.7,226.4,1,1,5.5,12.4,24.1,98.7,0.5,4.1,5.2,5.1,41.2,1.4,28.9,15.8,-4.56
