,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Derrick Henry,TEN,28,RB,10,10,2.3,1.8,19.9,11.1,0,0.6,42,1.8,19.9,78.3%,8.7,23,101,1,4.6,56,4.4,101,23,24.8,4.9,120.9,10,0.1
2,Tyreek Hill,MIA,28,WR,10,10,10.6,8.1,114.8,14.2,0.4,5.2,64,8.1,114.8,76.4%,10.8,0.5,2.5,0,0.2,10,5,2.5,0.5,8.6,13.6,117.3,4,0.1
3,Saquon Barkley,NYG,25,RB,9,9,4,3.22,21.9,6.8,0,0.44,41,3.2,21.9,80.6%,5.5,22,103.4,0.67,4.33,68,4.7,103.4,22,25.2,5,125.3,6,0.11
4,Justin Jefferson,MIN,23,WR,9,9,11.1,7.67,117.8,15.4,0.44,4.78,64,7.7,117.8,69.0%,10.6,0.22,1.44,0.11,0.22,10,6.5,1.4,0.2,7.89,15.1,119.2,5,0
5,Aaron Jones,GNB,28,RB,11,11,4.45,3.64,22.5,6.2,0.27,1.18,22,3.6,22.5,81.6%,5.1,13,70.7,0.18,3.64,36,5.4,70.7,13,16.6,5.6,93.3,5,0.27
6,Josh Jacobs,LVR,24,RB,9,9,4.11,3.44,22.2,6.5,0,1.11,16,3.4,22.2,83.8%,5.4,17.7,91.2,0.78,5.56,43,5.2,91.2,17.7,21.1,5.4,113.4,7,0.11
7,Nick Chubb,CLE,27,RB,9,9,2.11,1.44,9.78,6.8,0,0.44,15,1.4,9.8,68.4%,4.6,17.8,100.4,1.22,4.56,41,5.7,100.4,17.8,19.2,5.7,110.2,11,0.11
8,Stefon Diggs,BUF,29,WR,9,9,11,8,109.4,13.7,0.78,5,53,8,109.4,72.7%,9.9,,,,0,,,,,8,13.7,109.4,7,0.11
9,Christian McCaffrey,2TM,26,RB,9,8,6.67,5.22,43.9,8.4,0.22,2,49,5.2,43.9,78.3%,6.6,13.9,62.6,0.44,3.33,49,4.5,62.6,13.9,19.1,5.6,106.4,6,0.11
10,Travis Etienne,JAX,23,RB,10,5,3.1,2.2,20.2,9.2,0,1,24,2.2,20.2,71.0%,6.5,13.1,72.5,0.4,3.6,49,5.5,72.5,13.1,15.3,6.1,92.7,4,0.3
11,Dameon Pierce,HOU,22,RB,9,9,3,2.44,14,5.7,0.11,0.67,16,2.4,14,81.5%,4.7,18.3,85.8,0.33,5.11,75,4.7,85.8,18.3,20.8,4.8,99.8,4,0.33
12,Jaylen Waddle,MIA,24,WR,10,10,7.5,5.1,87.8,17.2,0.6,4.2,59,5.1,87.8,68.0%,11.7,0.2,1.7,0,0,9,8.5,1.7,0.2,5.3,16.9,89.5,6,0.1
13,Dalvin Cook,MIN,27,RB,9,9,3.67,2.44,16.2,6.6,0.11,1,23,2.4,16.2,66.7%,4.4,16.1,80.8,0.67,3.67,81,5,80.8,16.1,18.6,5.2,97,7,0.11
14,Austin Ekeler,LAC,27,RB,9,9,9,7.44,46.7,6.3,0.44,2.67,23,7.4,46.7,82.7%,5.2,11.6,50.1,0.67,2.22,71,4.3,50.1,11.6,19,5.1,96.8,10,0.33
15,Cooper Kupp,LAR,29,WR,9,9,10.9,8.33,90.2,10.8,0.67,4.67,75,8.3,90.2,76.5%,8.3,1,5.78,0.11,0.44,20,5.8,5.8,1,9.33,10.3,96,7,0.22
16,Joe Mixon,CIN,26,RB,9,9,5.56,4.22,30.2,7.2,0.22,1.22,35,4.2,30.2,76.0%,5.4,16.8,65,0.67,3.89,31,3.9,65,16.8,21,4.5,95.2,8,0
17,Rhamondre Stevenson,NWE,24,RB,9,3,4.78,3.89,25.2,6.5,0.11,1,22,3.9,25.2,81.4%,5.3,14.3,68.7,0.44,3.56,49,4.8,68.7,14.3,18.2,5.2,93.9,5,0
18,Alvin Kamara,NOR,27,RB,8,7,6.63,4.88,42.3,8.7,0.25,1.38,54,4.9,42.3,73.6%,6.4,14,58.6,0.13,2.75,27,4.2,58.6,14,18.9,5.3,100.9,3,0.25
19,Davante Adams,LVR,30,WR,9,9,11,6.33,87.1,13.8,0.89,3.78,58,6.3,87.1,57.6%,7.9,0.33,-0.11,0,0,4,-0.3,-0.1,0.3,6.67,13.1,87,8,0.11
20,Leonard Fournette,TAM,27,RB,10,9,5,4.3,31.5,7.3,0.3,1.5,25,4.3,31.5,86.0%,6.3,13.5,46.2,0.3,2.7,17,3.4,46.2,13.5,17.8,4.4,77.7,6,0
21,Jeff Wilson,2TM,27,RB,10,6,2.1,1.5,13.6,9.1,0.1,0.5,16,1.5,13.6,71.4%,6.5,11.8,63.8,0.3,2.9,41,5.4,63.8,11.8,13.3,5.8,77.4,4,0.2
22,Tony Pollard,DAL,25,RB,9,3,2.78,1.67,14.9,8.9,0,0.67,46,1.7,14.9,60.0%,5.4,11.4,69,0.67,2.78,57,6,69,11.4,13.1,6.4,83.9,6,0
23,Miles Sanders,PHI,25,RB,9,8,1.56,1.22,4.67,3.8,0,0.11,16,1.2,4.7,78.6%,3,15.9,78.9,0.67,4,35,5,78.9,15.9,17.1,4.9,83.6,6,0
24,Justin Fields,CHI,23,QB,10,10,0,0,0,,0,0,0,0,0,0.0%,,10.4,74.9,0.6,4.8,67,7.2,74.9,10.4,10.4,7.2,74.9,6,1.2
25,Terry McLaurin,WAS,27,WR,10,10,7.3,4.6,73.7,16,0.2,3.1,49,4.6,73.7,63.0%,10.1,0.4,1.1,0,0.1,7,2.8,1.1,0.4,5,15,74.8,2,0.1
26,Travis Kelce,KAN,33,TE,9,9,9.33,7,82.2,11.7,0.89,5.33,46,7,82.2,75.0%,8.8,0.22,0.56,0,0.11,4,2.5,0.6,0.2,7.22,11.5,82.8,8,0
27,A.J. Brown,PHI,25,WR,9,8,8.11,4.89,80.6,16.5,0.67,3.44,54,4.9,80.6,60.3%,9.9,,,,0,,,,,4.89,16.5,80.6,6,0
28,CeeDee Lamb,DAL,23,WR,9,9,9.78,5.89,78.4,13.3,0.56,4.11,35,5.9,78.4,60.2%,8,0.56,1.33,0,0.11,8,2.4,1.3,0.6,6.44,12.4,79.8,5,0
29,Khalil Herbert,CHI,24,RB,10,1,0.7,0.6,6.2,10.3,0.1,0.2,25,0.6,6.2,85.7%,8.9,10.8,64.3,0.4,2.2,63,6,64.3,10.8,11.4,6.2,70.5,5,0
30,Jonathan Taylor,IND,23,RB,7,7,3.86,2.57,12.4,4.8,0,0.43,12,2.6,12.4,66.7%,3.2,18.4,87,0.29,4.14,66,4.7,87,18.4,21,4.7,99.4,2,0.29
31,Christian Kirk,JAX,26,WR,10,10,8.2,5.2,67.9,13.1,0.7,3.6,49,5.2,67.9,63.4%,8.3,0.3,1.2,0,0,5,4,1.2,0.3,5.5,12.6,69.1,7,0.1
32,Kenneth Walker III,SEA,22,RB,9,5,2.67,2,11.4,5.7,0,0.33,23,2,11.4,75.0%,4.3,13.4,65.2,0.78,3.22,74,4.9,65.2,13.4,15.4,5,76.7,7,0
33,Breece Hall,NYJ,21,RB,7,2,4.43,2.71,31.1,11.5,0.14,1.14,79,2.7,31.1,61.3%,7,11.4,66.1,0.57,2.86,62,5.8,66.1,11.4,14.1,6.9,97.3,5,0.14
34,Mike Evans,TAM,29,WR,9,9,8.44,5.44,74.6,13.7,0.33,3.78,51,5.4,74.6,64.5%,8.8,,,,0,,,,,5.44,13.7,74.6,3,0
35,Raheem Mostert,MIA,30,RB,10,8,2.6,1.7,11.9,7,0.1,0.5,18,1.7,11.9,65.4%,4.6,11.8,54.3,0.3,2.8,25,4.6,54.3,11.8,13.5,4.9,66.2,4,0
36,Jamaal Williams,DET,27,RB,9,5,1.33,1,6.33,6.3,0,0.33,17,1,6.3,75.0%,4.8,15.8,67.1,1,4.22,51,4.3,67.1,15.8,16.8,4.4,73.4,9,0.22
37,Chris Olave,NOR,22,WR,9,6,8.56,5.11,73.1,14.3,0.22,3.33,51,5.1,73.1,59.7%,8.5,,,,0,,,,,5.11,14.3,73.1,2,0.11
38,Tyler Lockett,SEA,30,WR,10,10,7.1,5.4,64,11.9,0.5,3.2,40,5.4,64,76.1%,9,,,,0,,,,,5.4,11.9,64,5,0.2
39,Lamar Jackson,BAL,25,QB,9,9,0,0,0,,0,0,0,0,0,0.0%,,9.56,70.6,0.22,4.22,79,7.4,70.6,9.6,9.56,7.4,70.6,2,0.44
40,Antonio Gibson,WAS,24,RB,10,6,4.1,3.4,25.3,7.4,0.2,1.3,26,3.4,25.3,82.9%,6.2,10.3,37.2,0.3,2.4,20,3.6,37.2,10.3,13.7,4.6,62.5,5,0
41,Curtis Samuel,WAS,26,WR,10,8,7,4.7,48.3,10.3,0.3,2.7,49,4.7,48.3,67.1%,6.9,2.2,13.4,0,0.8,21,6.1,13.4,2.2,6.9,8.9,61.7,3,0.1
42,JuJu Smith-Schuster,KAN,26,WR,9,9,7.11,5.11,68.3,13.4,0.22,3.22,53,5.1,68.3,71.9%,9.6,,,,0,,,,,5.11,13.4,68.3,2,0.22
43,Ja'Marr Chase,CIN,22,WR,7,7,10.6,6.71,86.4,12.9,0.86,4.86,60,6.7,86.4,63.5%,8.2,0.57,0.29,0,0,4,0.5,0.3,0.6,7.29,11.9,86.7,6,0.14
44,Michael Pittman Jr.,IND,25,WR,9,9,9.44,6.78,67,9.9,0.11,3.56,28,6.8,67,71.8%,7.1,,,,0,,,,,6.78,9.9,67,1,0.22
45,Devin Singletary,BUF,25,RB,9,9,4.11,3.11,23,7.4,0.11,1.44,22,3.1,23,75.7%,5.6,10.2,43.8,0.22,1.89,30,4.3,43.8,10.2,13.3,5,66.8,3,0.22
46,Amon-Ra St. Brown,DET,23,WR,8,8,8.75,6.13,64.8,10.6,0.38,3.5,49,6.1,64.8,70.0%,7.4,0.38,8.75,0,0.13,58,23.3,8.8,0.4,6.5,11.3,73.5,3,0
47,Amari Cooper,CLE,28,WR,9,9,7.67,4.67,65,13.9,0.56,3.56,55,4.7,65,60.9%,8.5,,,,0,,,,,4.67,13.9,65,5,0
48,David Montgomery,CHI,25,RB,9,9,1.89,1.67,16.7,10,0,0.56,30,1.7,16.7,88.2%,8.8,12.8,48.2,0.22,2.44,28,3.8,48.2,12.8,14.4,4.5,64.9,2,0.11
49,D.K. Metcalf,SEA,25,WR,10,10,7.7,4.8,58.1,12.1,0.4,2.8,54,4.8,58.1,62.3%,7.5,,,,0,,,,,4.8,12.1,58.1,4,0.2
50,AJ Dillon,GNB,24,RB,11,2,2.36,1.55,9.91,6.4,0,0.27,12,1.5,9.9,65.4%,4.2,10.6,42.5,0.09,2.45,27,4,42.5,10.6,12.2,4.3,52.4,1,0.09
51,Deebo Samuel,SFO,26,WR,8,7,7.5,4.25,51.4,12.1,0.25,1.75,57,4.3,51.4,56.7%,6.9,3.5,20.6,0.13,0.63,51,5.9,20.6,3.5,7.75,9.3,72,3,0.25
52,Brandon Aiyuk,SFO,24,WR,9,9,6.89,4.89,63,12.9,0.44,2.89,34,4.9,63,71.0%,9.1,0.11,0.78,0,0,7,7,0.8,0.1,5,12.8,63.8,4,0.11
53,Najee Harris,PIT,24,RB,9,9,3.22,2.67,12.4,4.7,0.22,0.89,14,2.7,12.4,82.8%,3.9,14.2,51.1,0.11,2,36,3.6,51.1,14.2,16.9,3.8,63.6,3,0.22
54,Tee Higgins,CIN,23,WR,9,8,6.44,4.56,62.7,13.8,0.33,2.78,59,4.6,62.7,70.7%,9.7,,,,0,,,,,4.56,13.8,62.7,3,0
55,Gabriel Davis,BUF,23,WR,8,8,6,3,68,22.7,0.63,2.38,98,3,68,50.0%,11.3,,,,0,,,,,3,22.7,68,5,0
56,Dallas Goedert,PHI,27,TE,9,9,5.89,4.78,60.4,12.7,0.33,3.44,31,4.8,60.4,81.1%,10.3,,,,0,,,,,4.78,12.7,60.4,3,0.11
57,Courtland Sutton,DEN,27,WR,9,9,8.11,4.56,59.2,13,0.11,2.67,51,4.6,59.2,56.2%,7.3,0.11,0.56,0,0,5,5,0.6,0.1,4.67,12.8,59.8,1,0
58,Tyler Boyd,CIN,28,WR,9,7,5.44,4.11,59.7,14.5,0.44,2.78,60,4.1,59.7,75.5%,11,,,,0,,,,,4.11,14.5,59.7,4,0
59,Allen Lazard,GNB,27,WR,9,9,7.33,4.22,58.8,13.9,0.56,3.22,47,4.2,58.8,57.6%,8,,,,0,,,,,4.22,13.9,58.8,5,0
60,Michael Carter,NYJ,23,RB,9,7,3.56,2.78,21.8,7.8,0,1,37,2.8,21.8,78.1%,6.1,9.44,36.7,0.33,1.44,25,3.9,36.7,9.4,12.2,4.8,58.4,3,0.11
61,Garrett Wilson,NYJ,22,WR,9,5,7.56,4.67,57.9,12.4,0.22,2.78,54,4.7,57.9,61.8%,7.7,0.22,0.56,0,0,7,2.5,0.6,0.2,4.89,12,58.4,2,0.11
62,Tyler Allgeier,ATL,22,RB,9,4,1,1,8.67,8.7,0.11,0.56,25,1,8.7,100.0%,8.7,11.3,49.2,0.11,2.22,44,4.3,49.2,11.3,12.3,4.7,57.9,2,0
63,Donovan Peoples-Jones,CLE,23,WR,9,7,6.11,3.89,57.3,14.7,0,2.22,42,3.9,57.3,63.6%,9.4,0.11,0.22,0,0,2,2,0.2,0.1,4,14.4,57.6,0,0.11
64,D.J. Moore,CAR,25,WR,10,10,7.7,3.9,47.8,12.3,0.3,2.4,62,3.9,47.8,50.6%,6.2,0.7,3.9,0,0.1,11,5.6,3.9,0.7,4.6,11.2,51.7,3,0
