player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,MIA,21.491386573642586,40,243.47058823529414,1.7352941176470589,41.40798338348468,0.3176470588235294,3,0.8823529411764706,0.5372846643410647
Justin Herbert,QB,Los Angeles Chargers,TEN,19.62350503560203,36,270.0882352941177,1.823529411764706,15.846815061902625,0.1568627450980392,1,0.8823529411764706,0.5450973621000563
Tom Brady,QB,Tampa Bay Buccaneers,CIN,19.413503377427528,24,280.52941176470586,2.0294117647058822,4.864445538981142,0.10784313725490195,3,0.7058823529411765,0.8088959740594803
Patrick Mahomes,QB,Kansas City Chiefs,HOU,20.241563863397023,35,263.4117647058823,1.8823529411764706,25.06563863397021,0.15073529411764708,4,0.7647058823529411,0.5783303960970578
Aaron Rodgers,QB,Green Bay Packers,LAR,18.301210511431293,24,249.4466911764706,1.65625,6.069967105263158,0.22355769230769232,0,0.25,0.7625504379763038
Matthew Stafford,QB,Los Angeles Rams,GB,17.63057215756178,20,253.23529411764707,2.1176470588235294,2.6586627520883575,0,2,1,0.881528607878089
Dak Prescott,QB,Dallas Cowboys,JAX,17.570325451794687,31,253.00183823529412,1.8621323529411766,9.142225106182162,0.07708333333333334,6,0.625,0.566784691993377
Joe Burrow,QB,Cincinnati Bengals,TB,18.060935305092187,35,263.56433823529414,1.8272058823529411,7.017257462686567,0.10546875,2,0.875,0.5160267230026339
Jalen Hurts,QB,Philadelphia Eagles,CHI,20.718175278951357,40,200.59411764705882,1.4450980392156862,46.60685082872928,0.5199999999999999,2,0.6,0.517954381973784
Kyler Murray,QB,Arizona Cardinals,DEN,19.387205792596003,29,242.66176470588235,1.504201680672269,28.87530966143683,0.24844720496894412,0,0.7142857142857143,0.6685243376757243
Kirk Cousins,QB,Minnesota Vikings,IND,18.240407269125267,27,248.96507352941177,1.9724264705882353,7.04598445595855,0.0625,2,0.4375,0.6755706395972321
Ryan Tannehill,QB,Tennessee Titans,LAC,17.161499057410712,23,220.44117647058823,1.4117647058823528,15.740310267201723,0.40281329923273657,4,0.8235294117647058,0.7461521329309005
Carson Wentz,QB,Washington Football Team,NYG,15.746472893490614,20,217.70588235294116,1.588235294117647,13.052059251648256,0.06334841628959276,5,0.4117647058823529,0.7873236446745306
Derek Carr,QB,Las Vegas Raiders,NE,13.889588562697808,27,234.85294117647058,1.2941176470588236,7.307650332860415,0,5,0.8235294117647058,0.5144292060258447
Russell Wilson,QB,Denver Broncos,ARI,17.24480049797697,22,218.3844537815126,1.7752100840336134,12.835820105820105,0.11607142857142858,1,0.42857142857142855,0.7838545680898623
Lamar Jackson,QB,Baltimore Ravens,CLE,19.795232554767235,29,221.23039215686273,1.5196078431372548,55.898077181659275,0.1435185185185185,3,1.0833333333333333,0.6825942260264564
Jimmy Garoppolo,QB,San Francisco 49ers,SEA,16.037605828531362,20,259.7352941176471,1.3725490196078431,3.216343490304709,0.17272727272727273,3,0.8,0.8018802914265681
Mac Jones,QB,New England Patriots,LV,14.533899417507588,22,223.23529411764707,1.5,7.221347116252359,0,3,0.7647058823529411,0.6606317917048904
Matt Ryan,QB,Indianapolis Colts,MIN,15.064243968167084,24,243.1764705882353,1.4411764705882353,4.521584066697545,0.049465240641711226,4,0.7058823529411765,0.6276768320069618
Taylor Heinicke,QB,Washington Football Team,NYG,15.829059743331513,21,221.4514472455649,1.4290382819794583,20.509415216838796,0.06837606837606837,2,0.9523809523809523,0.753764749682453
Teddy Bridgewater,QB,Miami Dolphins,BUF,12.896569735036874,20,190.5,0.9957983193277311,8.290907434402332,0.1845238095238095,1,0.5,0.6448284867518437
Trevor Lawrence,QB,Jacksonville Jaguars,DAL,14.455944360650244,28,226.1764705882353,1.0588235294117647,20.559443606502434,0.11764705882352941,5,1,0.5162837271660802
Jared Goff,QB,Detroit Lions,NYJ,15.100641324398262,25,245.56932773109244,1.5021008403361344,6.980362823814573,0,6,0.5714285714285714,0.6040256529759305
Tua Tagovailoa,QB,Miami Dolphins,BUF,13.324809923969589,33,185.53921568627453,0.9803921568627452,10.993197278911564,0.303921568627451,1,0.7843137254901961,0.40378211890816934
Baker Mayfield,QB,Los Angeles Rams,GB,14.898573126220185,21,217.02941176470588,1.51890756302521,10.060521178168237,0.08214285714285713,3,0.9285714285714286,0.7094558631533422
Daniel Jones,QB,New York Giants,WAS,18.427460716729602,27,237.8048128342246,1.4545454545454546,27.789045669969838,0.25,3,0.6363636363636364,0.6824985450640594
Sam Darnold,QB,Carolina Panthers,PIT,15.941957251124167,24,215.0613266583229,1.0888610763454318,22.18102432601012,0.425531914893617,4,1.1063829787234043,0.6642482187968403
