,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Saquon Barkley,NYG,25,RB,7,7,4.29,3.57,25.7,7.2,0,0.43,41,3.6,25.7,83.3%,6,20.4,103.7,0.57,4,68,5.1,103.7,20.4,24,5.4,129.4,4,0.14
2,Nick Chubb,CLE,27,RB,7,7,2,1.29,9.57,7.4,0,0.57,15,1.3,9.6,64.3%,4.8,18,105.7,1.14,4.86,41,5.9,105.7,18,19.3,6,115.3,8,0
3,Tyreek Hill,MIA,28,WR,7,7,11.1,8.14,110.4,13.6,0.29,4.86,64,8.1,110.4,73.1%,9.9,0.57,2.57,0,0.14,10,4.5,2.6,0.6,8.71,13,113,2,0.14
4,Josh Jacobs,LVR,24,RB,6,6,3.67,3.33,23.5,7.1,0,1.33,16,3.3,23.5,90.9%,6.4,18.5,105.5,1,6,43,5.7,105.5,18.5,21.8,5.9,129,6,0.17
5,Austin Ekeler,LAC,27,RB,7,7,8.71,7.57,51,6.7,0.43,2.86,23,7.6,51,86.9%,5.9,12,54.3,0.71,2.57,71,4.5,54.3,12,19.6,5.4,105.3,8,0.29
6,Christian McCaffrey,2TM,26,,7,6,6.43,5,43,8.6,0.14,1.57,49,5,43,77.8%,6.7,13.3,61.6,0.29,3.14,49,4.6,61.6,13.3,18.3,5.7,104.6,3,0
7,Breece Hall,NYJ,21,RB,7,2,4.43,2.71,31.1,11.5,0.14,1.14,79,2.7,31.1,61.3%,7,11.4,66.1,0.57,2.86,62,5.8,66.1,11.4,14.1,6.9,97.3,5,0.14
8,Derrick Henry,TEN,28,RB,6,6,2.83,2.17,21.8,10.1,0,0.67,24,2.2,21.8,76.5%,7.7,22.3,89.3,0.83,4.17,24,4,89.3,22.3,24.5,4.5,111.2,5,0.17
9,Leonard Fournette,TAM,27,RB,8,8,5.25,4.63,34.1,7.4,0.38,1.75,25,4.6,34.1,88.1%,6.5,14,48.3,0.25,2.88,17,3.4,48.3,14,18.6,4.4,82.4,5,0
10,Justin Jefferson,MIN,23,WR,6,6,10.5,7.67,109,14.2,0.33,4.67,64,7.7,109,73.0%,10.4,0.17,0.5,0.17,0.17,3,3,0.5,0.2,7.83,14,109.5,3,0
11,Stefon Diggs,BUF,29,WR,6,6,10.8,8.17,109.3,13.4,1,5.17,53,8.2,109.3,75.4%,10.1,,,,0,,,,,8.17,13.4,109.3,6,0
12,Cooper Kupp,LAR,29,WR,6,6,12,9.33,101.2,10.8,0.67,5.67,75,9.3,101.2,77.8%,8.4,0.67,6.83,0.17,0.5,20,10.3,6.8,0.7,10,10.8,108,5,0.17
13,Jaylen Waddle,MIA,24,WR,7,7,7.71,4.86,88.7,18.3,0.43,3.86,59,4.9,88.7,63.0%,11.5,0.29,2.43,0,0,9,8.5,2.4,0.3,5.14,17.7,91.1,3,0.14
14,Rhamondre Stevenson,NWE,24,RB,7,2,4.14,3.57,20.7,5.8,0,0.86,20,3.6,20.7,86.2%,5,14,69.6,0.57,3.57,49,5,69.6,14,17.6,5.1,90.3,4,0
15,Aaron Jones,GNB,28,RB,7,7,4.71,3.71,25.1,6.8,0.43,1.43,22,3.7,25.1,78.8%,5.3,11.1,61.7,0.14,3.57,36,5.5,61.7,11.1,14.9,5.8,86.9,4,0.14
16,Ja'Marr Chase,CIN,22,WR,7,7,10.6,6.71,86.4,12.9,0.86,4.86,60,6.7,86.4,63.5%,8.2,0.57,0.29,0,0,4,0.5,0.3,0.6,7.29,11.9,86.7,6,0.14
17,Joe Mixon,CIN,26,RB,7,7,5.14,3.86,26,6.7,0.14,1,22,3.9,26,75.0%,5.1,17.3,57.9,0.29,3.14,31,3.3,57.9,17.3,21.1,4,83.9,3,0
18,Dameon Pierce,HOU,22,RB,6,6,3.17,2.83,13.7,4.8,0,0.5,12,2.8,13.7,89.5%,4.3,17.7,84,0.5,4.67,75,4.8,84,17.7,20.5,4.8,97.7,3,0.33
19,Mike Evans,TAM,29,WR,7,7,8.43,5.57,82.4,14.8,0.43,4,51,5.6,82.4,66.1%,9.8,,,,0,,,,,5.57,14.8,82.4,3,0
20,Travis Etienne,JAX,23,RB,7,2,3.29,2,21.6,10.8,0,1.29,23,2,21.6,60.9%,6.6,9.71,59.3,0.14,2.14,49,6.1,59.3,9.7,11.7,6.9,80.9,1,0.43
21,Travis Kelce,KAN,33,TE,7,7,8.57,6.71,79,11.8,1,5.14,35,6.7,79,78.3%,9.2,0.29,0.71,0,0.14,4,2.5,0.7,0.3,7,11.4,79.7,7,0
22,Lamar Jackson,BAL,25,QB,8,8,0,0,0,,0,0,0,0,0,0.0%,,9.38,69.1,0.25,3.88,79,7.4,69.1,9.4,9.38,7.4,69.1,2,0.38
23,Alvin Kamara,NOR,27,RB,5,5,7,4.8,38.2,8,0,1.4,54,4.8,38.2,68.6%,5.5,15.4,70.2,0,3.2,27,4.6,70.2,15.4,20.2,5.4,108.4,0,0.4
24,Dalvin Cook,MIN,27,RB,6,6,2.67,2,13.3,6.7,0,0.83,23,2,13.3,75.0%,5,15.7,75,0.67,3.67,53,4.8,75,15.7,17.7,5,88.3,4,0.17
25,Miles Sanders,PHI,25,RB,6,6,2.17,1.83,7,3.8,0,0.17,16,1.8,7,84.6%,3.2,17.5,80.8,0.67,4.17,35,4.6,80.8,17.5,19.3,4.5,87.8,4,0
26,Khalil Herbert,CHI,24,RB,7,1,1,0.86,8.86,10.3,0.14,0.29,25,0.9,8.9,85.7%,8.9,10.7,66.3,0.43,2.43,63,6.2,66.3,10.7,11.6,6.5,75.1,4,0
27,Deebo Samuel,SFO,26,WR,7,6,7.71,4.57,55.3,12.1,0.29,2,57,4.6,55.3,59.3%,7.2,3.43,19.7,0.14,0.57,51,5.8,19.7,3.4,8,9.4,75,3,0.29
28,Jeff Wilson,SFO,27,RB,7,5,1.57,1.14,10,8.8,0,0.29,16,1.1,10,72.7%,6.4,12.6,64.9,0.29,3,41,5.2,64.9,12.6,13.7,5.5,74.9,2,0.29
29,Davante Adams,LVR,30,WR,6,6,10.5,6.17,84.8,13.8,0.83,4,58,6.2,84.8,58.7%,8.1,0.33,0,0,0,4,0,0,0.3,6.5,13.1,84.8,5,0.17
30,A.J. Brown,PHI,25,WR,6,5,8.83,5.5,83.8,15.2,0.33,3.83,54,5.5,83.8,62.3%,9.5,,,,0,,,,,5.5,15.2,83.8,2,0
31,Mark Andrews,BAL,27,TE,8,8,8,5.25,61,11.6,0.63,3.63,25,5.3,61,65.6%,7.6,0.25,0.88,0,0.25,4,3.5,0.9,0.3,5.5,11.3,61.9,5,0
32,Chris Olave,NOR,22,WR,6,4,9.33,5.33,82.5,15.5,0.33,3.17,51,5.3,82.5,57.1%,8.8,,,,0,,,,,5.33,15.5,82.5,2,0.17
33,Mike Williams,LAC,28,WR,7,7,8.43,5.29,70.7,13.4,0.43,3,50,5.3,70.7,62.7%,8.4,,,,0,,,,,5.29,13.4,70.7,3,0
34,JuJu Smith-Schuster,KAN,26,WR,7,7,6.86,4.86,70.6,14.5,0.29,3.14,53,4.9,70.6,70.8%,10.3,,,,0,,,,,4.86,14.5,70.6,2,0.29
35,CeeDee Lamb,DAL,23,WR,7,7,9.43,5.29,68.4,12.9,0.29,3.57,30,5.3,68.4,56.1%,7.3,0.57,1.57,0,0.14,8,2.8,1.6,0.6,5.86,12,70,2,0
36,Marquise Brown,ARI,25,WR,6,6,10.7,7.17,80.8,11.3,0.5,4,26,7.2,80.8,67.2%,7.6,,,,0,,,,,7.17,11.3,80.8,3,0.17
37,Raheem Mostert,MIA,30,RB,7,5,2.71,1.71,13.4,7.8,0.14,0.71,18,1.7,13.4,63.2%,4.9,12.4,55.4,0.14,2.57,25,4.5,55.4,12.4,14.1,4.9,68.9,2,0
38,Tony Pollard,DAL,25,RB,7,1,2.57,1.57,15,9.5,0,0.57,46,1.6,15,61.1%,5.8,9.57,53.6,0.29,2.14,57,5.6,53.6,9.6,11.1,6.2,68.6,2,0
39,Ezekiel Elliott,DAL,27,RB,7,7,1.14,0.86,4.57,5.3,0,0.29,31,0.9,4.6,75.0%,4,15.6,63.3,0.57,3.71,27,4.1,63.3,15.6,16.4,4.1,67.9,4,0
40,Michael Pittman Jr.,IND,25,WR,6,6,10.2,7.33,79.2,10.8,0.17,4.33,28,7.3,79.2,72.1%,7.8,,,,0,,,,,7.33,10.8,79.2,1,0.17
41,Christian Kirk,JAX,26,WR,7,7,7.71,4.57,65.4,14.3,0.57,3,49,4.6,65.4,59.3%,8.5,0.43,1.71,0,0,5,4,1.7,0.4,5,13.4,67.1,4,0.14
42,Tyler Lockett,SEA,30,WR,7,7,7.57,5.86,66.9,11.4,0.29,3.14,40,5.9,66.9,77.4%,8.8,,,,0,,,,,5.86,11.4,66.9,2,0.14
43,Courtland Sutton,DEN,27,WR,7,7,8.29,4.86,64.9,13.4,0.14,2.86,51,4.9,64.9,58.6%,7.8,0.14,0.71,0,0,5,5,0.7,0.1,5,13.1,65.6,1,0
44,Terry McLaurin,WAS,27,WR,7,7,6.43,3.86,62.9,16.3,0.29,2.86,49,3.9,62.9,60.0%,9.8,0.43,2.57,0,0.14,7,6,2.6,0.4,4.29,15.3,65.4,2,0.14
45,Jonathan Taylor,IND,23,RB,5,5,4.8,3.2,14.2,4.4,0,0.2,9,3.2,14.2,66.7%,3,18.2,77.2,0.2,4.4,21,4.2,77.2,18.2,21.4,4.3,91.4,1,0.2
46,Tyler Boyd,CIN,28,WR,7,5,5.43,4.14,65,15.7,0.43,2.86,60,4.1,65,76.3%,12,,,,0,,,,,4.14,15.7,65,3,0
47,Tee Higgins,CIN,23,WR,7,6,6.29,4.43,65,14.7,0.29,3.14,59,4.4,65,70.5%,10.3,,,,0,,,,,4.43,14.7,65,2,0
48,Jamaal Williams,DET,27,RB,6,3,1.5,1,5.67,5.7,0,0.17,17,1,5.7,66.7%,3.8,15.3,68.5,1,4,51,4.5,68.5,15.3,16.3,4.5,74.2,6,0.33
49,Antonio Gibson,WAS,24,RB,7,5,4,3.14,24.3,7.7,0.14,1,26,3.1,24.3,78.6%,6.1,10.1,39,0.29,2.43,20,3.8,39,10.1,13.3,4.8,63.3,3,0
50,Kenneth Walker III,SEA,22,RB,6,2,1.67,1.33,4.5,3.4,0,0,7,1.3,4.5,80.0%,2.7,11.2,68.3,0.67,2.83,74,6.1,68.3,11.2,12.5,5.8,72.8,4,0
51,Clyde Edwards-Helaire,KAN,23,RB,7,6,2.71,2.29,19.6,8.6,0.43,1.43,25,2.3,19.6,84.2%,7.2,9.29,41.1,0.43,1.86,52,4.4,41.1,9.3,11.6,5.2,60.7,6,0
52,Devin Singletary,BUF,25,RB,6,6,4.67,3.67,27.8,7.6,0.17,1.83,22,3.7,27.8,78.6%,6,9.5,42.7,0,1.67,23,4.5,42.7,9.5,13.2,5.4,70.5,1,0.17
53,Amari Cooper,CLE,28,WR,7,7,8.43,4.86,60.3,12.4,0.57,3.43,55,4.9,60.3,57.6%,7.2,,,,0,,,,,4.86,12.4,60.3,4,0
54,David Montgomery,CHI,25,RB,6,6,1.83,1.67,18.8,11.3,0,0.83,30,1.7,18.8,90.9%,10.3,12.8,51.3,0.33,2.17,28,4,51.3,12.8,14.5,4.8,70.2,2,0
55,D.K. Metcalf,SEA,25,WR,7,7,7.43,4.43,59.7,13.5,0.29,2.29,54,4.4,59.7,59.6%,8,,,,0,,,,,4.43,13.5,59.7,2,0.29
56,Curtis Samuel,WAS,26,WR,7,5,8.29,5.57,48.6,8.7,0.29,2.86,32,5.6,48.6,67.2%,5.9,1.86,11,0,0.71,21,5.9,11,1.9,7.43,8,59.6,2,0.14
57,Najee Harris,PIT,24,RB,7,7,3.14,2.57,12.3,4.8,0.29,1,14,2.6,12.3,81.8%,3.9,14.3,47,0.14,1.86,16,3.3,47,14.3,16.9,3.5,59.3,3,0.14
58,David Njoku,CLE,26,TE,7,7,6,4.86,59.7,12.3,0.14,3.14,38,4.9,59.7,81.0%,10,0.14,-0.86,0,0,-6,-6,-0.9,0.1,5,11.8,58.9,1,0.14
59,Eno Benjamin,ARI,23,RB,7,2,3.57,2.71,20.9,7.7,0,1,22,2.7,20.9,76.0%,5.8,8.14,37.9,0.29,1.71,45,4.6,37.9,8.1,10.9,5.4,58.7,2,0
60,Brandon Aiyuk,SFO,24,WR,7,7,7,4.57,57.4,12.6,0.43,2.86,31,4.6,57.4,65.3%,8.2,0.14,1,0,0,7,7,1,0.1,4.71,12.4,58.4,3,0
61,DeVonta Smith,PHI,24,WR,6,6,7.17,5.5,66.2,12,0.33,3.5,45,5.5,66.2,76.7%,9.2,,,,0,,,,,5.5,12,66.2,2,0
62,Jerry Jeudy,DEN,23,WR,7,7,6.71,3.43,55.1,16.1,0.29,2.43,67,3.4,55.1,51.1%,8.2,0.14,0.14,0,0.14,1,1,0.1,0.1,3.57,15.5,55.3,2,0
63,James Robinson,JAX,24,RB,7,5,1.57,1.29,6.57,5.1,0.14,0.57,10,1.3,6.6,81.8%,4.2,11.6,48.6,0.43,2.57,50,4.2,48.6,11.6,12.9,4.3,55.1,4,0.14
64,Gabriel Davis,BUF,23,WR,5,5,5.2,2.8,76.6,27.4,0.8,2.4,98,2.8,76.6,53.8%,14.7,,,,0,,,,,2.8,27.4,76.6,4,0
65,AJ Dillon,GNB,24,RB,7,2,2.86,1.86,11.4,6.2,0,0.43,12,1.9,11.4,65.0%,4,11,43,0.14,2.29,19,3.9,43,11,12.9,4.2,54.4,1,0
66,Michael Carter,NYJ,23,RB,7,5,3.43,2.86,21.6,7.6,0,1,37,2.9,21.6,83.3%,6.3,9.43,32.6,0.29,1.14,25,3.5,32.6,9.4,12.3,4.4,54.1,2,0.14
67,Chris Godwin,TAM,26,WR,6,5,9.17,5.83,61.3,10.5,0,2.67,44,5.8,61.3,63.6%,6.7,0.33,0.67,0,0,2,2,0.7,0.3,6.17,10.1,62,0,0
68,Devin Duvernay,BAL,25,WR,8,8,4,3,39.1,13,0.38,2,31,3,39.1,75.0%,9.8,0.88,6.88,0.13,0.5,18,7.9,6.9,0.9,3.88,11.9,46,4,0
69,Cordarrelle Patterson,ATL,31,RB,4,3,1.75,1,7,7,0,0.5,12,1,7,57.1%,4,14.5,85,0.75,4.75,40,5.9,85,14.5,15.5,5.9,92,3,0
70,Marquez Valdes-Scantling,KAN,28,WR,7,5,5.43,3.14,52.7,16.8,0,2.29,57,3.1,52.7,57.9%,9.7,0.14,-0.43,0,0,-3,-3,-0.4,0.1,3.29,15.9,52.3,0,0
71,Justin Fields,CHI,23,QB,7,7,0,0,0,,0,0,0,0,0,0.0%,,9.71,52,0.29,3.57,39,5.4,52,9.7,9.71,5.4,52,2,1.57
72,Jakobi Meyers,NWE,26,WR,5,4,6.6,5.2,71,13.7,0.4,3.2,30,5.2,71,78.8%,10.8,0.2,1.4,0,0.2,7,7,1.4,0.2,5.4,13.4,72.4,2,0
73,Rashaad Penny,SEA,26,RB,5,5,1,0.8,3.2,4,0,0.4,6,0.8,3.2,80.0%,3.2,11.4,69.2,0.4,3,41,6.1,69.2,11.4,12.2,5.9,72.4,2,0.2
74,Diontae Johnson,PIT,26,WR,7,7,9.57,5.43,48.1,8.9,0,2.71,25,5.4,48.1,56.7%,5,0.71,3.14,0,0,8,4.4,3.1,0.7,6.14,8.3,51.3,0,0.14
75,Dallas Goedert,PHI,27,TE,6,6,5.83,4.33,59.5,13.7,0.17,2.83,31,4.3,59.5,74.3%,10.2,,,,0,,,,,4.33,13.7,59.5,1,0
76,Corey Davis,NYJ,27,WR,7,5,4.86,2.71,50.1,18.5,0.29,2.43,66,2.7,50.1,55.9%,10.3,,,,0,,,,,2.71,18.5,50.1,2,0
77,Kareem Hunt,CLE,27,RB,7,0,2.71,2.14,12.4,5.8,0.14,0.86,24,2.1,12.4,78.9%,4.6,9.43,37.6,0.43,2.43,24,4,37.6,9.4,11.6,4.3,50,4,0
78,Melvin Gordon,DEN,29,RB,7,3,2.43,1.86,16.4,8.8,0,0.71,24,1.9,16.4,76.5%,6.8,9.43,33.4,0.14,1.43,17,3.5,33.4,9.4,11.3,4.4,49.9,1,0.57
79,Daniel Jones,NYG,25,QB,7,7,0,0,0,,0,0,0,0,0,0.0%,,8.29,49,0.43,4.14,24,5.9,49,8.3,8.29,5.9,49,3,0.29
80,Josh Reynolds,DET,27,WR,6,6,6,4,57.2,14.3,0.33,2.67,31,4,57.2,66.7%,9.5,,,,0,,,,,4,14.3,57.2,2,0
81,Amon-Ra St. Brown,DET,23,WR,5,5,8,5.6,55,9.8,0.6,2.6,49,5.6,55,70.0%,6.9,0.4,13.6,0,0.2,58,34,13.6,0.4,6,11.4,68.6,3,0
82,Allen Lazard,GNB,27,WR,6,6,6.83,4.33,56.7,13.1,0.67,3.5,35,4.3,56.7,63.4%,8.3,,,,0,,,,,4.33,13.1,56.7,4,0
83,Noah Brown,DAL,26,WR,7,7,5.57,3.57,48.4,13.6,0.14,2.29,45,3.6,48.4,64.1%,8.7,,,,0,,,,,3.57,13.6,48.4,1,0.14
84,George Pickens,PIT,21,WR,7,3,5.71,3.71,48.3,13,0.14,2.43,36,3.7,48.3,65.0%,8.5,0.14,0.14,0,0,1,1,0.1,0.1,3.86,12.6,48.4,1,0
85,Donovan Peoples-Jones,CLE,23,WR,7,5,6,3.71,48,12.9,0,1.86,42,3.7,48,61.9%,8,0.14,0.29,0,0,2,2,0.3,0.1,3.86,12.5,48.3,0,0.14
86,Chase Claypool,PIT,24,WR,7,7,6.29,4,38,9.5,0.14,2.14,26,4,38,63.6%,6,1.14,7.86,0,0.43,15,6.9,7.9,1.1,5.14,8.9,45.9,1,0
87,DeVante Parker,NWE,29,WR,7,6,3.86,2.14,45.9,21.4,0.14,1.86,43,2.1,45.9,55.6%,11.9,,,,0,,,,,2.14,21.4,45.9,1,0
88,Zach Ertz,ARI,32,TE,7,7,7.86,5.29,45.7,8.6,0.29,2.57,32,5.3,45.7,67.3%,5.8,,,,0,,,,,5.29,8.6,45.7,2,0
89,Mack Hollins,LVR,29,WR,6,5,5.33,3.17,52.8,16.7,0.33,2.33,60,3.2,52.8,59.4%,9.9,,,,0,,,,,3.17,16.7,52.8,2,0
90,T.J. Hockenson,DET,25,TE,6,6,6.5,3.83,52.5,13.7,0.5,2.5,81,3.8,52.5,59.0%,8.1,,,,0,,,,,3.83,13.7,52.5,3,0
91,Drake London,ATL,21,WR,7,5,6.29,3.71,45,12.1,0.29,2.43,31,3.7,45,59.1%,7.2,,,,0,,,,,3.71,12.1,45,2,0
92,Garrett Wilson,NYJ,22,WR,7,4,7.43,4,44.9,11.2,0.29,2.43,35,4,44.9,53.8%,6,0.14,-0.29,0,0,-2,-2,-0.3,0.1,4.14,10.8,44.6,2,0
93,Tyler Allgeier,ATL,22,RB,6,3,0.33,0.33,4.17,12.5,0,0.33,20,0.3,4.2,100.0%,12.5,11.7,47.5,0.17,2.17,42,4.1,47.5,11.7,12,4.3,51.7,1,0
94,Pat Freiermuth,PIT,24,TE,6,4,6.83,4.67,51.7,11.1,0.17,2.67,31,4.7,51.7,68.3%,7.6,,,,0,,,,,4.67,11.1,51.7,1,0
95,D.J. Moore,CAR,25,WR,7,7,7.71,3.86,39,10.1,0.29,2.14,29,3.9,39,50.0%,5.1,0.86,5.14,0,0.14,11,6,5.1,0.9,4.71,9.4,44.1,2,0
96,Alec Pierce,IND,22,WR,6,5,5.5,3.5,51.3,14.7,0.17,2.5,44,3.5,51.3,63.6%,9.3,,,,0,,,,,3.5,14.7,51.3,1,0.17
97,D'Andre Swift,DET,23,RB,3,3,4,2.67,25.7,9.6,0.33,1.33,25,2.7,25.7,66.7%,6.4,9,77,0.33,2,50,8.6,77,9,11.7,8.8,102.7,2,0
98,Nico Collins,HOU,23,WR,6,4,5,3,50.8,16.9,0,2,58,3,50.8,60.0%,10.2,,,,0,,,,,3,16.9,50.8,0,0
99,Gerald Everett,LAC,28,TE,7,5,6.43,3.86,43.6,11.3,0.29,1.86,26,3.9,43.6,60.0%,6.8,,,,0,,,,,3.86,11.3,43.6,2,0
100,James Conner,ARI,27,RB,5,5,3.8,2.8,20.6,7.4,0,1,21,2.8,20.6,73.7%,5.4,10.8,40,0.2,3.2,17,3.7,40,10.8,13.6,4.5,60.6,1,0.2
101,Olamide Zaccheaus,ATL,25,WR,7,4,3.14,2.71,43.1,15.9,0.29,2.14,42,2.7,43.1,86.4%,13.7,,,,0,,,,,2.71,15.9,43.1,2,0.14
102,Damien Harris,NWE,25,RB,6,5,2,1.5,5.33,3.6,0,0.33,11,1.5,5.3,75.0%,2.7,10,44.2,0.5,2.17,16,4.4,44.2,10,11.5,4.3,49.5,3,0
103,Tyler Higbee,LAR,29,TE,6,6,8.33,5.67,49.5,8.7,0,2.67,26,5.7,49.5,68.0%,5.9,,,,0,,,,,5.67,8.7,49.5,0,0
104,Zay Jones,JAX,27,WR,6,5,7.83,5.17,46.8,9.1,0.17,3,20,5.2,46.8,66.0%,6,0.33,2.33,0,0.17,14,7,2.3,0.3,5.5,8.9,49.2,1,0
105,Darnell Mooney,CHI,25,WR,7,7,5.57,2.86,42,14.7,0,1.71,56,2.9,42,51.3%,7.5,,,,0,,,,,2.86,14.7,42,0,0
106,Jalen Hurts,PHI,24,QB,6,6,0,0,0,,0,0,0,0,0,0.0%,,12.8,48.8,1,4.17,26,3.8,48.8,12.8,12.8,3.8,48.8,6,0.5
107,Rashod Bateman,BAL,23,WR,6,5,4.67,2.5,47.5,19,0.33,1.17,75,2.5,47.5,53.6%,10.2,,,,0,,,,,2.5,19,47.5,2,0.17
108,Adam Thielen,MIN,32,WR,6,6,7.17,4.83,47.3,9.8,0.33,3.5,22,4.8,47.3,67.4%,6.6,,,,0,,,,,4.83,9.8,47.3,2,0
109,Brandin Cooks,HOU,29,WR,6,6,7.83,4.67,46.8,10,0.17,2.17,42,4.7,46.8,59.6%,6,,,,0,,,,,4.67,10,46.8,1,0
110,Taysom Hill,NOR,32,TE,6,2,0.33,0.33,0.83,2.5,0.17,0.17,3,0.3,0.8,100.0%,2.5,4.83,46,0.83,2.67,60,9.5,46,4.8,5.17,9.1,46.8,6,0.17
111,Kenyan Drake,BAL,28,RB,6,3,1.5,1.17,4.83,4.1,0.17,0.5,15,1.2,4.8,77.8%,3.2,8.17,41.8,0.17,1.67,40,5.1,41.8,8.2,9.33,5,46.7,2,0
112,George Kittle,SFO,29,TE,5,5,6.8,5,56,11.2,0.2,2.4,34,5,56,73.5%,8.2,,,,0,,,,,5,11.2,56,1,0.2
113,Javonte Williams,DEN,22,RB,4,4,5.5,4,19,4.8,0,1,13,4,19,72.7%,3.5,11.8,51,0,2.25,17,4.3,51,11.8,15.8,4.4,70,0,0.25
114,Evan Engram,JAX,28,TE,7,6,5.57,4,39.3,9.8,0,1.71,28,4,39.3,71.8%,7.1,0.14,0,0,0,0,0,0,0.1,4.14,9.5,39.3,0,0
115,Marvin Jones,JAX,32,WR,6,4,6.33,3.67,44.2,12,0.17,2.33,37,3.7,44.2,57.9%,7,,,,0,,,,,3.67,12,44.2,1,0
116,Kyler Murray,ARI,25,QB,7,7,0,0,0,,0,0,0,0,0,0.0%,,6.43,37.6,0.29,2.43,42,5.8,37.6,6.4,6.43,5.8,37.6,2,0.71
117,Darrell Henderson,LAR,25,RB,6,4,3,2.33,12.8,5.5,0,0.67,15,2.3,12.8,77.8%,4.3,7.67,30.2,0.33,1.5,18,3.9,30.2,7.7,10,4.3,43,2,0
118,Josh Allen,BUF,26,QB,6,6,0,0,0,,0,0,0,0,0,0.0%,,7.83,42.8,0.33,3.5,21,5.5,42.8,7.8,7.83,5.5,42.8,2,0.83
119,Randall Cobb,GNB,32,WR,6,1,4.33,3,42.8,14.3,0,2,40,3,42.8,69.2%,9.9,,,,0,,,,,3,14.3,42.8,0,0.17
120,Robert Tonyan,GNB,28,TE,7,2,5.14,4.29,35.9,8.4,0.14,1.57,23,4.3,35.9,83.3%,7,,,,0,,,,,4.29,8.4,35.9,1,0
121,Mecole Hardman,KAN,24,WR,7,5,3.57,2.71,31.1,11.5,0.43,1.57,36,2.7,31.1,76.0%,8.7,0.57,4.43,0.29,0.43,25,7.8,4.4,0.6,3.29,10.8,35.6,5,0.14
122,J.D. McKissic,WAS,29,RB,7,0,5,3.43,22.7,6.6,0,1,14,3.4,22.7,68.6%,4.5,2.86,12.7,0,0.71,33,4.5,12.7,2.9,6.29,5.6,35.4,0,0
123,Romeo Doubs,GNB,22,WR,7,5,6,3.71,33.4,9,0.29,1.14,23,3.7,33.4,61.9%,5.6,0.14,1.57,0,0.14,11,11,1.6,0.1,3.86,9.1,35,2,0.29
124,Josh Palmer,LAC,24,WR,6,6,6.67,4.33,40,9.2,0.17,2.17,45,4.3,40,65.0%,6,0.17,0.67,0,0.17,4,4,0.7,0.2,4.5,9,40.7,1,0
125,Mark Ingram,NOR,33,RB,7,2,1.57,1.43,6.29,4.4,0,0.29,11,1.4,6.3,90.9%,4,7.29,28,0.14,1.57,14,3.8,28,7.3,8.71,3.9,34.3,1,0.29
126,Parris Campbell,IND,25,WR,7,6,5.43,4,34.1,8.5,0.29,2.29,20,4,34.1,73.7%,6.3,,,,0,,,,,4,8.5,34.1,2,0
127,Ben Skowronek,LAR,25,WR,6,5,4.83,3.83,36.8,9.6,0,1.5,32,3.8,36.8,79.3%,7.6,0.17,2.83,0.17,0.17,17,17,2.8,0.2,4,9.9,39.7,1,0
128,Marcus Mariota,ATL,29,QB,7,7,0,0,0,,0,0,0,0,0,0.0%,,7,33.9,0.43,2.29,23,4.8,33.9,7,7,4.8,33.9,3,1.14
129,Jerick McKinnon,KAN,30,RB,7,0,2.43,1.86,16.6,8.9,0.14,0.71,34,1.9,16.6,76.5%,6.8,4.14,17,0,0.57,30,4.1,17,4.1,6,5.6,33.6,1,0
130,Tre'Quan Smith,NOR,26,WR,5,2,4,2.8,47,16.8,0.2,2.4,48,2.8,47,70.0%,11.8,,,,0,,,,,2.8,16.8,47,1,0
131,Tyler Conklin,NYJ,27,TE,7,7,5.43,3.71,32.9,8.8,0.14,1.43,26,3.7,32.9,68.4%,6.1,0.14,0.14,0,0.14,1,1,0.1,0.1,3.86,8.6,33,1,0.29
132,Russell Gage,TAM,26,WR,7,4,5.71,4.14,33,8,0.14,1.86,20,4.1,33,72.5%,5.8,,,,0,,,,,4.14,8,33,1,0.14
133,Robert Woods,TEN,30,WR,6,5,5.33,3.33,38.3,11.5,0.17,2.17,41,3.3,38.3,62.5%,7.2,,,,0,,,,,3.33,11.5,38.3,1,0
134,Hayden Hurst,CIN,29,TE,7,7,5.57,4.14,32.3,7.8,0.29,2,20,4.1,32.3,74.4%,5.8,,,,0,,,,,4.14,7.8,32.3,2,0
