Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
28,Baker Mayfield,CAR,27,QB,5,5,1-4-0,16.8,30.6,54.9,192.4,0.8,2.6,0.8,2.6,6.8,75,6.3,5.6,11.5,192.4,71.9,15.3,3,19.8,8.9,5.14,4.54,,
29,Andy Dalton,NOR,35,QB,4,4,1-3-0,20.8,32.8,63.4,236.5,1.75,5.3,1,3.1,11,64,7.2,6.9,11.4,236.5,90.1,51,1,5.5,3,6.84,6.55,0.25,0.25
30,Joe Flacco,NYJ,37,QB,3,3,1-2-0,30.3,51.7,58.7,300.3,1.67,3.2,1,1.9,15.3,66,5.8,5.6,9.9,300.3,77.9,31.1,3,20,5.5,5.13,4.91,0.33,0.33
31,Jameis Winston,NOR,28,QB,3,3,1-2-0,24.3,38.3,63.5,286,1.33,3.5,1.67,4.3,11.7,51,7.5,6.2,11.8,286,79.5,32.1,3.67,24.7,8.7,6.22,5.07,0.33,0.33
32,Mac Jones,NWE,24,QB,4,4,1-3-0,16.8,25.8,65,199.8,0.5,1.9,1.5,5.8,8.25,44,7.8,5.5,11.9,199.8,70.8,34.4,1.25,9.75,4.6,7.04,4.91,,
33,Mitchell Trubisky,PIT,28,QB,5,4,1-3-0,15.6,25.6,60.9,159.4,0.6,2.3,0.4,1.6,8,45,6.2,6,10.2,159.4,80.1,48.4,1.8,10.6,6.6,5.43,5.21,0,0.2
34,Bailey Zappe,NWE,23,QB,4,2,2-0-0,16.3,23,70.7,195.3,1.25,5.4,0.75,3.3,9.25,53,8.5,8.1,12,195.3,100.9,35.2,1.5,10,6.1,7.56,7.2,,
35,Kenny Pickett,PIT,24,QB,4,3,1-2-0,21.8,31.8,68.5,192.8,0.5,1.6,1.75,5.5,11,30,6.1,3.9,8.9,192.8,66.7,40.8,1.5,10,4.5,5.5,3.43,,
36,Zach Wilson,NYJ,23,QB,4,4,4-0-0,14.5,25.3,57.4,173.3,0.25,1,0.5,2,7.25,79,6.9,6.2,11.9,173.3,73.6,48.6,2,13.5,7.3,5.86,5.22,0.25,0.25
37,Teddy Bridgewater,MIA,30,QB,4,1,0-1-0,9.25,15,61.7,130.5,0.75,5,0.75,5,5.75,64,8.7,7.5,14.1,130.5,85.6,52.3,1.5,8.25,9.1,7.41,6.27,,
38,Dak Prescott,DAL,29,QB,2,2,1-1-0,16.5,27,61.1,170.5,0.5,1.9,0.5,1.9,8,24,6.3,5.9,10.3,170.5,77.8,33.4,2,14.5,6.9,5.38,4.95,,
39,P.J. Walker,CAR,27,QB,3,2,1-1-0,10.3,14.7,70.5,99,0.67,4.5,0,0,4.67,29,6.8,7.7,9.6,99,104.1,,1.67,10.3,10.2,5.43,6.24,,
40,Skylar Thompson,MIA,25,QB,2,1,0-1-0,13,23,56.5,127.5,0,0,0.5,2.2,5.5,30,5.5,4.6,9.8,127.5,63.2,39.5,1.5,8,6.1,4.88,3.96,,
41,Brett Rypien,DEN,26,QB,1,1,0-1-0,24,46,52.2,225,0,0,1,2.2,10,45,4.9,3.9,9.4,225,56.9,32.7,1,6,2.1,4.66,3.7,,
42,Taylor Heinicke,WAS,29,QB,1,1,1-0-0,20,33,60.6,201,2,6.1,1,3,11,37,6.1,5.9,10.1,201,85.5,39.8,1,3,2.9,5.82,5.68,,
43,Trey Lance,SFO,22,QB,2,2,1-1-0,7.5,15.5,48.4,97,0,0,0.5,3.2,3,44,6.3,4.8,12.9,97,55,42.6,1,4.5,6.1,5.61,4.24,,
44,Taysom Hill,NOR,32,TE,6,2,,0.83,1.17,71.4,14.3,0.17,14.3,0,0,0.83,41,12.3,15.1,17.2,14.3,152.4,98.6,0,0,0,12.29,15.14,,
45,Jordan Love,GNB,24,QB,2,0,,3,4.5,66.7,36.5,0,0,0,0,2,25,8.1,8.1,12.2,36.5,91.4,28.4,0,0,0,8.11,8.11,,
46,Brock Purdy,SFO,23,QB,2,0,,2,4.5,44.4,33,0,0,0.5,11.1,2,22,7.3,2.3,16.5,33,30.1,23.7,0,0,0,7.33,2.33,,
47,Jacob Eason,CAR,25,QB,1,0,,3,5,60,59,0,0,1,20,2,49,11.8,2.8,19.7,59,61.7,1.3,0,0,0,11.8,2.8,,
48,Brian Hoyer,NWE,37,QB,1,1,0-1-0,5,6,83.3,37,0,0,0,0,2,27,6.2,6.2,7.4,37,92.4,29,1,8,14.3,4.14,4.14,,
49,Tyler Boyd,CIN,28,WR,7,5,,0.14,0.14,100,3.29,0,0,0,0,0.14,23,23,23,23,3.3,118.7,14,0.14,1.71,50,5.5,5.5,,
50,Justin Jefferson,MIN,23,WR,6,6,,0.17,0.17,100,3.83,0,0,0,0,0.17,23,23,23,23,3.8,118.7,97.7,0,0,0,23,23,,
51,Braden Mann,NYJ,25,P,7,0,,0.14,0.14,100,2.43,0,0,0,0,0.14,17,17,17,17,2.4,118.7,17.8,0,0,0,17,17,,
52,Ryan Wright,MIN,22,P,6,0,,0.17,0.17,100,2.17,0,0,0,0,0.17,13,13,13,13,2.2,118.7,,0,0,0,13,13,,
53,Riley Dixon,LAR,29,P,6,0,,0.17,0.17,100,2,0,0,0,0,0.17,12,12,12,12,2,116.7,,0,0,0,12,12,,
54,Trace McSorley,ARI,27,QB,1,0,,2,4,50,12,0,0,0,0,1,10,3,3,6,12,56.2,50.3,1,8,20,0.8,0.8,,
55,Tyrod Taylor,NYG,33,QB,1,0,,1,3,33.3,11,0,0,1,33.3,1,11,3.7,-11.3,11,11,5.6,1.9,0,0,0,3.67,-11.33,,
56,Case Keenum,BUF,34,QB,2,0,,1,3.5,28.6,4,0,0,0,0,0,5,1.1,1.1,4,4,39.6,4,0,0,0,1.14,1.14,,
57,Jack Fox,DET,26,P,6,0,,0.17,0.17,100,1,0,0,0,0,0.17,6,6,6,6,1,91.7,,0,0,0,6,6,,
58,Malik Willis,TEN,23,QB,2,0,,0.5,2,25,3,0,0,0,0,0,6,1.5,1.5,6,3,39.6,1.3,0,0,0,1.5,1.5,,
59,Mack Hollins,LVR,29,WR,6,5,,0.17,0.17,100,0.67,0,0,0,0,0,4,4,4,4,0.7,83.3,22.9,0,0,0,4,4,,
60,Braxton Berrios,NYJ,27,WR,7,0,,0.14,0.14,100,0.29,0.14,100,0,0,0.14,2,2,22,2,0.3,118.7,99.4,0,0,0,2,22,,
61,DeeJay Dallas,SEA,24,RB,7,0,,0,0.14,0,0,0,0,0.14,100,0,0,0,-45,,0,0,0,0,0,0,0,-45,,
62,Chad Henne,KAN,37,QB,2,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.2,0,0,0,0,0,,
63,Christian Kirk,JAX,26,WR,7,7,,0,0.14,0,0,0,0,0,0,0,0,0,0,,0,39.6,10.6,0,0,0,0,0,,
64,Cooper Kupp,LAR,29,WR,6,6,,0,0.17,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.2,0,0,0,0,0,,
65,Tommy Townsend,KAN,26,P,7,0,,0,0.14,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
