,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,7,31.9,403.3,63.6,6.3,1.14,0.43,24.4,25.1,38,296,2.86,0.71,7.5,16.4,23.9,107.3,1,4.5,5.43,5.29,52.9,2.57,50,8.3,15.6
2,Baltimore Ravens,8,26,359.4,60.8,5.9,1.13,0.38,20.8,18.5,29.4,193.8,1.88,0.75,6.2,9.88,29.3,165.6,0.88,5.7,9.5,5.38,48.8,1.38,44.2,10.5,6.96
3,Seattle Seahawks,7,26.1,362.9,58,6.3,1.43,0.86,20.1,22.6,30.9,225.9,1.57,0.57,6.8,11,24.9,137,1,5.5,6.71,8.14,71.9,2.43,45.8,11.1,7.35
4,Buffalo Bills,6,29.3,440.8,66.8,6.6,1.67,1,24.3,27,41,323,2.83,0.67,7.6,16,24.3,117.8,0.5,4.8,6.67,6,38.3,1.67,46,15.9,13.6
5,New Orleans Saints,7,25,398.3,65.7,6.1,2.29,1,21,23,36.1,256.3,1.71,1.29,6.7,12,27.4,142,1.14,5.2,7.57,7.43,65.6,1.43,36.9,17.9,2.72
6,Cincinnati Bengals,7,24.7,366.1,67,5.5,1.14,0.43,22.4,26.7,38.7,278.7,2.14,0.71,6.6,14.7,24.7,87.4,0.71,3.5,5.29,4.86,33.3,2.43,41.3,9.3,8.55
7,Cleveland Browns,7,24,378,67,5.6,1.43,0.71,22.4,20.9,33.3,214.4,0.86,0.71,6.1,11.1,31.7,163.6,1.71,5.2,9.57,6.43,51,1.71,42.5,12.3,7.37
8,Los Angeles Chargers,7,23.4,368.3,69.3,5.3,1,0.43,21.1,29,44,279.4,1.71,0.57,6.2,13.6,23.9,88.9,0.86,3.7,5.14,5.86,48.1,2.43,38,7.6,3.91
9,Atlanta Falcons,7,23.3,308.6,56.9,5.4,1.14,0.57,19.4,13.1,21.4,151.7,1,0.57,6.4,8.14,33,156.9,1.29,4.8,9,4.29,33,2.29,39.1,11.6,7.06
10,Las Vegas Raiders,6,27.2,367.2,61.2,6,0.83,0.17,21.7,22.5,35.3,238.7,1.5,0.67,6.4,12.5,23.7,128.5,1,5.4,7.67,6.5,48.5,1.5,54.4,8.8,9.73
11,Philadelphia Eagles,6,26.8,394.5,70.7,5.6,0.33,0,24,20.5,30.7,238.5,1,0.33,7.2,11.7,37.5,156,2.17,4.2,10.2,5.17,38.8,2.17,41.5,3.1,10.6
12,New York Jets,7,22.7,331.1,64.4,5.1,1.29,0.57,18.1,21.6,36.9,214.1,1,0.71,5.5,11,25.1,117,1.29,4.7,5.14,6.86,75.1,2,34.5,10.7,-1.38
13,Arizona Cardinals,7,22.3,343.1,70.3,4.9,0.71,0.14,21.1,26.6,40.7,221.3,1,0.57,5.1,12.1,27.3,121.9,1,4.5,7.71,6,52.6,1.29,33.8,7,3
14,Jacksonville Jaguars,7,22.1,371.3,63.9,5.8,1.43,0.86,22.4,22.1,35.3,233.9,1.29,0.57,6.4,12.9,27.1,137.4,1.14,5.1,7,6.43,47.1,2.57,37,13.7,6.56
15,New England Patriots,7,22.1,341.1,58.6,5.8,2.14,0.86,18.3,19.6,28.7,218.6,1,1.29,7.2,10.3,28.1,122.6,1.29,4.4,6.57,6,47,1.43,34.2,19.7,1.4
16,New York Giants,7,21.4,334.3,63.9,5.2,0.86,0.43,21.3,18.1,27.4,160.9,0.86,0.43,5.3,8.86,33.6,173.4,1.29,5.2,9.86,6.86,53.4,2.57,42.3,7,6.33
17,Miami Dolphins,7,21,367,60.6,6.1,1.29,0.29,19.9,23.4,36.6,281.6,1.71,1,7.3,13.4,21.9,85.4,0.57,3.9,4.71,6.86,51.6,1.71,34.2,11.8,4.5
18,Detroit Lions,6,24.3,395.2,64.8,6.1,1.83,0.83,20.8,22.2,35.5,249.5,1.83,1,6.7,12.8,27.3,145.7,1.17,5.3,6.33,6.33,54.8,1.67,34.8,15.9,3.07
19,Tampa Bay Buccaneers,8,18.3,332.9,64.5,5.2,0.88,0.75,20,28,42.5,271,1.13,0.13,6.1,13.8,20.4,61.9,0.38,3,4.25,5.5,44.8,2,35.6,5.7,1.65
20,San Francisco 49ers,7,20.7,355,61.1,5.8,1.71,0.86,19.4,19.7,32.1,234.3,1.29,0.86,6.9,10.9,27,120.7,0.86,4.5,6.86,6.86,50,1.71,31.6,15.8,2.72
