player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fl,ex_ppd
Mark Andrews,TE,Baltimore Ravens,PIT,15.963178040670467,21,6.764057239057239,87.2400656399899,0.6428571428571428,0,0.7601513352700222
Travis Kelce,TE,Kansas City Chiefs,DEN,11.293001272728276,35,5.063337053571429,61.95454367564183,0.4484797297297297,1,0.3226571792208079
Deebo Samuel,WR,San Francisco 49ers,LV,13.275310299069059,20,5.295108519598316,84.64141875655736,0.40293040293040294,2,0.6637655149534529
Dalton Schultz,TE,Dallas Cowboys,TEN,9.135579170079168,19,4.466420966420967,45.75095959595959,0.3878787878787879,0,0.4808199563199562
Ja Marr Chase,WR,Cincinnati Bengals,BUF,12.026285788808767,30,4.224954044117647,69.72632296161709,0.5098039215686274,1,0.40087619296029225
George Kittle,TE,San Francisco 49ers,LV,11.490708222415936,20,5.492815493544356,61.67377398720682,0.45329670329670324,1,0.5745354111207968
Justin Jefferson,WR,Minnesota Vikings,GB,15.286134094428405,36,6.201300620750812,89.294284207312,0.5622837370242215,1,0.4246148359563446
Davante Adams,WR,Las Vegas Raiders,SF,16.475772188072682,30,7.176791958041958,85.83028382964747,0.7173913043478262,0,0.5491924062690894
Dawson Knox,TE,Buffalo Bills,CIN,8.774428731399986,16,3.3420461507045136,39.50863283166373,0.5254237288135594,0,0.5484017957124991
Mike Evans,WR,Tampa Bay Buccaneers,CAR,11.414988515869652,17,3.8964684959349594,52.54544965576592,0.7020348837209303,0,0.6714699126982149
Hunter Henry,TE,New England Patriots,MIA,9.088098578402349,14,3.319221761844713,39.612745827258934,0.5778688524590163,0,0.6491498984573106
Tyreek Hill,WR,Miami Dolphins,NE,12.990243076295021,34,5.929732525491355,69.20899201609046,0.5373134328358209,1,0.3820659728322065
Dallas Goedert,TE,Philadelphia Eagles,NO,9.688897185010955,18,4.179981228951582,59.717879264673655,0.2711864406779661,0,0.5382720658339419
Stefon Diggs,WR,Buffalo Bills,CIN,13.240615866001493,32,6.095322466335932,71.53738946559017,0.5065359477124183,0,0.41376924581254665
Mike Williams,WR,Los Angeles Chargers,LAR,11.75949169834858,23,4.75380470399767,68.6136693548387,0.4202037351443124,0,0.5112822477542861
Tyler Lockett,WR,Seattle Seahawks,NYJ,13.841360553990764,21,5.104648919753087,83.8903609411422,0.4833333333333333,0,0.6591124073328936
