,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO▼,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Philadelphia Eagles,8,16.9,299,63.1,4.7,2.25,0.75,20.1,21.3,36.4,177.6,1.25,1.5,4.5,11.6,23.5,121.4,0.75,5.2,6.88,5.63,43.9,1.63,25.6,22,1.54
2,Buffalo Bills,7,14,298.1,59.7,5,2,0.43,19.3,21.7,33.7,203.1,1,1.57,5.5,11.1,23,95,0.57,4.1,6.14,6.43,53.9,2,26.1,17.4,2.99
3,New England Patriots,8,20.4,350.5,63.3,5.5,2,0.75,18.9,19.5,34,224.5,1.5,1.25,6.1,11.6,26.4,126,0.5,4.8,6,4.38,38.9,1.25,35.2,15.9,1.05
4,Baltimore Ravens,8,22.9,364.3,64,5.7,1.88,0.88,21.4,25.6,38.8,266.8,1.5,1,6.4,13.5,22.4,97.5,1.13,4.4,6.13,4.75,38,1.75,40.5,16.7,-6.62
5,Minnesota Vikings,7,20.6,383.1,64.6,5.9,1.86,0.86,21.4,24.7,35.9,275.6,1.29,1,7.1,13.6,25.7,107.6,1.14,4.2,6.57,7.57,62.1,1.29,33.8,14.3,-3.47
6,Seattle Seahawks,8,24.9,377.4,66.5,5.7,1.75,1.13,21.5,21.8,33.8,236.6,1.38,0.63,6.5,12.3,30,140.8,1.38,4.7,7,6,54.9,2.25,39.5,14,-6.87
7,Dallas Cowboys,8,16.6,313.5,65.8,4.8,1.63,0.75,19,21.3,32.6,178.4,1,0.88,4.9,9.25,29,135.1,0.5,4.7,7.5,6.25,49,2.25,32.6,14.6,3.37
8,Chicago Bears,8,22.6,344,60.4,5.7,1.63,0.5,20,18,27.5,188,0.88,1.13,6.5,9.5,31.3,156,1.75,5,9.13,6.13,47.6,1.38,36.1,14.5,-5.36
9,Tennessee Titans,7,19.7,343.9,60.6,5.7,1.57,0.57,18.7,24.6,36.4,254.7,2,1,6.5,11.3,21.4,89.1,0.14,4.2,5.71,6.86,47.4,1.71,32,14.7,-1.13
10,New York Jets,8,19.9,311.4,65.6,4.7,1.5,0.38,19.5,21.8,34.9,203.4,1.13,1.13,5.4,10.3,28.1,108,1,3.8,6.88,6.38,48,2.38,32,12.4,2.15
11,Houston Texans,8,22.9,398.1,66.5,6,1.38,0.5,22.4,19.3,31,217.5,0.88,0.88,6.5,12,33.1,180.6,1.5,5.5,9,6.63,55,1.38,38.4,10.5,-8.74
12,Atlanta Falcons,8,25.6,415.8,66.4,6.3,1.38,0.5,23.3,27.5,40,306.9,1.75,0.88,7.4,14.8,24.9,108.9,1.25,4.4,7.25,6.13,53,1.25,43.9,13.4,-11.27
13,Arizona Cardinals,8,26.3,362.4,62.5,5.8,1.38,0.75,21.5,24.6,36.4,252.3,1.75,0.63,6.6,13,24.4,110.1,1.13,4.5,7,6.5,51.6,1.5,44.7,12.9,-5.33
14,Los Angeles Chargers,7,27,357.6,60.1,5.9,1.29,0.29,19.7,22.3,33.6,220,1.86,1,6.1,12.6,24.1,137.6,1,5.7,5.29,6.14,60.9,1.86,43,10.1,-7.08
15,New York Giants,8,19.6,345.6,60.1,5.7,1.25,1.13,20.9,19.1,33,208.4,1.13,0.13,6,11.9,25.1,137.3,0.63,5.5,6.38,7.25,55,2.63,39.3,8.3,-3.87
16,Jacksonville Jaguars,8,19.8,346.3,64.3,5.4,1.25,0.25,20.6,22.4,35.4,237.1,1.25,1,6.4,11.6,27.1,109.1,1.13,4,7.13,6.5,48.9,1.88,33.3,11.9,-2.5
17,Cincinnati Bengals,8,20.5,336,62.8,5.4,1.25,0.5,19,19.1,32.8,210.4,0.88,0.75,6.1,10.1,28.3,125.6,0.75,4.4,7.38,5.25,45,1.5,40.2,11.5,-1.72
18,Pittsburgh Steelers,8,24.6,395.1,66.9,5.9,1.25,0.25,21.1,22.8,37.1,277.3,2.13,1,7.1,13.4,27.9,117.9,0.63,4.2,6.25,5.88,41.3,1.5,38.9,11.1,-6.52
19,Los Angeles Rams,7,22.4,310.9,56.1,5.5,1.14,0.43,16.6,20.1,29.3,205.7,1.29,0.71,6.5,10.1,24.7,105.1,0.57,4.3,5.71,4.43,31.3,0.71,36.8,11.8,-3.46
20,Kansas City Chiefs,7,24.6,369,66.4,5.6,1.14,0.71,22,28.3,41.6,277,2.43,0.43,6.3,14.9,22.1,92,0.43,4.2,5.71,6.43,51.7,1.43,41.9,9.5,-5.69
21,Denver Broncos,8,16.5,288.4,63.5,4.5,1.13,0.38,18.6,22.3,35.5,165.8,0.5,0.75,4.3,8.75,25,122.6,0.63,4.9,6.75,7.13,66,3.13,32.3,9.7,4.79
