Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Joe Burrow,CIN,26,QB,8,8,4-4-0,26.4,38.1,69.2,291.1,2.13,5.6,0.75,2,13.9,60,7.6,7.9,11,291.1,101.9,53.5,3.63,24.5,8.7,6.39,6.6,0.25,0.25
2,Tom Brady,TAM,45,QB,8,8,3-5-0,28,42.5,65.9,283.4,1.13,2.6,0.13,0.3,13.8,51,6.7,7.1,10.1,283.4,92.4,49.1,1.63,12.4,3.7,6.14,6.52,0,0.13
3,Josh Allen,BUF,26,QB,7,7,6-1-0,24.7,37.7,65.5,314,2.71,7.2,0.86,2.3,14.9,98,8.3,8.7,12.7,314,105.9,76.7,1.57,7.43,4,7.8,8.2,0.14,0.29
4,Patrick Mahomes,KAN,27,QB,7,7,5-2-0,25.1,37.6,66.9,308.4,2.86,7.6,0.71,1.9,16.4,57,8.2,8.9,12.3,308.4,109.5,76.7,1.71,12.4,4.4,7.53,8.17,0,0
5,Jalen Hurts,PHI,24,QB,8,8,8-0-0,20.4,29.9,68.2,255.3,1.5,5,0.25,0.8,12,54,8.5,9.2,12.5,255.3,107.8,62.5,2.75,15.9,8.4,7.34,7.91,0,0.13
6,Justin Herbert,LAC,24,QB,7,7,4-3-0,29,44,65.9,287,1.71,3.9,0.57,1.3,13.6,54,6.5,6.7,9.9,287,91.8,55.4,1.43,7.57,3.1,6.15,6.34,0.29,0.29
7,Matt Ryan,IND,37,QB,7,7,3-3-1,29,42.4,68.4,286.9,1.29,3,1.29,3,14.7,44,6.8,6,9.9,286.9,84.7,43.8,3.43,26.3,7.5,5.68,4.98,0.57,0.43
8,Kyler Murray,ARI,25,QB,8,8,3-5-0,26.9,40.6,66.2,249.1,1.25,3.1,0.75,1.8,12.6,38,6.1,5.9,9.3,249.1,85.3,48.3,2.38,18.9,5.5,5.35,5.15,0.13,0.13
9,Geno Smith,SEA,32,QB,8,8,5-3-0,22.6,31.1,72.7,240.5,1.63,5.2,0.38,1.2,11.4,54,7.7,8.2,10.6,240.5,107.2,66.6,2.38,19.1,7.1,6.61,7.07,0,0.13
10,Jared Goff,DET,28,QB,7,7,1-6-0,22.7,35.6,63.9,272,1.71,4.8,0.86,2.4,12.7,81,7.6,7.5,12,272,93.2,55.1,1.86,14.6,5,6.88,6.76,,
