,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Philadelphia Eagles,8,28.1,391,67.4,5.8,0.38,0.13,23.5,20.5,30.1,242.3,1.5,0.25,7.4,12.1,34.5,148.8,2,4.3,9.5,5.38,40.5,1.88,42.4,3.5,13.1
2,Kansas City Chiefs,7,31.9,403.3,63.6,6.3,1.14,0.43,24.4,25.1,38,296,2.86,0.71,7.5,16.4,23.9,107.3,1,4.5,5.43,5.29,52.9,2.57,50,8.3,15.6
3,Seattle Seahawks,8,26.3,352.1,58.5,6,1.38,0.88,20,22.6,31.3,221.4,1.63,0.5,6.6,11.4,24.9,130.8,1,5.3,6.38,7.5,66,2.25,44.7,10.6,6.08
4,Baltimore Ravens,8,26,359.4,60.8,5.9,1.13,0.38,20.8,18.5,29.4,193.8,1.88,0.75,6.2,9.88,29.3,165.6,0.88,5.7,9.5,5.38,48.8,1.38,44.2,10.5,6.96
5,Buffalo Bills,7,29,430.6,65,6.6,1.71,0.86,23.7,25,38.7,307.7,2.71,0.86,7.6,14.9,24.7,122.9,0.57,5,7,5.71,37.9,1.86,46.6,16.4,13.4
6,Cleveland Browns,8,25,385.8,67.3,5.7,1.5,0.75,22.6,20.4,32,221.1,0.88,0.75,6.5,11.3,33.3,164.6,1.88,5,9.88,6.38,51.6,1.5,42.9,13.1,8.44
7,Atlanta Falcons,8,25,320.8,58.1,5.5,1.25,0.5,19.6,14,22.3,162.6,1.25,0.75,6.6,8.88,33.5,158.1,1.13,4.7,8.75,4.63,36.9,2,40.2,12.2,7.35
8,New Orleans Saints,8,24.9,394.4,65.4,6,2,0.88,21.1,23,35.5,253.1,1.75,1.13,6.8,12,28,141.3,1.13,5,7.75,7.13,60.8,1.38,38,16.3,4.47
9,Cincinnati Bengals,8,23.3,349,64.9,5.4,1.25,0.5,21.5,26.5,38.3,268,2.13,0.75,6.4,14,22.9,81,0.63,3.5,5,4.5,29.9,2.5,38.8,10.6,7.04
10,Dallas Cowboys,8,22.9,322.1,59.3,5.4,0.88,0.25,18.1,18,29.6,190.6,1,0.63,6.1,10.1,28.1,131.5,1.25,4.7,6.63,6.88,52.3,1.38,37.5,8,3
11,Arizona Cardinals,8,22.8,347.1,70.3,4.9,1,0.25,21.6,27.1,41.1,230.8,1.25,0.75,5.3,12.8,26.6,116.4,0.88,4.4,7.38,6.5,54.4,1.5,34.9,8.4,2.98
12,Miami Dolphins,8,22.3,380.6,61,6.2,1.25,0.38,20.8,24.1,36.5,292.5,1.88,0.88,7.6,14,22.4,88.1,0.63,3.9,5.13,6.88,52,1.63,36.9,11.9,7.12
13,New England Patriots,8,22.1,334.5,60.6,5.5,2,0.75,18.4,20.1,29.5,211.4,1,1.25,6.7,10.1,28.9,123.1,1.13,4.3,6.75,6,47.9,1.5,36,18,0.06
14,San Francisco 49ers,8,22,356.6,60,5.9,1.5,0.75,19.8,20,31.4,237.1,1.5,0.75,7.1,11,26.5,119.5,0.88,4.5,7,6.38,44.8,1.75,34.5,14.3,5.27
15,New York Jets,8,22,338.1,63.6,5.3,1.5,0.5,18,21.4,37.4,229.4,1.13,1,5.8,11.5,23.9,108.8,1.13,4.6,4.63,6.5,70.9,1.88,33.3,12.5,-1.5
16,Minnesota Vikings,7,24.7,345.7,63.7,5.4,1,0.29,22.4,25.3,38,237.1,1.57,0.71,5.9,13.6,23.7,108.6,1.43,4.6,6.43,5,38.7,2.43,37,8.6,6.77
17,Detroit Lions,7,24.7,394.9,63.7,6.2,1.57,0.71,21,22.9,35.7,258.3,1.71,0.86,6.9,12.9,26.1,136.6,1.29,5.2,6.43,6.29,51.3,1.71,37.7,14.3,5.37
18,Jacksonville Jaguars,8,21.5,363,64,5.7,1.5,0.75,22.6,21.6,34.8,218.9,1.25,0.75,6,12,27.8,144.1,1.13,5.2,7.63,6.25,48,3,35.7,14.3,5.51
19,Los Angeles Chargers,7,23.4,368.3,69.3,5.3,1,0.43,21.1,29,44,279.4,1.71,0.57,6.2,13.6,23.9,88.9,0.86,3.7,5.14,5.86,48.1,2.43,38,7.6,3.91
20,New York Giants,8,20.4,320.6,63.9,5,1,0.63,20.4,18,27.9,159.1,0.75,0.38,5.1,8.88,32.9,161.5,1.25,4.9,9.13,6.75,53.4,2.38,40.2,6.1,4.19
21,Las Vegas Raiders,7,23.3,340.9,60.4,5.6,0.86,0.14,20.4,22.6,35.9,225.3,1.29,0.71,5.9,12,22.1,115.6,0.86,5.2,6.86,6.43,50,1.57,47,9.1,7.13
22,Carolina Panthers,8,19.8,297.6,55.8,5.3,1.13,0.38,14.5,17.1,29.8,187.1,0.88,0.75,5.8,7.75,23.4,110.5,0.88,4.7,5.5,5.38,50.3,1.25,31.5,9,-4.13
23,Chicago Bears,8,19.4,315.3,59.5,5.3,1.5,0.75,17.4,11.8,20,126.9,0.88,0.75,5.3,6.13,35.6,188.4,1.13,5.3,9.38,5.13,41.6,1.88,38.1,11.9,0.27
24,Tampa Bay Buccaneers,8,18.3,332.9,64.5,5.2,0.88,0.75,20,28,42.5,271,1.13,0.13,6.1,13.8,20.4,61.9,0.38,3,4.25,5.5,44.8,2,35.6,5.7,1.65
25,Green Bay Packers,8,18.1,339.9,62.4,5.4,1.25,0.75,19.9,23.5,35.4,217.4,1.63,0.5,5.8,11,24.9,122.5,0.38,4.9,7,6,43.3,1.88,27.6,10.3,1.61
26,Washington Commanders,8,17.8,331,66.4,5,1.25,0.25,19.6,23.4,37,226.6,1.63,1,5.6,11.5,26.1,104.4,0.5,4,6.25,6.13,59.6,1.88,26,10.4,-2.44
27,Houston Texans,8,16.6,290.5,58.3,5,1.13,0.13,16.8,20.3,32.4,188.6,1.25,1,5.4,8.63,23.5,101.9,0.38,4.3,6.13,5.38,42.3,2,30.7,10.2,-2.79
28,Tennessee Titans,7,18.9,285.6,56.7,5,1.29,0.71,16.6,14.6,22.9,147.6,0.86,0.57,5.8,8,31.4,138,1.14,4.4,6.71,6.43,54.4,1.86,30.7,8,0.07
29,Indianapolis Colts,8,16.1,339.4,66.9,5.1,2,0.88,20.3,27.5,40,251.6,1.13,1.13,5.8,13.9,23.6,87.8,0.38,3.7,5,5.63,46.5,1.38,30.7,18.2,-3.07
30,Denver Broncos,8,15.1,328.9,63.6,5.2,1.13,0.5,17,19.8,34.3,220.5,0.75,0.63,5.9,9.88,26.4,108.4,0.63,4.1,5.38,8.75,75,1.75,28,8.6,-3.16
31,Pittsburgh Steelers,8,15,299,63.3,4.7,1.75,0.5,18.4,24,36.9,204.1,0.75,1.25,5.2,11.6,23.8,94.9,0.5,4,5.5,6.38,44.8,1.25,27.3,13.6,-4.26
32,Los Angeles Rams,7,16.9,297.4,61.6,4.8,1.86,0.71,18.7,26.1,37.1,229,1,1.14,5.6,13.3,21,68.4,0.86,3.3,3.86,4,36.4,1.57,31,18.3,-1.76
