,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Tyreek Hill,MIA,28,WR,8,8,11.5,8.63,120.1,13.9,0.25,5.13,64,8.6,120.1,75.0%,10.4,0.63,3.13,0,0.25,10,5,3.1,0.6,9.25,13.3,123.3,2,0.13
2,Saquon Barkley,NYG,25,RB,8,8,4.38,3.5,23.6,6.8,0,0.5,41,3.5,23.6,80.0%,5.4,20.4,97.4,0.63,4,68,4.8,97.4,20.4,23.9,5.1,121,5,0.13
3,Nick Chubb,CLE,27,RB,8,8,1.88,1.25,8.75,7,0,0.5,15,1.3,8.8,66.7%,4.7,18.6,105.1,1.25,4.88,41,5.6,105.1,18.6,19.9,5.7,113.9,10,0
4,Derrick Henry,TEN,28,RB,7,7,2.57,2,20,10,0,0.57,24,2,20,77.8%,7.8,23.7,107.9,1,5,41,4.5,107.9,23.7,25.7,5,127.9,7,0.14
5,Christian McCaffrey,2TM,26,,8,7,6.75,5.38,44.5,8.3,0.25,2,49,5.4,44.5,79.6%,6.6,13.9,65.6,0.38,3.38,49,4.7,65.6,13.9,19.3,5.7,110.1,5,0.13
6,Josh Jacobs,LVR,24,RB,7,7,3.71,3.14,21.7,6.9,0,1.14,16,3.1,21.7,84.6%,5.8,17.3,96.6,0.86,5.43,43,5.6,96.6,17.3,20.4,5.8,118.3,6,0.14
7,Dameon Pierce,HOU,22,RB,8,8,3,2.5,12.3,4.9,0.13,0.5,12,2.5,12.3,83.3%,4.1,18.5,84.8,0.38,5,75,4.6,84.8,18.5,21,4.6,97,4,0.25
8,Rhamondre Stevenson,NWE,24,RB,8,2,4.63,4,27.1,6.8,0,1,22,4,27.1,86.5%,5.9,14.3,69.8,0.5,3.5,49,4.9,69.8,14.3,18.3,5.3,96.9,4,0
9,Aaron Jones,GNB,28,RB,8,8,4.75,3.75,23.8,6.3,0.38,1.38,22,3.8,23.8,78.9%,5,12.3,71.9,0.13,4,36,5.9,71.9,12.3,16,6,95.6,4,0.13
