,,Rushing,,,,,,,,,,,Rushing,,,,,,
26,Austin Ekeler,60,13,Sun,4,4,2022-10-02,27-138,LAC,@,HOU,W 34-24,13,60,4.6,2,3,RB,
27,Latavius Murray,57,11,Sun,4,4,2022-10-02,32-257,NOR,,MIN,L 25-28,11,57,5.2,1,4,RB,6-181
28,Caleb Huntley,56,10,Sun,4,4,2022-10-02,24-017,ATL,,CLE,W 23-20,10,56,5.6,1,5,RB,
29,James Conner,55,15,Sun,4,4,2022-10-02,27-150,ARI,@,CAR,W 26-16,15,55,3.7,0,3,RB,3-105
30,Justin Fields,52,7,Sun,4,4,2022-10-02,23-211,CHI,@,NYG,L 12-20,7,52,7.4,0,4,QB,1-11
31,Ezekiel Elliott,49,19,Sun,4,4,2022-10-02,27-072,DAL,,WAS,W 25-10,19,49,2.6,0,1,RB,1-4
32,Antonio Gibson,49,13,Sun,4,4,2022-10-02,24-101,WAS,@,DAL,L 10-25,13,49,3.8,0,2,RB,3-66
33,Kareem Hunt,49,10,Sun,4,4,2022-10-02,27-057,CLE,@,ATL,L 20-23,10,49,4.9,0,3,RB,3-86
34,Devin Singletary,49,11,Sun,4,4,2022-10-02,25-029,BUF,@,BAL,W 23-20,11,49,4.5,0,2,RB,3-74
35,Geno Smith,49,7,Sun,4,4,2022-10-02,31-357,SEA,@,DET,W 48-45,7,49,7,1,4,QB,2-39
36,Jonathan Williams,48,5,Sun,4,4,2022-10-02,28-242,WAS,@,DAL,L 10-25,5,48,9.6,0,2,RB,5-156
37,Justice Hill,45,8,Sun,4,4,2022-10-02,24-322,BAL,,BUF,L 20-23,8,45,5.6,0,3,RB,4-113
38,Jonathan Taylor,42,20,Sun,4,4,2022-10-02,23-256,IND,,TEN,L 17-24,20,42,2.1,0,3,RB,2-41
39,J.K. Dobbins,41,13,Sun,4,4,2022-10-02,23-289,BAL,,BUF,L 20-23,13,41,3.2,1,5,RB,2-55
40,Derek Carr,40,7,Sun,4,4,2022-10-02,31-188,LVR,,DEN,W 32-23,7,40,5.7,0,5,QB,2-36
41,J.D. McKissic,40,8,Sun,4,4,2022-10-02,29-048,WAS,@,DAL,L 10-25,8,40,5,0,2,RB,
42,Jalen Hurts,38,16,Sun,4,4,2022-10-02,24-056,PHI,,JAX,W 29-21,16,38,2.4,1,4,QB,2-53
43,Cordarrelle Patterson,38,9,Sun,4,4,2022-10-02,31-199,ATL,,CLE,W 23-20,9,38,4.2,1,2,RB,1-29
44,Eno Benjamin,36,5,Sun,4,4,2022-10-02,23-172,ARI,@,CAR,W 26-16,5,36,7.2,0,1,RB,7-222
45,Patrick Mahomes,34,4,Sun,4,4,2022-10-02,27-015,KAN,@,TAM,W 41-31,4,34,8.5,0,2,QB,1-10
46,Travis Etienne,32,8,Sun,4,4,2022-10-02,23-249,JAX,@,PHI,L 21-29,8,32,4,0,1,RB,1-25
47,Mark Ingram,30,10,Sun,4,4,2022-10-02,32-285,NOR,,MIN,L 25-28,10,30,3,0,1,RB,1-28
48,Craig Reynolds,30,2,Sun,4,4,2022-10-02,26-109,DET,,SEA,L 45-48,2,30,15,0,1,RB,
49,Tyrod Taylor,30,3,Sun,4,4,2022-10-02,33-060,NYG,,CHI,W 20-12,3,30,10,0,3,QB,6-180
50,James Robinson,29,8,Sun,4,4,2022-10-02,24-054,JAX,@,PHI,L 21-29,8,29,3.6,0,1,RB,
51,Kenneth Walker III,29,8,Sun,4,4,2022-10-02,21-347,SEA,@,DET,W 48-45,8,29,3.6,0,2,RB,2-41
52,Russell Wilson,29,4,Sun,4,4,2022-10-02,33-307,DEN,@,LVR,L 23-32,4,29,7.3,1,2,QB,3-75
53,Javonte Williams,28,10,Sun,4,4,2022-10-02,22-160,DEN,@,LVR,L 23-32,10,28,2.8,0,2,RB,2-35
54,Darrell Henderson,27,7,Mon,4,4,2022-10-03,25-045,LAR,@,SFO,L 9-24,7,27,3.9,0,1,RB,3-70
55,Christian McCaffrey,27,8,Sun,4,4,2022-10-02,26-117,CAR,,ARI,L 16-26,8,27,3.4,0,2,RB,1-8
56,Kyler Murray,26,12,Sun,4,4,2022-10-02,25-056,ARI,@,CAR,W 26-16,12,26,2.2,1,3,QB,1-1
57,Zamir White,24,2,Sun,4,4,2022-10-02,23-014,LVR,,DEN,W 32-23,2,24,12,0,1,RB,4-122
58,Taysom Hill,21,5,Sun,4,4,2022-10-02,32-040,NOR,,MIN,L 25-28,5,21,4.2,1,3,TE,
59,Avery Williams,21,1,Sun,4,4,2022-10-02,24-079,ATL,,CLE,W 23-20,1,21,21,0,1,RB,5-183
60,Mike Boone,20,3,Sun,4,4,2022-10-02,27-064,DEN,@,LVR,L 23-32,3,20,6.7,0,1,RB,
61,Trestan Ebner,20,6,Sun,4,4,2022-10-02,23-273,CHI,@,NYG,L 12-20,6,20,3.3,0,1,RB,6-203
62,Kenneth Gainwell,19,5,Sun,4,4,2022-10-02,23-202,PHI,,JAX,W 29-21,5,19,3.8,1,1,RB,5-150
63,Trey Sermon,19,2,Sun,4,4,2022-10-02,23-245,PHI,,JAX,W 29-21,2,19,9.5,0,2,RB,3-88
64,Darrel Williams,19,4,Sun,4,4,2022-10-02,27-170,ARI,@,CAR,W 26-16,4,19,4.8,0,1,RB,
65,Matt Breida,18,3,Sun,4,4,2022-10-02,27-216,NYG,,CHI,W 20-12,3,18,6,0,1,RB,
66,Jaylen Warren,18,3,Sun,4,4,2022-10-02,23-335,PIT,,NYJ,L 20-24,3,18,6,0,1,RB,
67,Jacoby Brissett,16,5,Sun,4,4,2022-10-02,29-295,CLE,@,ATL,L 20-23,5,16,3.2,1,4,QB,3-91
68,Kendrick Bourne,15,1,Sun,4,4,2022-10-02,27-059,NWE,@,GNB,L 24-27 (OT),1,15,15,0,1,WR,
69,Michael Carter,15,9,Sun,4,4,2022-10-02,23-148,NYJ,@,PIT,W 24-20,9,15,1.7,0,,RB,4-107
70,Joshua Kelley,15,4,Sun,4,4,2022-10-02,24-316,LAC,@,HOU,W 34-24,4,15,3.8,0,1,RB,4-112
71,Kenny Pickett,15,6,Sun,4,4,2022-10-02,24-118,PIT,,NYJ,L 20-24,6,15,2.5,2,4,QB,1-20
72,Christian Watson,15,1,Sun,4,4,2022-10-02,23-143,GNB,,NWE,W 27-24 (OT),1,15,15,1,1,WR,2-34
73,Zach Wilson,15,2,Sun,4,4,2022-10-02,23-060,NYJ,@,PIT,W 24-20,2,15,7.5,0,0,QB,1-2
74,Cam Akers,13,8,Mon,4,4,2022-10-03,23-103,LAR,@,SFO,L 9-24,8,13,1.6,0,1,RB,2-52
75,Teddy Bridgewater,11,1,Thu,4,4,2022-09-29,29-323,MIA,@,CIN,L 15-27,1,11,11,0,1,QB,1-32
76,Diontae Johnson,11,2,Sun,4,4,2022-10-02,26-089,PIT,,NYJ,L 20-24,2,11,5.5,0,0,WR,3-66
77,Sony Michel,11,6,Sun,4,4,2022-10-02,27-227,LAC,@,HOU,W 34-24,6,11,1.8,0,1,RB,1-31
78,D.J. Moore,11,1,Sun,4,4,2022-10-02,25-171,CAR,,ARI,L 16-26,1,11,11,0,1,WR,1-24
79,Brandon Powell,11,1,Mon,4,4,2022-10-03,27-021,LAR,@,SFO,L 9-24,1,11,11,0,1,WR,
80,Kyle Juszczyk,9,1,Mon,4,4,2022-10-03,31-163,SFO,,LAR,W 24-9,1,9,9,0,1,FB,4-130
81,Ryan Tannehill,9,5,Sun,4,4,2022-10-02,34-067,TEN,@,IND,W 24-17,5,9,1.8,0,1,QB,1-8
82,Melvin Gordon,8,3,Sun,4,4,2022-10-02,29-172,DEN,@,LVR,L 23-32,3,8,2.7,0,,RB,1-15
83,Trevor Lawrence,7,2,Sun,4,4,2022-10-02,22-361,JAX,@,PHI,L 21-29,2,7,3.5,0,1,QB,1-1
84,Cooper Rush,7,2,Sun,4,4,2022-10-02,28-315,DAL,,WAS,W 25-10,2,7,3.5,0,1,QB,
85,Joe Burrow,6,5,Thu,4,4,2022-09-29,25-293,CIN,,MIA,W 27-15,5,6,1.2,0,0,QB,1-1
86,Chase Edmonds,6,5,Thu,4,4,2022-09-29,26-169,MIA,@,CIN,L 15-27,5,6,1.2,0,0,RB,4-134
87,D'Wayne Eskridge,6,1,Sun,4,4,2022-10-02,25-193,SEA,@,DET,W 48-45,1,6,6,0,0,WR,2-56
88,Zack Moss,6,3,Sun,4,4,2022-10-02,24-291,BUF,@,BAL,W 23-20,3,6,2,0,,RB,3-86
89,Tony Pollard,6,8,Sun,4,4,2022-10-02,25-155,DAL,,WAS,W 25-10,8,6,0.8,0,,RB,4-128
90,Matthew Stafford,6,2,Mon,4,4,2022-10-03,34-238,LAR,@,SFO,L 9-24,2,6,3,0,0,QB,1-1
91,Rachaad White,6,3,Sun,4,4,2022-10-02,23-263,TAM,,KAN,L 31-41,3,6,2,1,2,RB,3-91
92,Carson Wentz,5,1,Sun,4,4,2022-10-02,29-276,WAS,@,DAL,L 10-25,1,5,5,0,0,QB,1-2
93,Davante Adams,4,1,Sun,4,4,2022-10-02,29-282,LVR,,DEN,W 32-23,1,4,4,0,0,WR,2-53
94,Treylon Burks,4,1,Sun,4,4,2022-10-02,22-193,TEN,@,IND,W 24-17,1,4,4,0,1,WR,1-18
95,Andy Dalton,3,1,Sun,4,4,2022-10-02,34-338,NOR,,MIN,L 25-28,1,3,3,0,0,QB,2-35
96,Jimmy Garoppolo,3,1,Mon,4,4,2022-10-03,30-335,SFO,,LAR,W 24-9,1,3,3,0,1,QB,2-62
97,Justin Jackson,3,2,Sun,4,4,2022-10-02,26-163,DET,,SEA,L 45-48,2,3,1.5,0,0,RB,7-251
98,Justin Jefferson,3,1,Sun,4,4,2022-10-02,23-108,MIN,@,NOR,W 28-25,1,3,3,1,1,WR,1-22
99,Christian Kirk,3,1,Sun,4,4,2022-10-02,25-318,JAX,@,PHI,L 21-29,1,3,3,0,0,WR,2-47
100,Marcus Mariota,3,5,Sun,4,4,2022-10-02,28-337,ATL,,CLE,W 23-20,5,3,0.6,0,1,QB,1-2
101,Alexander Mattison,3,3,Sun,4,4,2022-10-02,24-105,MIN,@,NOR,W 28-25,3,3,1,0,0,RB,3-102
102,Kalif Raymond,3,1,Sun,4,4,2022-10-02,28-055,DET,,SEA,L 45-48,1,3,3,0,0,WR,
103,Patrick Ricard,3,1,Sun,4,4,2022-10-02,28-128,BAL,,BUF,L 20-23,1,3,3,0,1,FB,
104,D'Onta Foreman,2,1,Sun,4,4,2022-10-02,26-161,CAR,,ARI,L 16-26,1,2,2,0,,RB,3-89
105,Elijah Moore,2,1,Sun,4,4,2022-10-02,22-189,NYJ,@,PIT,W 24-20,1,2,2,0,0,WR,2-34
106,Deebo Samuel,2,2,Mon,4,4,2022-10-03,26-261,SFO,,LAR,W 24-9,2,2,1,0,0,WR,2-36
107,Jared Goff,1,1,Sun,4,4,2022-10-02,27-353,DET,,SEA,L 45-48,1,1,1,0,0,QB,1-1
108,Noah Gray,1,1,Sun,4,4,2022-10-02,23-155,KAN,@,TAM,W 41-31,1,1,1,1,1,TE,5-162
109,Aaron Rodgers,1,1,Sun,4,4,2022-10-02,38-304,GNB,,NWE,W 27-24 (OT),1,1,1,0,0,QB,1-24
110,Mitchell Trubisky,1,1,Sun,4,4,2022-10-02,28-043,PIT,,NYJ,L 20-24,1,1,1,0,0,QB,1-2
111,Gary Brightwell,0,1,Sun,4,4,2022-10-02,23-216,NYG,,CHI,W 20-12,1,0,0,0,,RB,6-196
112,Nyheim Hines,0,1,Sun,4,4,2022-10-02,25-324,IND,,TEN,L 17-24,1,0,0,0,,RB,4-104
113,Baker Mayfield,0,2,Sun,4,4,2022-10-02,27-171,CAR,,ARI,L 16-26,2,0,0,0,0,QB,1-1
114,Gunner Olszewski,0,1,Sun,4,4,2022-10-02,25-310,PIT,,NYJ,L 20-24,1,0,0,0,,WR,
115,Samaje Perine,0,1,Thu,4,4,2022-09-29,27-013,CIN,,MIA,W 27-15,1,0,0,0,,RB,4-114
116,Laviska Shenault Jr.,0,1,Sun,4,4,2022-10-02,23-362,CAR,,ARI,L 16-26,1,0,0,0,,WR,2-42
117,Tyreek Hill,-1,1,Thu,4,4,2022-09-29,28-212,MIA,@,CIN,L 15-27,1,-1,-1,0,0,WR,5-165
118,Jerick McKinnon,-1,2,Sun,4,4,2022-10-02,30-152,KAN,@,TAM,W 41-31,2,-1,-0.5,0,,RB,3-96
119,K.J. Osborn,-1,1,Sun,4,4,2022-10-02,25-114,MIN,@,NOR,W 28-25,1,-1,-1,0,0,WR,5-176
120,Leonard Fournette,-3,3,Sun,4,4,2022-10-02,27-257,TAM,,KAN,L 31-41,3,-3,-1,0,0,RB,1-4
121,Rondale Moore,-4,1,Sun,4,4,2022-10-02,22-115,ARI,@,CAR,W 26-16,1,-4,-4,0,,WR,2-49
122,Matt Ryan,-4,2,Sun,4,4,2022-10-02,37-138,IND,,TEN,L 17-24,2,-4,-2,0,0,QB,1-3
123,Justin Herbert,-5,4,Sun,4,4,2022-10-02,24-206,LAC,@,HOU,W 34-24,4,-5,-1.3,0,0,QB,1-6
124,David Njoku,-6,1,Sun,4,4,2022-10-02,26-084,CLE,@,ATL,L 20-23,1,-6,-6,0,0,TE,1-29
