,,Rushing,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Rashaad Penny,151,17,Sun,4,4,2022-10-02,26-242,SEA,@,DET,W 48-45,17,151,8.9,2,6,RB,1-27
2,Saquon Barkley,146,31,Sun,4,4,2022-10-02,25-235,NYG,,CHI,W 20-12,31,146,4.7,0,5,RB,1-2
3,Josh Jacobs,144,28,Sun,4,4,2022-10-02,24-233,LVR,,DEN,W 32-23,28,144,5.1,2,8,RB,1-24
4,Miles Sanders,134,27,Sun,4,4,2022-10-02,25-154,PHI,,JAX,W 29-21,27,134,5,2,7,RB,2-53
5,Dameon Pierce,131,14,Sun,4,4,2022-10-02,22-225,HOU,,LAC,L 24-34,14,131,9.4,1,2,RB,4-107
6,Nick Chubb,118,19,Sun,4,4,2022-10-02,26-279,CLE,@,ATL,L 20-23,19,118,6.2,1,6,RB,2-35
7,Derrick Henry,114,22,Sun,4,4,2022-10-02,28-271,TEN,@,IND,W 24-17,22,114,5.2,1,4,RB,2-45
8,Aaron Jones,110,16,Sun,4,4,2022-10-02,27-304,GNB,,NWE,W 27-24 (OT),16,110,6.9,0,7,RB,5-182
9,Jamaal Williams,108,19,Sun,4,4,2022-10-02,27-182,DET,,SEA,L 45-48,19,108,5.7,2,5,RB,4-134
10,Clyde Edwards-Helaire,92,19,Sun,4,4,2022-10-02,23-174,KAN,@,TAM,W 41-31,19,92,4.8,1,5,RB,1-32
11,Damien Harris,86,18,Sun,4,4,2022-10-02,25-233,NWE,@,GNB,L 24-27 (OT),18,86,4.8,1,4,RB,3-87
12,Tyler Allgeier,84,10,Sun,4,4,2022-10-02,22-170,ATL,,CLE,W 23-20,10,84,8.4,0,2,RB,5-151
13,Khalil Herbert,77,19,Sun,4,4,2022-10-02,24-164,CHI,@,NYG,L 12-20,19,77,4.1,0,2,RB,6-217
14,Dalvin Cook,76,20,Sun,4,4,2022-10-02,27-053,MIN,@,NOR,W 28-25,20,76,3.8,0,2,RB,2-41
15,Najee Harris,74,18,Sun,4,4,2022-10-02,24-207,PIT,,NYJ,L 20-24,18,74,4.1,0,2,RB,1-24
16,Jeff Wilson,74,18,Mon,4,4,2022-10-03,26-321,SFO,,LAR,W 24-9,18,74,4.1,1,2,RB,
17,AJ Dillon,73,17,Sun,4,4,2022-10-02,24-153,GNB,,NWE,W 27-24 (OT),17,73,4.3,0,2,RB,2-62
18,Lamar Jackson,73,11,Sun,4,4,2022-10-02,25-268,BAL,,BUF,L 20-23,11,73,6.6,0,4,QB,1-32
19,Josh Allen,70,11,Sun,4,4,2022-10-02,26-134,BUF,@,BAL,W 23-20,11,70,6.4,1,5,QB,1-7
20,Raheem Mostert,69,15,Thu,4,4,2022-09-29,30-173,MIA,@,CIN,L 15-27,15,69,4.6,0,2,RB,
21,Daniel Jones,68,6,Sun,4,4,2022-10-02,25-128,NYG,,CHI,W 20-12,6,68,11.3,2,5,QB,1-6
22,Breece Hall,66,17,Sun,4,4,2022-10-02,21-124,NYJ,@,PIT,W 24-20,17,66,3.9,1,5,RB,2-36
23,Rhamondre Stevenson,66,14,Sun,4,4,2022-10-02,24-221,NWE,@,GNB,L 24-27 (OT),14,66,4.7,0,5,RB,4-120
24,Isiah Pacheco,63,11,Sun,4,4,2022-10-02,22-214,KAN,@,TAM,W 41-31,11,63,5.7,0,,RB,7-251
25,Joe Mixon,61,24,Thu,4,4,2022-09-29,26-067,CIN,,MIA,W 27-15,24,61,2.5,1,4,RB,2-48
