,,Passing,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Geno Smith,132.6,30,Sun,4,4,2022-10-02,31-357,SEA,@,DET,W 48-45,23,30,7,76.7,320,2,0,,6.7,0,132.6,0,0,0,10.7,12,12,13.9,QB,2-39
2,Ryan Tannehill,125.6,21,Sun,4,4,2022-10-02,34-067,TEN,@,IND,W 24-17,17,21,4,81,137,2,0,,9.5,0,125.6,3,21,12.5,6.5,8.43,6.5,8.1,QB,1-8
3,Russell Wilson,124.9,25,Sun,4,4,2022-10-02,33-307,DEN,@,LVR,L 23-32,17,25,8,68,237,2,0,,8,0,124.9,3,23,10.71,9.5,11.08,9.07,13.9,QB,3-75
4,Jared Goff,121.5,39,Sun,4,4,2022-10-02,27-353,DET,,SEA,L 45-48,26,39,13,66.7,378,4,1,1,10.3,2.6,121.5,1,9,2.5,9.7,10.59,10.1,14.5,QB,1-1
5,Braxton Berrios,118.7,1,Sun,4,4,2022-10-02,26-361,NYJ,@,PIT,W 24-20,1,1,0,100,2,1,0,,100,0,118.7,0,0,0,2,22,22,2,WR,6-210
6,Tyler Boyd,118.7,1,Thu,4,4,2022-09-29,27-318,CIN,,MIA,W 27-15,1,1,0,100,23,0,0,,0,0,118.7,0,0,0,23,23,23,23,WR,2-55
7,Ryan Wright,118.7,1,Sun,4,4,2022-10-02,22-123,MIN,@,NOR,W 28-25,1,1,0,100,13,0,0,,0,0,118.7,0,0,0,13,13,13,13,P,
8,Joe Burrow,115.9,31,Thu,4,4,2022-09-29,25-293,CIN,,MIA,W 27-15,20,31,11,64.5,287,2,0,,6.5,0,115.9,1,6,3.13,9.3,10.55,10.03,14.4,QB,1-1
9,Tom Brady,114.7,52,Sun,4,4,2022-10-02,45-060,TAM,,KAN,L 31-41,39,52,13,75,385,3,0,,5.8,0,114.7,1,12,1.89,7.4,8.56,8.17,9.9,QB,6-199
10,Justin Herbert,113.2,39,Sun,4,4,2022-10-02,24-206,LAC,@,HOU,W 34-24,27,39,12,69.2,340,2,0,,5.1,0,113.2,1,2,2.5,8.7,9.74,9.45,12.6,QB,1-6
11,Matt Ryan,109.7,37,Sun,4,4,2022-10-02,37-138,IND,,TEN,L 17-24,27,37,10,73,356,2,1,,5.4,2.7,109.7,3,29,7.5,9.6,9.49,8.05,13.2,QB,1-3
12,Andy Dalton,108.6,28,Sun,4,4,2022-10-02,34-338,NOR,,MIN,L 25-28,20,28,8,71.4,236,1,0,,3.6,0,108.6,2,9,6.67,8.4,9.14,8.23,11.8,QB,2-35
13,Cooper Rush,107.5,27,Sun,4,4,2022-10-02,28-315,DAL,,WAS,W 25-10,15,27,12,55.6,223,2,0,,7.4,0,107.5,1,6,3.57,8.3,9.74,9.18,14.9,QB,
14,Bailey Zappe,107.4,15,Sun,4,4,2022-10-02,23-159,NWE,@,GNB,L 24-27 (OT),10,15,5,66.7,99,1,0,,6.7,0,107.4,3,24,16.67,6.6,7.93,5.28,9.9,QB,4-137
15,Jimmy Garoppolo,100.7,27,Mon,4,4,2022-10-03,30-335,SFO,,LAR,W 24-9,16,27,11,59.3,239,1,0,,3.7,0,100.7,0,0,0,8.9,9.59,9.59,14.9,QB,2-62
