player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,PIT,22.034826511863237,40,237.14705882352942,1.7647058823529411,47.665912177455866,0.3264705882352941,3,0.8823529411764706,0.5508706627965809
Justin Herbert,QB,Los Angeles Chargers,CLE,19.52643338251331,34,248.61764705882354,1.9705882352941178,17.87609853101546,0.1519607843137255,1,0.8823529411764706,0.574306864191568
Tom Brady,QB,Tampa Bay Buccaneers,ATL,19.83376559714795,28,272.5882352941176,2.176470588235294,5.57687165775401,0.12091503267973856,3,0.7058823529411765,0.7083487713267125
Patrick Mahomes,QB,Kansas City Chiefs,LV,19.66429817962991,38,253.76470588235293,1.941176470588235,22.342981796299078,0.125,4,0.7647058823529411,0.5174815310428924
Aaron Rodgers,QB,Green Bay Packers,NYG,19.103152335377473,27,241.50551470588235,1.9503676470588234,6.799226973684211,0.20192307692307693,0,0.25,0.707524160569536
Matthew Stafford,QB,Los Angeles Rams,DAL,17.19412988011604,26,262.79411764705884,1.9117647058823528,2.706004683513334,0,2,1,0.6613126876967708
Dak Prescott,QB,Dallas Cowboys,LAR,16.891778100102712,31,259.8841911764706,1.65625,8.339104530438886,0.06875,6,0.625,0.5448960677452488
Joe Burrow,QB,Cincinnati Bengals,BAL,19.467045168670225,35,283.56433823529414,1.9742647058823528,6.727253157290471,0.11328125,2,0.875,0.556201290533435
Jalen Hurts,QB,Philadelphia Eagles,ARI,20.56855190842451,38,212.00588235294117,1.4156862745098038,44.92238182934315,0.4666666666666666,2,0.6,0.541277681800645
Kyler Murray,QB,Arizona Cardinals,PHI,20.59248889125894,33,245.72058823529412,1.6806722689075628,28.453241123038808,0.31832298136645965,0,0.7142857142857143,0.6240148148866346
Kirk Cousins,QB,Minnesota Vikings,CHI,17.398005848064617,28,227.70036764705884,1.9430147058823528,7.554323186528498,0.075,2,0.4375,0.6213573517165935
Ryan Tannehill,QB,Tennessee Titans,WAS,18.03472769169883,26,237.26470588235293,1.6176470588235294,13.804565919545855,0.3312020460358056,4,0.8235294117647058,0.6936433727576473
Carson Wentz,QB,Washington Football Team,TEN,15.536544378360457,27,227.41176470588238,1.5,10.73557953021092,0.06108597285067873,5,0.4117647058823529,0.5754275695689058
Derek Carr,QB,Las Vegas Raiders,KC,15.859746807814034,30,266.9705882352941,1.4705882352941178,7.103350431081523,0,5,0.8235294117647058,0.5286582269271345
Russell Wilson,QB,Denver Broncos,IND,17.84258263305323,25,228.2373949579832,1.8340336134453783,12.51952380952381,0.11607142857142858,1,0.42857142857142855,0.7137033053221292
Lamar Jackson,QB,Baltimore Ravens,CIN,20.270769740328568,38,244.25980392156862,1.4313725490196076,54.41554054054054,0.15277777777777776,3,1.0833333333333333,0.5334413089560149
Jimmy Garoppolo,QB,San Francisco 49ers,CAR,14.806076579712718,24,223.05882352941177,1.4313725490196076,3.2186980609418283,0.17272727272727273,3,0.8,0.6169198574880299
Mac Jones,QB,New England Patriots,DET,15.267929280498812,24,234.14705882352942,1.5588235294117647,7.8439986873410446,0,3,0.7647058823529411,0.6361637200207838
Matt Ryan,QB,Indianapolis Colts,DEN,13.39889932207672,20,224.11764705882354,1.2352941176470589,4.208244557665585,0.04144385026737968,4,0.7058823529411765,0.6699449661038359
Taylor Heinicke,QB,Washington Football Team,TEN,15.485700706488444,21,231.15732959850607,1.3408029878618115,16.869403818457677,0.06593406593406592,2,0.9523809523809523,0.7374143193565926
Teddy Bridgewater,QB,Miami Dolphins,NYJ,17.144506463299606,25,238.6764705882353,1.4663865546218489,9.46187135568513,0.23809523809523805,1,0.5,0.6857802585319842
