player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,NYJ,23.83955156711847,37,259.29411764705884,1.8823529411764706,46.32492743589061,0.4235294117647059,3,0.8823529411764706,0.6443122045167154
Justin Herbert,QB,Los Angeles Chargers,MIA,19.42186477644493,34,261.3235294117647,1.7941176470588236,17.924530117390468,0.16666666666666669,1,0.8823529411764706,0.5712313169542627
Tom Brady,QB,Tampa Bay Buccaneers,SF,18.49998968008256,25,259.5882352941176,2,4.890092879256965,0.11437908496732026,3,0.7058823529411765,0.7399995872033024
Patrick Mahomes,QB,Kansas City Chiefs,DEN,18.45183014893937,34,249.73529411764704,1.7352941176470589,22.05065443057018,0.09191176470588236,4,0.7647058823529411,0.5427008867335108
Matthew Stafford,QB,Los Angeles Rams,LV,17.47836146936493,26,255.14705882352942,2.0588235294117645,2.724791164237531,0,2,1,0.6722446718986512
Dak Prescott,QB,Dallas Cowboys,HOU,18.308128834355827,29,260.1194852941177,1.9503676470588234,9.768788343558283,0.08333333333333334,6,0.625,0.6313147873915802
Joe Burrow,QB,Cincinnati Bengals,CLE,17.78792798591882,37,245.2408088235294,1.9154411764705883,7.618434270952927,0.11328125,2,0.875,0.4807548104302384
Jalen Hurts,QB,Philadelphia Eagles,NYG,21.075821471129885,39,217.71176470588233,1.3274509803921568,47.24213627992633,0.5333333333333332,2,0.6,0.5404056787469201
Kyler Murray,QB,Arizona Cardinals,NE,18.86898671016534,30,228.80882352941177,1.4747899159663866,30.41076589595376,0.24844720496894412,0,0.7142857142857143,0.628966223672178
Kirk Cousins,QB,Minnesota Vikings,DET,18.585577377323986,30,254.2591911764706,1.9430147058823528,7.8690090673575135,0.090625,2,0.4375,0.6195192459107995
Ryan Tannehill,QB,Tennessee Titans,JAX,16.86537788681269,26,223.79411764705884,1.323529411764706,14.967333855339142,0.40281329923273657,4,0.8235294117647058,0.6486683802620266
Derek Carr,QB,Las Vegas Raiders,LAR,14.44220670086216,27,262.1470588235294,1.1764705882352942,6.622067008621629,0,5,0.8235294117647058,0.5348965444763762
Russell Wilson,QB,Denver Broncos,KC,17.77978073451603,22,236.85504201680672,1.6869747899159664,12.987513227513226,0.13839285714285715,1,0.42857142857142855,0.8081718515689105
