Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
Christian McCaffrey,RB,SF,NO,16.351635362369475,37,5.304753768844222,43.11666496815287,0.179525,61.10441981132075,0.4,0.1,9.75,0.4419360908748507,Home
Najee Harris,RB,PIT,IND,11.232999782594472,17,2.655948936170213,13.53142661448141,0.2534857142857143,56.13418367346939,0.302925,0.2,10,0.6607646930937925,Away
Derrick Henry,RB,TEN,CIN,18.31665224298789,37,2.0106,21.97397944377267,0,97.39408844065167,0.9290909090909091,0.1,10,0.49504465521588886,Home
Leonard Fournette,RB,TB,CLE,16.87214848210481,19,3.7766808510638294,28.995644922164566,0.3195,62.61243564356436,0.651,0,9.75,0.8880078148476215,Away
Josh Jacobs,RB,LV,SEA,19.796788044623355,26,3.370663716814159,24.833971974522292,0,104.58058988764046,0.895,0.1,10,0.7614149247932059,Away
Saquon Barkley,RB,NYG,DAL,15.26004649515804,32,3.211701086956522,20.870659898477157,0,90.31129961832062,0.45599999999999996,0.1,10,0.47687645297368875,Away
Nick Chubb,RB,CLE,TB,15.117785231220484,33,1.588281690140845,12.814914537444933,0,84.11777932405566,0.8050625,0.1,10,0.4581147039763783,Home
Aaron Jones,RB,GB,PHI,13.43266542619218,25,3.5394973451327436,20.767105263157895,0.2255670520231214,70.6100391517129,0.2853,0.27,11,0.5373066170476872,Away
Austin Ekeler,RB,LAC,ARI,20.47993765884373,34,6.579411552346571,42.511253980288096,0.43022499999999997,59.797064846416376,0.8296749999999999,0.3,10,0.6023511076130509,Away
Dalvin Cook,RB,MIN,NE,13.679096351478522,26,1.9672631578947368,13.470411238825031,0.09442857142857143,83.1785222007722,0.444,0.1,10,0.5261190904414816,Home
Tony Pollard,RB,DAL,NYG,14.74444668393485,27,2.079213197969543,24.408618911174788,0.182,70.03978193832599,0.528,0,8.25,0.546090617923513,Home
Travis Etienne Jr,RB,JAX,BAL,11.054460090286119,26,2.271814977973569,21.162630727762803,0,61.724713467048716,0.37163636363636365,0.3,8.75,0.42517154193408147,Home
Rhamondre Stevenson,RB,NE,MIN,15.405129785376962,24,4.405691176470588,31.853455489614248,0.12166666666666667,65.74938648180243,0.45199999999999996,0,8.25,0.6418804077240401,Away
Joe Mixon,RB,CIN,TEN,14.488275312380804,27,4.0938735632183905,31.19687799483966,0.18581818181818183,57.29941640378549,0.4128,0,10,0.5366027893474372,Away
Dameon Pierce,RB,HOU,MIA,14.622335476666885,21,2.5567684729064037,14.803922996878251,0.11772727272727274,85.53195304162219,0.5339999999999999,0.3,10,0.6963016893650897,Away
Alvin Kamara,RB,NO,SF,12.731191929135859,23,4.771564705882353,40.36121094736842,0.178835838150289,49.91161257434154,0.11418536585365854,0.22,8.75,0.5535300838754721,Away
Miles Sanders,RB,PHI,GB,11.325530415759086,19,1.169427135678392,4.038267426567295,0,74.31190105263158,0.4843,0,9.75,0.5960805481978466,Home
Jonathan Taylor,RB,IND,PIT,12.827337610194737,25,2.5048161417322836,13.149373315363881,0,88.20828571428571,0.3665272727272727,0.38,8,0.5130935044077894,Home
Jeff Wilson Jr,RB,MIA,HOU,12.730058961018079,21,1.358625,12.099787610619469,0.07771428571428571,84.47981985670418,0.38774999999999993,0.2,9,0.6061932838580038,Home
Antonio Gibson,RB,WAS,ATL,12.21535775815817,17,3.581476056338028,28.50973784556721,0.1846455882352941,41.34997416020671,0.38846250000000004,0,9.75,0.7185504563622453,Home
Jamaal Williams,RB,DET,BUF,12.491104581714367,24,0.9300857142857144,5.576394354148846,0,61.660222891566264,0.9503999999999999,0.2,9,0.5204626909047653,Home
David Montgomery,RB,CHI,NYJ,9.234185649391637,19,2.3054400000000004,24.915231850117095,0,41.39186558868115,0.2751259842519685,0.1,10,0.4860097710206125,Away
Devin Singletary,RB,BUF,DET,11.21602265458422,18,2.9122500000000002,21.164,0.09071428571428572,50.75211940298507,0.404,0.2,10,0.6231123696991233,Away
Kenneth Walker III,RB,SEA,LV,13.55456763385882,29,2.044086956521739,11.786438981562775,0,64.91360257441673,0.81042,0,8,0.4673988839261662,Home
Raheem Mostert,RB,MIA,HOU,11.811458263787078,20,1.539775,10.587314159292037,0.07771428571428571,71.9005363357216,0.38774999999999993,0,9.5,0.5905729131893539,Home
Tyler Allgeier,RB,ATL,WAS,7.015909433036202,14,1.131830985915493,9.806842718446601,0.11520338983050848,42.94015934755332,0.08067889908256881,0,8.5,0.5011363880740144,Away
AJ Dillon,RB,GB,PHI,6.588769553604015,13,1.5072035398230088,9.146756140350877,0,42.445921696574224,0.14265,0.09,8.75,0.5068284272003089,Away
Michael Carter,RB,NYJ,CHI,9.111562157237572,18,2.5026969696969696,19.22352258064516,0,38.885814143245696,0.37488,0.1,9.5,0.5061978976243096,Home
Melvin Gordon III,RB,DEN,CAR,7.777831972866901,14,2.6248768472906403,22.171760053619302,0,35.9581754385965,0.2754,0.5,9,0.55555942663335,Away
Ezekiel Elliott,RB,DAL,NYG,10.915508513379088,17,0.8712893401015228,4.650695702005731,0,60.547942731277544,0.66,0,8,0.6420887360811228,Home
James Conner,RB,ARI,LAC,11.067695063116757,23,2.723690036900369,18.820670852017933,0,50.794972451790635,0.5407142857142857,0.25,8,0.4812041331789894,Home
Cordarrelle Patterson,RB,ATL,WAS,10.138667221940803,16,1.2902873239436619,7.4058570873786405,0,55.96016750313677,0.5728201834862385,0.14,6.75,0.6336667013713002,Away
Kareem Hunt,RB,CLE,TB,7.672946793479142,13,2.183887323943662,14.039869603524231,0.11772727272727274,31.532775347912526,0.2195625,0,7.5,0.5902266764214725,Home
Eno Benjamin,RB,HOU,MIA,8.710828978178792,11,2.5567684729064037,20.17719875130073,0,32.787248665955175,0.356,0,8.25,0.7918935434707993,Away
D Onta Foreman,RB,CAR,DEN,6.374175348272642,20,0.40345714285714285,2.327002222222222,0,41.592894117647056,0.29674285714285714,0,9.25,0.3187087674136321,Home
James Robinson,RB,NYJ,CHI,8.95013515407637,17,1.0588333333333333,5.053606451612903,0.20702,46.23957842248413,0.37488,0.1,8.75,0.5264785384750806,Home
