Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Patrick Mahomes,QB,KC,LAR,24.158576963350786,37,310.03,2.59,23.198769633507855,0.09625,0.4,0.7,10,0.6529345125229942,Home
Josh Allen,QB,BUF,DET,24.69171231343283,42,288.38,2.025,49.36512313432836,0.45333333333333337,0.8,1,10,0.5878979122245912,Away
Joe Burrow,QB,CIN,TEN,21.929093375394324,35,285.67,2.14,14.302933753943218,0.35200000000000004,0.4,0.8,10,0.6265455250112664,Away
Tom Brady,QB,TB,CLE,15.5458,26,270.645,1.23,0,0,0,0.2,10,0.5979153846153846,Away
Justin Herbert,QB,LAC,ARI,16.98186757679181,30,268.86,1.6465,9.414675767918089,0,0.3,0.7,10,0.566062252559727,Away
Aaron Rodgers,QB,GB,PHI,14.071515171288743,23,223.195,1.6204999999999998,5.817151712887439,0,0.64,0.64,11,0.6118050074473367,Away
Geno Smith,QB,SEA,LV,18.282516975060336,33,247.43,1.6999999999999997,21.76316975060338,0.1015,0.4,0.4,10,0.5540156659109192,Home
Kirk Cousins,QB,MIN,NE,14.765090926640926,30,237.43,1.3699999999999999,5.0789092664092665,0.18000000000000002,0.5,0.8,10,0.4921696975546975,Home
Matt Ryan,QB,IND,PIT,13.72517142857143,24,271.505,1.2735,5.599714285714286,0.1085,1.22,1,9,0.5718821428571429,Home
Jared Goff,QB,DET,BUF,14.15517078313253,22,240.69,1.4549999999999998,4.0757078313253015,0,0.5,0.7,10,0.6434168537787514,Home
Derek Carr,QB,LV,SEA,15.255688483146068,26,241.33999999999997,1.5,7.020884831460674,0,0.3,0.5,10,0.5867572493517719,Away
Jalen Hurts,QB,PHI,GB,22.421768421052633,35,233.47,1.4925,43.689684210526316,0.7406666666666667,0.7,0.3,10,0.6406219548872181,Home
Jacoby Brissett,QB,CLE,TB,15.427908648111337,25,232.84,1.175,20.380586481113323,0.179375,0.6,0.5,10,0.6171163459244535,Home
Trevor Lawrence,QB,JAX,BAL,16.26355837457671,27,235.85999999999999,1.3,16.78249283667622,0.2918181818181818,0.6,0.6,10,0.6023540138732115,Home
Tua Tagovailoa,QB,MIA,HOU,18.692204298874106,33,272.24,2.0475,4.9260429887410435,0,0.25,0.38,8,0.5664304332992154,Home
