Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,games,ex_ppd,home_away
Taysom Hill,TE,NO,PIT,1.0302473811290223,16,0.38083700440528634,2.1240372922578032,0.14790419161676646,0.13,6.75,0.06439046132056389,Away
Justin Jefferson,WR,MIN,BUF,15.110665016297222,36,6.833880000000001,98.54338513229737,0.3065644171779141,0,8,0.41974069489714505,Away
Chase Claypool,WR,CHI,DET,9.163853573580564,15,5.408780487804877,56.44868735083532,0.13576576576576574,0,8.75,0.6109235715720376,Home
Amari Cooper,WR,CLE,MIA,15.423553322957403,24,5.298627450980392,72.97535052012663,0.912784090909091,0,8,0.6426480551232251,Away
Christian Kirk,WR,JAX,KC,13.764072059366724,21,5.149363636363637,67.96275487086542,0.7688524590163935,0.11,9,0.6554320028269869,Away
Cooper Kupp,WR,LAR,ARI,21.278323079231694,39,9.055102040816326,109.95772058823529,1.0425,0.25,8,0.5455980276726076,Home
Tyreek Hill,WR,MIA,CLE,15.653062947931216,37,7.55344537815126,104.87590258855586,0.268125,0.11,9,0.42305575534949236,Home
Stefon Diggs,WR,BUF,MIN,17.678762555708328,36,7.406639004149378,100.64686751112632,0.6951260504201681,0.13,8,0.4910767376585647,Home
Jaylen Waddle,WR,MIA,CLE,13.091794014608569,30,4.6716806722689075,77.09703678474115,0.544375,0.11,9,0.4363931338202856,Home
A J Brown,WR,PHI,WAS,16.04329171657792,31,5.209414634146341,85.18584399504746,0.8200000000000001,0,7.75,0.517525539244449,Home
Travis Kelce,TE,KC,JAX,14.47057287583714,32,6.453430656934307,72.68800513149455,0.662509505703422,0,8,0.45220540236991064,Home
Davante Adams,WR,LV,IND,14.940312904196427,25,5.705357142857142,75.84156071898289,0.7939130434782609,0.13,8,0.597612516167857,Home
Terry McLaurin,WR,WAS,PHI,9.168178870695735,19,4.1163839285714285,61.75974930362117,0.19233532934131736,0.11,9,0.48253573003661765,Away
Chris Olave,WR,NO,PIT,12.351916071055872,26,5.391850220264317,82.09404134576408,0.28443113772455086,0.13,7.5,0.4750736950406104,Away
Mike Evans,WR,TB,SEA,12.112652509736286,22,4.852941176470589,70.67263002582072,0.43648648648648647,0,8,0.5505751140789221,Home
