Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Patrick Mahomes,QB,KC,JAX,20.945004830917878,38,281.95000000000005,1.98,22.170048309178743,0.13,0.25,0.75,8,0.5511843376557336,Home
Tom Brady,QB,TB,SEA,15.168,26,254.45,1.275,0,0,0,0.11,9,0.5833846153846154,Home
Josh Allen,QB,BUF,MIN,24.049765084473048,41,278.65,1.88,46.43765084473049,0.5833333333333333,0.88,1,8,0.5865796362066598,Home
Justin Herbert,QB,LAC,SF,14.381049382716048,33,240.55,1.315,6.2904938271604935,0,0.25,0.63,8,0.43578937523381966,Away
Geno Smith,QB,SEA,TB,16.608426695754048,31,216.05,1.615,21.099402092675636,0.08274774774774775,0.33,0.44,9,0.5357556998630338,Away
Kyler Murray,QB,ARI,LAR,16.563923076923075,30,227.45,1.29,36.72846153846154,0.18051282051282053,0.89,0.67,9,0.5521307692307692,Away
Aaron Rodgers,QB,GB,DAL,11.920787903893954,25,205.35000000000002,1.28,7.06787903893952,0,0.67,0.78,9,0.47683151615575814,Home
Trevor Lawrence,QB,JAX,KC,17.225354848796176,27,240.05,1.6749999999999998,14.321253405994549,0.2502049180327869,0.67,0.67,9,0.6379761055109695,Away
Jalen Hurts,QB,PHI,WAS,20.840935483870968,38,236.35000000000002,1.6400000000000001,35.91935483870967,0.4575,0.63,0.25,8,0.5484456706281834,Home
Jared Goff,QB,DET,CHI,13.336730425055928,25,227.89999999999998,1.4300000000000002,3.807304250559284,0,0.5,0.88,8,0.5334692170022372,Away
Matt Ryan,QB,IND,LV,13.177528835063441,20,271.1,1.645,1.8352883506343716,0,1.57,1.29,7,0.6588764417531721,Away
Kirk Cousins,QB,MIN,BUF,14.513752450980395,28,222.35000000000002,1.315,4.817524509803922,0.188,0.25,0.75,8,0.5183483018207283,Away
Tua Tagovailoa,QB,MIA,CLE,16.19814269275029,33,245.6,1.695,6.041426927502877,0,0.29,0.43,7,0.49085280887122096,Home
Matthew Stafford,QB,LAR,ARI,14.297044736842105,24,247.2,1.3900000000000001,0.8464473684210525,0.17073333333333335,0.63,1,8,0.595710197368421,Home
Derek Carr,QB,LV,IND,12.989574796010881,24,213.65,1.245,8.535747960108797,0,0.38,0.63,8,0.54123228316712,Home
Jacoby Brissett,QB,CLE,MIA,15.545489490964554,24,239.35000000000002,1.275,15.247873633049819,0.20611702127659576,0.63,0.63,8,0.6477287287901897,Away
