,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
33,Deebo Samuel,SFO,26,WR,2,2,6.5,3.5,29,8.3,0,1,15,3.5,29,53.8%,4.5,6,52.5,0.5,2,51,8.8,52.5,6,9.5,8.6,81.5,1,1
34,Corey Davis,NYJ,27,WR,2,1,7,4,80,20,0.5,3.5,66,4,80,57.1%,11.4,,,,0,,,,,4,20,80,1,0
35,Drake London,ATL,21,WR,2,1,9.5,6.5,80,12.3,0.5,4,31,6.5,80,68.4%,8.4,,,,0,,,,,6.5,12.3,80,1,0
36,Mark Andrews,BAL,27,TE,2,2,9,7,78,11.1,0.5,4.5,25,7,78,77.8%,8.7,0.5,1.5,0,0.5,3,3,1.5,0.5,7.5,10.6,79.5,1,0
37,Noah Brown,DAL,26,WR,2,2,7,5,79.5,15.9,0.5,4.5,28,5,79.5,71.4%,11.4,,,,0,,,,,5,15.9,79.5,1,0
38,AJ Dillon,GNB,24,RB,2,0,4.5,3,26,8.7,0,1,12,3,26,66.7%,5.8,14,53,0.5,4.5,14,3.8,53,14,17,4.6,79,1,0
39,Jakobi Meyers,NWE,26,WR,2,2,9.5,6.5,75,11.5,0,3,27,6.5,75,68.4%,7.9,0.5,3.5,0,0.5,7,7,3.5,0.5,7,11.2,78.5,0,0
40,Josh Jacobs,LVR,24,RB,2,2,1,1,14,14,0,0.5,16,1,14,100.0%,14,14.5,63,0,2.5,18,4.3,63,14.5,15.5,5,77,0,0
41,Davante Adams,LVR,30,WR,2,2,12,6,76.5,12.8,1,5,41,6,76.5,50.0%,6.4,,,,0,,,,,6,12.8,76.5,2,0
42,Garrett Wilson,NYJ,22,WR,2,1,11,6,77,12.8,1,4,31,6,77,54.5%,7,0.5,-1,0,0,-2,-2,-1,0.5,6.5,11.7,76,2,0
43,Michael Carter,NYJ,23,RB,2,2,7,6,33.5,5.6,0,3,12,6,33.5,85.7%,4.8,8.5,41.5,0,1,22,4.9,41.5,8.5,14.5,5.2,75,0,0
44,Jalen Hurts,PHI,24,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,14,73.5,1.5,4.5,26,5.3,73.5,14,14,5.3,73.5,3,0.5
45,James Robinson,JAX,24,RB,2,2,2,1.5,8.5,5.7,0.5,1,10,1.5,8.5,75.0%,4.3,17,65,1,4,37,3.8,65,17,18.5,4,73.5,3,0
46,Damien Harris,NWE,25,RB,2,2,2.5,2,13,6.5,0,1,11,2,13,80.0%,5.2,12,59.5,0.5,3,16,5,59.5,12,14,5.2,72.5,1,0
47,Dalvin Cook,MIN,27,RB,2,2,5.5,3.5,18.5,5.3,0,1.5,14,3.5,18.5,63.6%,3.4,13,53.5,0,3,16,4.1,53.5,13,16.5,4.4,72,0,0
48,Dallas Goedert,PHI,27,TE,2,2,5,4,71,17.8,0,3.5,27,4,71,80.0%,14.2,,,,0,,,,,4,17.8,71,0,0
49,Terry McLaurin,WAS,27,WR,2,2,6,3,66.5,22.2,0.5,2.5,49,3,66.5,50.0%,11.1,0.5,3.5,0,0.5,7,7,3.5,0.5,3.5,20,70,1,0
50,Jarvis Landry,NOR,30,WR,2,1,7,5.5,69.5,12.6,0,2,40,5.5,69.5,78.6%,9.9,,,,0,,,,,5.5,12.6,69.5,0,0
51,Nelson Agholor,NWE,29,WR,2,0,5.5,4.5,69,15.3,0.5,2,44,4.5,69,81.8%,12.5,,,,0,,,,,4.5,15.3,69,1,0.5
52,Pat Freiermuth,PIT,24,TE,3,3,7,3.67,46,12.5,0.33,2,31,3.7,46,52.4%,6.6,,,,0,,,,,3.67,12.5,46,1,0
53,Brandin Cooks,HOU,29,WR,2,2,11,5.5,68,12.4,0,3,42,5.5,68,50.0%,6.2,,,,0,,,,,5.5,12.4,68,0,0
54,Lamar Jackson,BAL,25,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,7.5,68,0.5,2.5,79,9.1,68,7.5,7.5,9.1,68,1,0.5
55,Tyler Lockett,SEA,30,WR,2,2,7.5,6,67.5,11.3,0,4,27,6,67.5,80.0%,9,,,,0,,,,,6,11.3,67.5,0,0
56,Robbie Anderson,CAR,29,WR,2,2,6.5,4,67,16.8,0.5,1,75,4,67,61.5%,10.3,,,,0,,,,,4,16.8,67,1,0.5
