Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
30,Cooper Rush,DAL,29,QB,2,1,1-0-0,13,22,59.1,149.5,0.5,2.3,0,0,6.5,46,6.8,7.3,11.5,149.5,87.2,72.4,1.5,8.5,6.4,6,6.43,0,0.5
31,Trey Lance,SFO,22,QB,2,2,1-1-0,7.5,15.5,48.4,97,0,0,0.5,3.2,3,44,6.3,4.8,12.9,97,55,43.1,1,4.5,6.1,5.61,4.24,,
32,Justin Fields,CHI,23,QB,2,2,1-1-0,7.5,14,53.6,95.5,1,7.1,1,7.1,3,51,6.8,5,12.7,95.5,69.2,24.3,2.5,19,15.2,4.64,3.12,0.5,0.5
33,Jimmy Garoppolo,SFO,31,QB,1,0,,13,21,61.9,154,1,4.8,0,0,7,38,7.3,8.3,11.8,154,100.1,60.3,1,0,4.5,7,7.91,,
34,Dak Prescott,DAL,29,QB,1,1,0-1-0,14,29,48.3,134,0,0,1,3.4,6,22,4.6,3.1,9.6,134,47.2,28.3,2,13,6.5,3.9,2.45,,
35,Jordan Love,GNB,24,QB,1,0,,4,5,80,65,0,0,0,0,4,25,13,13,16.3,65,118.7,72,0,0,0,13,13,,
36,Braden Mann,NYJ,25,P,2,0,,0.5,0.5,100,8.5,0,0,0,0,0.5,17,17,17,17,8.5,118.7,,0,0,0,17,17,,
37,Trace McSorley,ARI,27,QB,1,0,,2,4,50,12,0,0,0,0,1,10,3,3,6,12,56.2,54.5,1,8,20,0.8,0.8,,
38,Malik Willis,TEN,23,QB,1,0,,1,4,25,6,0,0,0,0,0,6,1.5,1.5,6,6,39.6,1.5,0,0,0,1.5,1.5,,
39,DeeJay Dallas,SEA,24,RB,2,0,,0,0.5,0,0,0,0,0.5,100,0,0,0,-45,,0,0,0,0,0,0,0,-45,,
40,Case Keenum,BUF,34,QB,1,0,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,1.4,0,0,0,0,0,,
