Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Tom Brady,QB,TB,BAL,16.134000000000004,28,275.1,1.315,0,0,0,0.13,8,0.5762142857142859,Home
Joe Burrow,QB,CIN,CLE,22.23231991491282,38,255,1.6400000000000001,23.72883295194508,0.7782394366197183,0.43,0.71,7,0.5850610503924427,Away
Matt Ryan,QB,IND,WAS,12.433148765432101,24,252.25,1.645,1.9314876543209878,0,1.57,1.29,7,0.5180478652263375,Home
Josh Allen,QB,BUF,GB,22.674027164685903,37,249.45,1.845,46.76027164685908,0.495,0.83,0.67,6,0.6128115449915109,Home
Geno Smith,QB,SEA,NYG,15.562443795620442,29,227.8,1.2850000000000001,19.410437956204376,0.1099,0.43,0.43,7,0.536635992952429,Home
Trevor Lawrence,QB,JAX,DEN,13.098013100436681,23,208.5,0.86,10.930131004366812,0.3225,0.57,0.57,7,0.5694788304537688,Home
Kyler Murray,QB,ARI,MIN,17.854128712059065,33,255.05,1,36.15028712059065,0.33785,0.71,0.57,7,0.5410342033957293,Away
Lamar Jackson,QB,BAL,TB,20.98226273605621,33,199.2,1.755,62.173309178743956,0.21448863636363635,0.38,0.75,8,0.6358261435168548,Away
Aaron Rodgers,QB,GB,BUF,11.427059383499545,24,216.7,1.2,1.090593834995467,0,0.86,0.43,7,0.47612747431248104,Away
Jacoby Brissett,QB,CLE,CIN,12.290081027752755,20,214.2,0.86,16.064669926650367,0.08760233918128656,0.57,0.71,7,0.6145040513876378,Home
Jared Goff,QB,DET,MIA,15.22252299245024,30,259.45,1.7000000000000002,3.8452299245024024,0,0.67,1,6,0.5074174330816746,Home
Matthew Stafford,QB,LAR,SF,10.796010638297874,23,233.3,1,1.3401063829787234,0,0.67,1.33,6,0.46939176688251627,Home
Derek Carr,QB,LV,NO,14.708256809338524,28,235.3,1.4649999999999999,11.062568093385215,0,0.5,0.67,6,0.5252948860478044,Away
Jalen Hurts,QB,PHI,PIT,23.031736381897673,39,263.85,1.4300000000000002,42.99717948717949,0.631336405529954,0.5,0.33,6,0.5905573431255814,Home
