Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
Saquon Barkley,RB,NYG,SEA,18.26072524313549,39,3.994060773480662,32.767899316345556,0,96.61323529411764,0.6009302325581395,0.14,7,0.46822372418296127,Away
Nick Chubb,RB,CLE,CIN,14.960626524038705,36,1.2437081339712919,9.295487406716418,0,91.29223716381418,0.7133333333333333,0,7,0.41557295900107516,Home
Josh Jacobs,RB,LV,NO,19.80548541548824,29,3.145,22.446585672392125,0,103.28326848249027,1,0.17,6,0.6829477729478703,Away
Christian McCaffrey,RB,SF,LAR,14.326257008639214,33,5.0126903553299496,39.595603926589845,0.12426356589147289,57.389560894780445,0.22930232558139535,0,6.75,0.43412900026179435,Away
Breece Hall,RB,NYJ,NE,14.728713384920237,24,2.5719907407407403,30.700537132181225,0.17010000000000003,71.66482905982906,0.4109302325581395,0.14,5.75,0.6136963910383432,Home
Derrick Henry,RB,TEN,HOU,20.671373081105457,40,2.5226249999999997,27.18084592145015,0,112.3027598896044,0.96695,0.17,6,0.5167843270276364,Away
Leonard Fournette,RB,TB,BAL,17.451816463266944,29,4.431571428571429,33.83575645756458,0.442212389380531,62.18917609046849,0.4967105263157895,0,8,0.6017867745954119,Home
Rhamondre Stevenson,RB,NE,NYJ,13.583507705627389,23,3.733928571428571,20.264409881061297,0,64.68939641109299,0.5368604651162789,0,5.75,0.5905872915490169,Away
Aaron Jones,RB,GB,BUF,12.183785296867699,21,3.563755186721991,24.192634432896522,0.3286624203821656,52.162511332728926,0.17906976744186048,0.14,7,0.5801802522317951,Away
Joe Mixon,RB,CIN,CLE,15.072810583445209,25,3.223895131086142,22.814137064944386,0.10728971962616823,73.86556064073226,0.5248591549295775,0,7,0.6029124233378084,Away
Dameon Pierce,RB,HOU,TEN,12.717749099557667,21,3.074409090909091,15.932059245102721,0,82.3733862959285,0.335,0.33,6,0.6056070999789365,Home
Travis Etienne Jr,RB,JAX,DEN,8.06867059517908,21,2.0361990950226243,18.792646430098333,0,54.01306404657933,0.10500000000000001,0.43,5.75,0.3842224092942419,Home
Alvin Kamara,RB,NO,LV,11.65274615990571,26,5.0086956521739125,38.67694108466641,0,60.80704225352113,0,0.4,5,0.4481825446117581,Home
Dalvin Cook,RB,MIN,ARI,13.13389906773672,26,1.9686274509803923,13.75615702479339,0,76.26533742331287,0.5812393162393164,0.17,6,0.50514996414372,Home
Miles Sanders,RB,PHI,PIT,11.384352812075672,22,1.946048780487805,7.541509433962264,0,71.19205128205128,0.42299539170506917,0,6,0.517470582367076,Home
Khalil Herbert,RB,CHI,DAL,9.842723744548337,13,1.2860550458715594,10.922422802850356,0.1547887323943662,55.14621546961325,0.27735,0,5.5,0.7571325957344874,Away
Jeff Wilson Jr,RB,SF,LAR,8.334488817988857,11,1.1428934010152283,9.20827998292787,0,60.464001657000836,0.22930232558139535,0.29,6.5,0.7576808016353507,Away
Raheem Mostert,RB,MIA,DET,12.821539574364108,21,1.6515384615384616,12.631498579545454,0.13140350877192986,80.50515222482436,0.31561403508771935,0,6.5,0.610549503541148,Away
Tony Pollard,RB,DAL,CHI,10.565951140169364,17,1.57,14.877250409165303,0,59.765981922760886,0.3861046511627907,0,5.5,0.6215265376570214,Home
Ezekiel Elliott,RB,DAL,CHI,12.494816381317698,21,0.86,4.532602291325696,0,70.58184059161873,0.7588953488372092,0,7,0.5949912562532237,Home
Jonathan Taylor,RB,IND,WAS,13.214146551805818,32,2.6482758620689655,13.028472755180353,0,94.97506172839508,0.24827586206896554,0.2,5,0.4129420797439318,Home
Jamaal Williams,RB,DET,MIA,12.214509264735637,23,1.0495495495495497,5.73363126252505,0,58.53294440631434,0.9871794871794872,0.33,5.25,0.5310656202058973,Home
Antonio Gibson,RB,WAS,IND,11.252498108917226,16,2.9051709401709402,22.61219457013575,0.11666666666666667,42.28693181818182,0.43499999999999994,0,6.5,0.7032811318073267,Away
Kenneth Walker III,RB,SEA,NYG,11.211469659042276,25,1.2123008849557522,4.351593625498008,0,70.14459854014598,0.52595,0,5,0.44845878636169106,Home
Devin Singletary,RB,BUF,GB,8.63949421578084,18,3.06512962962963,21.168452012383902,0.11083038869257951,46.651018675721566,0,0.17,6,0.4799719008767133,Home
David Montgomery,RB,CHI,DAL,9.110364041118197,19,2.4973394495412844,23.176247030878862,0,42.669696132596684,0.21285,0,6,0.4794928442693788,Away
Najee Harris,RB,PIT,PHI,10.863014550337684,19,2.466546610169491,11.637422876127197,0.38394366197183094,52.85494880546075,0.19280701754385968,0.14,7,0.5717376079125097,Away
Eno Benjamin,RB,ARI,MIN,9.281519547052579,20,2.5622744360902256,23.29410302756439,0,36.43872026251025,0.33785,0,5.75,0.46407597735262895,Away
James Robinson,RB,NYJ,JAX,9.052372845682784,17,1.3318055555555555,6.938239140588511,0.1603,47.208461538461535,0.38166666666666665,0.14,6.5,0.5324925203342814,Home
