player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Tyreek Hill,WR,28-243,8,8,MIA,DET,away,188,14,188,14,12,188,15.7,0,85.7,13.4,7,1,7,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5
DeAndre Hopkins,WR,30-146,8,8,ARI,MIN,away,159,13,159,13,12,159,13.3,1,92.3,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9
A J Brown,WR,25-122,7,8,PHI,PIT,home,156,10,156,10,6,156,26,3,60,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6
D J Moore,WR,25-199,8,8,CAR,ATL,away,152,11,152,11,6,152,25.3,1,54.5,13.8,3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.500000000000004
Amari Cooper,WR,28-136,8,8,CLE,CIN,home,131,7,131,7,5,131,26.2,1,71.4,18.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,100,0,0,0,0,0,-45,-45,0,20.6
Mike Evans,WR,29-067,8,8,TAM,BAL,home,123,11,123,11,6,123,20.5,0,54.5,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3
Garrett Wilson,WR,22-100,8,8,NYJ,NWE,home,115,7,115,7,6,115,19.2,0,85.7,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Terry McLaurin,WR,27-045,8,8,WAS,IND,away,113,8,113,8,6,113,18.8,0,75,14.1,-7,1,-7,1,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.600000000000001
Stefon Diggs,WR,28-335,7,8,BUF,GNB,home,108,8,108,8,6,108,18,1,75,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8
Jaylen Waddle,WR,23-339,8,8,MIA,DET,away,106,9,106,9,8,106,13.3,2,88.9,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6
Justin Jefferson,WR,23-136,7,8,MIN,ARI,home,98,8,98,8,6,98,16.3,0,75,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
Alvin Kamara,RB,27-097,8,8,NOR,LVR,home,96,10,96,10,9,96,10.7,2,90,9.6,62,18,62,18,62,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3
Rondale Moore,WR,22-143,8,8,ARI,MIN,away,92,8,92,8,7,92,13.1,1,87.5,11.5,12,2,12,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.900000000000002
Greg Dulcich,TE,22-218,8,8,DEN,JAX,away,87,5,87,5,4,87,21.8,0,80,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.700000000000001
Terrace Marshall Jr,WR,22-143,8,8,CAR,ATL,away,87,9,87,9,4,87,21.8,0,44.4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.700000000000001
Brandon Aiyuk,WR,24-227,8,8,SFO,LAR,away,81,6,81,6,6,81,13.5,1,100,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1
Donovan Peoples Jones,WR,23-254,8,8,CLE,CIN,home,81,4,81,4,4,81,20.3,0,100,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1
T J Hockenson,TE,25-119,7,8,DET,MIA,home,80,4,80,4,3,80,26.7,0,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Kyle Pitts,TE,22-024,8,8,ATL,CAR,home,80,9,80,9,5,80,16,1,55.6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
Tyler Conklin,TE,27-092,8,8,NYJ,NWE,home,79,10,79,10,6,79,13.2,2,60,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9
Cooper Kupp,WR,29-137,7,8,LAR,SFO,home,79,12,79,12,8,79,9.9,1,66.7,6.6,10,2,10,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9
