,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
36,Dallas Goedert,64,6,64,Sun,7,8,2022-10-30,27-300,PHI,,PIT,W 35-13,6,6,64,10.7,0,100,10.7,5,TE,2-49
37,Mack Hollins,64,8,64,Sun,7,8,2022-10-30,29-044,LVR,@,NOR,L 0-24,8,7,64,9.1,0,87.5,8,4,WR,4-118
38,Demarcus Robinson,64,8,64,Thu,8,8,2022-10-27,28-036,BAL,@,TAM,W 27-22,8,6,64,10.7,0,75,8,4,WR,4-126
39,Jerry Jeudy,63,7,63,Sun,8,8,2022-10-30,23-189,DEN,@,JAX,W 21-17,7,6,63,10.5,1,85.7,9,4,WR,1-15
40,Tyler Lockett,63,8,63,Sun,8,8,2022-10-30,30-032,SEA,,NYG,W 27-13,8,5,63,12.6,1,62.5,7.9,4,WR,3-69
41,Romeo Doubs,62,7,62,Sun,8,8,2022-10-30,22-200,GNB,@,BUF,L 17-27,7,4,62,15.5,1,57.1,8.9,3,WR,4-132
42,Jakobi Meyers,60,13,60,Sun,8,8,2022-10-30,25-355,NWE,@,NYJ,W 22-17,13,9,60,6.7,1,69.2,4.6,4,WR,
43,Antonio Gibson,58,7,58,Sun,8,8,2022-10-30,24-129,WAS,@,IND,W 17-16,7,7,58,8.3,1,100,8.3,5,RB,3-66
44,Tanner Hudson,58,5,58,Sun,8,8,2022-10-30,27-352,NYG,@,SEA,L 13-27,5,3,58,19.3,0,60,11.6,3,TE,
45,Pat Freiermuth,57,7,57,Sun,8,8,2022-10-30,24-005,PIT,@,PHI,L 13-35,7,4,57,14.3,0,57.1,8.1,3,TE,2-55
46,Zach Pascal,57,2,57,Sun,7,8,2022-10-30,27-316,PHI,,PIT,W 35-13,2,2,57,28.5,1,100,28.5,2,WR,
47,Ross Dwelley,56,1,56,Sun,8,8,2022-10-30,27-277,SFO,@,LAR,W 31-14,1,1,56,56,0,100,56,1,TE,
48,Evan Engram,55,6,55,Sun,8,8,2022-10-30,28-058,JAX,,DEN,L 17-21,6,4,55,13.8,1,66.7,9.2,2,TE,1-23
49,Christian McCaffrey,55,9,55,Sun,8,8,2022-10-30,26-145,SFO,@,LAR,W 31-14,9,8,55,6.9,1,88.9,6.1,5,RB,1-8
50,D.K. Metcalf,55,10,55,Sun,8,8,2022-10-30,24-320,SEA,,NYG,W 27-13,10,6,55,9.2,1,60,5.5,5,WR,2-64
51,Allen Robinson,54,7,54,Sun,7,8,2022-10-30,29-067,LAR,,SFO,L 14-31,7,5,54,10.8,0,71.4,7.7,3,WR,2-61
52,Michael Pittman Jr.,53,9,53,Sun,8,8,2022-10-30,25-025,IND,,WAS,L 16-17,9,7,53,7.6,0,77.8,5.9,3,WR,2-34
53,KJ Hamler,52,3,52,Sun,8,8,2022-10-30,23-114,DEN,@,JAX,W 21-17,3,2,52,26,0,66.7,17.3,1,WR,2-46
54,Chris Olave,52,7,52,Sun,8,8,2022-10-30,22-125,NOR,,LVR,W 24-0,7,5,52,10.4,0,71.4,7.4,5,WR,1-11
55,Curtis Samuel,50,4,50,Sun,8,8,2022-10-30,26-080,WAS,@,IND,W 17-16,4,3,50,16.7,0,75,12.5,3,WR,2-40
56,Michael Gallup,49,6,49,Sun,8,8,2022-10-30,26-240,DAL,,CHI,W 49-29,6,4,49,12.3,0,66.7,8.2,3,WR,3-81
57,Tee Higgins,49,6,49,Mon,8,8,2022-10-31,23-286,CIN,@,CLE,L 13-32,6,3,49,16.3,1,50,8.2,1,WR,2-33
58,Tyler Allgeier,46,3,46,Sun,8,8,2022-10-30,22-198,ATL,,CAR,W 37-34 (OT),3,3,46,15.3,1,100,15.3,2,RB,5-151
59,Chase Claypool,45,6,45,Sun,8,8,2022-10-30,24-115,PIT,@,PHI,L 13-35,6,4,45,11.3,0,66.7,7.5,2,WR,2-49
60,Parris Campbell,43,2,43,Sun,8,8,2022-10-30,25-106,IND,,WAS,L 16-17,2,2,43,21.5,0,100,21.5,1,WR,2-59
61,Hayden Hurst,42,4,42,Mon,8,8,2022-10-31,29-068,CIN,@,CLE,L 13-32,4,4,42,10.5,0,100,10.5,2,TE,1-25
62,James Cook,41,1,41,Sun,7,8,2022-10-30,23-035,BUF,,GNB,W 27-17,1,1,41,41,0,100,41,1,RB,2-63
63,Christian Kirk,40,7,40,Sun,8,8,2022-10-30,25-346,JAX,,DEN,L 17-21,7,3,40,13.3,0,42.9,5.7,3,WR,2-47
64,George Kittle,39,5,39,Sun,8,8,2022-10-30,29-021,SFO,@,LAR,W 31-14,5,3,39,13,1,60,7.8,2,TE,5-146
65,Tyler Boyd,38,5,38,Mon,8,8,2022-10-31,27-350,CIN,@,CLE,L 13-32,5,3,38,12.7,1,60,7.6,3,WR,2-55
66,Mike Gesicki,38,4,38,Sun,8,8,2022-10-30,27-027,MIA,@,DET,W 31-27,4,3,38,12.7,1,75,9.5,2,TE,2-42
67,Rashid Shaheed,38,3,38,Sun,8,8,2022-10-30,24-060,NOR,,LVR,W 24-0,3,3,38,12.7,0,100,12.7,2,WR,
68,Samori Toure,37,4,37,Sun,8,8,2022-10-30,24-220,GNB,@,BUF,L 17-27,4,1,37,37,1,25,9.3,1,WR,7-258
69,Michael Carter,35,7,35,Sun,8,8,2022-10-30,23-176,NYJ,,NWE,L 17-22,7,4,35,8.8,0,57.1,5,1,RB,4-107
70,Gabriel Davis,35,7,35,Sun,7,8,2022-10-30,23-212,BUF,,GNB,W 27-17,7,2,35,17.5,0,28.6,5,1,WR,4-128
71,Diontae Johnson,35,9,35,Sun,8,8,2022-10-30,26-117,PIT,@,PHI,L 13-35,9,5,35,7,0,55.6,3.9,1,WR,3-66
72,Robert Tonyan,35,6,35,Sun,8,8,2022-10-30,28-183,GNB,@,BUF,L 17-27,6,5,35,7,0,83.3,5.8,1,TE,
73,Zach Ertz,34,5,34,Sun,8,8,2022-10-30,31-354,ARI,@,MIN,L 26-34,5,4,34,8.5,1,80,6.8,3,TE,2-35
74,Leonard Fournette,34,3,34,Thu,8,8,2022-10-27,27-282,TAM,,BAL,L 22-27,3,3,34,11.3,0,100,11.3,2,RB,1-4
75,Mark Andrews,33,5,33,Thu,8,8,2022-10-27,27-051,BAL,@,TAM,W 27-22,5,3,33,11,0,60,6.6,1,TE,3-86
76,Marquise Goodwin,33,5,33,Sun,8,8,2022-10-30,31-345,SEA,,NYG,W 27-13,5,4,33,8.3,0,80,6.6,1,WR,3-78
77,Stephen Sullivan,33,2,33,Sun,8,8,2022-10-30,25-336,CAR,@,ATL,L 34-37 (OT),2,1,33,33,0,50,16.5,1,TE,7-251
78,Joe Mixon,32,9,32,Mon,8,8,2022-10-31,26-099,CIN,@,CLE,L 13-32,9,7,32,4.6,0,77.8,3.6,1,RB,2-48
79,Devin Duvernay,31,4,31,Thu,8,8,2022-10-27,25-045,BAL,@,TAM,W 27-22,4,4,31,7.8,0,100,7.8,3,WR,3-92
80,Drake London,31,5,31,Sun,8,8,2022-10-30,21-098,ATL,,CAR,W 37-34 (OT),5,4,31,7.8,0,80,6.2,3,WR,1-8
81,Foster Moreau,31,9,31,Sun,7,8,2022-10-30,25-177,LVR,@,NOR,L 0-24,9,6,31,5.2,0,66.7,3.4,3,TE,4-137
82,Keelan Cole,30,5,30,Sun,7,8,2022-10-30,29-193,LVR,@,NOR,L 0-24,5,2,30,15,0,40,6,2,WR,
83,Dalvin Cook,30,6,30,Sun,7,8,2022-10-30,27-081,MIN,,ARI,W 34-26,6,5,30,6,0,83.3,5,2,RB,2-41
84,Kareem Hunt,30,4,30,Mon,8,8,2022-10-31,27-086,CLE,,CIN,W 32-13,4,4,30,7.5,0,100,7.5,1,RB,3-86
85,Nyheim Hines,29,2,29,Sun,8,8,2022-10-30,25-352,IND,,WAS,L 16-17,2,2,29,14.5,0,100,14.5,1,RB,4-104
86,Ameer Abdullah,28,5,28,Sun,7,8,2022-10-30,29-139,LVR,@,NOR,L 0-24,5,4,28,7,0,80,5.6,,RB,2-54
87,Zay Jones,28,3,28,Sun,8,8,2022-10-30,27-214,JAX,,DEN,L 17-21,3,3,28,9.3,0,100,9.3,1,WR,2-37
88,Irv Smith Jr.,28,4,28,Sun,7,8,2022-10-30,24-082,MIN,,ARI,W 34-26,4,4,28,7,0,100,7,,TE,2-50
89,David Bell,27,2,27,Mon,8,8,2022-10-31,21-321,CLE,,CIN,W 32-13,2,2,27,13.5,0,100,13.5,2,WR,3-99
90,Trenton Irwin,27,3,27,Mon,8,8,2022-10-31,26-325,CIN,@,CLE,L 13-32,3,2,27,13.5,0,66.7,9,1,WR,
91,D'Andre Swift,27,5,27,Sun,7,8,2022-10-30,23-289,DET,,MIA,L 27-31,5,5,27,5.4,1,100,5.4,1,RB,2-35
92,C.J. Uzomah,27,1,27,Sun,8,8,2022-10-30,29-289,NYJ,,NWE,L 17-22,1,1,27,27,0,100,27,1,TE,5-157
93,Chris Evans,26,1,26,Mon,8,8,2022-10-31,25-026,CIN,@,CLE,L 13-32,1,1,26,26,0,100,26,1,RB,6-202
94,Najee Harris,26,6,26,Sun,8,8,2022-10-30,24-235,PIT,@,PHI,L 13-35,6,6,26,4.3,0,100,4.3,1,RB,1-24
95,Laviska Shenault Jr.,26,6,26,Sun,8,8,2022-10-30,24-025,CAR,@,ATL,L 34-37 (OT),6,5,26,5.2,0,83.3,4.3,1,WR,2-42
96,Robert Woods,26,2,26,Sun,7,8,2022-10-30,30-203,TEN,@,HOU,W 17-10,2,2,26,13,0,100,13,2,WR,2-41
97,Trent Sherfield,25,2,25,Sun,8,8,2022-10-30,26-246,MIA,@,DET,W 31-27,2,2,25,12.5,0,100,12.5,2,WR,
98,Jaylen Warren,25,3,25,Sun,8,8,2022-10-30,23-363,PIT,@,PHI,L 13-35,3,3,25,8.3,0,100,8.3,1,RB,
99,N'Keal Harry,24,2,24,Sun,8,8,2022-10-30,24-317,CHI,@,DAL,L 29-49,2,2,24,12,1,100,12,1,WR,1-32
100,O.J. Howard,24,3,24,Sun,7,8,2022-10-30,27-346,HOU,,TEN,L 10-17,3,2,24,12,0,66.7,8,1,TE,1-19
101,James Proche,24,4,24,Thu,8,8,2022-10-27,26-036,BAL,@,TAM,W 27-22,4,3,24,8,0,75,6,1,WR,6-201
102,Rachaad White,24,3,24,Thu,8,8,2022-10-27,23-288,TAM,,BAL,L 22-27,3,3,24,8,0,100,8,2,RB,3-91
103,Eno Benjamin,23,7,23,Sun,8,8,2022-10-30,23-200,ARI,@,MIN,L 26-34,7,4,23,5.8,0,57.1,3.3,2,RB,7-222
104,Melvin Gordon,23,4,23,Sun,8,8,2022-10-30,29-200,DEN,@,JAX,W 21-17,4,3,23,7.7,0,75,5.8,2,RB,1-15
105,DeVonta Smith,23,8,23,Sun,7,8,2022-10-30,23-350,PHI,,PIT,W 35-13,8,5,23,4.6,0,62.5,2.9,2,WR,1-10
106,Jeff Smith,23,1,23,Sun,8,8,2022-10-30,25-192,NYJ,,NWE,L 17-22,1,1,23,23,0,100,23,1,WR,
107,Jamaal Williams,23,3,23,Sun,7,8,2022-10-30,27-210,DET,,MIA,L 27-31,3,3,23,7.7,0,100,7.7,2,RB,4-134
108,Hunter Henry,22,1,22,Sun,8,8,2022-10-30,27-327,NWE,@,NYJ,W 22-17,1,1,22,22,0,100,22,1,TE,2-35
109,David Montgomery,22,3,22,Sun,8,8,2022-10-30,25-145,CHI,@,DAL,L 29-49,3,3,22,7.3,0,100,7.3,0,RB,3-73
110,Amari Rodgers,22,3,22,Sun,8,8,2022-10-30,23-037,GNB,@,BUF,L 17-27,3,1,22,22,0,33.3,7.3,1,WR,3-85
111,Travis Homer,21,1,21,Sun,8,8,2022-10-30,24-084,SEA,,NYG,W 27-13,1,1,21,21,0,100,21,1,RB,6-204
112,Julio Jones,21,4,21,Thu,8,8,2022-10-27,33-261,TAM,,BAL,L 22-27,4,2,21,10.5,1,50,5.3,1,WR,1-6
113,Cam Sims,21,2,21,Sun,8,8,2022-10-30,26-297,WAS,@,IND,W 17-16,2,1,21,21,0,50,10.5,1,WR,
114,Jeff Wilson,21,2,21,Sun,8,8,2022-10-30,26-348,SFO,@,LAR,W 31-14,2,2,21,10.5,0,100,10.5,1,RB,
115,Noah Fant,19,2,19,Sun,8,8,2022-10-30,24-344,SEA,,NYG,W 27-13,2,2,19,9.5,0,100,9.5,1,TE,1-20
116,Brevin Jordan,19,5,19,Sun,7,8,2022-10-30,22-106,HOU,,TEN,L 10-17,5,2,19,9.5,0,40,3.8,1,TE,5-147
117,Malik Davis,18,2,18,Sun,8,8,2022-10-30,23-338,DAL,,CHI,W 49-29,2,2,18,9,0,100,9,2,RB,
118,Dante Pettis,18,5,18,Sun,8,8,2022-10-30,27-007,CHI,@,DAL,L 29-49,5,4,18,4.5,0,80,3.6,,WR,2-44
119,Braylon Sanders,17,2,17,Sun,8,8,2022-10-30,23-282,MIA,@,DET,W 31-27,2,2,17,8.5,0,100,8.5,,WR,
120,Tommy Tremble,17,4,17,Sun,8,8,2022-10-30,22-150,CAR,@,ATL,L 34-37 (OT),4,2,17,8.5,0,50,4.3,1,TE,3-83
121,Dameon Pierce,16,5,16,Sun,7,8,2022-10-30,22-253,HOU,,TEN,L 10-17,5,3,16,5.3,1,60,3.2,1,RB,4-107
122,Tony Pollard,16,1,16,Sun,8,8,2022-10-30,25-183,DAL,,CHI,W 49-29,1,1,16,16,0,100,16,1,RB,4-128
123,Devin Singletary,16,2,16,Sun,7,8,2022-10-30,25-057,BUF,,GNB,W 27-17,2,1,16,16,0,50,8,1,RB,3-74
124,Damien Harris,15,2,15,Sun,8,8,2022-10-30,25-261,NWE,@,NYJ,W 22-17,2,2,15,7.5,0,100,7.5,0,RB,3-87
125,Peyton Hendershot,15,2,15,Sun,8,8,2022-10-30,23-190,DAL,,CHI,W 49-29,2,2,15,7.5,0,100,7.5,2,TE,
126,Tyler Higbee,15,6,15,Sun,7,8,2022-10-30,29-302,LAR,,SFO,L 14-31,6,2,15,7.5,0,33.3,2.5,1,TE,4-110
127,Cade Otton,15,5,15,Thu,8,8,2022-10-27,23-195,TAM,,BAL,L 22-27,5,2,15,7.5,0,40,3,1,TE,4-106
128,Ronnie Rivers,15,4,15,Sun,7,8,2022-10-30,23-272,LAR,,SFO,L 14-31,4,4,15,3.8,0,100,3.8,0,RB,
129,Wan'Dale Robinson,15,3,15,Sun,8,8,2022-10-30,21-298,NYG,@,SEA,L 13-27,3,2,15,7.5,0,66.7,5,,WR,2-43
130,Darrell Henderson,14,2,14,Sun,7,8,2022-10-30,25-072,LAR,,SFO,L 14-31,2,2,14,7,0,100,7,,RB,3-70
131,Juwan Johnson,14,4,14,Sun,8,8,2022-10-30,26-047,NOR,,LVR,W 24-0,4,2,14,7,0,50,3.5,,TE,
132,Aaron Jones,14,5,14,Sun,8,8,2022-10-30,27-332,GNB,@,BUF,L 17-27,5,4,14,3.5,0,80,2.8,1,RB,5-182
133,J.D. McKissic,14,5,14,Sun,8,8,2022-10-30,29-076,WAS,@,IND,W 17-16,5,3,14,4.7,0,60,2.8,,RB,
134,James Mitchell,14,1,14,Sun,7,8,2022-10-30,23-080,DET,,MIA,L 27-31,1,1,14,14,0,100,14,1,TE,5-177
135,Josh Reynolds,14,6,14,Sun,7,8,2022-10-30,27-256,DET,,MIA,L 27-31,6,2,14,7,0,33.3,2.3,1,WR,4-117
136,Scott Miller,13,2,13,Thu,8,8,2022-10-27,25-088,TAM,,BAL,L 22-27,2,2,13,6.5,0,100,6.5,,WR,6-208
137,Latavius Murray,13,2,13,Sun,8,8,2022-10-30,32-285,DEN,@,JAX,W 21-17,2,1,13,13,0,50,6.5,0,RB,6-181
138,Armani Rogers,13,2,13,Sun,8,8,2022-10-30,24-330,WAS,@,IND,W 17-16,2,1,13,13,0,50,6.5,1,TE,
139,Courtland Sutton,13,4,13,Sun,8,8,2022-10-30,27-020,DEN,@,JAX,W 21-17,4,1,13,13,0,25,3.3,1,WR,2-40
140,Tyquan Thornton,13,2,13,Sun,8,8,2022-10-30,22-084,NWE,@,NYJ,W 22-17,2,1,13,13,0,50,6.5,1,WR,2-50
141,Will Dissly,12,2,12,Sun,8,8,2022-10-30,26-114,SEA,,NYG,W 27-13,2,2,12,6,0,100,6,2,TE,4-120
142,Greg Dortch,12,3,12,Sun,8,8,2022-10-30,24-154,ARI,@,MIN,L 26-34,3,2,12,6,0,66.7,4,,WR,
143,Dontrell Hilliard,12,1,12,Sun,7,8,2022-10-30,27-246,TEN,@,HOU,W 17-10,1,1,12,12,0,100,12,1,RB,
144,Christian Watson,12,1,12,Sun,8,8,2022-10-30,23-171,GNB,@,BUF,L 17-27,1,1,12,12,0,100,12,,WR,2-34
145,Kylen Granson,11,3,11,Sun,8,8,2022-10-30,24-217,IND,,WAS,L 16-17,3,3,11,3.7,0,100,3.7,1,TE,4-127
146,Taysom Hill,11,2,11,Sun,8,8,2022-10-30,32-068,NOR,,LVR,W 24-0,2,1,11,11,0,50,5.5,1,TE,
147,Josh Jacobs,11,4,11,Sun,7,8,2022-10-30,24-261,LVR,@,NOR,L 0-24,4,2,11,5.5,0,50,2.8,0,RB,1-24
148,Cole Kmet,11,2,11,Sun,8,8,2022-10-30,23-234,CHI,@,DAL,L 29-49,2,2,11,5.5,1,100,5.5,1,TE,2-43
149,Ray-Ray McCloud,11,2,11,Sun,8,8,2022-10-30,26-015,SFO,@,LAR,W 31-14,2,1,11,11,0,50,5.5,,WR,6-187
150,Breshad Perriman,11,1,11,Thu,8,8,2022-10-27,29-047,TAM,,BAL,L 22-27,1,1,11,11,0,100,11,1,WR,1-26
151,Matt Breida,10,2,10,Sun,8,8,2022-10-30,27-244,NYG,@,SEA,L 13-27,2,1,10,10,0,50,5,,RB,
152,Marquez Callaway,10,1,10,Sun,8,8,2022-10-30,24-217,NOR,,LVR,W 24-0,1,1,10,10,0,100,10,1,WR,
153,Dawson Knox,10,3,10,Sun,7,8,2022-10-30,25-350,BUF,,GNB,W 27-17,3,2,10,5,1,66.7,3.3,1,TE,3-96
154,Chris Myarick,10,1,10,Sun,8,8,2022-10-30,27-024,NYG,@,SEA,L 13-27,1,1,10,10,0,100,10,1,FB,
155,Samaje Perine,10,3,10,Mon,8,8,2022-10-31,27-045,CIN,@,CLE,L 13-32,3,3,10,3.3,0,100,3.3,0,RB,4-114
156,Ben Skowronek,10,1,10,Sun,7,8,2022-10-30,25-125,LAR,,SFO,L 14-31,1,1,10,10,0,100,10,1,WR,7-249
157,Jonnu Smith,10,4,10,Sun,8,8,2022-10-30,27-069,NWE,@,NYJ,W 22-17,4,3,10,3.3,0,75,2.5,1,TE,3-100
158,Olamide Zaccheaus,10,1,10,Sun,8,8,2022-10-30,25-099,ATL,,CAR,W 37-34 (OT),1,1,10,10,0,100,10,1,WR,
159,Saquon Barkley,9,5,9,Sun,8,8,2022-10-30,25-263,NYG,@,SEA,L 13-27,5,3,9,3,0,60,1.8,1,RB,1-2
160,Josiah Deguara,9,1,9,Sun,8,8,2022-10-30,25-258,GNB,@,BUF,L 17-27,1,1,9,9,0,100,9,,TE,3-94
161,AJ Dillon,9,1,9,Sun,8,8,2022-10-30,24-181,GNB,@,BUF,L 17-27,1,1,9,9,0,100,9,0,RB,2-62
162,Derrick Henry,9,1,9,Sun,7,8,2022-10-30,28-299,TEN,@,HOU,W 17-10,1,1,9,9,0,100,9,0,RB,2-45
163,Parker Hesse,9,1,9,Sun,8,8,2022-10-30,27-157,ATL,,CAR,W 37-34 (OT),1,1,9,9,0,100,9,1,TE,
164,Ko Kieft,9,1,9,Thu,8,8,2022-10-27,24-280,TAM,,BAL,L 22-27,1,1,9,9,0,100,9,,TE,6-218
165,Dan Arnold,8,1,8,Sun,8,8,2022-10-30,27-229,JAX,,DEN,L 17-21,1,1,8,8,0,100,8,,TE,
166,Kenneth Gainwell,8,1,8,Sun,7,8,2022-10-30,23-230,PHI,,PIT,W 35-13,1,1,8,8,0,100,8,0,RB,5-150
167,Isaiah McKenzie,8,1,8,Sun,7,8,2022-10-30,27-204,BUF,,GNB,W 27-17,1,1,8,8,0,100,8,1,WR,5-172
168,K.J. Osborn,8,5,8,Sun,7,8,2022-10-30,25-142,MIN,,ARI,W 34-26,5,2,8,4,1,40,1.6,1,WR,5-176
169,Nick Vannett,8,1,8,Sun,8,8,2022-10-30,29-238,NOR,,LVR,W 24-0,1,1,8,8,0,100,8,,TE,3-94
170,Maurice Alexander,7,1,7,Sun,7,8,2022-10-30,25-293,DET,,MIA,L 27-31,1,1,7,7,0,100,7,,WR,
171,Troy Hairston,7,2,7,Sun,7,8,2022-10-30,23-326,HOU,,TEN,L 10-17,2,2,7,3.5,0,100,3.5,,FB,
172,Avery Williams,7,2,7,Sun,8,8,2022-10-30,24-107,ATL,,CAR,W 37-34 (OT),2,2,7,3.5,0,100,3.5,1,RB,5-183
173,John Bates,6,1,6,Sun,8,8,2022-10-30,24-358,WAS,@,IND,W 17-16,1,1,6,6,0,100,6,,TE,4-124
174,Phillip Dorsett,6,5,6,Sun,7,8,2022-10-30,29-298,HOU,,TEN,L 10-17,5,1,6,6,0,20,1.2,,WR,1-29
175,Travis Etienne,6,3,6,Sun,8,8,2022-10-30,23-277,JAX,,DEN,L 17-21,3,3,6,2,0,100,2,0,RB,1-25
176,Tyler Kroft,6,1,6,Sun,8,8,2022-10-30,30-015,SFO,@,LAR,W 31-14,1,1,6,6,0,100,6,,TE,3-85
177,Hunter Renfrow,6,2,6,Sun,7,8,2022-10-30,26-313,LVR,@,NOR,L 0-24,2,1,6,6,0,50,3,,WR,5-149
178,Equanimeous St. Brown,6,3,6,Sun,8,8,2022-10-30,26-030,CHI,@,DAL,L 29-49,3,1,6,6,0,33.3,2,,WR,6-207
179,Derek Watt,6,2,6,Sun,8,8,2022-10-30,29-357,PIT,@,PHI,L 13-35,2,2,6,3,1,100,3,1,FB,6-198
180,Darrel Williams,6,3,6,Sun,8,8,2022-10-30,27-198,ARI,@,MIN,L 26-34,3,2,6,3,0,66.7,2,0,RB,
