,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Derrick Henry,219,32,219,Sun,7,8,2022-10-30,28-299,TEN,@,HOU,W 17-10,32,219,6.8,2,10,RB,2-45
2,Travis Etienne,156,24,156,Sun,8,8,2022-10-30,23-277,JAX,,DEN,L 17-21,24,156,6.5,1,11,RB,1-25
3,Aaron Jones,143,20,143,Sun,8,8,2022-10-30,27-332,GNB,@,BUF,L 17-27,20,143,7.2,0,7,RB,5-182
4,Tony Pollard,131,14,131,Sun,8,8,2022-10-30,25-183,DAL,,CHI,W 49-29,14,131,9.4,3,6,RB,4-128
5,D'Onta Foreman,118,26,118,Sun,8,8,2022-10-30,26-189,CAR,@,ATL,L 34-37 (OT),26,118,4.5,3,9,RB,3-89
6,Dalvin Cook,111,20,111,Sun,7,8,2022-10-30,27-081,MIN,,ARI,W 34-26,20,111,5.6,1,6,RB,2-41
7,Nick Chubb,101,23,101,Mon,8,8,2022-10-31,26-308,CLE,,CIN,W 32-13,23,101,4.4,2,5,RB,2-35
8,Khalil Herbert,99,16,99,Sun,8,8,2022-10-30,24-192,CHI,@,DAL,L 29-49,16,99,6.2,1,3,RB,6-217
9,Christian McCaffrey,94,18,94,Sun,8,8,2022-10-30,26-145,SFO,@,LAR,W 31-14,18,94,5.2,1,5,RB,1-8
10,Caleb Huntley,91,16,91,Sun,8,8,2022-10-30,24-045,ATL,,CAR,W 37-34 (OT),16,91,5.7,0,3,RB,
11,Dontrell Hilliard,83,8,83,Sun,7,8,2022-10-30,27-246,TEN,@,HOU,W 17-10,8,83,10.4,0,3,RB,
12,Miles Sanders,78,9,78,Sun,7,8,2022-10-30,25-182,PHI,,PIT,W 35-13,9,78,8.7,1,4,RB,2-53
13,Jonathan Taylor,76,16,76,Sun,8,8,2022-10-30,23-284,IND,,WAS,L 16-17,16,76,4.8,0,2,RB,2-41
14,Rhamondre Stevenson,71,16,71,Sun,8,8,2022-10-30,24-249,NWE,@,NYJ,W 22-17,16,71,4.4,0,3,RB,4-120
15,Devin Singletary,67,14,67,Sun,7,8,2022-10-30,25-057,BUF,,GNB,W 27-17,14,67,4.8,0,3,RB,3-74
16,Gus Edwards,65,11,65,Thu,8,8,2022-10-27,27-197,BAL,@,TAM,W 27-22,11,65,5.9,0,4,RB,
17,Raheem Mostert,64,14,64,Sun,8,8,2022-10-30,30-204,MIA,@,DET,W 31-27,14,64,4.6,0,4,RB,
18,Kenyan Drake,62,7,62,Thu,8,8,2022-10-27,28-274,BAL,@,TAM,W 27-22,7,62,8.9,0,2,RB,3-73
19,Alvin Kamara,62,18,62,Sun,8,8,2022-10-30,27-097,NOR,,LVR,W 24-0,18,62,3.4,1,4,RB,3-67
20,Taysom Hill,61,10,61,Sun,8,8,2022-10-30,32-068,NOR,,LVR,W 24-0,10,61,6.1,0,5,TE,
21,Justin Fields,60,8,60,Sun,8,8,2022-10-30,23-239,CHI,@,DAL,L 29-49,8,60,7.5,1,5,QB,1-11
22,AJ Dillon,54,10,54,Sun,8,8,2022-10-30,24-181,GNB,@,BUF,L 17-27,10,54,5.4,0,4,RB,2-62
23,Saquon Barkley,53,20,53,Sun,8,8,2022-10-30,25-263,NYG,@,SEA,L 13-27,20,53,2.7,1,4,RB,1-2
24,David Montgomery,53,15,53,Sun,8,8,2022-10-30,25-145,CHI,@,DAL,L 29-49,15,53,3.5,0,5,RB,3-73
25,Jamaal Williams,53,10,53,Sun,7,8,2022-10-30,27-210,DET,,MIA,L 27-31,10,53,5.3,2,5,RB,4-134
26,Kenneth Walker III,51,18,51,Sun,8,8,2022-10-30,22-010,SEA,,NYG,W 27-13,18,51,2.8,1,3,RB,2-41
27,Jaylen Warren,50,6,50,Sun,8,8,2022-10-30,23-363,PIT,@,PHI,L 13-35,6,50,8.3,0,2,RB,
28,Josh Allen,49,6,49,Sun,7,8,2022-10-30,26-162,BUF,,GNB,W 27-17,6,49,8.2,0,3,QB,1-7
29,Latavius Murray,46,14,46,Sun,8,8,2022-10-30,32-285,DEN,@,JAX,W 21-17,14,46,3.3,1,2,RB,6-181
