,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Christian McCaffrey,158.3,1,158.3,Sun,8,8,2022-10-30,26-145,SFO,@,LAR,W 31-14,1,1,0,100,34,1,0,,100,0,158.3,0,0,0,34,54,54,34,RB,1-8
2,Jalen Hurts,140.6,28,140.6,Sun,7,8,2022-10-30,24-084,PHI,,PIT,W 35-13,19,28,9,67.9,285,4,0,,14.3,0,140.6,3,18,9.68,10.2,13.04,11.19,15,QB,2-53
3,Tua Tagovailoa,138.7,36,138.7,Sun,8,8,2022-10-30,24-242,MIA,@,DET,W 31-27,29,36,7,80.6,382,3,0,,8.3,0,138.7,2,13,5.26,10.6,12.28,11.29,13.2,QB,1-5
4,Jacoby Brissett,133.7,22,133.7,Mon,8,8,2022-10-31,29-324,CLE,,CIN,W 32-13,17,22,5,77.3,278,1,0,,4.5,0,133.7,2,10,8.33,12.6,13.55,12,16.4,QB,3-91
5,Jimmy Garoppolo,132.5,25,132.5,Sun,8,8,2022-10-30,30-362,SFO,@,LAR,W 31-14,21,25,4,84,235,2,0,,8,0,132.5,3,12,10.71,9.4,11,9.39,11.2,QB,2-62
6,Justin Fields,120,23,120,Sun,8,8,2022-10-30,23-239,CHI,@,DAL,L 29-49,17,23,6,73.9,151,2,0,,8.7,0,120,4,25,14.81,6.6,8.3,6.15,8.9,QB,1-11
7,Chase Claypool,118.7,1,118.7,Sun,8,8,2022-10-30,24-115,PIT,@,PHI,L 13-35,1,1,0,100,1,1,0,,100,0,118.7,0,0,0,1,21,21,1,WR,2-49
8,Andy Dalton,117.2,30,117.2,Sun,8,8,2022-10-30,35-001,NOR,,LVR,W 24-0,22,30,8,73.3,229,2,0,,6.7,0,117.2,0,0,0,7.6,8.97,8.97,10.4,QB,2-35
9,Dak Prescott,114.5,27,114.5,Sun,8,8,2022-10-30,29-093,DAL,,CHI,W 49-29,21,27,6,77.8,250,2,1,,7.4,3.7,114.5,1,8,3.57,9.3,9.07,8.46,11.9,QB,4-135
10,Jared Goff,108.1,37,108.1,Sun,7,8,2022-10-30,28-016,DET,,MIA,L 27-31,27,37,10,73,321,1,0,,2.7,0,108.1,1,10,2.63,8.7,9.22,8.71,11.9,QB,1-1
11,Marcus Mariota,105.2,28,105.2,Sun,8,8,2022-10-30,29-000,ATL,,CAR,W 37-34 (OT),20,28,8,71.4,253,3,2,,10.7,7.1,105.2,2,14,6.67,9,7.96,6.97,12.7,QB,1-2
12,Lamar Jackson,104.9,38,104.9,Thu,8,8,2022-10-27,25-293,BAL,@,TAM,W 27-22,27,38,11,71.1,238,2,0,,5.3,0,104.9,3,16,7.32,6.3,7.32,6.39,8.8,QB,1-32
13,Geno Smith,104,34,104,Sun,8,8,2022-10-30,32-020,SEA,,NYG,W 27-13,23,34,11,67.6,212,2,0,,5.9,0,104,3,22,8.11,6.2,7.41,6.22,9.2,QB,2-39
14,Kirk Cousins,103,36,103,Sun,7,8,2022-10-30,34-072,MIN,,ARI,W 34-26,24,36,12,66.7,232,2,0,,5.6,0,103,3,24,7.69,6.4,7.56,6.36,9.7,QB,4-102
15,Sam Ehlinger,100.1,23,100.1,Sun,8,8,2022-10-30,24-030,IND,,WAS,L 16-17,17,23,6,73.9,201,0,0,,0,0,100.1,2,12,8,8.7,8.74,7.56,11.8,QB,6-218
16,Taylor Heinicke,98.7,31,98.7,Sun,8,8,2022-10-30,29-229,WAS,@,IND,W 17-16,23,31,8,74.2,279,1,1,,3.2,3.2,98.7,2,13,6.06,9,8.19,7.3,12.1,QB,
17,Joe Burrow,96.4,35,96.4,Mon,8,8,2022-10-31,25-325,CIN,@,CLE,L 13-32,25,35,10,71.4,232,2,1,,5.7,2.9,96.4,5,39,12.5,6.6,6.49,4.7,9.3,QB,1-1
18,Kyler Murray,95.5,44,95.5,Sun,8,8,2022-10-30,25-084,ARI,@,MIN,L 26-34,31,44,13,70.5,326,3,2,,6.8,4.5,95.5,4,29,8.33,7.4,6.73,5.56,10.5,QB,1-1
19,Gardner Minshew II,91.7,2,91.7,Sun,7,8,2022-10-30,26-167,PHI,,PIT,W 35-13,1,2,1,50,23,0,0,,0,0,91.7,0,0,0,11.5,11.5,11.5,23,QB,6-178
20,Aaron Rodgers,91.4,30,91.4,Sun,8,8,2022-10-30,38-332,GNB,@,BUF,L 17-27,19,30,11,63.3,203,2,1,,6.7,3.3,91.4,2,13,6.25,6.8,6.6,5.78,10.7,QB,1-24
21,Matthew Stafford,91.4,33,91.4,Sun,7,8,2022-10-30,34-265,LAR,,SFO,L 14-31,22,33,11,66.7,187,1,0,,3,0,91.4,2,20,5.71,5.7,6.27,5.34,8.5,QB,1-1
22,Tom Brady,89.7,44,89.7,Thu,8,8,2022-10-27,45-085,TAM,,BAL,L 22-27,26,44,18,59.1,325,1,0,,2.3,0,89.7,3,20,6.38,7.4,7.84,6.91,12.5,QB,6-199
23,Trevor Siemian,87.5,1,87.5,Sun,8,8,2022-10-30,30-308,CHI,@,DAL,L 29-49,1,1,0,100,5,0,0,,0,0,87.5,0,0,0,5,5,5,5,QB,7-250
24,Russell Wilson,84.3,30,84.3,Sun,8,8,2022-10-30,33-335,DEN,@,JAX,W 21-17,18,30,12,60,252,1,1,,3.3,3.3,84.3,3,22,9.09,8.4,7.57,6.21,14,QB,3-75
25,Najee Harris,83.3,1,83.3,Sun,8,8,2022-10-30,24-235,PIT,@,PHI,L 13-35,1,1,0,100,4,0,0,,0,0,83.3,0,0,0,4,4,4,4,RB,1-24
26,P.J. Walker,80.4,36,80.4,Sun,8,8,2022-10-30,27-246,CAR,@,ATL,L 34-37 (OT),19,36,17,52.8,317,1,1,1,2.8,2.8,80.4,1,8,2.7,8.8,8.11,7.68,16.7,QB,
27,Mac Jones,79.9,35,79.9,Sun,8,8,2022-10-30,24-055,NWE,@,NYJ,W 22-17,24,35,11,68.6,194,1,1,,2.9,2.9,79.9,6,33,14.63,5.5,4.83,3.32,8.1,QB,1-15
28,Taysom Hill,79.2,1,79.2,Sun,8,8,2022-10-30,32-068,NOR,,LVR,W 24-0,1,1,0,100,2,0,0,,0,0,79.2,0,0,0,2,2,2,2,TE,
29,Jarrett Stidham,76.4,13,76.4,Sun,7,8,2022-10-30,26-083,LVR,@,NOR,L 0-24,8,13,5,61.5,72,0,0,,0,0,76.4,1,8,7.14,5.5,5.54,4.57,9,QB,4-133
30,Josh Allen,75.1,25,75.1,Sun,7,8,2022-10-30,26-162,BUF,,GNB,W 27-17,13,25,12,52,218,2,2,,8,8,75.1,2,2,7.41,8.7,6.72,6.15,16.8,QB,1-7
31,Daniel Jones,71.4,31,71.4,Sun,8,8,2022-10-30,25-156,NYG,@,SEA,L 13-27,17,31,14,54.8,176,0,0,,0,0,71.4,5,29,13.89,5.7,5.68,4.08,10.4,QB,1-6
32,Davis Mills,69.9,29,69.9,Sun,7,8,2022-10-30,24-009,HOU,,TEN,L 10-17,17,29,12,58.6,152,1,1,,3.4,3.4,69.9,3,34,9.38,5.2,4.38,2.91,8.9,QB,3-67
33,Kenny Pickett,66.9,38,66.9,Sun,8,8,2022-10-30,24-146,PIT,@,PHI,L 13-35,25,38,13,65.8,191,0,1,,0,2.6,66.9,6,38,13.64,5,3.84,2.45,7.6,QB,1-20
34,Zach Wilson,64.6,41,64.6,Sun,8,8,2022-10-30,23-088,NYJ,,NWE,L 17-22,20,41,21,48.8,355,2,3,,4.9,7.3,64.6,2,19,4.65,8.7,6.34,5.6,17.8,QB,1-2
35,Trevor Lawrence,52.2,31,52.2,Sun,8,8,2022-10-30,23-024,JAX,,DEN,L 17-21,18,31,13,58.1,133,1,2,,3.2,6.5,52.2,2,19,6.06,4.3,2.03,1.33,7.4,QB,1-1
36,Derek Carr,50.3,26,50.3,Sun,7,8,2022-10-30,31-216,LVR,@,NOR,L 0-24,15,26,11,57.7,101,0,1,,0,3.8,50.3,3,20,10.34,3.9,2.15,1.24,6.7,QB,2-36
37,Rex Burkhead,39.6,1,39.6,Sun,7,8,2022-10-30,32-120,HOU,,TEN,L 10-17,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,RB,6-190
38,Malik Willis,35.4,10,35.4,Sun,7,8,2022-10-30,23-158,TEN,@,HOU,W 17-10,6,10,4,60,55,0,1,,0,10,35.4,3,15,23.08,5.5,1,-0.38,9.2,QB,3-86
39,Amari Cooper,0,1,0,Mon,8,8,2022-10-31,28-136,CLE,,CIN,W 32-13,0,1,1,0,0,0,1,,0,100,0,0,0,0,0,-45,-45,,WR,1-4
