player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Jonathan Taylor,RB,KC,17.847282982956624,39,0.4576226405886314
Austin Ekeler,RB,JAX,16.379835565764743,26,0.6299936756063362
Joe Mixon,RB,NYJ,17.939944503547952,29,0.6186187759844122
Najee Harris,RB,CLE,15.472129072843437,22,0.7032785942201563
James Conner,RB,LAR,14.369458996573659,25,0.5747783598629463
Ezekiel Elliott,RB,NYG,10.86499436491076,20,0.543249718245538
Nick Chubb,RB,PIT,15.419818105813828,26,0.5930699271466857
Damien Harris,RB,BAL,10.84036449362313,17,0.6376684996248899
Alvin Kamara,RB,CAR,14.188215663620094,29,0.4892488159868998
Antonio Gibson,RB,PHI,14.746790708811572,19,0.7761468794111354
Leonard Fournette,RB,GB,14.465863252194687,27,0.5357727130442477
Cordarrelle Patterson,RB,SEA,14.77920186274296,15,0.985280124182864
Aaron Jones,RB,TB,13.397031657528226,20,0.6698515828764113
Derrick Henry,RB,LV,17.213467414436295,35,0.49181335469817983
Dalvin Cook,RB,DET,14.758600194960906,31,0.4760838772568034
Josh Jacobs,RB,TEN,12.83768516660429,18,0.7132047314780161
Javonte Williams,RB,SF,12.462288773251009,22,0.5664676715114095
Devin Singletary,RB,MIA,8.362384827348087,15,0.5574923218232058
David Montgomery,RB,HOU,15.588776534073922,18,0.8660431407818846
AJ Dillon,RB,TB,11.199591854512844,18,0.6221995474729358
Darrel Williams,RB,LAR,9.382626157295043,15,0.6255084104863362
D Andre Swift,RB,MIN,18.13864517665878,24,0.7557768823607826
James Robinson,RB,LAC,13.765768870648778,20,0.6882884435324389
Tony Pollard,RB,NYG,11.128547403751648,15,0.7419031602501099
Michael Carter,RB,CIN,10.449477374480466,14,0.746391241034319
Rashaad Penny,RB,ATL,11.227372196556932,18,0.6237428998087184
Saquon Barkley,RB,DAL,12.353229300126614,29,0.42597342414229705
Rhamondre Stevenson,RB,BAL,8.315656780185355,15,0.5543771186790237
Chase Edmonds,RB,BUF,9.089374656312703,14,0.6492410468794788
Clyde Edwards Helaire,RB,IND,11.433261331605774,17,0.6725447842121044
Alexander Mattison,RB,DET,7.7434873878708945,14,0.5531062419907782
Jamaal Williams,RB,MIN,9.674113375772563,15,0.6449408917181709
Miles Sanders,RB,WAS,9.000206830400963,17,0.5294239312000566
Christian McCaffrey,RB,NO,15.800109251870664,36,0.438891923663074
Kenneth Gainwell,RB,WAS,7.265701705356706,13,0.5589001311812851
Kareem Hunt,RB,PIT,14.327664561911835,16,0.8954790351194897
Boston Scott,RB,WAS,5.279224002806016,13,0.4060941540620012
J D McKissic,RB,PHI,10.70647316972187,15,0.7137648779814579
Brandon Bolden,RB,TEN,8.778585798676152,12,0.7315488165563461
Zack Moss,RB,MIA,7.1257870963506384,11,0.6477988269409671
Rex Burkhead,RB,CHI,7.785097622240002,11,0.7077361474763638
Nyheim Hines,RB,KC,6.72111533971045,13,0.5170088722854193
Khalil Herbert,RB,HOU,6.72736774922875,15,0.44849118328191667
Dontrell Hilliard,RB,LV,14.420264615959333,13,1.109251124304564
Jerick McKinnon,RB,IND,3.904680599402304,12,0.325390049950192
Eno Benjamin,RB,LAR,4.452273328502496,12,0.371022777375208
Breece Hall,RB,CIN,2.480920342034204,14,0.17720859585958598
Dameon Pierce,RB,CHI,2.951070049174297,15,0.19673800327828647
Raheem Mostert,RB,BUF,1.6658950133058663,15,0.11105966755372441
Isiah Pacheco,RB,IND,1.5092307692307692,12,0.12576923076923077
Cam Akers,RB,ARI,1.3764396919674997,15,0.09176264613116665
Tyrion Davis Price,RB,DEN,0.7065616438356165,11,0.06423287671232877
Tyler Allgeier,RB,SEA,0.9015463917525773,11,0.08195876288659794
Justice Hill,RB,NE,0.5107836341995273,11,0.046434875836320666
Kenneth Walker III,RB,ATL,0.930162703379224,11,0.08456024576174764
J K Dobbins,RB,NE,0,17,0
Mark Ingram II,RB,CAR,0,17,0
Travis Etienne Jr,RB,LAC,0,14,0
Darrell Henderson Jr,RB,ARI,0,20,0
Jeff Wilson Jr,RB,DEN,0,13,0
Melvin Gordon III,RB,SF,0,15,0
Mark Andrews,TE,NE,14.274228840944833,26,0.5490088015748013
Cooper Kupp,WR,ARI,22.696151434552284,40,0.5674037858638071
Travis Kelce,TE,IND,12.43204334393081,33,0.3767285861797215
Deebo Samuel,WR,DEN,9.757886240585151,22,0.4435402836629614
Dalton Schultz,TE,NYG,7.878942640153125,15,0.525262842676875
Ja Marr Chase,WR,NYJ,15.120081969949897,32,0.4725025615609343
George Kittle,TE,DEN,7.592335634707658,25,0.30369342538830635
Justin Jefferson,WR,DET,17.64997416522114,38,0.4644730043479247
Davante Adams,WR,TEN,17.368152923836533,35,0.4962329406810438
Dawson Knox,TE,MIA,6.830696510372416,16,0.426918531898276
Mike Evans,WR,GB,11.730952940309663,26,0.4511904977042178
Hunter Henry,TE,BAL,7.73600201240753,12,0.6446668343672942
Tyreek Hill,WR,BUF,13.226031052038815,28,0.4723582518585291
Dallas Goedert,TE,WAS,10.145334565699825,19,0.533964977142096
Stefon Diggs,WR,MIA,16.75848171406065,31,0.5405961843245372
Kyle Pitts,TE,SEA,7.66321517487321,20,0.3831607587436605
Mike Williams,WR,JAX,11.290502281550072,26,0.43425008775192586
Zach Ertz,TE,LAR,9.095339168651769,15,0.6063559445767847
Mike Gesicki,TE,BUF,6.399703878736557,11,0.5817912617033234
Tyler Lockett,WR,ATL,12.803357714945083,16,0.8002098571840677
Pat Freiermuth,TE,CLE,9.143086014407741,17,0.5378285890828083
Diontae Johnson,WR,CLE,12.670845400404836,19,0.6668866000213072
Noah Fant,TE,ATL,6.738599440089453,13,0.5183538030838041
Hunter Renfrow,WR,TEN,10.41434127308237,15,0.6942894182054913
Tyler Higbee,TE,ARI,7.6930625051816275,18,0.4273923613989793
CeeDee Lamb,WR,NYG,9.832182559397049,19,0.5174832925998447
Keenan Allen,WR,JAX,10.206015171707381,24,0.42525063215447423
T J Hockenson,TE,MIN,8.782399944514225,16,0.5488999965321391
Michael Pittman Jr,WR,KC,19.07932946854869,26,0.7338203641749496
C J Uzomah,TE,CIN,5.040105746548832,12,0.42000881221240266
Tee Higgins,WR,NYJ,11.841887866390088,21,0.5638994222090519
Darren Waller,TE,TEN,10.22641315515166,22,0.4648369615978027
Tyler Conklin,TE,CIN,6.39581358809191,13,0.4919856606224546
Chris Godwin,WR,GB,9.388012226964955,21,0.4470482012840455
Brandin Cooks,WR,CHI,11.05110870408687,16,0.6906942940054294
Jaylen Waddle,WR,BUF,12.09360451549712,25,0.4837441806198848
Gerald Everett,TE,JAX,7.0077466798165835,15,0.46718311198777224
Darnell Mooney,WR,HOU,8.845767437089595,14,0.6318405312206854
Amon Ra St Brown,WR,MIN,14.429437481807733,29,0.49756680971750805
Evan Engram,TE,LAC,6.472219835046399,12,0.5393516529205332
Terry McLaurin,WR,PHI,10.39593831806169,22,0.4725426508209859
Marquise Brown,WR,LAR,11.077026539605367,19,0.5830013968213351
Austin Hooper,TE,LV,4.054857663833861,12,0.3379048053194884
Amari Cooper,WR,PIT,13.437624560299486,22,0.6108011163772494
Adam Thielen,WR,DET,10.617955119215004,16,0.6636221949509378
Christian Kirk,WR,LAC,14.434306881461012,18,0.8019059378589452
DeVonta Smith,WR,WAS,9.152882849186787,17,0.5384048734815757
Van Jefferson,WR,ARI,5.2111866661843695,13,0.40086051278341306
A J Brown,WR,WAS,13.73330342515556,28,0.49047512232698426
Tyler Boyd,WR,NYJ,9.093446226590835,12,0.7577871855492363
Brandon Aiyuk,WR,DEN,7.643970941424306,12,0.6369975784520255
