,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
40,Rhamondre Stevenson,56,6,56,Sun,10,11,2022-11-20,24-270,NWE,,NYJ,W 10-3,6,6,56,9.3,0,100,9.3,1,RB,4-120
41,Terry McLaurin,55,7,55,Sun,11,11,2022-11-20,27-066,WAS,@,HOU,W 23-10,7,4,55,13.8,0,57.1,7.9,3,WR,3-76
42,David Montgomery,54,4,54,Sun,11,11,2022-11-20,25-166,CHI,@,ATL,L 24-27,4,3,54,18,0,75,13.5,1,RB,3-73
43,Mack Hollins,52,9,52,Sun,10,11,2022-11-20,29-065,LVR,@,DEN,W 22-16 (OT),9,6,52,8.7,0,66.7,5.8,1,WR,4-118
44,Jakobi Meyers,52,6,52,Sun,10,11,2022-11-20,26-011,NWE,,NYJ,W 10-3,6,4,52,13,0,66.7,8.7,3,WR,
45,Samaje Perine,52,4,52,Sun,10,11,2022-11-20,27-065,CIN,@,PIT,W 37-30,4,4,52,13,3,100,13,3,RB,4-114
46,Jody Fortson,51,2,51,Sun,10,11,2022-11-20,26-348,KAN,@,LAC,W 30-27,2,2,51,25.5,0,100,25.5,2,TE,
47,Josh Jacobs,51,4,51,Sun,10,11,2022-11-20,24-282,LVR,@,DEN,W 22-16 (OT),4,3,51,17,0,75,12.8,1,RB,1-24
48,A.J. Green,50,9,50,Mon,11,11,2022-11-21,34-113,ARI,,SFO,L 10-38,9,5,50,10,0,55.6,5.6,3,WR,1-4
49,Nick Chubb,48,3,48,Sun,10,11,2022-11-20,26-328,CLE,@,BUF,L 23-31,3,3,48,16,0,100,16,2,RB,2-35
50,Nico Collins,48,7,48,Sun,10,11,2022-11-20,23-246,HOU,,WAS,L 10-23,7,5,48,9.6,0,71.4,6.9,1,WR,3-89
51,Stefon Diggs,48,5,48,Sun,10,11,2022-11-20,28-356,BUF,,CLE,W 31-23,5,4,48,12,1,80,9.6,3,WR,5-146
52,Richie James,48,3,48,Sun,10,11,2022-11-20,27-076,NYG,,DET,L 18-31,3,3,48,16,1,100,16,3,WR,7-240
53,Christian Watson,48,6,48,Thu,11,11,2022-11-17,23-189,GNB,,TEN,L 17-27,6,4,48,12,2,66.7,8,3,WR,2-34
54,Juwan Johnson,47,4,47,Sun,11,11,2022-11-20,26-068,NOR,,LAR,W 27-20,4,3,47,15.7,1,75,11.8,2,TE,
55,Alvin Kamara,47,5,47,Sun,11,11,2022-11-20,27-118,NOR,,LAR,W 27-20,5,4,47,11.8,0,80,9.4,3,RB,3-67
56,Allen Robinson,47,5,47,Sun,10,11,2022-11-20,29-088,LAR,@,NOR,L 20-27,5,4,47,11.8,1,80,9.4,4,WR,2-61
57,Derrick Henry,45,2,45,Thu,10,11,2022-11-17,28-317,TEN,@,GNB,W 27-17,2,2,45,22.5,0,100,22.5,2,RB,2-45
58,Tyler Higbee,45,8,45,Sun,10,11,2022-11-20,29-323,LAR,@,NOR,L 20-27,8,4,45,11.3,0,50,5.6,2,TE,4-110
59,CeeDee Lamb,45,5,45,Sun,10,11,2022-11-20,23-226,DAL,@,MIN,W 40-3,5,5,45,9,0,100,9,2,WR,1-17
60,Kyle Pitts,43,5,43,Sun,11,11,2022-11-20,22-045,ATL,,CHI,W 27-24,5,3,43,14.3,0,60,8.6,2,TE,1-4
61,Tyler Boyd,42,7,42,Sun,10,11,2022-11-20,28-005,CIN,@,PIT,W 37-30,7,2,42,21,0,28.6,6,2,WR,2-55
62,Noah Brown,42,2,42,Sun,10,11,2022-11-20,26-318,DAL,@,MIN,W 40-3,2,2,42,21,0,100,21,1,WR,7-239
63,Trenton Irwin,42,4,42,Sun,10,11,2022-11-20,26-345,CIN,@,PIT,W 37-30,4,3,42,14,1,75,10.5,2,WR,
64,Joe Mixon,42,3,42,Sun,10,11,2022-11-20,26-119,CIN,@,PIT,W 37-30,3,3,42,14,0,100,14,1,RB,2-48
65,Harrison Bryant,41,7,41,Sun,10,11,2022-11-20,24-211,CLE,@,BUF,L 23-31,7,4,41,10.3,0,57.1,5.9,3,TE,4-115
66,Michael Gallup,41,4,41,Sun,10,11,2022-11-20,26-261,DAL,@,MIN,W 40-3,4,3,41,13.7,0,75,10.3,1,WR,3-81
67,Van Jefferson,41,5,41,Sun,10,11,2022-11-20,26-117,LAR,@,NOR,L 20-27,5,3,41,13.7,0,60,8.2,2,WR,2-57
68,Jonnu Smith,40,4,40,Sun,10,11,2022-11-20,27-090,NWE,,NYJ,W 10-3,4,4,40,10,0,100,10,1,TE,3-100
69,Melvin Gordon,39,5,39,Sun,10,11,2022-11-20,29-221,DEN,,LVR,L 16-22 (OT),5,5,39,7.8,0,100,7.8,1,RB,1-15
70,Gunner Olszewski,39,3,39,Sun,10,11,2022-11-20,25-359,PIT,,CIN,L 30-37,3,2,39,19.5,0,66.7,13,1,WR,
71,Austin Hooper,36,4,36,Thu,10,11,2022-11-17,28-019,TEN,@,GNB,W 27-17,4,4,36,9,2,100,9,3,TE,3-81
72,Cole Kmet,35,4,35,Sun,11,11,2022-11-20,23-255,CHI,@,ATL,L 24-27,4,3,35,11.7,0,75,8.8,2,TE,2-43
73,Denzel Mims,35,6,35,Sun,10,11,2022-11-20,25-041,NYJ,@,NWE,L 3-10,6,2,35,17.5,0,33.3,5.8,1,WR,2-59
74,T.J. Hockenson,34,9,34,Sun,10,11,2022-11-20,25-140,MIN,,DAL,L 3-40,9,5,34,6.8,0,55.6,3.8,1,TE,1-8
75,DeAndre Carter,33,3,33,Sun,10,11,2022-11-20,29-224,LAC,,KAN,L 27-30,3,3,33,11,0,100,11,1,WR,
76,Justin Jefferson,33,5,33,Sun,10,11,2022-11-20,23-157,MIN,,DAL,L 3-40,5,3,33,11,0,60,6.6,2,WR,1-22
77,Jarvis Landry,33,4,33,Sun,11,11,2022-11-20,29-357,NOR,,LAR,W 27-20,4,3,33,11,1,75,8.3,3,WR,2-63
78,Foster Moreau,33,3,33,Sun,10,11,2022-11-20,25-198,LVR,@,DEN,W 22-16 (OT),3,1,33,33,0,33.3,11,1,TE,4-137
79,Kalif Raymond,33,7,33,Sun,10,11,2022-11-20,28-104,DET,@,NYG,W 31-18,7,3,33,11,0,42.9,4.7,2,WR,
80,Antonio Gibson,31,3,31,Sun,11,11,2022-11-20,24-150,WAS,@,HOU,W 23-10,3,3,31,10.3,0,100,10.3,1,RB,3-66
81,Chigoziem Okonkwo,31,2,31,Thu,10,11,2022-11-17,23-070,TEN,@,GNB,W 27-17,2,1,31,31,0,50,15.5,1,TE,4-143
82,Quez Watkins,31,2,31,Sun,10,11,2022-11-20,24-164,PHI,@,IND,W 17-16,2,2,31,15.5,1,100,15.5,2,WR,6-200
83,Greg Dulcich,30,5,30,Sun,10,11,2022-11-20,22-239,DEN,,LVR,L 16-22 (OT),5,4,30,7.5,0,80,6,2,TE,3-80
84,Damiere Byrd,29,2,29,Sun,11,11,2022-11-20,29-297,ATL,,CHI,W 27-24,2,2,29,14.5,0,100,14.5,2,WR,
85,Kenny Golladay,29,2,29,Sun,10,11,2022-11-20,29-017,NYG,,DET,L 18-31,2,2,29,14.5,0,100,14.5,1,WR,3-96
86,Isaiah Hodgins,29,3,29,Sun,10,11,2022-11-20,24-030,NYG,,DET,L 18-31,3,3,29,9.7,0,100,9.7,2,WR,6-207
87,Darnell Mooney,29,5,29,Sun,11,11,2022-11-20,25-022,CHI,@,ATL,L 24-27,5,4,29,7.3,1,80,5.8,1,WR,5-173
