,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Josh Jacobs,109,24,109,Sun,10,11,2022-11-20,24-282,LVR,@,DEN,W 22-16 (OT),24,109,4.5,0,8,RB,1-24
2,Isiah Pacheco,107,15,107,Sun,10,11,2022-11-20,22-263,KAN,@,LAC,W 30-27,15,107,7.1,0,4,RB,7-251
3,Najee Harris,90,20,90,Sun,10,11,2022-11-20,24-256,PIT,,CIN,L 30-37,20,90,4.5,2,3,RB,1-24
4,Derrick Henry,87,28,87,Thu,10,11,2022-11-17,28-317,TEN,@,GNB,W 27-17,28,87,3.1,1,5,RB,2-45
5,James Cook,86,11,86,Sun,10,11,2022-11-20,23-056,BUF,,CLE,W 31-23,11,86,7.8,0,4,RB,2-63
6,Jalen Hurts,86,16,86,Sun,10,11,2022-11-20,24-105,PHI,@,IND,W 17-16,16,86,5.4,1,8,QB,2-53
7,Devin Singletary,86,18,86,Sun,10,11,2022-11-20,25-078,BUF,,CLE,W 31-23,18,86,4.8,1,7,RB,3-74
8,Justin Fields,85,18,85,Sun,11,11,2022-11-20,23-260,CHI,@,ATL,L 24-27,18,85,4.7,1,7,QB,1-11
9,Jonathan Taylor,84,22,84,Sun,11,11,2022-11-20,23-305,IND,,PHI,L 16-17,22,84,3.8,1,3,RB,2-41
10,Austin Ekeler,83,19,83,Sun,10,11,2022-11-20,27-187,LAC,,KAN,L 27-30,19,83,4.4,1,3,RB,
11,Tony Pollard,80,15,80,Sun,10,11,2022-11-20,25-204,DAL,@,MIN,W 40-3,15,80,5.3,0,5,RB,4-128
12,Dalvin Cook,72,11,72,Sun,10,11,2022-11-20,27-102,MIN,,DAL,L 3-40,11,72,6.5,0,3,RB,2-41
13,Antonio Gibson,72,18,72,Sun,11,11,2022-11-20,24-150,WAS,@,HOU,W 23-10,18,72,4,0,3,RB,3-66
14,David Montgomery,67,17,67,Sun,11,11,2022-11-20,25-166,CHI,@,ATL,L 24-27,17,67,3.9,1,5,RB,3-73
15,Justin Jackson,66,9,66,Sun,10,11,2022-11-20,26-212,DET,@,NYG,W 31-18,9,66,7.3,0,2,RB,7-251
16,Damien Harris,65,8,65,Sun,10,11,2022-11-20,25-282,NWE,,NYJ,W 10-3,8,65,8.1,0,2,RB,3-87
17,Jamaal Williams,64,17,64,Sun,10,11,2022-11-20,27-231,DET,@,NYG,W 31-18,17,64,3.8,3,6,RB,4-134
18,Cam Akers,61,14,61,Sun,10,11,2022-11-20,23-151,LAR,@,NOR,L 20-27,14,61,4.4,0,3,RB,2-52
19,Elijah Mitchell,59,9,59,Mon,10,11,2022-11-21,24-203,SFO,@,ARI,W 38-10,9,59,6.6,0,2,RB,6-194
20,Brian Robinson Jr.,57,15,57,Sun,11,11,2022-11-20,23-243,WAS,@,HOU,W 23-10,15,57,3.8,0,4,RB,3-98
21,Tyler Allgeier,55,8,55,Sun,11,11,2022-11-20,22-219,ATL,,CHI,W 27-24,8,55,6.9,0,2,RB,5-151
22,Taysom Hill,52,9,52,Sun,11,11,2022-11-20,32-089,NOR,,LAR,W 27-20,9,52,5.8,0,2,TE,
23,Cordarrelle Patterson,52,10,52,Sun,11,11,2022-11-20,31-248,ATL,,CHI,W 27-24,10,52,5.2,0,2,RB,1-29
24,Daniel Jones,50,7,50,Sun,10,11,2022-11-20,25-177,NYG,,DET,L 18-31,7,50,7.1,1,5,QB,1-6
25,Latavius Murray,49,17,49,Sun,10,11,2022-11-20,32-306,DEN,,LVR,L 16-22 (OT),17,49,2.9,1,4,RB,6-181
26,Miles Sanders,47,13,47,Sun,10,11,2022-11-20,25-203,PHI,@,IND,W 17-16,13,47,3.6,0,2,RB,2-53
27,Kenyan Drake,46,10,46,Sun,10,11,2022-11-20,28-298,BAL,,CAR,W 13-3,10,46,4.6,0,1,RB,3-73
28,James Conner,42,14,42,Mon,11,11,2022-11-21,27-200,ARI,,SFO,L 10-38,14,42,3,1,4,RB,3-105
29,Ezekiel Elliott,42,15,42,Sun,10,11,2022-11-20,27-121,DAL,@,MIN,W 40-3,15,42,2.8,2,5,RB,1-4
30,Alvin Kamara,42,12,42,Sun,11,11,2022-11-20,27-118,NOR,,LAR,W 27-20,12,42,3.5,0,2,RB,3-67
31,Aaron Jones,40,12,40,Thu,11,11,2022-11-17,27-350,GNB,,TEN,L 17-27,12,40,3.3,0,3,RB,5-182
32,Christian McCaffrey,39,7,39,Mon,10,11,2022-11-21,26-167,SFO,@,ARI,W 38-10,7,39,5.6,0,1,RB,1-8
33,Bryce Perkins,39,5,39,Sun,10,11,2022-11-20,25-335,LAR,@,NOR,L 20-27,5,39,7.8,0,2,QB,
34,Deebo Samuel,37,3,37,Mon,10,11,2022-11-21,26-310,SFO,@,ARI,W 38-10,3,37,12.3,1,1,WR,2-36
35,Kyren Williams,36,7,36,Sun,10,11,2022-11-20,22-086,LAR,@,NOR,L 20-27,7,36,5.1,0,2,RB,5-164
36,Kareem Hunt,32,5,32,Sun,10,11,2022-11-20,27-106,CLE,@,BUF,L 23-31,5,32,6.4,0,3,RB,3-86
37,Melvin Gordon,31,8,31,Sun,10,11,2022-11-20,29-221,DEN,,LVR,L 16-22 (OT),8,31,3.9,0,2,RB,1-15
38,Lamar Jackson,31,11,31,Sun,10,11,2022-11-20,25-317,BAL,,CAR,W 13-3,11,31,2.8,1,4,QB,1-32
39,Justice Hill,30,7,30,Sun,10,11,2022-11-20,25-006,BAL,,CAR,W 13-3,7,30,4.3,0,3,RB,4-113
40,Samaje Perine,30,11,30,Sun,10,11,2022-11-20,27-065,CIN,@,PIT,W 37-30,11,30,2.7,0,2,RB,4-114
41,Jacoby Brissett,29,7,29,Sun,10,11,2022-11-20,29-344,CLE,@,BUF,L 23-31,7,29,4.1,0,1,QB,3-91
42,Rhamondre Stevenson,26,15,26,Sun,10,11,2022-11-20,24-270,NWE,,NYJ,W 10-3,15,26,1.7,0,1,RB,4-120
43,Zach Wilson,26,3,26,Sun,10,11,2022-11-20,23-109,NYJ,@,NWE,L 3-10,3,26,8.7,0,1,QB,1-2
44,Marcus Mariota,25,13,25,Sun,11,11,2022-11-20,29-021,ATL,,CHI,W 27-24,13,25,1.9,1,3,QB,1-2
45,D'Onta Foreman,24,11,24,Sun,11,11,2022-11-20,26-210,CAR,@,BAL,L 3-13,11,24,2.2,0,2,RB,3-89
46,Jerick McKinnon,24,6,24,Sun,10,11,2022-11-20,30-201,KAN,@,LAC,W 30-27,6,24,4,0,1,RB,3-96
47,Patrick Mahomes,23,4,23,Sun,10,11,2022-11-20,27-064,KAN,@,LAC,W 30-27,4,23,5.8,0,1,QB,1-10
48,Saquon Barkley,22,15,22,Sun,10,11,2022-11-20,25-284,NYG,,DET,L 18-31,15,22,1.5,0,,RB,1-2
49,Joe Mixon,20,7,20,Sun,10,11,2022-11-20,26-119,CIN,@,PIT,W 37-30,7,20,2.9,0,1,RB,2-48
50,D'Andre Swift,20,5,20,Sun,10,11,2022-11-20,23-310,DET,@,NYG,W 31-18,5,20,4,1,2,RB,2-35
51,Michael Carter,19,8,19,Sun,10,11,2022-11-20,23-197,NYJ,@,NWE,L 3-10,8,19,2.4,0,,RB,4-107
52,Nick Chubb,19,14,19,Sun,10,11,2022-11-20,26-328,CLE,@,BUF,L 23-31,14,19,1.4,0,1,RB,2-35
53,Keaontay Ingram,19,5,19,Mon,11,11,2022-11-21,23-026,ARI,,SFO,L 10-38,5,19,3.8,0,1,RB,6-201
54,Curtis Samuel,18,2,18,Sun,11,11,2022-11-20,26-101,WAS,@,HOU,W 23-10,2,18,9,1,2,WR,2-40
55,Justin Herbert,17,5,17,Sun,10,11,2022-11-20,24-255,LAC,,KAN,L 27-30,5,17,3.4,0,3,QB,1-6
56,Dak Prescott,16,3,16,Sun,10,11,2022-11-20,29-114,DAL,@,MIN,W 40-3,3,16,5.3,0,1,QB,4-135
57,Jordan Mason,14,4,14,Mon,10,11,2022-11-21,23-181,SFO,@,ARI,W 38-10,4,14,3.5,0,1,RB,
58,Kenny Pickett,14,2,14,Sun,10,11,2022-11-20,24-167,PIT,,CIN,L 30-37,2,14,7,0,1,QB,1-20
59,Matt Breida,13,3,13,Sun,10,11,2022-11-20,27-265,NYG,,DET,L 18-31,3,13,4.3,1,2,RB,
60,Malik Davis,13,7,13,Sun,10,11,2022-11-20,23-359,DAL,@,MIN,W 40-3,7,13,1.9,0,1,RB,
