player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Tee Higgins,WR,23-306,10,11,CIN,PIT,away,148,13,148,13,9,148,16.4,0,69.2,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3
Davante Adams,WR,29-331,10,11,LVR,DEN,away,141,13,141,13,7,141,20.1,2,53.8,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6
Demarcus Robinson,WR,28-060,10,11,BAL,CAR,home,128,9,128,9,9,128,14.2,0,100,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3
Travis Kelce,TE,33-046,10,11,KAN,LAC,away,115,10,115,10,6,115,19.2,3,60,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5
Amari Cooper,WR,28-156,10,11,CLE,BUF,away,113,12,113,12,8,113,14.1,2,66.7,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3
Treylon Burks,WR,22-239,10,11,TEN,GNB,away,111,8,111,8,7,111,15.9,0,87.5,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.600000000000001
Tony Pollard,RB,25-204,10,11,DAL,MIN,away,109,6,109,6,6,109,18.2,2,100,18.2,80,15,80,15,80,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9
Josh Palmer,WR,24-059,10,11,LAC,KAN,home,106,10,106,10,8,106,13.3,2,80,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6
Greg Dortch,WR,24-176,11,11,ARI,SFO,home,103,10,103,10,9,103,11.4,0,90,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8
Chris Olave,WR,22-146,11,11,NOR,LAR,home,102,6,102,6,5,102,20.4,1,83.3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.700000000000003
Wan Dale Robinson,WR,21-319,10,11,NYG,DET,home,100,13,100,13,9,100,11.1,0,69.2,7.7,4,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9
Keenan Allen,WR,30-207,10,11,LAC,KAN,home,94,8,94,8,5,94,18.8,0,62.5,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9
DeAndre Hopkins,WR,30-168,11,11,ARI,SFO,home,91,12,91,12,9,91,10.1,0,75,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6
Darius Slayton,WR,25-312,10,11,NYG,DET,home,86,10,86,10,5,86,17.2,0,50,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1
George Kittle,TE,29-043,10,11,SFO,ARI,away,84,6,84,6,4,84,21,2,66.7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4
George Pickens,WR,21-261,10,11,PIT,CIN,home,83,6,83,6,4,83,20.8,1,66.7,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3
Courtland Sutton,WR,27-041,10,11,DEN,LVR,home,80,7,80,7,5,80,16,0,71.4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
Pat Freiermuth,TE,24-026,10,11,PIT,CIN,home,79,12,79,12,8,79,9.9,0,66.7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9
DeVonta Smith,WR,24-006,10,11,PHI,IND,away,78,9,78,9,6,78,13,0,66.7,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8
Terrace Marshall Jr,WR,22-164,11,11,CAR,BAL,away,76,6,76,6,3,76,25.3,0,50,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.100000000000001
Amon Ra St Brown,WR,23-027,10,11,DET,NYG,away,76,8,76,8,7,76,10.9,0,87.5,9.5,4,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.500000000000002
Michael Pittman Jr,WR,25-046,11,11,IND,PHI,home,75,7,75,7,6,75,12.5,0,85.7,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
Randall Cobb,WR,32-087,11,11,GNB,TEN,home,73,6,73,6,6,73,12.2,0,100,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3
Brandin Cooks,WR,29-056,10,11,HOU,WAS,home,70,6,70,6,3,70,23.3,0,50,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Dawson Knox,TE,26-006,10,11,BUF,CLE,home,70,7,70,7,7,70,10,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
Robert Woods,WR,30-221,10,11,TEN,GNB,away,69,7,69,7,6,69,11.5,0,85.7,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
Gabriel Davis,WR,23-233,10,11,BUF,CLE,home,68,7,68,7,5,68,13.6,0,71.4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3
Parris Campbell,WR,25-127,11,11,IND,PHI,home,67,6,67,6,5,67,13.4,0,83.3,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
Christian McCaffrey,RB,26-167,10,11,SFO,ARI,away,67,7,67,7,7,67,9.6,0,100,9.6,39,7,39,7,39,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1
Justin Watson,WR,26-230,10,11,KAN,LAC,away,67,4,67,4,3,67,22.3,0,75,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
Logan Thomas,TE,31-142,11,11,WAS,HOU,away,65,6,65,6,5,65,13,0,83.3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mark Andrews,TE,27-075,10,11,BAL,CAR,home,63,8,63,8,6,63,10.5,0,75,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3
Skyy Moore,WR,22-071,10,11,KAN,LAC,away,63,6,63,6,5,63,12.6,0,83.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
