,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Derrick Henry,TEN,28,RB,10,10,2.3,1.8,19.9,11.1,0,0.6,42,1.8,19.9,78.3%,8.7,23,101,1,4.6,56,4.4,101,23,24.8,4.9,120.9,10,0.1
2,Josh Jacobs,LVR,24,RB,10,10,4.1,3.4,25.1,7.4,0,1.1,43,3.4,25.1,82.9%,6.1,18.3,93,0.7,5.8,43,5.1,93,18.3,21.7,5.4,118.1,7,0.1
3,Tyreek Hill,MIA,28,WR,10,10,10.6,8.1,114.8,14.2,0.4,5.2,64,8.1,114.8,76.4%,10.8,0.5,2.5,0,0.2,10,5,2.5,0.5,8.6,13.6,117.3,4,0.1
4,Saquon Barkley,NYG,25,RB,10,10,4.1,3.1,21,6.8,0,0.4,41,3.1,21,75.6%,5.1,21.3,95.3,0.6,3.9,68,4.5,95.3,21.3,24.4,4.8,116.3,6,0.1
5,Justin Jefferson,MIN,23,WR,10,10,10.5,7.2,109.3,15.2,0.4,4.5,64,7.2,109.3,68.6%,10.4,0.2,1.3,0.1,0.2,10,6.5,1.3,0.2,7.4,14.9,110.6,5,0
6,Christian McCaffrey,2TM,26,RB,10,9,6.7,5.4,46.2,8.6,0.2,2.3,49,5.4,46.2,80.6%,6.9,13.2,60.2,0.4,3.1,49,4.6,60.2,13.2,18.6,5.7,106.4,6,0.1
7,Nick Chubb,CLE,27,RB,10,10,2.2,1.6,13.6,8.5,0,0.6,26,1.6,13.6,72.7%,6.2,17.4,92.3,1.1,4.2,41,5.3,92.3,17.4,19,5.6,105.9,11,0.1
8,Stefon Diggs,BUF,29,WR,10,10,10.4,7.6,103.3,13.6,0.8,4.8,53,7.6,103.3,73.1%,9.9,,,,0,,,,,7.6,13.6,103.3,8,0.1
9,Aaron Jones,GNB,28,RB,11,11,4.45,3.64,22.5,6.2,0.27,1.18,22,3.6,22.5,81.6%,5.1,13,70.7,0.18,3.64,36,5.4,70.7,13,16.6,5.6,93.3,5,0.27
10,Austin Ekeler,LAC,27,RB,10,10,8.3,6.9,43.7,6.3,0.4,2.5,23,6.9,43.7,83.1%,5.3,12.3,53.4,0.7,2.3,71,4.3,53.4,12.3,19.2,5.1,97.1,11,0.3
11,Dalvin Cook,MIN,27,RB,10,10,3.4,2.2,14.6,6.6,0.1,0.9,23,2.2,14.6,64.7%,4.3,15.6,79.9,0.6,3.6,81,5.1,79.9,15.6,17.8,5.3,94.5,7,0.1
12,Tony Pollard,DAL,25,RB,10,3,3.1,2.1,24.3,11.6,0.2,1,68,2.1,24.3,67.7%,7.8,11.8,70.1,0.6,3,57,5.9,70.1,11.8,13.9,6.8,94.4,8,0
13,Travis Etienne,JAX,23,RB,10,5,3.1,2.2,20.2,9.2,0,1,24,2.2,20.2,71.0%,6.5,13.1,72.5,0.4,3.6,49,5.5,72.5,13.1,15.3,6.1,92.7,4,0.3
14,Rhamondre Stevenson,NWE,24,RB,10,3,4.9,4.1,28.3,6.9,0.1,1,22,4.1,28.3,83.7%,5.8,14.4,64.4,0.4,3.3,49,4.5,64.4,14.4,18.5,5,92.7,5,0
15,Davante Adams,LVR,30,WR,10,10,11.2,6.4,92.5,14.5,1,4,58,6.4,92.5,57.1%,8.3,0.3,-0.1,0,0,4,-0.3,-0.1,0.3,6.7,13.8,92.4,10,0.1
16,Joe Mixon,CIN,26,RB,10,10,5.3,4.1,31.4,7.7,0.2,1.2,35,4.1,31.4,77.4%,5.9,15.8,60.5,0.6,3.6,31,3.8,60.5,15.8,19.9,4.6,91.9,8,0
17,Dameon Pierce,HOU,22,RB,10,10,3,2.4,13.5,5.6,0.1,0.6,16,2.4,13.5,80.0%,4.5,17.5,78,0.3,4.7,75,4.5,78,17.5,19.9,4.6,91.5,4,0.3
18,Alvin Kamara,NOR,27,RB,9,8,6.44,4.78,42.8,9,0.22,1.56,54,4.8,42.8,74.1%,6.6,13.8,56.8,0.11,2.67,27,4.1,56.8,13.8,18.6,5.4,99.6,3,0.22
19,Jaylen Waddle,MIA,24,WR,10,10,7.5,5.1,87.8,17.2,0.6,4.2,59,5.1,87.8,68.0%,11.7,0.2,1.7,0,0,9,8.5,1.7,0.2,5.3,16.9,89.5,6,0.1
20,Cooper Kupp,LAR,29,WR,9,9,10.9,8.33,90.2,10.8,0.67,4.67,75,8.3,90.2,76.5%,8.3,1,5.78,0.11,0.44,20,5.8,5.8,1,9.33,10.3,96,7,0.22
21,Travis Kelce,KAN,33,TE,10,10,9.4,6.9,85.5,12.4,1.1,5.3,46,6.9,85.5,73.4%,9.1,0.2,0.5,0,0.1,4,2.5,0.5,0.2,7.1,12.1,86,11,0
22,Justin Fields,CHI,23,QB,11,11,0,0,0,,0,0,0,0,0,0.0%,,11.1,75.8,0.64,5,67,6.8,75.8,11.1,11.1,6.8,75.8,7,1.18
23,Terry McLaurin,WAS,27,WR,11,11,7.27,4.55,72,15.8,0.18,3.09,49,4.5,72,62.5%,9.9,0.45,1.09,0,0.09,7,2.4,1.1,0.5,5,14.6,73.1,2,0.09
24,Miles Sanders,PHI,25,RB,10,9,1.5,1.2,4.3,3.6,0,0.1,16,1.2,4.3,80.0%,2.9,15.6,75.7,0.6,3.8,35,4.9,75.7,15.6,16.8,4.8,80,6,0
25,Jonathan Taylor,IND,23,RB,8,8,3.88,2.63,12.1,4.6,0,0.38,12,2.6,12.1,67.7%,3.1,18.9,86.6,0.38,4,66,4.6,86.6,18.9,21.5,4.6,98.8,3,0.38
26,A.J. Brown,PHI,25,WR,10,9,8,4.9,78.5,16,0.6,3.3,54,4.9,78.5,61.3%,9.8,,,,0,,,,,4.9,16,78.5,6,0.1
27,Leonard Fournette,TAM,27,RB,10,9,5,4.3,31.5,7.3,0.3,1.5,25,4.3,31.5,86.0%,6.3,13.5,46.2,0.3,2.7,17,3.4,46.2,13.5,17.8,4.4,77.7,6,0
28,Jeff Wilson,2TM,27,RB,10,6,2.1,1.5,13.6,9.1,0.1,0.5,16,1.5,13.6,71.4%,6.5,11.8,63.8,0.3,2.9,41,5.4,63.8,11.8,13.3,5.8,77.4,4,0.2
29,CeeDee Lamb,DAL,23,WR,10,10,9.3,5.8,75.1,12.9,0.5,3.9,35,5.8,75.1,62.4%,8.1,0.5,1.2,0,0.1,8,2.4,1.2,0.5,6.3,12.1,76.3,5,0
30,Chris Olave,NOR,22,WR,10,6,8.3,5.1,76,14.9,0.3,3.4,53,5.1,76,61.4%,9.2,,,,0,,,,,5.1,14.9,76,3,0.1
31,Antonio Gibson,WAS,24,RB,11,6,4,3.36,25.8,7.7,0.18,1.27,26,3.4,25.8,84.1%,6.5,11,40.4,0.27,2.45,20,3.7,40.4,11,14.4,4.6,66.2,5,0
32,Jamaal Williams,DET,27,RB,10,6,1.2,0.9,5.7,6.3,0,0.3,17,0.9,5.7,75.0%,4.8,15.9,66.8,1.2,4.4,51,4.2,66.8,15.9,16.8,4.3,72.5,12,0.2
33,Tee Higgins,CIN,23,WR,10,9,7.1,5,71.2,14.2,0.3,3.3,59,5,71.2,70.4%,10,,,,0,,,,,5,14.2,71.2,3,0
34,Khalil Herbert,CHI,24,RB,10,1,0.7,0.6,6.2,10.3,0.1,0.2,25,0.6,6.2,85.7%,8.9,10.8,64.3,0.4,2.2,63,6,64.3,10.8,11.4,6.2,70.5,5,0
35,David Montgomery,CHI,25,RB,10,10,2.1,1.8,20.4,11.3,0,0.6,32,1.8,20.4,85.7%,9.7,13.2,50.1,0.3,2.7,28,3.8,50.1,13.2,15,4.7,70.5,3,0.1
36,Amari Cooper,CLE,28,WR,10,10,8.1,5,69.8,14,0.7,3.9,55,5,69.8,61.7%,8.6,,,,0,,,,,5,14,69.8,7,0
37,Devin Singletary,BUF,25,RB,10,10,3.9,3,21.8,7.3,0.1,1.3,22,3,21.8,76.9%,5.6,11,48,0.3,2.4,30,4.4,48,11,14,5,69.8,4,0.2
38,Christian Kirk,JAX,26,WR,10,10,8.2,5.2,67.9,13.1,0.7,3.6,49,5.2,67.9,63.4%,8.3,0.3,1.2,0,0,5,4,1.2,0.3,5.5,12.6,69.1,7,0.1
39,Kenneth Walker III,SEA,22,RB,9,5,2.67,2,11.4,5.7,0,0.33,23,2,11.4,75.0%,4.3,13.4,65.2,0.78,3.22,74,4.9,65.2,13.4,15.4,5,76.7,7,0
40,Najee Harris,PIT,24,RB,10,10,3.5,2.8,13.8,4.9,0.2,0.9,14,2.8,13.8,80.0%,3.9,14.8,55,0.3,2.1,36,3.7,55,14.8,17.6,3.9,68.8,5,0.2
41,Breece Hall,NYJ,21,RB,7,2,4.43,2.71,31.1,11.5,0.14,1.14,79,2.7,31.1,61.3%,7,11.4,66.1,0.57,2.86,62,5.8,66.1,11.4,14.1,6.9,97.3,5,0.14
42,Michael Pittman Jr.,IND,25,WR,10,10,9.2,6.7,67.8,10.1,0.1,3.5,28,6.7,67.8,72.8%,7.4,,,,0,,,,,6.7,10.1,67.8,1,0.2
43,Mike Evans,TAM,29,WR,9,9,8.44,5.44,74.6,13.7,0.33,3.78,51,5.4,74.6,64.5%,8.8,,,,0,,,,,5.44,13.7,74.6,3,0
44,Deebo Samuel,SFO,26,WR,9,8,7.67,4.56,52,11.4,0.22,1.89,57,4.6,52,59.4%,6.8,3.44,22.4,0.22,0.67,51,6.5,22.4,3.4,8,9.3,74.4,4,0.22
45,Amon-Ra St. Brown,DET,23,WR,9,9,8.67,6.22,66,10.6,0.33,3.44,49,6.2,66,71.8%,7.6,0.44,8.22,0,0.11,58,18.5,8.2,0.4,6.67,11.1,74.2,3,0
46,Lamar Jackson,BAL,25,QB,10,10,0,0,0,,0,0,0,0,0,0.0%,,9.7,66.6,0.3,4.2,79,6.9,66.6,9.7,9.7,6.9,66.6,3,0.4
47,Raheem Mostert,MIA,30,RB,10,8,2.6,1.7,11.9,7,0.1,0.5,18,1.7,11.9,65.4%,4.6,11.8,54.3,0.3,2.8,25,4.6,54.3,11.8,13.5,4.9,66.2,4,0
48,Curtis Samuel,WAS,26,WR,11,9,6.55,4.36,44.8,10.3,0.27,2.55,49,4.4,44.8,66.7%,6.8,2.18,13.8,0.09,0.91,21,6.3,13.8,2.2,6.55,9,58.6,4,0.09
49,Tyler Lockett,SEA,30,WR,10,10,7.1,5.4,64,11.9,0.5,3.2,40,5.4,64,76.1%,9,,,,0,,,,,5.4,11.9,64,5,0.2
50,Courtland Sutton,DEN,27,WR,10,10,8,4.6,61.3,13.3,0.1,2.8,51,4.6,61.3,57.5%,7.7,0.1,0.5,0,0,5,5,0.5,0.1,4.7,13.1,61.8,1,0
51,JuJu Smith-Schuster,KAN,26,WR,9,9,7.11,5.11,68.3,13.4,0.22,3.22,53,5.1,68.3,71.9%,9.6,,,,0,,,,,5.11,13.4,68.3,2,0.22
52,Gabriel Davis,BUF,23,WR,9,9,6.11,3.22,68,21.1,0.56,2.44,98,3.2,68,52.7%,11.1,,,,0,,,,,3.22,21.1,68,5,0
53,Ja'Marr Chase,CIN,22,WR,7,7,10.6,6.71,86.4,12.9,0.86,4.86,60,6.7,86.4,63.5%,8.2,0.57,0.29,0,0,4,0.5,0.3,0.6,7.29,11.9,86.7,6,0.14
54,Brandon Aiyuk,SFO,24,WR,10,10,6.6,4.6,58.7,12.8,0.6,2.8,34,4.6,58.7,69.7%,8.9,0.1,0.7,0,0,7,7,0.7,0.1,4.7,12.6,59.4,6,0.1
55,Tyler Allgeier,ATL,22,RB,10,4,1,1,8.7,8.7,0.1,0.5,25,1,8.7,100.0%,8.7,11,49.8,0.1,2.2,44,4.5,49.8,11,12,4.9,58.5,2,0
56,D.K. Metcalf,SEA,25,WR,10,10,7.7,4.8,58.1,12.1,0.4,2.8,54,4.8,58.1,62.3%,7.5,,,,0,,,,,4.8,12.1,58.1,4,0.2
57,Tyler Boyd,CIN,28,WR,10,8,5.6,3.9,57.9,14.8,0.4,2.7,60,3.9,57.9,69.6%,10.3,,,,0,,,,,3.9,14.8,57.9,4,0
58,Donovan Peoples-Jones,CLE,23,WR,10,8,6.1,4,57.7,14.4,0.1,2.3,42,4,57.7,65.6%,9.5,0.1,0.2,0,0,2,2,0.2,0.1,4.1,14.1,57.9,1,0.1
59,AJ Dillon,GNB,24,RB,11,2,2.36,1.55,9.91,6.4,0,0.27,12,1.5,9.9,65.4%,4.2,10.6,42.5,0.09,2.45,27,4,42.5,10.6,12.2,4.3,52.4,1,0.09
60,DeVonta Smith,PHI,24,WR,10,10,7,5.2,55.9,10.8,0.3,2.9,45,5.2,55.9,74.3%,8,,,,0,,,,,5.2,10.8,55.9,3,0.1
61,Mark Andrews,BAL,27,TE,9,9,8,5.33,61.2,11.5,0.56,3.56,25,5.3,61.2,66.7%,7.7,0.22,0.78,0,0.22,4,3.5,0.8,0.2,5.56,11.2,62,5,0
62,Dallas Goedert,PHI,27,TE,9,9,5.89,4.78,60.4,12.7,0.33,3.44,31,4.8,60.4,81.1%,10.3,,,,0,,,,,4.78,12.7,60.4,3,0.11
63,T.J. Hockenson,2TM,25,TE,10,10,7.1,4.7,54.4,11.6,0.3,2.5,81,4.7,54.4,66.2%,7.7,,,,0,,,,,4.7,11.6,54.4,3,0
64,Michael Carter,NYJ,23,RB,10,8,3.4,2.6,19.4,7.5,0,0.9,37,2.6,19.4,76.5%,5.7,9.3,34.9,0.3,1.3,25,3.8,34.9,9.3,11.9,4.6,54.3,3,0.1
