Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Patrick Mahomes,KAN,27,QB,10,10,8-2-0,26.5,40,66.3,326.5,2.8,7,0.7,1.8,17,57,8.2,8.8,12.3,326.5,107.3,78.4,1.7,11.8,4.1,7.55,8.13,0.2,0.2
2,Josh Allen,BUF,26,QB,10,10,7-3-0,23.8,36.8,64.7,293,2.1,5.7,1,2.7,14,98,8,7.9,12.3,293,96.9,73.3,2,10.4,5.2,7.28,7.21,0.1,0.2
3,Joe Burrow,CIN,26,QB,10,10,6-4-0,25.7,37.2,69.1,289,2.2,5.9,0.8,2.2,13.8,60,7.8,8,11.2,289,102.8,55.7,3.2,21,7.9,6.63,6.83,0.2,0.2
4,Tom Brady,TAM,45,QB,10,10,5-5-0,28.2,42.7,66,280.5,1.2,2.8,0.2,0.5,14,51,6.6,6.9,9.9,280.5,91.9,54.3,1.4,10.7,3.2,6.12,6.46,0.1,0.2
5,Justin Herbert,LAC,24,QB,10,10,5-5-0,27.7,41.6,66.6,273,1.6,3.8,0.7,1.7,13,54,6.6,6.6,9.9,273,90.7,57.7,1.7,9.1,3.9,6.09,6.11,0.3,0.3
6,Aaron Rodgers,GNB,39,QB,11,11,4-7-0,22.1,34.2,64.6,231.1,1.73,5.1,0.64,1.9,10.4,58,6.8,6.9,10.5,231.1,93.2,41.8,1.91,15.5,5.3,5.97,6.14,0.18,0.18
7,Geno Smith,SEA,32,QB,10,10,6-4-0,23,31.6,72.8,247.4,1.7,5.4,0.4,1.3,12,54,7.8,8.3,10.8,247.4,108,67.3,2.4,19.6,7.1,6.7,7.17,0,0.1
8,Kirk Cousins,MIN,34,QB,10,10,8-2-0,23.9,37.7,63.4,246.1,1.4,3.7,0.8,2.1,12.6,64,6.5,6.3,10.3,246.1,85.6,45.7,2.7,19.9,6.7,5.6,5.4,0.5,0.5
9,Matt Ryan,IND,37,QB,9,9,4-4-1,27.4,39.7,69.2,271.4,1.11,2.8,1,2.5,13.6,44,6.8,6.3,9.9,271.4,87.1,45,3.22,25.1,7.5,5.74,5.21,0.56,0.44
10,Jared Goff,DET,28,QB,10,10,4-6-0,20.9,32.7,63.9,244.2,1.5,4.6,0.7,2.1,12,81,7.5,7.4,11.7,244.2,92.8,55.5,1.5,11,4.4,6.82,6.77,0.1,0.1
11,Derek Carr,LVR,31,QB,10,10,3-7-0,21.7,34.8,62.4,243.5,1.5,4.3,0.5,1.4,11.1,60,7,7.2,11.2,243.5,91.6,59.1,2,13.8,5.4,6.24,6.45,0.2,0.2
12,Jalen Hurts,PHI,24,QB,10,10,9-1-0,19.8,29,68.3,240.7,1.5,5.2,0.3,1,11.2,54,8.3,8.9,12.2,240.7,106.5,65,2.6,14.9,8.2,7.15,7.67,0.1,0.2
13,Jacoby Brissett,CLE,30,QB,10,10,3-7-0,21.3,33.1,64.4,239.8,1.1,3.3,0.5,1.5,11.9,55,7.2,7.2,11.3,239.8,90.7,62.4,2,12.8,5.7,6.47,6.45,0.1,0.1
14,Trevor Lawrence,JAX,23,QB,10,10,3-7-0,22.7,34.8,65.2,233.4,1.3,3.7,0.6,1.7,12.2,49,6.7,6.7,10.3,233.4,89.7,51,1.7,10.8,4.7,6.1,6.07,0.1,0.1
15,Tua Tagovailoa,MIA,24,QB,8,8,7-1-0,22,31,71,283.1,2.25,7.3,0.38,1.2,13.6,60,9.1,10,12.9,283.1,118.4,83.1,1,8.25,3.1,8.59,9.47,0.25,0.25
16,Russell Wilson,DEN,34,QB,9,9,3-6-0,19.9,33.4,59.5,247.4,0.78,2.3,0.56,1.7,10,67,7.4,7.1,12.4,247.4,83.3,32.4,3.56,23.1,9.6,6.06,5.81,0.33,0.33
17,Kyler Murray,ARI,25,QB,9,9,3-6-0,26.7,40,66.7,240.9,1.33,3.3,0.67,1.7,12.1,38,6,5.9,9,240.9,86.9,46.7,2.67,20.7,6.3,5.16,5.08,0.11,0.11
18,Jimmy Garoppolo,SFO,31,QB,9,8,5-3-0,19.9,29.7,67,239.9,1.67,5.6,0.44,1.5,11.1,57,8.1,8.5,12.1,239.9,104.1,50.4,1.78,9.89,5.7,7.31,7.74,0.11,0.11
19,Davis Mills,HOU,24,QB,10,10,1-8-1,20.3,32.8,61.9,214.4,1.1,3.4,1.1,3.4,9,58,6.5,5.7,10.6,214.4,78.1,29.3,2.8,22.2,7.9,5.4,4.63,0,0.1
20,Matthew Stafford,LAR,34,QB,9,9,3-6-0,22.9,33.7,68,231.9,1.11,3.3,0.89,2.6,11.7,75,6.9,6.4,10.1,231.9,87.4,50.4,3.22,23.1,8.7,5.66,5.18,,
21,Lamar Jackson,BAL,25,QB,10,10,7-3-0,18.4,29,63.4,197.7,1.6,5.5,0.7,2.4,9.5,75,6.8,6.8,10.7,197.7,91.7,60.6,2.3,10.3,7.3,5.99,6,0.1,0.2
