,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
11,Los Angeles Chargers,6,23.5,374.8,69.3,5.4,0.83,0.33,21.2,28.3,42.8,280,1.67,0.5,6.4,13,25.3,94.8,0.83,3.7,5.5,5.67,44.5,2.67,40.3,6,5.33
12,New England Patriots,6,23.5,354.7,60.3,5.9,1.83,0.83,19.3,20,28.8,223.3,1,1,7.3,10.5,29.7,131.3,1.33,4.4,7.17,6.33,49.8,1.67,36.9,16.9,3.46
13,Detroit Lions,5,28,411.8,66.6,6.2,1.2,0.4,21.4,22.4,37.4,260.4,2.2,0.8,6.7,13.2,27.8,151.4,1.4,5.4,6.4,6,54,1.8,37.9,10.3,2.7
14,Minnesota Vikings,6,23.2,339.8,63,5.4,1,0.17,22,25.5,38.3,242,1.5,0.83,6,14,22.8,97.8,1.17,4.3,5.67,4.17,30.8,2.33,36.8,8.8,6.19
15,Jacksonville Jaguars,6,23,357.8,63.7,5.6,1.5,0.83,21.7,22.2,33.8,221.2,1.5,0.67,6.2,12.5,28.2,136.7,1,4.9,7,5.33,41.5,2.17,37.5,14.1,5.29
16,Cincinnati Bengals,6,23,337.7,67.2,5,1.33,0.5,21.3,25.5,38.2,248.7,2,0.83,5.9,13.5,25.3,89,0.5,3.5,5.33,4.83,36,2.5,39.4,10.6,4.46
17,Miami Dolphins,6,21.8,366.2,60.3,6.1,1.5,0.33,20.3,23.8,36.8,285,1.83,1.17,7.2,13.7,21,81.2,0.67,3.9,4.67,7.17,55.2,2,34.4,14.1,5.25
18,New York Giants,6,21.2,317.3,62.8,5.1,1,0.5,20.3,18,27,154.3,0.83,0.5,5.1,8.5,32.7,163,1.33,5,9.33,6.67,51.2,2.5,39.7,7.9,4.56
19,Las Vegas Raiders,5,25,360.6,62.4,5.8,1,0.2,21,22.8,37,239.2,1.6,0.8,6.1,12.4,23,121.4,0.6,5.3,7,6.8,49.4,1.6,53.1,10.2,6.98
20,San Francisco 49ers,6,20.3,340.2,59.3,5.7,1.5,0.83,18.5,18.2,29.8,216.2,1.17,0.67,6.9,9.67,28,124,1,4.4,7,6.33,45,1.83,29.2,13.8,2.57
21,Tampa Bay Buccaneers,6,20.2,332,64.7,5.1,1,0.83,20.5,27.7,41.2,264.5,1.33,0.17,6.2,13.8,22,67.5,0.33,3.1,4.5,6,48.8,2.17,37.9,7.6,1.64
22,Dallas Cowboys,6,18.3,300.8,59.7,5,0.83,0.17,16.7,17.3,30.8,182,0.83,0.67,5.6,9.33,27.3,118.8,0.67,4.3,6,7,53.7,1.33,34.3,7.5,-1.14
23,Green Bay Packers,6,17.8,348.2,64.8,5.4,1.33,0.83,20.3,24.3,36.3,225.8,1.5,0.5,5.8,11.7,26,122.3,0.5,4.7,7,5.17,36.5,1.67,27.9,11.8,0.92
24,Los Angeles Rams,6,17.3,309.8,62.5,5,2.17,0.83,19.2,26.8,37.8,239.3,1,1.33,5.8,13.7,21,70.5,0.83,3.4,4,4,34.2,1.5,32.3,21,-2.61
25,Indianapolis Colts,6,17.2,349.8,69.5,5,1.83,0.67,21.7,28.3,42.2,266.2,1.33,1.17,5.8,15.2,23.8,83.7,0.33,3.5,5,6.33,53.2,1.5,31.8,16.7,-1.95
26,Carolina Panthers,6,17.2,260,53.8,4.8,1.33,0.5,13.2,17,30,169.7,0.67,0.83,5.1,7,20.7,90.3,0.5,4.4,4.83,5.17,52.2,1.33,28.8,10.6,-8.37
27,Washington Commanders,6,17,320.3,66.3,4.8,1.33,0.33,19.2,24,38.7,224.8,1.67,1,5.3,11.3,23.8,95.5,0.5,4,5.83,6.5,61.8,2,23,10.8,-3.77
28,Pittsburgh Steelers,6,16.2,291.5,61.2,4.8,1.5,0.5,17.8,22.2,35.2,204.8,0.67,1,5.5,11.7,23.8,86.7,0.67,3.6,5,6.17,43,1.17,28.4,10.4,-3.73
29,Tennessee Titans,5,19.2,278.2,56.4,4.9,1.2,0.6,16.8,16.6,26,175.4,1.2,0.6,6.2,9.4,28,102.8,1.2,3.7,5.2,7.4,66.2,2.2,29.6,7.4,0.53
30,Chicago Bears,6,15.5,293.5,55.8,5.3,1.67,0.83,15.5,10.5,19.2,122.8,0.67,0.83,5.3,5.83,32.8,170.7,0.83,5.2,7.83,5.17,42.2,1.83,32.3,12.9,-1.36
31,Denver Broncos,6,15.2,329.3,62.2,5.3,1.17,0.67,16.2,19.3,33,219.2,0.83,0.5,6,9.67,25.8,110.2,0.33,4.3,4.83,9,81,1.67,30.4,8.7,-3.56
32,Houston Texans,5,17.2,291.2,58.6,5,1,0.2,16.6,20.8,33.2,192,1,0.8,5.4,8.8,23,99.2,0.6,4.3,5.2,6,50.2,2.6,31,8.6,-2.99
