player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,games,ex_ppd
Jonathan Taylor,RB,PIT,14.212394455937947,25,Home,8,0.5684957782375178
Austin Ekeler,RB,ARI,19.170707075946137,34,Away,10,0.5638443257631217
Joe Mixon,RB,TEN,12.487614895379547,27,Away,10,0.4625042553844277
Najee Harris,RB,IND,11.165116357610794,17,Away,10,0.6567715504476938
James Conner,RB,LAC,12.414173062411798,23,Home,8,0.5397466548874695
Ezekiel Elliott,RB,NYG,11.651847256979147,17,Home,8,0.6854027798223028
Nick Chubb,RB,TB,15.595847716769432,33,Home,10,0.4726014459627101
Damien Harris,RB,MIN,9.057643572757183,15,Away,7.75,0.6038429048504789
Alvin Kamara,RB,SF,12.560465209385844,23,Away,8.75,0.5461071830167759
Antonio Gibson,RB,ATL,13.079305281999835,17,Home,9.75,0.7693708989411667
Leonard Fournette,RB,CLE,14.27172553166229,19,Away,9.75,0.7511434490348573
Cordarrelle Patterson,RB,WAS,10.151125785037076,16,Away,6.75,0.6344453615648172
Aaron Jones,RB,PHI,12.759183774816641,25,Away,11,0.5103673509926656
Derrick Henry,RB,CIN,19.35586933268495,37,Home,10,0.5231316035860797
Dalvin Cook,RB,NE,14.424632389906138,26,Home,10,0.5547935534579284
Josh Jacobs,RB,SEA,18.311672612442024,26,Away,10,0.7042951004785394
Devin Singletary,RB,DET,10.601138210758918,18,Away,10,0.5889521228199399
David Montgomery,RB,NYJ,9.456584789161921,19,Away,10,0.497714988903259
AJ Dillon,RB,PHI,6.858359119958177,13,Away,8.75,0.5275660861506289
Darrel Williams,RB,LAC,4.539993648016246,12,Home,4.5,0.37833280400135383
D Andre Swift,RB,BUF,11.815683839150088,14,Home,6.25,0.8439774170821491
Elijah Mitchell,RB,NO,7.477257663985204,17,Home,2.5,0.43983868611677673
James Robinson,RB,CHI,9.730925933494962,17,Home,8.75,0.5724074078526449
Tony Pollard,RB,NYG,15.170263807421705,27,Home,8.25,0.5618616224971001
Michael Carter,RB,CHI,9.736493899922962,18,Home,9.5,0.5409163277734979
Chuba Hubbard,RB,DEN,3.0078689452755873,11,Home,7,0.27344263138868974
Saquon Barkley,RB,DAL,14.113391067411351,32,Away,10,0.4410434708566047
Rhamondre Stevenson,RB,MIN,14.23855442524713,24,Away,8.25,0.5932731010519637
Chase Edmonds,RB,CAR,5.673188114661495,12,Away,8,0.4727656762217913
Clyde Edwards Helaire,RB,LAR,8.644214605878542,11,Home,9,0.7858376914435038
Jamaal Williams,RB,BUF,12.701722339734042,24,Home,9,0.5292384308222517
Latavius Murray,RB,CAR,11.60342599923081,14,Away,4.5,0.8288161428022007
Miles Sanders,RB,GB,11.506400586059494,19,Home,9.75,0.6056000308452365
Christian McCaffrey,RB,NO,16.93814052766765,37,Home,9.75,0.45778758182885537
Kareem Hunt,RB,TB,8.709757553604286,13,Home,7.5,0.6699813502772527
D Onta Foreman,RB,DEN,7.245740836242555,20,Home,9.25,0.36228704181212773
Brandon Bolden,RB,SEA,2.65409634121445,11,Away,6.75,0.24128148556495
Nyheim Hines,RB,DET,4.122946443791873,11,Away,8.5,0.37481331307198845
Kenyan Drake,RB,JAX,8.330353021547351,16,Away,7.25,0.5206470638467094
Samaje Perine,RB,TEN,6.2054129237057305,19,Away,7.5,0.32660068019503846
Dontrell Hilliard,RB,CIN,7.339504653982152,12,Home,7,0.611625387831846
Jerick McKinnon,RB,LAR,4.779734574599605,11,Home,7.5,0.4345213249636004
Eno Benjamin,RB,MIA,7.882301494677802,11,Away,8.25,0.7165728631525274
Joshua Kelley,RB,ARI,4.140779337243003,12,Away,4.5,0.34506494477025024
Travis Etienne Jr,RB,BAL,10.436515771239126,26,Home,8.75,0.4014044527399664
Dameon Pierce,RB,MIA,12.515256934479185,21,Away,10,0.5959646159275802
Jeff Wilson Jr,RB,HOU,12.018448665097168,21,Home,9,0.5723070792903413
Kenneth Walker III,RB,LV,12.796867303126112,29,Home,8,0.4412712863146935
Raheem Mostert,RB,HOU,11.151197746841378,20,Home,9.5,0.5575598873420688
Tyler Allgeier,RB,WAS,6.004916883735686,14,Away,8.5,0.42892263455254903
Melvin Gordon III,RB,CAR,6.6570463855767805,14,Away,9,0.47550331325548434
Isiah Pacheco,RB,LAR,3.5907467156218513,19,Home,8.5,0.18898666924325533
Darrell Henderson Jr,RB,KC,5.275944794973917,12,Away,9.25,0.4396620662478264
Brian Robinson Jr,RB,ATL,7.750383372991319,17,Home,6.5,0.45590490429360697
Rachaad White,RB,CLE,5.3336417383181844,19,Away,7.75,0.28071798622727284
James Cook,RB,DET,3.916565451131556,14,Away,7.5,0.2797546750808254
Caleb Huntley,RB,WAS,3.087324181345473,11,Away,6.75,0.2806658346677703
Jaylen Warren,RB,IND,2.9590385789754925,11,Away,7.5,0.2690035071795902
Cam Akers,RB,KC,3.575176748497119,15,Away,6.5,0.23834511656647459
J K Dobbins,RB,JAX,6.459114835655676,14,Away,4,0.46136534540397683
Gus Edwards,RB,JAX,7.96513970742844,16,Away,1.75,0.4978212317142775
Kyren Williams,RB,KC,3.1914958546943493,12,Away,2.25,0.2659579878911958
Keaontay Ingram,RB,LAC,2.38669966817814,12,Home,4.5,0.198891639014845
Mark Andrews,TE,JAX,12.259138064737988,26,Away,9,0.4715053101822303
Travis Kelce,TE,LAR,18.013925325872606,30,Home,10,0.6004641775290869
Deebo Samuel,WR,NO,8.673565881814914,23,Home,8.75,0.37711156007890934
Dalton Schultz,TE,NYG,6.400386940479639,16,Home,8,0.40002418377997745
Ja Marr Chase,WR,TEN,14.872081183543507,35,Away,7,0.4249166052441002
George Kittle,TE,NO,10.451272035662914,16,Home,8,0.6532045022289321
Justin Jefferson,WR,NE,16.283587604160637,38,Home,10,0.42851546326738515
Davante Adams,WR,SEA,18.170105457792992,28,Away,10,0.6489323377783212
Dawson Knox,TE,DET,6.361124972002638,17,Away,9,0.3741838218825081
Mike Evans,WR,CLE,11.919648455277603,20,Away,9,0.5959824227638801
Hunter Henry,TE,MIN,4.683182678899482,12,Away,9.75,0.3902652232416235
Tyreek Hill,WR,HOU,16.86098950770052,33,Home,10,0.5109390759909248
Stefon Diggs,WR,DET,17.960233062811824,38,Away,10,0.47263771217925854
Kyle Pitts,TE,WAS,6.396406778526042,11,Away,10,0.5814915253205493
Mike Williams,WR,ARI,9.98047280455519,23,Away,8,0.4339336001980517
Mike Gesicki,TE,HOU,6.570704504731469,12,Home,7.75,0.5475587087276225
Tyler Lockett,WR,LV,11.92263033153682,22,Home,10,0.5419377423425827
Pat Freiermuth,TE,IND,8.135496747134685,18,Away,8,0.4519720415074825
Diontae Johnson,WR,IND,7.6099127697002675,12,Away,10,0.6341593974750223
Noah Fant,TE,LV,5.743608443869297,13,Home,10,0.44181603414379206
Tyler Higbee,TE,KC,6.55030758596561,15,Away,10,0.4366871723977074
CeeDee Lamb,WR,NYG,13.09645203041279,25,Home,10,0.5238580812165116
Keenan Allen,WR,ARI,7.25632708386373,21,Away,3,0.3455393849458919
T J Hockenson,TE,NE,9.65399070656823,20,Home,10,0.4826995353284115
Michael Pittman Jr,WR,PIT,10.625596034738642,19,Home,10,0.5592418965651916
Tee Higgins,WR,TEN,11.462130000144597,27,Away,9.75,0.4245233333386888
Tyler Conklin,TE,CHI,6.744723103000789,12,Home,10,0.562060258583399
Chris Godwin,WR,CLE,9.662728406664092,19,Away,7.75,0.5085646529823207
David Njoku,TE,TB,7.537779167406774,18,Home,8,0.41876550930037637
Brandin Cooks,WR,MIA,8.569766205928126,13,Away,9,0.6592127850713942
Jaylen Waddle,WR,HOU,13.975225607131504,26,Home,10,0.5375086771973655
Gerald Everett,TE,ARI,6.09167536564309,20,Away,8.25,0.3045837682821545
Cole Kmet,TE,NYJ,6.52508683329376,17,Away,11,0.3838286372525741
Darnell Mooney,WR,NYJ,8.24717255325378,13,Away,11,0.6343978887118292
Amon Ra St Brown,WR,BUF,11.424655057638114,24,Home,9,0.4760272940682548
Evan Engram,TE,BAL,6.37602345705106,13,Home,9.25,0.49046334285008153
Terry McLaurin,WR,ATL,10.696096537178933,23,Home,11,0.4650476755295188
Foster Moreau,TE,SEA,4.708276661277771,17,Away,7.75,0.2769574506633983
Marquise Brown,WR,LAC,13.975585107593117,18,Home,6,0.7764213948662843
Austin Hooper,TE,CIN,4.8428742116829735,11,Home,7.75,0.4402612919711794
Amari Cooper,WR,TB,13.68573694338077,20,Home,10,0.6842868471690384
Adam Thielen,WR,NE,8.453217510086047,13,Home,10,0.6502475007758497
Christian Kirk,WR,BAL,13.51618168614918,22,Home,10,0.6143718948249627
DeVonta Smith,WR,GB,9.704484385394306,18,Home,10,0.5391380214107948
Harrison Bryant,TE,TB,3.6258740007068133,11,Home,9,0.32962490915516485
Van Jefferson,WR,KC,4.499565028324847,13,Away,3.75,0.34612038679421897
A J Brown,WR,GB,13.445817729526262,31,Home,9.75,0.43373605579116975
Juwan Johnson,TE,SF,6.503588862593188,14,Away,10,0.46454206161379913
Tyler Boyd,WR,TEN,10.035170488889804,23,Away,9.5,0.4363117603865132
Jonnu Smith,TE,MIN,3.0515020424035373,11,Away,8,0.27740927658213976
Brandon Aiyuk,WR,NO,10.99964327282439,19,Home,10,0.5789285933065468
Chase Claypool,WR,NYJ,6.130997605509798,11,Away,10.5,0.5573634186827089
DeAndre Hopkins,WR,LAC,15.797861030842583,30,Home,5,0.5265953676947528
Hayden Hurst,TE,TEN,5.998450512117743,14,Away,10,0.4284607508655531
Jakobi Meyers,WR,MIN,11.271565027066352,18,Away,7.75,0.6261980570592418
Allen Lazard,WR,PHI,10.699249765817989,14,Away,9,0.7642321261298564
Logan Thomas,TE,ATL,5.053711453117535,12,Home,7.75,0.42114262109312794
Courtland Sutton,WR,CAR,8.889150634534264,16,Away,10,0.5555719146583915
Robert Woods,WR,CIN,6.105362044057954,11,Home,9.5,0.5550329130961776
Robert Tonyan,TE,PHI,5.162818628656458,11,Away,9,0.46934714805967803
Will Dissly,TE,LV,5.661786864177408,12,Home,10,0.471815572014784
Jarvis Landry,WR,SF,6.7739478340797605,12,Away,5,0.56449565283998
O J Howard,TE,MIA,2.7108822031587234,12,Away,9.5,0.22590685026322696
Donovan Peoples Jones,WR,TB,8.117882249696954,15,Home,9.5,0.5411921499797969
Quez Watkins,WR,GB,4.134091571096723,12,Home,8.5,0.34450763092472697
Corey Davis,WR,CHI,7.484449361932611,13,Home,6.5,0.5757268739948163
Randall Cobb,WR,PHI,6.1834737533695625,13,Away,5.5,0.47565182718227406
DeVante Parker,WR,MIN,5.359595353061994,13,Away,8.5,0.4122765656201534
DeAndre Carter,WR,ARI,6.057300137459945,12,Away,9,0.5047750114549955
Marquez Valdes Scantling,WR,LAR,6.350722839344843,14,Home,9,0.45362305995320307
Zay Jones,WR,BAL,7.845193840807195,15,Home,8.75,0.5230129227204796
Olamide Zaccheaus,WR,WAS,5.652238054047821,12,Away,10.25,0.47101983783731843
Jauan Jennings,WR,NO,3.587794539038997,11,Home,7,0.3261631399126361
Michael Gallup,WR,NYG,5.428378886425442,12,Home,6.5,0.45236490720212014
Rondale Moore,WR,LAC,7.38939145062237,16,Home,8,0.46183696566389815
Josh Reynolds,WR,BUF,7.500162683060048,14,Home,7,0.5357259059328606
Nico Collins,WR,MIA,7.5646239379437406,15,Away,7.5,0.5043082625295827
Devin Duvernay,WR,JAX,6.216761799926121,13,Away,10,0.47821244614816316
Jerry Jeudy,WR,CAR,7.799670306476132,14,Away,9,0.557119307605438
Mack Hollins,WR,SEA,7.294015281073548,11,Away,9.75,0.6630922982794135
Demarcus Robinson,WR,JAX,4.6799944298695415,16,Away,8,0.29249965186684634
Kadarius Toney,WR,LAR,3.247441214446563,15,Home,4.25,0.2164960809631042
Darius Slayton,WR,DAL,7.154306583359105,16,Away,8,0.44714416145994407
Damiere Byrd,WR,WAS,5.005485117071513,11,Away,6.75,0.4550441015519557
Marquise Goodwin,WR,LV,5.874467410940954,14,Home,6,0.41960481506721103
Chris Moore,WR,MIA,5.565618027524339,11,Away,7.25,0.5059652752294853
Isaiah McKenzie,WR,DET,5.360334363146178,15,Away,8.25,0.3573556242097452
Parris Campbell,WR,PIT,7.679089876227124,19,Home,10.75,0.4041626250645855
Chris Olave,WR,SF,10.378433294619832,17,Away,9,0.6104960761541077
Curtis Samuel,WR,ATL,7.45653175612273,20,Home,10.5,0.3728265878061365
JuJu Smith Schuster,WR,LAR,8.03197357648794,21,Home,9,0.3824749322137115
Gabe Davis,WR,DET,10.451486399259,23,Away,9,0.4544124521416957
DK Metcalf,WR,LV,9.252424130625647,20,Home,10,0.46262120653128236
DJ Moore,WR,DEN,7.364683226748861,13,Home,11,0.566514094365297
Garrett Wilson,WR,CHI,7.654484064516129,14,Home,9,0.5467488617511521
Joshua Palmer,WR,ARI,8.96144549132404,22,Away,8.75,0.40733843142382004
George Pickens,WR,IND,6.679534940875214,17,Away,9,0.3929138200514832
Alec Pierce,WR,PIT,5.5966315047157575,14,Home,9.25,0.3997593931939827
Drake London,WR,WAS,6.990399297679777,15,Away,10.5,0.46602661984531846
Noah Brown,WR,NYG,5.6243593479389435,11,Home,9,0.5113053952671767
Marvin Jones Jr,WR,BAL,5.508837878872437,13,Home,8.5,0.4237567599132644
Allen Robinson II,WR,KC,6.388532270595755,15,Away,10,0.4259021513730504
Romeo Doubs,WR,PHI,5.911999517709368,12,Away,8.5,0.49266662647578063
Treylon Burks,WR,CIN,5.624356304111245,14,Home,5.25,0.4017397360079461
Christian Watson,WR,PHI,6.925273336822265,24,Away,7.25,0.2885530557009277
Richie James Jr,WR,DAL,2.885383890228426,12,Away,7.75,0.24044865751903552
Justin Watson,WR,LAR,3.0276354515531416,15,Home,7.75,0.20184236343687612
Jahan Dotson,WR,ATL,7.473780246530211,17,Home,5.5,0.43963413214883595
Skyy Moore,WR,LAR,1.6399323416731117,15,Home,8,0.10932882277820745
Greg Dulcich,TE,CAR,6.442775640296558,14,Away,4.5,0.46019826002118275
Isaiah Likely,TE,JAX,3.663252787477032,13,Away,7.75,0.2817886759597717
Daniel Bellinger,TE,DAL,4.394983901770235,12,Away,6.75,0.3662486584808529
