Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,games,ex_ppd,home_away
Justin Jefferson,WR,MIN,IND,17.666962500000004,35,7.451700000000001,112.42226785714286,0.4498142857142858,0,13,0.5047703571428572,Home
Tyler Boyd,WR,CIN,TB,8.393739460535045,16,3.394797609561753,48.894579634464755,0.30114711538461536,0,12.5,0.5246087162834403,Away
Mack Hollins,WR,LV,NE,7.606669086347822,14,3.595810280373832,44.51435374732334,0.2262214285714286,0,12.75,0.5433335061677016,Home
Amari Cooper,WR,CLE,BAL,12.635459436816411,23,4.928381516587677,68.20784678522573,0.5584140000000001,0,13,0.5493678016007135,Home
Christian Kirk,WR,JAX,DAL,12.078780839890099,22,5.070448936170213,65.53813514662134,0.5249571428571429,0.08,13,0.5490354927222773,Home
Garrett Wilson,WR,NYJ,DET,11.074152244144663,24,4.882258139534883,68.06171174377224,0.331142,0.08,11.75,0.4614230101726943,Home
Tyreek Hill,WR,MIA,BUF,17.3087538570529,39,7.720210714285715,109.7040474991004,0.4397072916666667,0.08,13,0.44381420146289485,Away
Davante Adams,WR,LV,NE,17.84775951785822,34,6.267835046728972,94.44527708779445,0.9048857142857144,0.08,13,0.5249341034664182,Home
Stefon Diggs,WR,BUF,MIA,17.440928720138505,36,7.301988362068966,94.46820539104024,0.750519,0.08,13,0.4844702422260696,Home
A J Brown,WR,PHI,CHI,14.40462476211219,29,4.938292682926829,77.5380504786771,0.7469455621301775,0.15,12.75,0.4967111986935238,Away
Jaylen Waddle,WR,MIA,BUF,12.298704320349048,24,4.557835714285715,75.4154271320619,0.4397072916666667,0.08,13,0.512446013347877,Away
CeeDee Lamb,WR,DAL,JAX,13.21402074656879,29,5.7736599009901,75.33919563197027,0.4655452054794521,0,13,0.45565588781271693,Away
Amon Ra St Brown,WR,DET,NYJ,13.516341607845298,26,6.766273660714286,72.83559807073955,0.47494082840236684,0,12,0.5198592926094345,Away
Tyler Lockett,WR,SEA,SF,12.517183159540563,24,5.539492116182573,67.95537101449275,0.53865,0.14,14,0.5215492983141902,Home
Terry McLaurin,WR,WAS,NYG,10.872226577806368,20,4.742774999999999,73.04752776436504,0.22601438356164386,0.08,13,0.5436113288903184,Home
DK Metcalf,WR,SEA,SF,11.472167400324736,23,5.609108713692946,65.09513043478262,0.40635,0.14,14,0.4987898869706407,Home
Chris Olave,WR,NO,ATL,11.30274951996107,22,5.043087557603687,74.49777169730655,0.24857142857142858,0.08,10.75,0.5137613418164123,Home
Tee Higgins,WR,CIN,TB,10.903621615606266,21,4.532937848605578,64.22264229765014,0.36914807692307694,0,12.5,0.5192200769336317,Away
