Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Patrick Mahomes,QB,KC,DEN,23.155764309523153,37,297.03000000000003,2.239,21.408223740392824,0.26129032258064516,0.33,0.73,15,0.6258314678249501,Home
Joe Burrow,QB,CIN,BUF,21.491150410843456,34,273.395,2.1095,16.656262729124236,0.31862068965517243,0.33,0.8,15,0.6320926591424546,Home
Justin Herbert,QB,LAC,LAR,15.956093992932862,33,275.035,1.3895,10.066939929328623,0,0.47,0.67,15,0.4835179997858443,Home
Tom Brady,QB,TB,CAR,15.7872,26,269.68,1.4,0,0,0,0.6,15,0.6072,Home
Kirk Cousins,QB,MIN,GB,17.22708253968254,29,262.185,1.7295,4.316825396825397,0.13,0.33,0.73,15,0.5940373289545704,Away
Josh Allen,QB,BUF,CIN,23.283560588235293,37,262.195,1.9799999999999998,47.799705882352946,0.45096499999999995,0.87,0.87,15,0.6292854213036566,Away
Jared Goff,QB,DET,CHI,16.015877713338856,30,255.67999999999998,1.6504999999999999,4.566777133388567,0,0.4,0.47,15,0.5338625904446286,Home
Geno Smith,QB,SEA,NYJ,17.505727663934426,28,249.56,1.6605,19.910901639344264,0.07170625,0.47,0.6,15,0.6252045594262295,Home
Trevor Lawrence,QB,JAX,HOU,18.104873057829064,31,244.29,1.4905000000000002,20.203420233463035,0.36015517241379313,0.67,0.47,15,0.5840281631557762,Away
Tua Tagovailoa,QB,MIA,NE,17.011213868613133,31,263.92999999999995,1.8615,5.4801386861313865,0,0.46,0.62,13,0.5487488344713914,Away
Derek Carr,QB,LV,SF,14.527859490550536,24,231.875,1.5205000000000002,6.40859490550534,0,0.27,0.93,15,0.605327478772939,Home
Jalen Hurts,QB,PHI,NO,24.259907717532652,40,239.35999999999999,1.495,52.26464239271782,0.8531739130434782,0.64,0.36,14,0.6064976929383163,Home
Aaron Rodgers,QB,GB,MIN,14.275866978066611,27,231.01,1.57,5.454669780666125,0,0.53,0.73,15,0.528735814002467,Home
Matt Ryan,QB,IND,NYG,12.36305583761073,20,249.655,1.194,6.196643482490272,0.09353191489361704,1.25,1.08,12,0.6181527918805365,Away
Daniel Jones,QB,NYG,IND,16.720619254658388,30,202.53,0.939,40.134192546583854,0.33,0.4,0.33,15,0.5573539751552796,Home
Russell Wilson,QB,DEN,KC,14.428006511627906,25,231.22499999999997,1.0925,17.79006511627907,0.08,0.38,0.69,13,0.5771202604651162,Away
Dak Prescott,QB,DAL,TEN,17.884750673352436,33,253.035,1.9625,14.141106733524355,0.08154,0.36,1.27,11,0.5419621416167405,Away
Davis Mills,QB,HOU,JAX,12.464843182634086,22,208.165,1.158,5.541155230596175,0.17202127659574468,0.54,1,13,0.5665837810288221,Home
Jacoby Brissett,QB,CLE,WAS,12.4846471863624,20,188.145,0.9515,16.623747454175152,0.13007874015748033,0.43,0.43,13.25,0.62423235931812,Away
Mac Jones,QB,NE,MIA,12.033752486187844,23,217.32999999999998,0.8879999999999999,8.005524861878452,0.083,0.42,0.67,12,0.523206629834254,Home
Ryan Tannehill,QB,TEN,DAL,13.670154395161292,20,210.145,1.125,8.208543951612903,0.15725000000000003,0.25,0.5,12,0.6835077197580646,Home
Andy Dalton,QB,NO,PHI,12.76776710526316,21,203.895,1.4169999999999998,4.539671052631578,0,0.42,0.67,12,0.6079889097744362,Away
Jimmy Garoppolo,QB,SF,LV,15.272155098557544,20,224.92000000000002,1.4529999999999998,2.9395322939866366,0.17823364485981308,0.27,0.36,10.75,0.7636077549278772,Away
Kyler Murray,QB,ARI,ATL,17.438492101940074,20,218.93,1.309,39.0700177935943,0.2730483870967742,0.73,0.64,11,0.8719246050970038,Away
Lamar Jackson,QB,BAL,PIT,19.61048786871625,29,193.64,1.4665,60.223361445783134,0.23275862068965517,0.42,0.58,12,0.6762237196109051,Home
Justin Fields,QB,CHI,DET,19.424451144237445,41,171.19500000000002,1.2089999999999999,70.1629716193656,0.5957256637168141,1.07,0.71,14,0.4737671010789621,Away
Matthew Stafford,QB,LAR,LAC,12.82,20,227.4,1.1535,0,0,0,0.89,9,0.641,Away
Kenny Pickett,QB,PIT,BAL,12.238819715435792,21,193.59999999999997,0.5625,20.52755199306759,0.25867741935483873,0.27,0.82,10.75,0.5828009388302758,Away
Baker Mayfield,QB,LAR,LAC,10.87532591768632,22,190.425,1.06,7.048776418242491,0.10224137931034483,0.8,0.7,9.5,0.4943329962584691,Away
Taylor Heinicke,QB,WAS,CLE,13.199664074029481,23,205.83499999999998,1.3210000000000002,10.837534357316086,0.13808510638297872,0.78,0.67,9,0.5738984380012818,Home
Zach Wilson,QB,NYJ,SEA,11.805905552085731,20,192.14499999999998,0.7989999999999999,12.117607244995234,0.11872413793103448,0.11,0.78,9,0.5902952776042866,Away
Carson Wentz,QB,WAS,CLE,13.703724656426838,23,225.98,1.525,11.445246564268391,0,0.86,0.86,6.75,0.5958141154968191,Home
Mitch Trubisky,QB,PIT,BAL,11.657940273662437,20,187.99,0.6644999999999999,5.233080155979202,0.2778387096774193,0,0.71,6.5,0.5828970136831219,Away
Cooper Rush,QB,DAL,TEN,8.9554,20,153.585,0.798,0,0,0,0.38,7.25,0.44776999999999995,Away
Mike White,QB,NYJ,SEA,15.743599999999999,29,302.39,1.0795,0,0,0,0.67,3,0.5428827586206896,Away
Brock Purdy,QB,SF,LV,10.224,29,147.4,1.1894999999999998,0,0,0,0.43,6,0.35255172413793107,Away
Joe Flacco,QB,NYJ,SEA,13.392399999999999,20,224.35999999999999,1.292,0,0,0,0.75,3.75,0.6696199999999999,Away
Jameis Winston,QB,NO,PHI,13.040898815789474,20,270.28,1.3405,5.376988157894737,0,1,1.67,3,0.6520449407894737,Away
Bailey Zappe,QB,NE,MIA,12.610399999999998,20,202.70999999999998,1.313,0,0,0,0.75,3.5,0.63052,Home
Colt McCoy,QB,ARI,ATL,9.01034252669039,20,201.675,0.44199999999999995,9.253425266903914,0,0.5,0.75,3.75,0.4505171263345195,Away
Sam Darnold,QB,CAR,TB,15.674269269458513,22,190.595,1.0899999999999999,13.334599236641221,0.4761682242990654,0.25,0,4,0.712466784975387,Away
Deshaun Watson,QB,CLE,WAS,12.810743149927031,24,179.22,0.6455,24.162423625254583,0.23228346456692914,0,0.75,4,0.533780964580293,Away
Tyler Huntley,QB,BAL,PIT,8.356694391358538,20,124.61999999999999,0.4295,21.36653012048193,0.18620689655172415,0.6,0.4,4.5,0.4178347195679269,Home
Teddy Bridgewater,QB,MIA,NE,8.968371897810218,20,142.89,0.867,5.347718978102189,0,0,0.75,3.25,0.44841859489051095,Away
Brett Rypien,QB,DEN,KC,7.4033999999999995,20,136.535,0.7354999999999999,0,0,0,1,3.5,0.37017,Away
Kyle Allen,QB,HOU,JAX,7.589295838020247,22,213.77499999999998,1.0899999999999999,6.782958380202475,0,2,2,2,0.34496799263728395,Home
John Wolford,QB,LAR,LAC,5.753737041156841,20,140.785,0.49050000000000005,11.603370411568408,0,1,1,3,0.28768685205784206,Away
Trace McSorley,QB,ARI,ATL,4.346432028469752,20,101.035,0.22949999999999998,9.87032028469751,0,0.4,0.8,4,0.2173216014234876,Away
