Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,games,ex_ppd,home_away
Justin Jefferson,WR,MIN,GB,18.417761823318596,36,7.907275471698112,113.75460754136205,0.5147772222222222,0,15,0.5116044950921832,Away
Tyler Boyd,WR,CIN,BUF,8.245907492724355,14,3.473681679389313,46.317300891530465,0.31288942731277536,0,14.5,0.5889933923374538,Home
Mack Hollins,WR,LV,SF,7.524227257548752,15,3.5101789473684213,42.081665338645415,0.260161875,0,14.75,0.5016151505032501,Home
Chase Claypool,WR,CHI,DET,5.73182264924849,14,3.611342222222222,35.841904761904765,0.08366017699115044,0.08,12.5,0.40941590351774926,Away
Amari Cooper,WR,CLE,WAS,12.073275220475123,19,4.83080243902439,66.5775787193067,0.5000193548387097,0,15,0.6354355379197433,Away
Christian Kirk,WR,JAX,HOU,11.533905983330964,17,4.9726991489361705,65.09085158862877,0.446411875,0.07,15,0.6784650578429979,Away
Garrett Wilson,WR,NYJ,SEA,10.429944586846709,16,4.715204739336493,66.1789621717846,0.285741,0.13,13.75,0.6518715366779193,Away
Tyreek Hill,WR,MIA,NE,16.99571384089164,34,7.522330555555556,106.1094856311386,0.4606,0.07,15,0.49987393649681294,Away
CeeDee Lamb,WR,DAL,TEN,14.663898274039177,30,6.541446948356808,83.81458823529412,0.5019526627218935,0,16,0.48879660913463924,Away
Stefon Diggs,WR,BUF,CIN,15.707537903617323,32,6.6618144736842115,87.04236300578035,0.6353990610328639,0.07,15,0.49086055948804136,Away
A J Brown,WR,PHI,NO,14.747383938655032,33,5.30463125,84.81547063655032,0.645586875,0.13,14.75,0.4468904223834858,Home
Davante Adams,WR,LV,SF,16.009694657626802,30,5.9379684210526325,85.55610447100487,0.77085,0.07,15,0.5336564885875601,Home
Jaylen Waddle,WR,MIA,NE,13.401400075279899,25,4.465447222222222,81.92276464168789,0.5194,0.07,15,0.5360560030111959,Away
Amon Ra St Brown,WR,DET,CHI,13.20303372138326,25,6.716425663716815,73.51765398195371,0.4155092485549133,0,14,0.5281213488553305,Home
Terry McLaurin,WR,WAS,CLE,11.062526766549372,21,4.7499526066350715,72.37832816173014,0.2649529411764706,0.07,15,0.5267869888833034,Home
Tee Higgins,WR,CIN,BUF,11.724381565304721,23,4.7923030534351145,66.5444765973254,0.4456303964757709,0,14.5,0.5097557202306401,Home
DeVonta Smith,WR,PHI,NO,11.797547948882483,23,5.244916826923077,65.97843285420944,0.452874375,0.07,15,0.5129368673427167,Home
DK Metcalf,WR,SEA,NYJ,11.389448839321568,21,5.638462655601661,65.66617511520738,0.3772666666666667,0.13,15,0.5423547066343604,Home
Ja Marr Chase,WR,CIN,BUF,15.856211956036727,30,7.065448854961832,85.30591493313521,0.6921493392070484,0.18,11,0.5285403985345576,Home
Tyler Lockett,WR,SEA,NYJ,12.438974359141062,21,5.48101867219917,67.52835023041476,0.537605,0.14,14,0.5923321123400506,Home
Chris Olave,WR,NO,PHI,10.716699766567807,16,4.857923267326733,70.80636172120126,0.22785032679738565,0.08,11.75,0.6697937354104879,Away
Mike Evans,WR,TB,CAR,10.00799777678476,17,4.6614006779661015,64.17297437801709,0.21,0,14,0.5887057515755741,Home
Michael Pittman Jr,WR,IND,NYG,9.912286756169612,17,6.338258158995815,61.43415741187832,0.14662365591397852,0.14,14,0.583075691539389,Away
JuJu Smith Schuster,WR,KC,DEN,9.375160315663699,17,5.206871428571429,60.18139176276771,0.1955975708502024,0.21,13.5,0.5514800185684529,Home
Brandon Aiyuk,WR,SF,LV,10.595642375096183,18,4.420046766169154,57.42768692610407,0.46380838323353296,0.07,15,0.5886467986164546,Away
Chris Godwin,WR,TB,CAR,11.10095269342363,21,6.666094915254237,63.8790523579651,0.23,0,12.75,0.5286167949249347,Home
Curtis Samuel,WR,WAS,CLE,7.81799079059588,13,4.086938388625592,43.2480394922426,0.2649529411764706,0.07,13.75,0.6013839069689139,Home
Deebo Samuel,WR,SF,LV,7.941620643994822,20,4.593582089552239,51.38266724967206,0.16776047904191618,0.25,11.75,0.3970810321997411,Away
