player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Jonathan Taylor,RB,IND,TEN,Away,12.835260308886603,31,0.4140406551253743,11.993229012695148,0.38687835524823055,14.8,2 out of 5 stars,A
Austin Ekeler,RB,LAC,SEA,Home,21.485543943791527,39,0.5509113831741417,22.89363420541647,0.5870162616773453,18.2,4 out of 5 stars,A+
Joe Mixon,RB,CIN,ATL,Home,14.49026113189666,21,0.6900124348522219,14.4432301884238,0.687772866115419,14.6,5 out of 5 stars,A
Najee Harris,RB,PIT,MIA,Away,12.089616847390271,16,0.755601052961892,11.956595496271818,0.7472872185169886,12.4,3 out of 5 stars,B
Ezekiel Elliott,RB,DAL,DET,Home,13.426734971211983,20,0.6713367485605992,13.60962138744569,0.6804810693722845,13,4 out of 5 stars,B
Nick Chubb,RB,CLE,BAL,Away,15.17407131745842,40,0.3793517829364605,14.820101882083456,0.3705025470520864,16,4 out of 5 stars,A
Damien Harris,RB,NE,CHI,Home,10.057707727532657,19,0.5293530382911925,11.539582467903797,0.6073464456791472,6.6,3 out of 5 stars,C
Alvin Kamara,RB,NO,ARI,Away,12.639074133720701,27,0.46811385680447043,11.54153447674386,0.42746423987940224,15.2,3 out of 5 stars,A
Antonio Gibson,RB,WAS,GB,Home,10.0874211640267,12,0.8406184303355584,11.967744520038146,0.997312043336512,5.7,4 out of 5 stars,D+
Leonard Fournette,RB,TB,CAR,Away,17.784393779844333,27,0.6586812511053457,18.37770539977762,0.6806557555473193,16.4,2 out of 5 stars,A
Aaron Jones,RB,GB,WAS,Away,12.107319373499275,25,0.48429277493997097,11.72474196214182,0.46898967848567275,13,3 out of 5 stars,B+
Derrick Henry,RB,TEN,IND,Home,18.298627352199855,37,0.4945574960054015,18.72661050314265,0.5061246081930445,17.3,3 out of 5 stars,A+
Josh Jacobs,RB,LV,HOU,Home,19.625051394867906,32,0.6132828560896221,20.79293056409701,0.6497790801280314,16.9,4 out of 5 stars,A
