player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Jonathan Taylor,RB,IND,PIT,Home,14.808676119156562,25,0.5923470447662624,14.212394455937948,0.5684957782375178,16.2,2 out of 5 stars,A
Austin Ekeler,RB,LAC,ARI,Away,18.969494953162293,34,0.5579263221518321,19.170707075946137,0.5638443257631217,18.5,4 out of 5 stars,A+
Joe Mixon,RB,CIN,TEN,Away,10.361330426765683,27,0.38375297876909936,12.487614895379547,0.4625042553844277,5.4,2 out of 5 stars,D+
Najee Harris,RB,PIT,IND,Away,11.295581450327555,17,0.6644459676663268,11.165116357610794,0.6567715504476938,11.6,3 out of 5 stars,B
James Conner,RB,ARI,LAC,Home,12.589921143688258,23,0.547387875812533,12.414173062411798,0.5397466548874695,13,4 out of 5 stars,B
Ezekiel Elliott,RB,DAL,NYG,Home,11.006293079885403,17,0.6474290046991413,11.651847256979147,0.6854027798223028,9.5,3 out of 5 stars,C
Nick Chubb,RB,CLE,TB,Home,15.507093401738603,33,0.46991192126480613,15.595847716769432,0.4726014459627101,15.3,3 out of 5 stars,A
Damien Harris,RB,NE,MIN,Away,8.71035050093003,15,0.5806900333953353,9.057643572757184,0.6038429048504789,7.9,3 out of 5 stars,C-
Alvin Kamara,RB,NO,SF,Away,12.78232564657009,23,0.5557532889813083,12.560465209385844,0.5461071830167759,13.3,2 out of 5 stars,B+
Antonio Gibson,RB,WAS,ATL,Home,12.485513697399885,17,0.7344419821999932,13.079305281999837,0.7693708989411667,11.1,4 out of 5 stars,B-
Leonard Fournette,RB,TB,CLE,Away,13.080207872163601,19,0.6884319932717685,14.27172553166229,0.7511434490348573,10.3,4 out of 5 stars,C
Cordarrelle Patterson,RB,ATL,WAS,Away,10.315788049525953,16,0.644736753095372,10.151125785037076,0.6344453615648172,10.7,2 out of 5 stars,C+
Aaron Jones,RB,GB,PHI,Away,13.011428642371648,25,0.5204571456948659,12.75918377481664,0.5103673509926656,13.6,4 out of 5 stars,A-
Derrick Henry,RB,TEN,CIN,Home,18.709108532879462,37,0.5056515819697152,19.35586933268495,0.5231316035860797,17.2,2 out of 5 stars,A+
Dalvin Cook,RB,MIN,NE,Home,14.627242672934296,26,0.5625862566513191,14.424632389906138,0.5547935534579284,15.1,3 out of 5 stars,A
Josh Jacobs,RB,LV,SEA,Away,17.618170828709417,26,0.6776219549503621,18.311672612442024,0.7042951004785394,16,4 out of 5 stars,A
Devin Singletary,RB,BUF,DET,Away,10.750796747531242,18,0.5972664859739578,10.601138210758918,0.5889521228199399,11.1,4 out of 5 stars,B-
David Montgomery,RB,CHI,NYJ,Away,10.159609352413344,19,0.5347162817059655,9.45658478916192,0.497714988903259,11.8,3 out of 5 stars,B
AJ Dillon,RB,GB,PHI,Away,6.750851383970724,13,0.5192962603054403,6.858359119958177,0.5275660861506289,6.5,4 out of 5 stars,D
D Andre Swift,RB,DET,BUF,Home,11.060978687405061,14,0.7900699062432187,11.815683839150088,0.8439774170821491,9.3,3 out of 5 stars,C
Elijah Mitchell,RB,SF,NO,Home,7.634080364789643,17,0.449063550869979,7.477257663985204,0.43983868611677673,8,2 out of 5 stars,C-
James Robinson,RB,NYJ,CHI,Home,8.821648153446473,17,0.5189204796144984,9.730925933494962,0.5724074078526449,6.7,4 out of 5 stars,D
Tony Pollard,RB,DAL,NYG,Home,14.939184665195192,27,0.5533031357479701,15.170263807421705,0.5618616224971001,14.4,3 out of 5 stars,A-
