Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Patrick Mahomes,KAN,27,QB,8,8,6-2-0,27.4,41.4,66.2,325.6,2.63,6.3,0.75,1.8,17.3,57,7.9,8.3,11.9,325.6,103.6,75.4,2,13.9,4.6,7.19,7.62,0.13,0.13
2,Tom Brady,TAM,45,QB,9,9,4-5-0,28.9,44.2,65.3,283,1.11,2.5,0.11,0.3,13.9,51,6.4,6.8,9.8,283,90.5,51.5,1.56,11.9,3.4,5.92,6.3,0.11,0.22
3,Joe Burrow,CIN,26,QB,9,9,5-4-0,25.9,37,70,281.7,2,5.4,0.67,1.8,13.3,60,7.6,7.9,10.9,281.7,102.6,55.2,3.33,22.3,8.3,6.43,6.68,0.22,0.22
4,Josh Allen,BUF,26,QB,8,8,6-2-0,23.9,37.3,64.1,300.4,2.38,6.4,1,2.7,14.3,98,8.1,8.1,12.6,300.4,99.2,74.4,2,9.25,5.1,7.42,7.48,0.13,0.25
5,Justin Herbert,LAC,24,QB,8,8,5-3-0,29.1,43.9,66.4,281.8,1.63,3.7,0.63,1.4,13.9,54,6.4,6.5,9.7,281.8,90.6,58.6,1.25,6.63,2.8,6.1,6.19,0.38,0.38
6,Geno Smith,SEA,32,QB,9,9,6-3-0,23,31.4,73.1,244.3,1.67,5.3,0.44,1.4,11.7,54,7.8,8.2,10.6,244.3,107.2,68.1,2.33,18.3,6.9,6.69,7.09,0,0.11
7,Kyler Murray,ARI,25,QB,9,9,3-6-0,26.7,40,66.7,240.9,1.33,3.3,0.67,1.7,12.1,38,6,5.9,9,240.9,86.9,47.8,2.67,20.7,6.3,5.16,5.08,0.11,0.11
8,Aaron Rodgers,GNB,39,QB,9,9,3-6-0,22.8,35.2,64.7,232.3,1.56,4.4,0.78,2.2,10.6,55,6.6,6.5,10.2,232.3,89,36.3,2,15.8,5.4,5.82,5.71,0.11,0.11
9,Trevor Lawrence,JAX,23,QB,9,9,3-6-0,22,34.2,64.3,230.6,1.22,3.6,0.67,1.9,12,49,6.7,6.6,10.5,230.6,87.5,50.9,1.33,9.89,3.8,6.21,6.05,0.11,0.11
10,Jalen Hurts,PHI,24,QB,8,8,8-0-0,20.4,29.9,68.2,255.3,1.5,5,0.25,0.8,12,54,8.5,9.2,12.5,255.3,107.8,63.1,2.75,15.9,8.4,7.34,7.91,0,0.13
11,Jared Goff,DET,28,QB,8,8,2-6-0,21.6,34.4,62.9,255.1,1.75,5.1,0.88,2.5,12.4,81,7.4,7.3,11.8,255.1,91.8,52,1.63,12.8,4.5,6.73,6.61,,
12,Matt Ryan,IND,37,QB,7,7,3-3-1,29,42.4,68.4,286.9,1.29,3,1.29,3,14.7,44,6.8,6,9.9,286.9,84.7,43.3,3.43,26.3,7.5,5.68,4.98,0.57,0.43
13,Kirk Cousins,MIN,34,QB,8,8,7-1-0,24.6,38,64.8,249.9,1.63,4.3,0.75,2,13.1,64,6.6,6.5,10.1,249.9,89.5,50.3,2,15.9,5,5.85,5.82,0.5,0.5
14,Tua Tagovailoa,MIA,24,QB,7,7,6-1-0,21.6,30.9,69.9,282.9,2.14,6.9,0.43,1.4,13.3,60,9.2,9.9,13.1,282.9,115.9,80.1,1.14,9.43,3.6,8.54,9.28,0.29,0.29
15,Matthew Stafford,LAR,34,QB,8,8,3-5-0,24.4,35.6,68.4,241,1,2.8,1,2.8,12.3,75,6.8,6.1,9.9,241,84.9,46.2,3.5,24.9,8.9,5.52,4.88,,
16,Derek Carr,LVR,31,QB,8,8,2-6-0,21.3,34.1,62.3,235,1.38,4,0.63,1.8,11.4,60,6.9,6.9,11.1,235,88.5,58.6,2.13,14.1,5.9,6.09,6.08,0.13,0.13
17,Jacoby Brissett,CLE,30,QB,8,8,3-5-0,20.4,31.9,63.9,232.8,0.88,2.7,0.63,2,11.3,55,7.3,7,11.4,232.8,86.8,61.6,2,11.6,5.9,6.53,6.21,0.13,0.13
18,Lamar Jackson,BAL,25,QB,9,9,6-3-0,17.8,28.6,62.3,196.4,1.78,6.2,0.67,2.3,9.56,75,6.9,7.1,11.1,196.4,93.7,64.3,2.22,9.67,7.2,6.07,6.25,0.11,0.11
19,Marcus Mariota,ATL,29,QB,10,10,4-6-0,14.3,23.1,61.9,174.7,1.2,5.2,0.7,3,8.9,75,7.6,7.2,12.2,174.7,89.9,59.3,2.6,17.9,10.1,6.1,5.81,0.2,0.2
20,Russell Wilson,DEN,34,QB,7,7,3-4-0,19.1,32.6,58.8,242,0.86,2.6,0.57,1.8,9.86,67,7.4,7.2,12.6,242,83.5,36,3.29,21.3,9.2,6.16,5.92,0.43,0.43
21,Jimmy Garoppolo,SFO,31,QB,7,6,3-3-0,20,30,66.7,241.6,1.57,5.2,0.57,1.9,11,57,8.1,8.2,12.1,241.6,100.7,47.6,2.14,11.3,6.7,7.16,7.34,,
22,Davis Mills,HOU,24,QB,8,8,1-6-1,20.3,32.3,62.8,207,1.25,3.9,1,3.1,8.63,58,6.4,5.8,10.2,207,81.2,32.8,2.38,18.4,6.9,5.45,4.87,0,0.13
23,Carson Wentz,WAS,30,QB,6,6,2-4-0,24,38.7,62.1,248.2,1.67,4.3,1,2.6,11.3,75,6.4,6.1,10.3,248.2,84.1,33,3.83,23.3,9,5.29,5.02,0.33,0.33
24,Daniel Jones,NYG,25,QB,8,8,6-2-0,17.9,27.5,65,174.9,0.75,2.7,0.25,0.9,8.75,65,6.4,6.5,9.8,174.9,88,58.2,3.13,17.1,10.2,5.15,5.27,0.5,0.63
25,Andy Dalton,NOR,35,QB,6,6,2-4-0,20.7,31.7,65.3,230.8,1.67,5.3,0.83,2.6,10.8,64,7.3,7.2,11.2,230.8,93.4,49.7,1.33,8.33,4,6.74,6.62,0.17,0.17
26,Justin Fields,CHI,23,QB,9,9,3-6-0,12.2,20.8,58.8,146.9,1.11,5.3,0.67,3.2,6.22,56,7.1,6.7,12,146.9,85,55.1,3.67,21.8,15,5.12,4.8,0.11,0.22
27,Zach Wilson,NYJ,23,QB,6,6,5-1-0,16,27.8,57.5,200.3,0.67,2.4,0.83,3,8.83,79,7.2,6.3,12.5,200.3,75.5,48.1,2,15.2,6.7,6.21,5.4,0.17,0.33
28,Mac Jones,NWE,24,QB,6,6,3-3-0,18.5,28,66.1,190,0.67,2.4,1.17,4.2,8,44,6.8,5.4,10.3,190,76,32,2.5,14.3,8.2,5.76,4.48,,
29,Baker Mayfield,CAR,27,QB,6,5,1-4-0,16.3,28.8,56.6,186.2,1,3.5,0.67,2.3,7,75,6.5,6.1,11.4,186.2,78.1,16.9,2.5,16.5,8,5.41,5.1,,
30,Ryan Tannehill,TEN,34,QB,6,6,4-2-0,15.8,24.3,65.1,182.8,1,4.1,0.5,2.1,8.83,61,7.5,7.4,11.5,182.8,92.8,40.3,2.33,18.3,8.8,6.17,6.08,,
31,Cooper Rush,DAL,29,QB,6,5,4-1-0,15,26,57.7,170,0.83,3.2,0.5,1.9,8.33,46,6.5,6.3,11.3,170,80.1,61.2,1.17,8.17,4.3,5.96,5.74,0,0.33
32,Kenny Pickett,PIT,24,QB,5,4,1-3-0,22.4,33,67.9,192.4,0.4,1.2,1.6,4.8,10.4,30,5.8,3.9,8.6,192.4,66.8,36.8,2.4,15.6,6.8,4.99,3.19,,
33,Joe Flacco,NYJ,37,QB,3,3,1-2-0,30.3,51.7,58.7,300.3,1.67,3.2,1,1.9,15.3,66,5.8,5.6,9.9,300.3,77.9,33.2,3,20,5.5,5.13,4.91,0.33,0.33
34,Jameis Winston,NOR,28,QB,3,3,1-2-0,24.3,38.3,63.5,286,1.33,3.5,1.67,4.3,11.7,51,7.5,6.2,11.8,286,79.5,32.5,3.67,24.7,8.7,6.22,5.07,0.33,0.33
35,Mitchell Trubisky,PIT,28,QB,5,4,1-3-0,15.6,25.6,60.9,159.4,0.6,2.3,0.4,1.6,8,45,6.2,6,10.2,159.4,80.1,51.7,1.8,10.6,6.6,5.43,5.21,0,0.2
36,Bailey Zappe,NWE,23,QB,4,2,2-0-0,16.3,23,70.7,195.3,1.25,5.4,0.75,3.3,9.25,53,8.5,8.1,12,195.3,100.9,35,1.5,10,6.1,7.56,7.2,,
37,P.J. Walker,CAR,27,QB,6,5,2-3-0,10.5,17.7,59.4,121.8,0.5,2.8,0.5,2.8,5,62,6.9,6.2,11.6,121.8,78,,1.17,7.67,6.2,6.06,5.4,,
38,Taylor Heinicke,WAS,29,QB,3,3,2-1-0,19.3,30.7,63,209.7,1.67,5.4,1,3.3,11,49,6.8,6.5,10.8,209.7,87.6,42.8,2,13,6.1,6.02,5.66,0.33,0.33
39,Dak Prescott,DAL,29,QB,3,3,2-1-0,18,27,66.7,197,1,3.7,0.67,2.5,10.3,30,7.3,6.9,10.9,197,90.1,58.5,1.67,12.3,5.8,6.44,6.09,,
40,Teddy Bridgewater,MIA,30,QB,4,1,0-1-0,9.25,15,61.7,130.5,0.75,5,0.75,5,5.75,64,8.7,7.5,14.1,130.5,85.6,54.6,1.5,8.25,9.1,7.41,6.27,,
41,Sam Ehlinger,IND,24,QB,2,2,0-2-0,16,26,61.5,152,0,0,0.5,1.9,5.5,47,5.8,5,9.5,152,69.7,34.2,5.5,36,17.5,3.68,2.97,,
42,Skylar Thompson,MIA,25,QB,2,1,0-1-0,13,23,56.5,127.5,0,0,0.5,2.2,5.5,30,5.5,4.6,9.8,127.5,63.2,40.7,1.5,8,6.1,4.88,3.96,,
43,Brett Rypien,DEN,26,QB,1,1,0-1-0,24,46,52.2,225,0,0,1,2.2,10,45,4.9,3.9,9.4,225,56.9,32.9,1,6,2.1,4.66,3.7,,
44,Trey Lance,SFO,22,QB,2,2,1-1-0,7.5,15.5,48.4,97,0,0,0.5,3.2,3,44,6.3,4.8,12.9,97,55,37.3,1,4.5,6.1,5.61,4.24,,
45,Malik Willis,TEN,23,QB,4,2,1-1-0,3,7.5,40,35.3,0,0,0.25,3.3,1.5,48,4.7,3.2,11.8,35.3,41.1,6.5,1.5,9.5,16.7,2.86,1.61,,
46,Taysom Hill,NOR,32,TE,8,3,,0.88,1.13,77.8,12.6,0.13,11.1,0,0,0.75,41,11.2,13.4,14.4,12.6,150.5,97.2,0,0,0,11.22,13.44,,
47,Jordan Love,GNB,24,QB,2,0,,3,4.5,66.7,36.5,0,0,0,0,2,25,8.1,8.1,12.2,36.5,91.4,29.8,0,0,0,8.11,8.11,,
48,Jarrett Stidham,LVR,26,QB,2,0,,4,6.5,61.5,36,0,0,0,0,2,18,5.5,5.5,9,36,76.4,37.2,0.5,4,7.1,4.57,4.57,,
49,Brock Purdy,SFO,23,QB,2,0,,2,4.5,44.4,33,0,0,0.5,11.1,2,22,7.3,2.3,16.5,33,30.1,25.7,0,0,0,7.33,2.33,,
50,Jacob Eason,CAR,25,QB,1,0,,3,5,60,59,0,0,1,20,2,49,11.8,2.8,19.7,59,61.7,1,0,0,0,11.8,2.8,,
51,Brian Hoyer,NWE,37,QB,1,1,0-1-0,5,6,83.3,37,0,0,0,0,2,27,6.2,6.2,7.4,37,92.4,29.4,1,8,14.3,4.14,4.14,,
52,Christian McCaffrey,2TM,26,,8,7,,0.13,0.13,100,4.25,0.13,100,0,0,0.13,34,34,54,34,4.3,158.3,100,0,0,0,34,54,0,0
53,Tyler Boyd,CIN,28,WR,9,7,,0.11,0.11,100,2.56,0,0,0,0,0.11,23,23,23,23,2.6,118.7,12.6,0.11,1.33,50,5.5,5.5,,
54,Justin Jefferson,MIN,23,WR,8,8,,0.13,0.13,100,2.88,0,0,0,0,0.13,23,23,23,23,2.9,118.7,97,0,0,0,23,23,,
55,Gardner Minshew II,PHI,26,QB,1,0,,1,2,50,23,0,0,0,0,1,23,11.5,11.5,23,23,91.7,58,0,0,0,11.5,11.5,,
56,Brandon Allen,CIN,30,QB,1,0,,3,3,100,22,0,0,0,0,1,13,7.3,7.3,7.3,22,97.2,45.6,1,0,25,5.5,5.5,,
57,Braden Mann,NYJ,25,P,9,0,,0.11,0.11,100,1.89,0,0,0,0,0.11,17,17,17,17,1.9,118.7,20.5,0,0,0,17,17,,
58,Ryan Wright,MIN,22,P,8,0,,0.13,0.13,100,1.63,0,0,0,0,0.13,13,13,13,13,1.6,118.7,,0,0,0,13,13,,
59,Riley Dixon,LAR,29,P,8,0,,0.13,0.13,100,1.5,0,0,0,0,0.13,12,12,12,12,1.5,116.7,,0,0,0,12,12,,
60,Trace McSorley,ARI,27,QB,1,0,,2,4,50,12,0,0,0,0,1,10,3,3,6,12,56.2,53,1,8,20,0.8,0.8,,
61,Tyrod Taylor,NYG,33,QB,1,0,,1,3,33.3,11,0,0,1,33.3,1,11,3.7,-11.3,11,11,5.6,1.5,0,0,0,3.67,-11.33,,
62,Case Keenum,BUF,34,QB,2,0,,1,3.5,28.6,4,0,0,0,0,0,5,1.1,1.1,4,4,39.6,3.8,0,0,0,1.14,1.14,,
63,Jack Fox,DET,26,P,8,0,,0.13,0.13,100,0.75,0,0,0,0,0.13,6,6,6,6,0.8,91.7,,0,0,0,6,6,,
64,Trevor Siemian,CHI,31,QB,1,0,,1,1,100,5,0,0,0,0,0,5,5,5,5,5,87.5,2.9,0,0,0,5,5,,
65,Najee Harris,PIT,24,RB,8,8,,0.13,0.13,100,0.5,0,0,0,0,0,4,4,4,4,0.5,83.3,15.4,0,0,0,4,4,,
66,Mack Hollins,LVR,29,WR,8,7,,0.13,0.13,100,0.5,0,0,0,0,0,4,4,4,4,0.5,83.3,22.4,0,0,0,4,4,,
67,Braxton Berrios,NYJ,27,WR,9,1,,0.11,0.11,100,0.22,0.11,100,0,0,0.11,2,2,22,2,0.2,118.7,99.4,0,0,0,2,22,,
68,Chase Claypool,2TM,24,,9,8,,0.11,0.11,100,0.11,0.11,100,0,0,0.11,1,1,21,1,0.1,118.7,100,0,0,0,1,21,0,0
69,Rex Burkhead,HOU,32,RB,8,0,,0,0.13,0,0,0,0,0,0,0,0,0,0,,0,39.6,3,0,0,0,0,0,,
70,Amari Cooper,CLE,28,WR,8,8,,0,0.13,0,0,0,0,0.13,100,0,0,0,-45,,0,0,0,0,0,0,0,-45,,
71,DeeJay Dallas,SEA,24,RB,9,0,,0,0.11,0,0,0,0,0.11,100,0,0,0,-45,,0,0,0,0,0,0,0,-45,,
72,Chad Henne,KAN,37,QB,2,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3,0,0,0,0,0,,
73,Christian Kirk,JAX,26,WR,9,9,,0,0.11,0,0,0,0,0,0,0,0,0,0,,0,39.6,10.3,0,0,0,0,0,,
74,Cooper Kupp,LAR,29,WR,8,8,,0,0.13,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.3,0,0,0,0,0,,
75,Tommy Townsend,KAN,26,P,8,0,,0,0.13,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
76,Nick Mullens,MIN,27,QB,1,0,,1,1,100,-3,0,0,0,0,0,-3,-3,-3,-3,-3,79.2,3.7,0,0,0,-3,-3,,
