,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
425,KaVontae Turpin,DAL,26,WR,8,0,0.13,0,0,,0,0,0,0,0,0.0%,0,0.38,2.13,0,0.13,11,5.7,2.1,0.4,0.38,5.7,2.13,0,0
426,Juwann Winfree,GNB,26,WR,3,0,1.33,0.33,5.67,17,0,0.33,17,0.3,5.7,25.0%,4.3,,,,0,,,,,0.33,17,5.67,0,0
427,Dennis Houston,DAL,23,WR,2,0,3,1,8,8,0,0,11,1,8,33.3%,2.7,,,,0,,,,,1,8,8,0,0
428,DeSean Jackson,BAL,36,WR,1,1,2,1,16,16,0,1,16,1,16,50.0%,8,,,,0,,,,,1,16,16,0,0
429,Jameis Winston,NOR,28,QB,3,3,0,0,0,,0,0,0,0,0,0.0%,,1.67,5.33,0,0,6,3.2,5.3,1.7,1.67,3.2,5.33,0,1
430,Quintez Cephus,DET,24,WR,4,1,0.75,0.5,3.75,7.5,0,0.25,9,0.5,3.8,66.7%,5,,,,0,,,,,0.5,7.5,3.75,0,0
431,Jeff Driskel,HOU,29,QB,2,0,0,0,0,,0,0,0,0,0,0.0%,,1,7.5,0,1,10,7.5,7.5,1,1,7.5,7.5,0,0
432,Bryan Edwards,ATL,24,WR,7,1,0.71,0.43,2.14,5,0,0,10,0.4,2.1,60.0%,3,,,,0,,,,,0.43,5,2.14,0,0
433,Penny Hart,SEA,26,WR,6,0,0.17,0.17,2.5,15,0,0.17,15,0.2,2.5,100.0%,15,,,,0,,,,,0.17,15,2.5,0,0
434,Tyler Kroft,SFO,30,TE,3,2,1,0.67,5,7.5,0,0,9,0.7,5,66.7%,5,,,,0,,,,,0.67,7.5,5,0,0
435,Steven Sims,PIT,25,WR,3,0,1,0.67,-0.33,-0.5,0,0,2,0.7,-0.3,66.7%,-0.3,1,5.33,0,0.33,11,5.3,5.3,1,1.67,3,5,0,0
436,MyCole Pruitt,ATL,30,TE,6,1,0.5,0.5,2.33,4.7,0.17,0.33,6,0.5,2.3,100.0%,4.7,,,,0,,,,,0.5,4.7,2.33,1,0
437,Ihmir Smith-Marsette,CHI,23,WR,6,0,0.67,0.17,2.5,15,0,0,15,0.2,2.5,25.0%,3.8,0.17,-0.17,0,0,-1,-1,-0.2,0.2,0.33,7,2.33,0,0.17
438,River Cracraft,MIA,28,WR,7,0,0.86,0.29,1.86,6.5,0.29,0.29,11,0.3,1.9,33.3%,2.2,,,,0,,,,,0.29,6.5,1.86,2,0
439,Deonte Harty,NOR,25,WR,4,0,0.5,0.5,3.25,6.5,0,0,9,0.5,3.3,100.0%,6.5,,,,0,,,,,0.5,6.5,3.25,0,0.25
440,Ty Montgomery,NWE,29,WR,1,0,4,3,15,5,1,1,7,3,15,75.0%,3.8,2,-2,0,0,0,-1,-2,2,5,2.6,13,1,0
441,C.J. Moore,DET,27,S,2,0,0,0,0,,0,0,0,0,0,0.0%,,0.5,6.5,0,0.5,13,13,6.5,0.5,0.5,13,6.5,0,0
442,Jalen Nailor,MIN,23,WR,6,0,0.17,0.17,2.17,13,0,0.17,13,0.2,2.2,100.0%,13,,,,0,,,,,0.17,13,2.17,0,0
443,Nick Vannett,NOR,29,TE,3,0,0.67,0.67,4.33,6.5,0,0,8,0.7,4.3,100.0%,6.5,,,,0,,,,,0.67,6.5,4.33,0,0
444,Jake Gervase,LAR,27,LB,8,0,0.13,0.13,1.5,12,0,0.13,12,0.1,1.5,100.0%,12,,,,0,,,,,0.13,12,1.5,0,0
445,Troy Hairston,HOU,24,FB,8,3,0.5,0.38,1.5,4,0,0,5,0.4,1.5,75.0%,3,,,,0,,,,,0.38,4,1.5,0,0
446,Zander Horvath,LAC,24,FB,8,1,0.88,0.5,0.88,1.8,0.25,0.25,5,0.5,0.9,57.1%,1,0.38,0.63,0,0.13,3,1.7,0.6,0.4,0.88,1.7,1.5,2,0
447,Miles Boykin,PIT,26,WR,8,0,0.25,0.13,1.38,11,0,0.13,11,0.1,1.4,50.0%,5.5,,,,0,,,,,0.13,11,1.38,0,0
448,Matt Ryan,IND,37,QB,7,7,0,0,0,,0,0,0,0,0,0.0%,,1.71,1.57,0,0.43,10,0.9,1.6,1.7,1.71,0.9,1.57,0,1.57
