defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
Dallas Cowboys,DAL,vs. HOU,5 out of 5 stars,A+,12.6,nfl.t.6$nfl.g.2449022,Dallas,Cowboys,nfl.t.6$nfl.g.2449022 - Dallas Cowboys,DEF,DAL,HOU,HOU@DAL,1:00PM EST,22,11.4,NA,NA
Buffalo Bills,BUF,vs. NYJ,3 out of 5 stars,A,8.2,nfl.t.2$nfl.g.2449018,Buffalo,Bills,nfl.t.2$nfl.g.2449018 - Buffalo Bills,DEF,BUF,NYJ,NYJ@BUF,1:00PM EST,18,8.8,NA,NA
Philadelphia Eagles,PHI,at NYG,3 out of 5 stars,A,7.8,nfl.t.21$nfl.g.2449025,Philadelphia,Eagles,nfl.t.21$nfl.g.2449025 - Philadelphia Eagles,DEF,PHI,NYG,PHI@NYG,1:00PM EST,19,9.4,NA,NA
Kansas City Chiefs,KC,at DEN,5 out of 5 stars,A,7.8,nfl.t.12$nfl.g.2449038,Kansas City,Chiefs,nfl.t.12$nfl.g.2449038 - Kansas City Chiefs,DEF,KC,DEN,KC@DEN,4:05PM EST,15,6.1,NA,NA
Baltimore Ravens,BAL,at PIT,4 out of 5 stars,B+,7.8,nfl.t.33$nfl.g.2449028,Baltimore,Ravens,nfl.t.33$nfl.g.2449028 - Baltimore Ravens,DEF,BAL,PIT,BAL@PIT,1:00PM EST,19,8.4,NA,NA
Seattle Seahawks,SEA,vs. CAR,4 out of 5 stars,B,7.7,nfl.t.26$nfl.g.2449033,Seattle,Seahawks,nfl.t.26$nfl.g.2449033 - Seattle Seahawks,DEF,SEA,CAR,CAR@SEA,4:25PM EST,16,7.4,NA,NA
San Francisco 49ers,SF,vs. TB,2 out of 5 stars,B,7.7,nfl.t.25$nfl.g.2449036,San Francisco,49ers,nfl.t.25$nfl.g.2449036 - San Francisco 49ers,DEF,SF,TB,TB@SF,4:25PM EST,17,9.9,NA,NA
Pittsburgh Steelers,PIT,vs. BAL,3 out of 5 stars,B,7.6,nfl.t.23$nfl.g.2449028,Pittsburgh,Steelers,nfl.t.23$nfl.g.2449028 - Pittsburgh Steelers,DEF,PIT,BAL,BAL@PIT,1:00PM EST,12,5.6,NA,NA
Tampa Bay Buccaneers,TB,at SF,3 out of 5 stars,B,7.4,nfl.t.27$nfl.g.2449036,Tampa Bay,Buccaneers,nfl.t.27$nfl.g.2449036 - Tampa Bay Buccaneers,DEF,TB,SF,TB@SF,4:25PM EST,17,7,NA,NA
Las Vegas Raiders,LV,at LAR,5 out of 5 stars,B,7.3,nfl.t.13$nfl.g.2449016,Las Vegas,Raiders,nfl.t.13$nfl.g.2449016 - Las Vegas Raiders,DEF,LV,LAR,LV@LAR,8:15PM EST,13,4.7,NA,NA
