Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,games,ex_ppd,home_away
Justin Jefferson,WR,MIN,DET,17.36925800356488,40,7.239331726907631,107.31992140111065,0.5029333333333333,0,12,0.434231450089122,Away
Tyler Boyd,WR,CIN,CLE,9.077124637469181,15,3.663326848249027,53.34570828729282,0.3184817307692308,0,11.5,0.6051416424979454,Home
Mack Hollins,WR,LV,LAR,7.693098562422988,16,3.638607476635514,45.095662526766596,0.22737142857142859,0,12.75,0.48081866015143676,Away
Amari Cooper,WR,CLE,CIN,12.905023134510028,24,5.044906280193237,69.33193994413408,0.574896,0,12,0.5377092972712512,Away
Christian Kirk,WR,JAX,TEN,13.141590843776168,26,5.24698558951965,70.87571288452963,0.5984211267605634,0.08,12,0.5054458016836988,Away
Garrett Wilson,WR,NYJ,BUF,10.814300446229362,22,4.7975,65.61267112896029,0.3357138888888889,0.08,10.75,0.4915591111922437,Away
Tyreek Hill,WR,MIA,LAC,17.435916191270575,37,7.875897435897436,111.8370547332186,0.41237699999999994,0.08,12,0.471240978142448,Away
Davante Adams,WR,LV,LAR,18.03599448763948,33,6.342434579439252,95.6786291220557,0.9094857142857143,0.08,13,0.5465452875042267,Away
Stefon Diggs,WR,BUF,NYJ,17.949918629852952,36,7.474899159663866,96.97972896174863,0.7790826923076923,0.08,12,0.49860885082924866,Home
Jaylen Waddle,WR,MIA,LAC,13.007781405843154,28,4.676314102564103,78.84074354561102,0.490925,0.08,12,0.4645636216372555,Away
CeeDee Lamb,WR,DAL,HOU,13.427207984126984,24,5.695694444444444,77.26760761904762,0.4754333333333333,0,12,0.5594669993386243,Home
A J Brown,WR,PHI,NYG,14.410772918046714,23,5.069043137254902,78.64454942233633,0.7252994011976048,0.17,11.75,0.6265553442629006,Away
Amon Ra St Brown,WR,DET,MIN,14.445204918565926,27,7.020560000000001,76.92361627426683,0.5404272151898735,0,11,0.5350075895765157,Home
Tee Higgins,WR,CIN,CLE,11.889318549066427,23,4.88443579766537,70.15058342541437,0.4053403846153846,0,11.75,0.5169268934376707,Home
Tyler Lockett,WR,SEA,CAR,12.623350763987547,24,5.469495798319328,68.69927454991817,0.5597792349726776,0.17,12,0.5259729484994812,Home
DK Metcalf,WR,SEA,CAR,11.42119220305895,23,5.549052100840336,65.54521890343699,0.4053573770491803,0.17,12,0.49657357404604135,Home
Deebo Samuel,WR,SF,TB,8.066528273200436,20,4.552383333333333,50.763517964071866,0.1789974683544304,0.18,10.75,0.4033264136600218,Home
Mike Evans,WR,TB,SF,10.745843028711988,19,4.855363321799308,67.53095202398801,0.26084436090225566,0,11,0.5655706857216836,Away
DeVonta Smith,WR,PHI,NYG,10.177723327113046,16,5.069043137254902,58.8841133932392,0.31913173652694615,0.08,12,0.6361077079445654,Away
Brandon Aiyuk,WR,SF,TB,10.87409207878998,20,4.67244619047619,57.14577844311378,0.49721518987341773,0.08,12,0.543704603939499,Home
Ja Marr Chase,WR,CIN,CLE,15.95822939716828,29,6.593988326848249,85.78302541436463,0.7238221153846154,0.13,8,0.5502837723161476,Home
Courtland Sutton,WR,DEN,KC,8.609084486969689,14,4.440099497487437,58.042227979274614,0.09746865671641791,0,12,0.6149346062121206,Home
JuJu Smith Schuster,WR,KC,DEN,8.938707824566306,20,4.651043968871596,59.76345840130506,0.16614,0.18,10.75,0.44693539122831527,Away
Gabe Davis,WR,BUF,NYJ,10.521073951051626,15,3.13590756302521,58.555624772313294,0.5162596153846154,0,11,0.7014049300701084,Home
Chris Godwin,WR,TB,SF,10.784662975677133,23,6.603294117647058,63.237076461769114,0.19321804511278198,0,9.75,0.4688983902468319,Away
DJ Moore,WR,CAR,SEA,9.349206532968887,15,3.9695717791411043,52.0860618556701,0.35930240963855425,0,12,0.6232804355312591,Away
Donovan Peoples Jones,WR,CLE,CIN,7.4902704478179905,15,3.7240942028985504,53.12447346368715,0.079296,0.08,11.5,0.49935136318786605,Away
Joshua Palmer,WR,LAC,MIA,9.463388309147323,19,5.097449469964664,54.842671669793624,0.2683994011976048,0.09,10.75,0.4980730689024907,Home
Jakobi Meyers,WR,NE,ARI,10.376895270675366,15,5.1063679245283025,60.25711308411215,0.333,0.1,9.75,0.6917930180450244,Away
Zay Jones,WR,JAX,TEN,8.70764127800462,19,5.531155021834062,53.84913062862238,0.09285845070422535,0,10.75,0.45829690936866424,Away
Diontae Johnson,WR,PIT,BAL,7.237617265739825,15,5.122033628318585,48.36600451580532,0,0.08,12,0.48250781771598833,Home
Adam Thielen,WR,MIN,DET,8.686676858995142,20,4.61223453815261,48.717595899188375,0.25146666666666667,0,12,0.4343338429497571,Away
DeAndre Hopkins,WR,ARI,NE,16.15003409982113,25,7.934219391634981,94.7804440400364,0.50748,0.17,6,0.6460013639928452,Home
Darius Slayton,WR,NYG,PHI,7.765769270281019,14,3.01890625,51.440335365853656,0.1853804347826087,0,10,0.5546978050200727,Home
George Pickens,WR,PIT,BAL,7.068041508812743,18,3.1054849557522126,43.84773657802308,0.18842089552238808,0,10.75,0.39266897271181905,Home
Marquise Brown,WR,ARI,NE,13.254658895164289,17,6.7979847908745255,75.17069699727026,0.43643279999999995,0.14,7,0.7796858173626052,Home
Brandin Cooks,WR,HOU,DAL,7.9650160256410265,13,4.388365384615385,51.653333333333336,0.10091666666666668,0,10,0.6126935404339251,Away
Jerry Jeudy,WR,DEN,KC,9.1428512176535,16,3.4864522613065327,52.065803108808296,0.3655074626865672,0,9.75,0.5714282011033438,Home
Mike Williams,WR,LAC,MIA,10.89673282861613,24,4.674302120141343,62.93097936210131,0.3777473053892216,0,8,0.4540305345256721,Home
Nico Collins,WR,HOU,DAL,7.834041506410258,16,3.6902163461538464,47.77933333333334,0.20183333333333336,0,9.25,0.4896275941506411,Away
Devin Duvernay,WR,BAL,PIT,6.309551566907508,13,2.9584770833333334,32.62918659043659,0.26123239436619716,0,12,0.4853501205313468,Away
DeAndre Carter,WR,LAC,MIA,6.7573616103647485,13,3.1982067137809187,38.27150469043151,0.2485179640718563,0.08,10.75,0.5197970469511345,Home
Corey Davis,WR,NYJ,BUF,7.672691655510933,14,2.8078,49.25936099955377,0.22380925925925926,0,8.5,0.5480494039650666,Away
DeVante Parker,WR,NE,ARI,5.690546036413331,13,2.13446179245283,40.23915140186916,0.0999,0,10.5,0.43773431049333317,Away
Rondale Moore,WR,ARI,NE,8.412871407105666,13,4.981951711026616,51.30226751592356,0.1319448,0,8,0.6471439543927435,Home
Isaiah McKenzie,WR,BUF,NYJ,6.750674795944439,13,3.13590756302521,31.552287067395266,0.3379153846153846,0,10,0.5192826766111107,Home
Marvin Jones Jr,WR,JAX,TEN,6.180909607564104,17,2.9533323144104804,35.899420419081586,0.1857169014084507,0,10,0.3635829180920061,Away
Josh Reynolds,WR,DET,MIN,7.1916027472694095,13,3.27152,42.588174308137134,0.21617088607594936,0,8.75,0.5532002113284161,Home
Treylon Burks,WR,TEN,JAX,7.204954772135058,17,3.2857025477707005,47.32339498249708,0.13829400000000003,0,7,0.4238208689491211,Home
Robert Woods,WR,TEN,JAX,4.934863704865886,12,2.886799363057325,31.40840023337223,0.085104,0.08,11.5,0.41123864207215716,Home
Trent Sherfield,WR,MIA,LAC,4.90644750487665,13,2.0477333333333334,28.810938382099827,0.16691450000000002,0,9.75,0.3774190388366654,Away
