Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Malik Willis,QB,TEN,JAX,3.732342118432026,20,60.595,0.237,11.905421184320266,0,0.33,0.17,5,0.1866171059216013,Home
Deshaun Watson,QB,CLE,CIN,7.315998076923076,28,143.70499999999998,0.138,20.157980769230768,0,0,1,1,0.2612856456043956,Away
Jarrett Stidham,QB,LV,LAR,3.0155999999999996,20,54.69,0.207,0,0,0,0,2.25,0.15077999999999997,Away
Trace McSorley,QB,ARI,NE,3.394212140992167,20,50.235,0.213,8.62812140992167,0,0,0.33,2.25,0.16971060704960833,Home
Nick Mullens,QB,MIN,DET,3.33,20,59.55,0.237,0,0,0,0,1.5,0.1665,Away
Brian Hoyer,QB,NE,ARI,3.9304000000000006,20,68.26,0.3,0,0,0,0,1,0.19652000000000003,Away
Brandon Allen,QB,CIN,CLE,2.8888,20,50.92,0.213,0,0,0,0,0.75,0.14443999999999999,Home
Tyrod Taylor,QB,NYG,PHI,2.051408817635271,20,36.125,0.1755,29.044088176352705,0,1,1,0.75,0.10257044088176355,Home
Case Keenum,QB,BUF,NYJ,1.8538000000000001,20,32.545,0.138,0,0,0,0,1.5,0.09269000000000001,Home
C J Beathard,QB,JAX,TEN,2.8602,20,44.05499999999999,0.2745,0,0,0,0,1.5,0.14301,Away
Chase Daniel,QB,LAC,MIA,2.349,20,35.025,0.237,0,0,0,0,1.5,0.11745000000000001,Home
Chad Henne,QB,KC,DEN,1.557,20,27.675,0.11249999999999999,0,0,0,0,1.5,0.07785,Away
Kellen Mond,QB,CLE,CIN,1.8461999999999998,20,32.355,0.138,0,0,0,0,0,0.09230999999999999,Away
Will Grier,QB,DAL,HOU,1.7531999999999999,20,31.379999999999995,0.12449999999999999,0,0,0,0,0,0.08765999999999999,Home
Nate Sudfeld,QB,DET,MIN,2.4996,20,42.54,0.1995,0,0,0,0,0,0.12498000000000001,Home
Gardner Minshew,QB,PHI,NYG,2.0148,20,32.82,0.1755,0,0,0,0,0,0.10074000000000001,Away
Ian Book,QB,PHI,NYG,2.0148,20,32.82,0.1755,0,0,0,0,0,0.10074000000000001,Away
Mason Rudolph,QB,PIT,BAL,2.2859999999999996,20,37.199999999999996,0.1995,0,0,0,0,0,0.11429999999999998,Home
Easton Stick,QB,LAC,MIA,2.349,20,35.025,0.237,0,0,0,0,0,0.11745000000000001,Home
PJ Walker,QB,CAR,SEA,2.2661999999999995,20,34.154999999999994,0.22499999999999998,0,0,0,0,0,0.11330999999999998,Away
Matt Corral,QB,CAR,SEA,2.2661999999999995,20,34.154999999999994,0.22499999999999998,0,0,0,0,0,0.11330999999999998,Away
Drew Lock,QB,SEA,CAR,2.0250000000000004,20,31.875,0.1875,0,0,0,0,0,0.10125000000000002,Home
Blaine Gabbert,QB,TB,SF,1.8018,20,31.245,0.138,0,0,0,0,0,0.09009,Away
Kyle Trask,QB,TB,SF,1.8018,20,31.245,0.138,0,0,0,0,0,0.09009,Away
Josh Johnson,QB,SF,TB,2.0718,20,29.295,0.22499999999999998,0,0,0,0,0,0.10359,Home
Shane Buechele,QB,KC,DEN,1.557,20,27.675,0.11249999999999999,0,0,0,0,0,0.07785,Away
