Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Joe Burrow,QB,CIN,CAR,20.578825396825398,36,261.55,1.755,21.144444444444446,0.4553968253968254,0.5,0.75,8,0.5716340388007055,Home
Tom Brady,QB,TB,LAR,14.491999999999999,26,244.54999999999998,1.21,0,0,0,0.13,8,0.5573846153846154,Home
Josh Allen,QB,BUF,NYJ,22.249413429831698,40,258.7,1.92,41.05097640358015,0.39938596491228073,0.71,0.86,7,0.5562353357457924,Away
Patrick Mahomes,QB,KC,TEN,21.16545759552656,39,281.54999999999995,2.4299999999999997,14.734575955265612,0,0.29,0.71,7,0.5427040409109375,Home
Jalen Hurts,QB,PHI,HOU,21.159467741935483,36,236.4,1.19,45.159677419354836,0.65625,0.63,0.25,8,0.5877629928315412,Away
Justin Herbert,QB,LAC,ATL,18.411165354330713,34,296.95,1.73,7.6316535433070865,0,0.29,0.57,7,0.541504863362668,Away
Matt Ryan,QB,IND,NE,11.56915375854214,20,255.7,1.395,1.9115375854214123,0,1.57,1.29,7,0.578457687927107,Away
Kyler Murray,QB,ARI,SEA,18.782129490784133,31,242.85,1.315,41.319931271477664,0.3210227272727273,0.75,0.75,8,0.6058751448640043,Home
Geno Smith,QB,SEA,ARI,18.130025688073395,30,246.4,1.69,18.233256880733943,0.13845000000000002,0.38,0.38,8,0.6043341896024466,Away
Jared Goff,QB,DET,GB,12.792380307467058,23,223.4,1.355,4.363803074670571,0,0.57,0.86,7,0.5561904481507416,Home
Trevor Lawrence,QB,JAX,LV,17.626869467491233,28,244.05,1.695,10.872588480222069,0.3346017699115044,0.63,0.75,8,0.6295310524104012,Home
Aaron Rodgers,QB,GB,DET,14.791061224489795,27,245.7,1.67,2.830612244897959,0,0.75,0.5,8,0.5478170823885109,Away
Matthew Stafford,QB,LAR,TB,12.751908336733305,24,222.95,1.315,1.2623391812865496,0.12127906976744188,0.57,1.14,7,0.5313295140305544,Away
