Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
Derrick Henry,RB,TEN,KC,17.189117463164536,36,2.9383561643835616,28.766937669376695,0,89.91666666666667,0.6885964912280702,0.14,7,0.4774754850879038,Away
Josh Jacobs,RB,LV,JAX,18.868296505979828,32,3.1261061946902657,22.268264536173987,0,93.884169550173,0.9949999999999999,0.14,7,0.5896342658118696,Away
Dameon Pierce,RB,HOU,PHI,15.436302321641644,22,2.561576354679803,11.941304347826089,0.13,92.91383709519135,0.565,0.25,8,0.7016501055291656,Home
Rhamondre Stevenson,RB,NE,IND,14.205852006205799,23,4.019900497512438,26.356480605487228,0,68.92112103980503,0.44469026548672563,0,6.5,0.6176457394002521,Home
Aaron Jones,RB,GB,DET,17.01501820616936,26,3.702127659574468,26.482152713891445,0.3893251533742331,81.4084081632653,0.38315789473684214,0.13,8,0.6544237771603599,Away
Austin Ekeler,RB,LAC,ATL,22.335000642257384,39,7.3742241379310345,53.50984251968504,0.4350292397660819,60.40798650168728,0.8709883720930233,0.29,7,0.5726923241604458,Away
Travis Etienne Jr,RB,JAX,LV,10.098222324050877,27,2.2828472222222222,21.35495660118776,0,62.60506592643998,0.22013274336283187,0.38,6.75,0.37400823422410656,Home
Alvin Kamara,RB,NO,BAL,15.827047086072437,27,5.810869565217391,49.09367838798894,0.30642857142857144,58.13673036093418,0.16999999999999998,0.33,5.75,0.586186929113794,Home
Miles Sanders,RB,PHI,HOU,14.181647035864339,24,1.3396097560975608,4.98132480396203,0,90.76209677419354,0.65625,0,8,0.5909019598276808,Away
Dalvin Cook,RB,MIN,WAS,13.592363527490853,26,2.1178458498023716,14.93519611978068,0,84.45165745856353,0.4791258741258741,0.14,7,0.5227832125958021,Away
