player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fl,ex_ppd
Mark Andrews,TE,Baltimore Ravens,CIN,17.07558432450884,19,7.34949494949495,93.72265421189935,0.6714285714285713,0,0.8987149644478336
Travis Kelce,TE,Kansas City Chiefs,LV,11.902101936727407,35,5.4419642857142865,62.95984658735129,0.5016891891891891,1,0.3400600553350688
Deebo Samuel,WR,San Francisco 49ers,ARI,13.049512101598605,21,5.059928733398122,83.119775273293385,0.41025641025641024,2,0.6214053381713621
Dalton Schultz,TE,Dallas Cowboys,WAS,9.596180862680864,18,4.493038493038494,46.58752525252525,0.4484848484848485,0,0.5331211590378258
Ja Marr Chase,WR,Cincinnati Bengals,BAL,15.462948117691035,31,4.845358455882352,88.88308105436133,0.7116013071895424,1,0.49880477799003337
George Kittle,TE,San Francisco 49ers,ARI,11.30730414661706,28,5.248854643898376,60.56503198294243,0.46153846153846156,1,0.4038322909506093
Justin Jefferson,WR,Minnesota Vikings,CHI,14.50300576923918,40,5.6825302985515815,84.0568525664159,0.5622837370242215,1,0.36257514423097953
Davante Adams,WR,Las Vegas Raiders,KC,17.595839331518434,31,7.436625874125874,93.93830742281585,0.7472826086956521,0,0.5676077203715624
Dawson Knox,TE,Buffalo Bills,NE,7.834544454225773,18,2.9377986522360633,34.673400433619776,0.48305084745762716,0,0.4352524696792096
Mike Evans,WR,Tampa Bay Buccaneers,ATL,12.271448850970692,21,4.1502794715447155,56.78867254733218,0.752906976744186,0,0.5843547071890806
Tyreek Hill,WR,Miami Dolphins,NYJ,15.107799687424071,30,6.602260972365893,81.64878156465005,0.6268656716417911,1,0.5035933229141357
Dallas Goedert,TE,Philadelphia Eagles,NYG,10.090546927523732,19,4.384033567051289,59.866657372184264,0.31864406779661014,0,0.5310814172380912
Stefon Diggs,WR,Buffalo Bills,NE,11.751373950241568,32,5.358043940467754,62.78234332948867,0.46568627450980393,0,0.367230435945049
Mike Williams,WR,Los Angeles Chargers,DEN,11.429200717058794,19,4.33874608607005,65.09403225806452,0.45840407470288624,0,0.6015368798451997
Tyler Lockett,WR,Seattle Seahawks,LAR,13.023199172548132,24,5.210262345679013,80.68067999708626,0.39166666666666666,0,0.5426332988561722
Pat Freiermuth,TE,Pittsburgh Steelers,CLE,8.484309554482985,17,3.9232198142414862,33.312427442348586,0.555301296720061,1,0.4990770326166462
Diontae Johnson,WR,Pittsburgh Steelers,CLE,13.612997026323027,16,6.432182163187856,71.54269198586042,0.5834502103786816,2,0.8508123141451892
Noah Fant,TE,Seattle Seahawks,LAR,8.20221290091082,14,4.853395061728395,46.0051537004662,0.19583333333333333,0,0.5858723500650586
Hunter Renfrow,WR,Las Vegas Raiders,KC,13.798262939722942,15,6.642579642579642,66.97262973505585,0.6521739130434782,1,0.9198841959815295
Tyler Higbee,TE,Los Angeles Rams,SEA,7.392810216508195,18,4.251970443349753,36.81459141174781,0.26422764227642276,0,0.4107116786948997
CeeDee Lamb,WR,Dallas Cowboys,WAS,11.52013258750554,30,4.923644956431842,68.74703551912567,0.3639344262295082,0,0.384004419583518
Keenan Allen,WR,Los Angeles Chargers,DEN,10.96943057267534,22,5.8623024830699775,62.61963541666667,0.29605263157894735,0,0.49861048057615176
T J Hockenson,TE,Minnesota Vikings,CHI,8.481252141289687,21,4.546901172529313,42.96036849142678,0.31862745098039214,0,0.4038691495852232
Michael Pittman Jr,WR,Indianapolis Colts,HOU,11.942178026951465,14,5.4880174291939,70.80522253530987,0.35294117647058826,0,0.853012716210819
Tee Higgins,WR,Cincinnati Bengals,BAL,13.030447715403728,25,5.375186011904761,80.92854709451348,0.3988095238095238,1,0.5212179086161491
Darren Waller,TE,Las Vegas Raiders,KC,9.45505256034002,19,4.836829836829837,58.50866890936959,0.1976284584980237,0,0.49763434528105366
Tyler Conklin,TE,New York Jets,MIA,6.824040962092693,14,3.779814956285544,37.61406211222648,0.19545454545454546,0,0.4874314972923352
Chris Godwin,WR,Tampa Bay Buccaneers,ATL,11.615430512299275,23,6.28150406504065,69.16538944895228,0.3073089700996678,2,0.5050187179260555
David Njoku,TE,Cleveland Browns,PIT,6.413713570990987,15,2.5741525423728815,33.83295895446192,0.2905569007263923,0,0.42758090473273247
Brandin Cooks,WR,Houston Texans,IND,12.937896495972424,18,5.911016949152542,71.43102307110439,0.4732142857142857,0,0.7187720275540236
Jaylen Waddle,WR,Miami Dolphins,NYJ,12.740209941803549,21,6.475866336633663,70.02276773486716,0.4375,1,0.6066766638954071
Gerald Everett,TE,Los Angeles Chargers,DEN,5.492512659912027,15,2.9806344303195913,29.532573099415202,0.22160664819944598,2,0.3661675106608018
Cole Kmet,TE,Chicago Bears,MIN,6.161556996709669,16,3.8961729270021257,42.13470533208606,0,0,0.3850973122943543
Amon Ra St Brown,WR,Detroit Lions,GB,11.469891291531454,23,5.871212121212121,61.86459143968871,0.3913043478260869,0,0.49869092571875884
Evan Engram,TE,Jacksonville Jaguars,TEN,6.612984093421664,23,3.3800845604315497,31.685558482936095,0.3157894736842105,1,0.28752104754007235
Terry McLaurin,WR,Washington Football Team,DAL,10.922254028419946,22,4.580304031725049,67.41345710036413,0.31512605042016806,0,0.49646609220090665
Marquise Brown,WR,Arizona Cardinals,SF,10.473800804245986,18,5.392846385542169,57.35710944808232,0.36111111111111116,1,0.5818778224581104
Amari Cooper,WR,Cleveland Browns,PIT,12.078986770325857,25,4.862288135593221,61.61159893812538,0.5811138014527846,0,0.4831594708130343
Adam Thielen,WR,Minnesota Vikings,CHI,11.655011241314808,13,4.609972941631233,49.38260064616837,0.7352941176470589,0,0.8965393262549852
Christian Kirk,WR,Jacksonville Jaguars,TEN,12.515322291975643,24,5.201679921365383,70.11256524841338,0.4838709677419355,0,0.5214717621656518
Kendrick Bourne,WR,New England Patriots,BUF,8.157603860684299,13,3.567013343799058,49.09811474499055,0.26785714285714285,1,0.6275079892834076
DeVonta Smith,WR,Philadelphia Eagles,NYG,10.009191658308202,24,4.412076425689144,58.18078818597961,0.3507462686567163,1,0.4170496524295084
Van Jefferson,WR,Los Angeles Rams,SEA,7.86831641887536,11,3.0751955954795713,46.520959525559476,0.2797704447632712,0,0.7153014926250327
A J Brown,WR,Philadelphia Eagles,NYG,12.621253096346921,31,5.595965923327487,71.11731673144716,0.45192307692307687,0,0.4071371966563523
Juwan Johnson,TE,New Orleans Saints,CAR,4.167845331757221,14,1.2705553831833696,14.63602122924157,0.3448275862068966,0,0.29770323798265863
Tyler Boyd,WR,Cincinnati Bengals,BAL,10.20491258450025,15,4.698904454022989,59.301730011669164,0.3208812260536399,0,0.68032750563335
Brandon Aiyuk,WR,San Francisco 49ers,ARI,8.134415716352514,22,3.4602497715504112,45.94876364446425,0.32146957520091846,1,0.36974616892511425
K J Osborn,WR,Minnesota Vikings,CHI,8.028532830388327,13,2.9815745393634843,38.61274972471291,0.446078431372549,0,0.6175794484914098
Chase Claypool,WR,Chicago Bears,MIN,10.351423548456593,13,4.491794765267969,69.41733062374331,0.19396551724137928,0,0.7962633498812763
DeAndre Hopkins,WR,Arizona Cardinals,SF,11.821088407261726,19,3.982409638554217,52.07661365762395,0.7703703703703705,0,0.6221625477506172
Hayden Hurst,TE,Cincinnati Bengals,BAL,4.629165844009594,12,2.4036458333333335,20.864338364338362,0.2537878787878788,1,0.38576382033413287
Jakobi Meyers,WR,New England Patriots,BUF,7.109780582935227,15,4.499179924553059,44.42280172897504,0.08955223880597014,1,0.4739853721956818
Allen Lazard,WR,Green Bay Packers,DET,7.750751201714014,17,2.6110825184422715,34.74387661325768,0.4951370468611848,0,0.45592654127729493
Russell Gage,WR,Tampa Bay Buccaneers,ATL,8.93032877639222,17,4.6451458632233384,53.017822925689686,0.2699498404012768,2,0.5253134574348364
MyCole Pruitt,TE,Atlanta Falcons,TB,3.0535267914084576,11,1.0710596118944575,10.653654065138607,0.2421052631578947,0,0.27759334467349617
Courtland Sutton,WR,Denver Broncos,LAC,7.321616455078315,12,3.477358967872502,47.41145926365944,0.14029850746268654,0,0.6101347045898596
Robert Woods,WR,Tennessee Titans,JAX,11.94132721455432,12,5.125348189415042,65.90774331968012,0.46464646464646464,0,0.99511060121286
Byron Pringle,WR,Chicago Bears,MIN,9.274923618703063,13,3.3117469879518073,47.485144104414445,0.5022321428571429,1,0.7134556629771587
Mecole Hardman,WR,Kansas City Chiefs,LV,6.554275956361965,14,3.785714285714286,42.069982912876895,0.12093449381584975,2,0.46816256831156894
Marcedes Lewis,TE,Green Bay Packers,DET,1.876505491423667,12,1.280582382206614,12.362143003203599,0,0,0.1563754576186389
Donovan Peoples Jones,WR,Cleveland Browns,PIT,7.681283579696939,16,2.8125,49.19291282778171,0.25210084033613445,1,0.4800802237310587
Quez Watkins,WR,Philadelphia Eagles,NYG,6.394322585478228,13,3.1525774261930612,43.704148247626506,0.07460317460317459,0,0.4918709681137099
Jordan Akins,TE,Houston Texans,IND,3.0662375958357906,13,2.401937046004843,22.462214537857502,0,2,0.23586443044890698
Corey Davis,WR,New York Jets,MIA,10.29705834450257,15,3.8624338624338623,57.213969688411936,0.4777777777777778,1,0.6864705563001714
Randall Cobb,WR,Green Bay Packers,DET,7.692389549597404,14,2.7182038525322105,37.7707460557982,0.460223537146614,1,0.5494563963998146
