,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
46,Devin Duvernay,54,7,54,Sun,5,5,2022-10-09,25-027,BAL,,CIN,W 19-17,7,5,54,10.8,0,71.4,7.7,2,WR,3-92
47,Hunter Henry,54,5,54,Sun,5,5,2022-10-09,27-306,NWE,,DET,W 29-0,5,4,54,13.5,0,80,10.8,4,TE,2-35
48,Chris Olave,54,6,54,Sun,5,5,2022-10-09,22-104,NOR,,SEA,W 39-32,6,4,54,13.5,1,66.7,9,3,WR,1-11
49,Hayden Hurst,53,7,53,Sun,5,5,2022-10-09,29-046,CIN,@,BAL,L 17-19,7,6,53,8.8,1,85.7,7.6,2,TE,1-25
50,Jerry Jeudy,53,8,53,Thu,5,5,2022-10-06,23-165,DEN,,IND,L 9-12 (OT),8,3,53,17.7,0,37.5,6.6,3,WR,1-15
51,CeeDee Lamb,53,8,53,Sun,5,5,2022-10-09,23-184,DAL,@,LAR,W 22-10,8,5,53,10.6,0,62.5,6.6,2,WR,1-17
52,Darnell Mooney,52,5,52,Sun,5,5,2022-10-09,24-345,CHI,@,MIN,L 22-29,5,2,52,26,0,40,10.4,2,WR,5-173
53,Ja'Marr Chase,50,12,50,Sun,5,5,2022-10-09,22-222,CIN,@,BAL,L 17-19,12,7,50,7.1,0,58.3,4.2,3,WR,1-5
54,Chase Claypool,50,9,50,Sun,5,5,2022-10-09,24-094,PIT,@,BUF,L 3-38,9,5,50,10,0,55.6,5.6,3,WR,2-49
55,Christian McCaffrey,50,12,50,Sun,5,5,2022-10-09,26-124,CAR,,SFO,L 15-37,12,7,50,7.1,0,58.3,4.2,2,RB,1-8
56,Donovan Peoples-Jones,50,7,50,Sun,5,5,2022-10-09,23-232,CLE,,LAC,L 28-30,7,4,50,12.5,0,57.1,7.1,3,WR,6-187
57,Noah Fant,49,5,49,Sun,5,5,2022-10-09,24-323,SEA,@,NOR,L 32-39,5,3,49,16.3,0,60,9.8,2,TE,1-20
58,Melvin Gordon,49,3,49,Thu,5,5,2022-10-06,29-176,DEN,,IND,L 9-12 (OT),3,3,49,16.3,0,100,16.3,3,RB,1-15
59,Zach Ertz,48,10,48,Sun,5,5,2022-10-09,31-333,ARI,,PHI,L 17-20,10,6,48,8,0,60,4.8,4,TE,2-35
60,Mike Boone,47,3,47,Thu,5,5,2022-10-06,27-068,DEN,,IND,L 9-12 (OT),3,3,47,15.7,0,100,15.7,1,RB,
61,Tyreek Hill,47,7,47,Sun,5,5,2022-10-09,28-222,MIA,@,NYJ,L 17-40,7,7,47,6.7,0,100,6.7,3,WR,5-165
62,George Kittle,47,6,47,Sun,5,5,2022-10-09,29-000,SFO,@,CAR,W 37-15,6,5,47,9.4,0,83.3,7.8,2,TE,5-146
63,Tyler Higbee,46,10,46,Sun,5,5,2022-10-09,29-281,LAR,,DAL,L 10-22,10,7,46,6.6,0,70,4.6,3,TE,4-110
64,Jauan Jennings,45,2,45,Sun,5,5,2022-10-09,25-091,SFO,@,CAR,W 37-15,2,2,45,22.5,0,100,22.5,2,WR,7-217
65,Cole Kmet,45,4,45,Sun,5,5,2022-10-09,23-213,CHI,@,MIN,L 22-29,4,4,45,11.3,0,100,11.3,2,TE,2-43
66,Kalif Raymond,45,7,45,Sun,5,5,2022-10-09,28-062,DET,@,NWE,L 0-29,7,5,45,9,0,71.4,6.4,3,WR,
67,Tevin Coleman,44,3,44,Sun,5,5,2022-10-09,29-176,SFO,@,CAR,W 37-15,3,3,44,14.7,1,100,14.7,2,RB,3-73
68,Michael Gallup,44,5,44,Sun,5,5,2022-10-09,26-219,DAL,@,LAR,W 22-10,5,4,44,11,0,80,8.8,2,WR,3-81
69,Travis Etienne,43,5,43,Sun,5,5,2022-10-09,23-256,JAX,,HOU,L 6-13,5,3,43,14.3,0,60,8.6,3,RB,1-25
70,Zach Gentry,43,6,43,Sun,5,5,2022-10-09,26-029,PIT,@,BUF,L 3-38,6,5,43,8.6,0,83.3,7.2,4,TE,5-141
71,Cade Otton,43,7,43,Sun,5,5,2022-10-09,23-177,TAM,,ATL,W 21-15,7,6,43,7.2,0,85.7,6.1,2,TE,4-106
72,Irv Smith Jr.,42,5,42,Sun,5,5,2022-10-09,24-061,MIN,,CHI,W 29-22,5,4,42,10.5,0,80,8.4,2,TE,2-50
73,Isaiah Hodgins,41,6,41,Sun,5,5,2022-10-09,23-353,BUF,,PIT,W 38-3,6,4,41,10.3,0,66.7,6.8,2,WR,6-207
74,K.J. Osborn,41,5,41,Sun,5,5,2022-10-09,25-121,MIN,,CHI,W 29-22,5,5,41,8.2,0,100,8.2,1,WR,5-176
75,Ben Skowronek,41,8,41,Sun,5,5,2022-10-09,25-104,LAR,,DAL,L 10-22,8,6,41,6.8,0,75,5.1,1,WR,7-249
76,John Bates,39,3,39,Sun,5,5,2022-10-09,24-337,WAS,,TEN,L 17-21,3,3,39,13,0,100,13,1,TE,4-124
77,Josh Jacobs,39,5,39,Mon,5,5,2022-10-10,24-241,LVR,@,KAN,L 29-30,5,5,39,7.8,0,100,7.8,1,RB,1-24
78,Quintin Morris,39,5,39,Sun,5,5,2022-10-09,23-261,BUF,,PIT,W 38-3,5,3,39,13,0,60,7.8,2,TE,
79,Samaje Perine,39,4,39,Sun,5,5,2022-10-09,27-023,CIN,@,BAL,L 17-19,4,4,39,9.8,0,100,9.8,2,RB,4-114
80,Jaylen Warren,39,5,39,Sun,5,5,2022-10-09,23-342,PIT,@,BUF,L 3-38,5,4,39,9.8,0,80,7.8,2,RB,
81,Olamide Zaccheaus,39,4,39,Sun,5,5,2022-10-09,25-078,ATL,@,TAM,L 15-21,4,2,39,19.5,1,50,9.8,2,WR,
82,Corey Davis,38,4,38,Sun,5,5,2022-10-09,27-271,NYJ,,MIA,W 40-17,4,2,38,19,0,50,9.5,2,WR,1-5
83,J.D. McKissic,37,7,37,Sun,5,5,2022-10-09,29-055,WAS,,TEN,L 17-21,7,5,37,7.4,0,71.4,5.3,,RB,
84,Robert Woods,37,8,37,Sun,5,5,2022-10-09,30-182,TEN,@,WAS,W 21-17,8,4,37,9.3,0,50,4.6,1,WR,2-41
85,Saquon Barkley,36,6,36,Sun,5,5,2022-10-09,25-242,NYG,@,GNB,W 27-22,6,3,36,12,0,50,6,1,RB,1-2
86,Eric Saubert,36,7,36,Thu,5,5,2022-10-06,28-158,DEN,,IND,L 9-12 (OT),7,5,36,7.2,0,71.4,5.1,2,TE,5-174
87,Marcus Johnson,35,3,35,Sun,5,5,2022-10-09,28-065,NYG,@,GNB,W 27-22,3,3,35,11.7,0,100,11.7,1,WR,
88,Allen Lazard,35,8,35,Sun,5,5,2022-10-09,26-302,GNB,,NYG,L 22-27,8,4,35,8.8,1,50,4.4,3,WR,
89,Drake London,35,7,35,Sun,5,5,2022-10-09,21-077,ATL,@,TAM,L 15-21,7,4,35,8.8,0,57.1,5,3,WR,1-8
90,Scott Miller,35,7,35,Sun,5,5,2022-10-09,25-070,TAM,,ATL,W 21-15,7,4,35,8.8,0,57.1,5,1,WR,6-208
91,Antonio Gibson,33,4,33,Sun,5,5,2022-10-09,24-108,WAS,,TEN,L 17-21,4,3,33,11,0,75,8.3,1,RB,3-66
92,KhaDarel Hodge,33,5,33,Sun,5,5,2022-10-09,27-279,ATL,@,TAM,L 15-21,5,3,33,11,0,60,6.6,1,WR,
93,Joshua Kelley,33,2,33,Sun,5,5,2022-10-09,24-323,LAC,@,CLE,W 30-28,2,2,33,16.5,0,100,16.5,2,RB,4-112
94,JuJu Smith-Schuster,33,8,33,Mon,5,5,2022-10-10,25-322,KAN,,LVR,W 30-29,8,3,33,11,0,37.5,4.1,2,WR,2-62
95,Mike Thomas,33,3,33,Sun,5,5,2022-10-09,28-054,CIN,@,BAL,L 17-19,3,1,33,33,0,33.3,11,1,WR,6-206
96,Robbie Anderson,32,5,32,Sun,5,5,2022-10-09,29-153,CAR,,SFO,L 15-37,5,1,32,32,0,20,6.4,1,WR,
97,Tyler Boyd,32,4,32,Sun,5,5,2022-10-09,27-328,CIN,@,BAL,L 17-19,4,3,32,10.7,0,75,8,2,WR,2-55
98,A.J. Brown,32,7,32,Sun,5,5,2022-10-09,25-101,PHI,@,ARI,W 20-17,7,3,32,10.7,0,42.9,4.6,2,WR,2-51
99,Adam Trautman,32,3,32,Sun,5,5,2022-10-09,25-246,NOR,,SEA,W 39-32,3,2,32,16,1,66.7,10.7,1,TE,3-105
100,Mike Gesicki,30,2,30,Sun,5,5,2022-10-09,27-006,MIA,@,NYJ,L 17-40,2,1,30,30,0,50,15,1,TE,2-42
101,Darrell Henderson,30,5,30,Sun,5,5,2022-10-09,25-051,LAR,,DAL,L 10-22,5,4,30,7.5,0,80,6,1,RB,3-70
102,Derrick Henry,30,2,30,Sun,5,5,2022-10-09,28-278,TEN,@,WAS,W 21-17,2,2,30,15,0,100,15,1,RB,2-45
103,Terrace Marshall Jr.,30,4,30,Sun,5,5,2022-10-09,22-122,CAR,,SFO,L 15-37,4,4,30,7.5,0,100,7.5,2,WR,2-59
104,Brandon Bolden,29,3,29,Mon,5,5,2022-10-10,32-257,LVR,@,KAN,L 29-30,3,3,29,9.7,0,100,9.7,1,RB,
105,Romeo Doubs,29,5,29,Sun,5,5,2022-10-09,22-179,GNB,,NYG,L 22-27,5,3,29,9.7,0,60,5.8,1,WR,4-132
106,Deon Jackson,29,4,29,Thu,5,5,2022-10-06,23-230,IND,@,DEN,W 12-9 (OT),4,4,29,7.3,0,100,7.3,1,RB,
107,Eno Benjamin,28,4,28,Sun,5,5,2022-10-09,23-179,ARI,,PHI,L 17-20,4,3,28,9.3,0,75,7,2,RB,7-222
108,Rachaad White,28,4,28,Sun,5,5,2022-10-09,23-270,TAM,,ATL,W 21-15,4,3,28,9.3,0,75,7,1,RB,3-91
109,Dalvin Cook,27,2,27,Sun,5,5,2022-10-09,27-060,MIN,,CHI,W 29-22,2,2,27,13.5,0,100,13.5,1,RB,2-41
110,Kyle Juszczyk,27,2,27,Sun,5,5,2022-10-09,31-169,SFO,@,CAR,W 37-15,2,2,27,13.5,0,100,13.5,1,FB,4-130
111,Giovanni Ricci,27,3,27,Sun,5,5,2022-10-09,25-358,CAR,,SFO,L 15-37,3,3,27,9,0,100,9,,FB,
112,Adam Thielen,27,7,27,Sun,5,5,2022-10-09,32-048,MIN,,CHI,W 29-22,7,4,27,6.8,0,57.1,3.9,2,WR,
113,Garrett Wilson,27,4,27,Sun,5,5,2022-10-09,22-079,NYJ,,MIA,W 40-17,4,3,27,9,0,75,6.8,3,WR,1-10
114,Austin Ekeler,26,4,26,Sun,5,5,2022-10-09,27-145,LAC,@,CLE,W 30-28,4,4,26,6.5,1,100,6.5,2,RB,
115,Travis Kelce,25,8,25,Mon,5,5,2022-10-10,33-005,KAN,,LVR,W 30-29,8,7,25,3.6,4,87.5,3.1,5,TE,3-63
116,Hunter Renfrow,25,4,25,Mon,5,5,2022-10-10,26-293,LVR,@,KAN,L 29-30,4,4,25,6.3,0,100,6.3,1,WR,5-149
117,Myles Gaskin,24,5,24,Sun,5,5,2022-10-09,25-236,MIA,@,NYJ,L 17-40,5,3,24,8,0,60,4.8,0,RB,7-234
118,Josh Palmer,24,6,24,Sun,5,5,2022-10-09,24-017,LAC,@,CLE,W 30-28,6,3,24,8,0,50,4,2,WR,3-77
119,Equanimeous St. Brown,24,2,24,Sun,5,5,2022-10-09,26-009,CHI,@,MIN,L 22-29,2,2,24,12,0,100,12,1,WR,6-207
120,Dontrell Hilliard,23,5,23,Sun,5,5,2022-10-09,27-225,TEN,@,WAS,W 21-17,5,4,23,5.8,1,80,4.6,2,RB,
121,Robert Tonyan,23,4,23,Sun,5,5,2022-10-09,28-162,GNB,,NYG,L 22-27,4,4,23,5.8,0,100,5.8,3,TE,
122,Jaylen Waddle,23,4,23,Sun,5,5,2022-10-09,23-318,MIA,@,NYJ,L 17-40,4,3,23,7.7,0,75,5.8,2,WR,1-6
123,Jordan Akins,22,2,22,Sun,5,5,2022-10-09,30-173,HOU,@,JAX,W 13-6,2,2,22,11,0,100,11,2,TE,3-98
124,Daniel Bellinger,22,3,22,Sun,5,5,2022-10-09,22-017,NYG,@,GNB,W 27-22,3,2,22,11,0,66.7,7.3,2,TE,4-112
125,Parris Campbell,22,3,22,Thu,5,5,2022-10-06,25-082,IND,@,DEN,W 12-9 (OT),3,2,22,11,0,66.7,7.3,2,WR,2-59
126,Will Dissly,21,3,21,Sun,5,5,2022-10-09,26-093,SEA,@,NOR,L 32-39,3,2,21,10.5,0,66.7,7,1,TE,4-120
127,Alexander Mattison,21,4,21,Sun,5,5,2022-10-09,24-112,MIN,,CHI,W 29-22,4,3,21,7,0,75,5.3,2,RB,3-102
128,Dan Arnold,20,2,20,Sun,5,5,2022-10-09,27-208,JAX,,HOU,L 6-13,2,1,20,20,0,50,10,1,TE,
129,Brandin Cooks,20,6,20,Sun,5,5,2022-10-09,29-014,HOU,@,JAX,W 13-6,6,4,20,5,0,66.7,3.3,,WR,1-20
130,Clyde Edwards-Helaire,20,4,20,Mon,5,5,2022-10-10,23-182,KAN,,LVR,W 30-29,4,3,20,6.7,0,75,5,2,RB,1-32
131,Russell Gage,20,6,20,Sun,5,5,2022-10-09,26-260,TAM,,ATL,W 21-15,6,2,20,10,0,33.3,3.3,1,WR,6-194
132,A.J. Green,20,5,20,Sun,5,5,2022-10-09,34-070,ARI,,PHI,L 17-20,5,3,20,6.7,0,60,4,2,WR,1-4
133,Deebo Samuel,20,9,20,Sun,5,5,2022-10-09,26-267,SFO,@,CAR,W 37-15,9,2,20,10,1,22.2,2.2,2,WR,2-36
134,Cedrick Wilson Jr.,20,4,20,Sun,5,5,2022-10-09,26-323,MIA,@,NYJ,L 17-40,4,2,20,10,0,50,5,1,WR,6-208
135,Josiah Deguara,19,2,19,Sun,5,5,2022-10-09,25-237,GNB,,NYG,L 22-27,2,2,19,9.5,0,100,9.5,1,TE,3-94
136,Jesper Horsted,19,3,19,Mon,5,5,2022-10-10,25-225,LVR,@,KAN,L 29-30,3,3,19,6.3,0,100,6.3,,TE,
137,Jerick McKinnon,19,3,19,Mon,5,5,2022-10-10,30-160,KAN,,LVR,W 30-29,3,2,19,9.5,0,66.7,6.3,1,RB,3-96
138,Quez Watkins,19,4,19,Sun,5,5,2022-10-09,24-122,PHI,@,ARI,W 20-17,4,3,19,6.3,0,75,4.8,,WR,6-200
139,Ashton Dulin,18,1,18,Thu,5,5,2022-10-06,25-144,IND,@,DEN,W 12-9 (OT),1,1,18,18,0,100,18,1,WR,
140,Amon-Ra St. Brown,18,6,18,Sun,5,5,2022-10-09,22-350,DET,@,NWE,L 0-29,6,4,18,4.5,0,66.7,3,1,WR,4-112
141,Aaron Jones,17,3,17,Sun,5,5,2022-10-09,27-311,GNB,,NYG,L 22-27,3,2,17,8.5,0,66.7,5.7,2,RB,5-182
142,Kylen Granson,16,3,16,Thu,5,5,2022-10-06,24-193,IND,@,DEN,W 12-9 (OT),3,1,16,16,0,33.3,5.3,1,TE,4-127
143,Najee Harris,16,4,16,Sun,5,5,2022-10-09,24-214,PIT,@,BUF,L 3-38,4,3,16,5.3,0,75,4,,RB,1-24
144,Richie James,16,2,16,Sun,5,5,2022-10-09,27-034,NYG,@,GNB,W 27-22,2,2,16,8,0,100,8,1,WR,7-240
145,Chris Manhertz,15,2,15,Sun,5,5,2022-10-09,30-182,JAX,,HOU,L 6-13,2,2,15,7.5,0,100,7.5,1,TE,
146,Skyy Moore,15,3,15,Mon,5,5,2022-10-10,22-030,KAN,,LVR,W 30-29,3,2,15,7.5,0,66.7,5,,WR,2-54
147,Ihmir Smith-Marsette,15,2,15,Sun,5,5,2022-10-09,23-041,CHI,@,MIN,L 22-29,2,1,15,15,0,50,7.5,,WR,5-157
148,Phillip Lindsay,14,4,14,Thu,5,5,2022-10-06,28-074,IND,@,DEN,W 12-9 (OT),4,3,14,4.7,0,75,3.5,0,RB,
149,Dameon Pierce,14,5,14,Sun,5,5,2022-10-09,22-232,HOU,@,JAX,W 13-6,5,3,14,4.7,0,60,2.8,1,RB,4-107
150,Rhamondre Stevenson,14,2,14,Sun,5,5,2022-10-09,24-228,NWE,,DET,W 29-0,2,2,14,7,0,100,7,1,RB,4-120
151,Matt Breida,13,2,13,Sun,5,5,2022-10-09,27-223,NYG,@,GNB,W 27-22,2,2,13,6.5,0,100,6.5,1,RB,
152,Rex Burkhead,13,3,13,Sun,5,5,2022-10-09,32-099,HOU,@,JAX,W 13-6,3,2,13,6.5,0,66.7,4.3,0,RB,6-190
153,Juwan Johnson,13,2,13,Sun,5,5,2022-10-09,26-026,NOR,,SEA,W 39-32,2,1,13,13,0,50,6.5,1,TE,
154,Michael Carter,12,2,12,Sun,5,5,2022-10-09,23-155,NYJ,,MIA,W 40-17,2,2,12,6,0,100,6,0,RB,4-107
155,Pat Freiermuth,12,2,12,Sun,5,5,2022-10-09,23-349,PIT,@,BUF,L 3-38,2,2,12,6,0,100,6,,TE,2-55
156,Jake Gervase,12,1,12,Sun,5,5,2022-10-09,27-021,LAR,,DAL,L 10-22,1,1,12,12,0,100,12,1,LB,
157,Connor Heyward,12,2,12,Sun,5,5,2022-10-09,23-260,PIT,@,BUF,L 3-38,2,2,12,6,0,100,6,1,TE,6-208
158,Zay Jones,12,8,12,Sun,5,5,2022-10-09,27-193,JAX,,HOU,L 6-13,8,3,12,4,0,37.5,1.5,1,WR,2-37
159,Allen Robinson,12,5,12,Sun,5,5,2022-10-09,29-046,LAR,,DAL,L 10-22,5,3,12,4,0,60,2.4,,WR,2-61
160,James Robinson,12,2,12,Sun,5,5,2022-10-09,24-061,JAX,,HOU,L 6-13,2,2,12,6,0,100,6,1,RB,
161,David Sills,12,2,12,Sun,5,5,2022-10-09,26-133,NYG,@,GNB,W 27-22,2,2,12,6,0,100,6,1,WR,
162,C.J. Uzomah,12,2,12,Sun,5,5,2022-10-09,29-268,NYJ,,MIA,W 40-17,2,2,12,6,0,100,6,,TE,5-157
163,Jeff Wilson,12,2,12,Sun,5,5,2022-10-09,26-327,SFO,@,CAR,W 37-15,2,1,12,12,0,50,6,1,RB,
164,Miles Boykin,11,1,11,Sun,5,5,2022-10-09,25-362,PIT,@,BUF,L 3-38,1,1,11,11,0,100,11,1,WR,3-93
165,Anthony Firkser,11,1,11,Sun,5,5,2022-10-09,27-232,ATL,@,TAM,L 15-21,1,1,11,11,0,100,11,1,TE,
166,Christian Kirk,11,3,11,Sun,5,5,2022-10-09,25-325,JAX,,HOU,L 6-13,3,1,11,11,0,33.3,3.7,1,WR,2-47
167,Elijah Moore,11,4,11,Sun,5,5,2022-10-09,22-196,NYJ,,MIA,W 40-17,4,1,11,11,0,25,2.8,1,WR,2-34
168,Jeff Smith,11,1,11,Sun,5,5,2022-10-09,25-171,NYJ,,MIA,W 40-17,1,1,11,11,0,100,11,1,WR,
169,Bryan Edwards,10,1,10,Sun,5,5,2022-10-09,23-330,ATL,@,TAM,L 15-21,1,1,10,10,0,100,10,,WR,3-81
170,KJ Hamler,10,2,10,Thu,5,5,2022-10-06,23-090,DEN,,IND,L 9-12 (OT),2,1,10,10,0,50,5,,WR,2-46
171,Kareem Hunt,10,3,10,Sun,5,5,2022-10-09,27-064,CLE,,LAC,L 28-30,3,3,10,3.3,0,100,3.3,1,RB,3-86
172,Joe Mixon,10,3,10,Sun,5,5,2022-10-09,26-077,CIN,@,BAL,L 17-19,3,3,10,3.3,0,100,3.3,0,RB,2-48
173,Tre'Quan Smith,10,4,10,Sun,5,5,2022-10-09,26-275,NOR,,SEA,W 39-32,4,1,10,10,0,25,2.5,1,WR,3-91
174,Justin Watson,10,1,10,Mon,5,5,2022-10-10,26-189,KAN,,LVR,W 30-29,1,1,10,10,0,100,10,1,WR,5-144
175,Avery Williams,10,2,10,Sun,5,5,2022-10-09,24-086,ATL,@,TAM,L 15-21,2,2,10,5,0,100,5,0,RB,5-183
176,DeAndre Carter,9,2,9,Sun,5,5,2022-10-09,29-182,LAC,@,CLE,W 30-28,2,2,9,4.5,0,100,4.5,1,WR,
177,Parker Hesse,9,1,9,Sun,5,5,2022-10-09,27-136,ATL,@,TAM,L 15-21,1,1,9,9,0,100,9,,TE,
178,Velus Jones Jr.,9,1,9,Sun,5,5,2022-10-09,25-151,CHI,@,MIN,L 22-29,1,1,9,9,1,100,9,1,WR,3-71
179,Raheem Mostert,9,3,9,Sun,5,5,2022-10-09,30-183,MIA,@,NYJ,L 17-40,3,1,9,9,0,33.3,3,0,RB,
