,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Taysom Hill,158.3,1,158.3,Sun,5,5,2022-10-09,32-047,NOR,,SEA,W 39-32,1,1,0,100,22,1,0,,100,0,158.3,0,0,0,22,42,42,22,TE,
2,Geno Smith,139.7,25,139.7,Sun,5,5,2022-10-09,31-364,SEA,@,NOR,L 32-39,16,25,9,64,268,3,0,,12,0,139.7,3,23,10.71,10.7,13.12,10.89,16.8,QB,2-39
3,Josh Allen,134.1,31,134.1,Sun,5,5,2022-10-09,26-141,BUF,,PIT,W 38-3,20,31,11,64.5,424,4,1,,12.9,3.2,134.1,0,0,0,13.7,14.81,14.81,21.2,QB,1-7
4,Justin Fields,118.7,21,118.7,Sun,5,5,2022-10-09,23-218,CHI,@,MIN,L 22-29,15,21,6,71.4,208,1,0,,4.8,0,118.7,2,15,8.7,9.9,10.86,9.26,13.9,QB,1-11
5,Justin Jefferson,118.7,1,118.7,Sun,5,5,2022-10-09,23-115,MIN,,CHI,W 29-22,1,1,0,100,23,0,0,,0,0,118.7,0,0,0,23,23,23,23,WR,1-22
6,Patrick Mahomes,117.6,43,117.6,Mon,5,5,2022-10-10,27-023,KAN,,LVR,W 30-29,29,43,14,67.4,292,4,0,,9.3,0,117.6,3,27,6.52,6.8,8.65,7.5,10.1,QB,1-10
7,Riley Dixon,116.7,1,116.7,Sun,5,5,2022-10-09,29-046,LAR,,DAL,L 10-22,1,1,0,100,12,0,0,,0,0,116.7,0,0,0,12,12,12,12,P,7-228
8,Derek Carr,110.6,30,110.6,Mon,5,5,2022-10-10,31-196,LVR,@,KAN,L 29-30,19,30,11,63.3,241,2,0,,6.7,0,110.6,2,18,6.25,8,9.37,8.22,12.7,QB,2-36
9,Jimmy Garoppolo,109.4,30,109.4,Sun,5,5,2022-10-09,30-341,SFO,@,CAR,W 37-15,18,30,12,60,253,2,0,,6.7,0,109.4,2,9,6.25,8.4,9.77,8.88,14.1,QB,2-62
