,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Austin Ekeler,173,16,173,Sun,5,5,2022-10-09,27-145,LAC,@,CLE,W 30-28,16,173,10.8,1,5,RB,
2,Rhamondre Stevenson,161,25,161,Sun,5,5,2022-10-09,24-228,NWE,,DET,W 29-0,25,161,6.4,0,7,RB,4-120
3,Josh Jacobs,154,21,154,Mon,5,5,2022-10-10,24-241,LVR,@,KAN,L 29-30,21,154,7.3,1,9,RB,1-24
4,Nick Chubb,134,17,134,Sun,5,5,2022-10-09,26-286,CLE,,LAC,L 28-30,17,134,7.9,2,6,RB,2-35
5,Jeff Wilson,120,17,120,Sun,5,5,2022-10-09,26-327,SFO,@,CAR,W 37-15,17,120,7.1,1,6,RB,
6,Raheem Mostert,113,18,113,Sun,5,5,2022-10-09,30-183,MIA,@,NYJ,L 17-40,18,113,6.3,1,5,RB,
7,Taysom Hill,112,9,112,Sun,5,5,2022-10-09,32-047,NOR,,SEA,W 39-32,9,112,12.4,3,7,TE,
8,Alvin Kamara,103,23,103,Sun,5,5,2022-10-09,27-076,NOR,,SEA,W 39-32,23,103,4.5,0,6,RB,3-67
9,Derrick Henry,102,28,102,Sun,5,5,2022-10-09,28-278,TEN,@,WAS,W 21-17,28,102,3.6,2,7,RB,2-45
10,Dameon Pierce,99,26,99,Sun,5,5,2022-10-09,22-232,HOU,@,JAX,W 13-6,26,99,3.8,1,6,RB,4-107
11,Breece Hall,97,18,97,Sun,5,5,2022-10-09,21-131,NYJ,,MIA,W 40-17,18,97,5.4,1,4,RB,2-36
12,Dalvin Cook,94,18,94,Sun,5,5,2022-10-09,27-060,MIN,,CHI,W 29-22,18,94,5.2,2,6,RB,2-41
13,Kenneth Walker III,88,8,88,Sun,5,5,2022-10-09,21-354,SEA,@,NOR,L 32-39,8,88,11,1,1,RB,2-41
14,Tony Pollard,86,8,86,Sun,5,5,2022-10-09,25-162,DAL,@,LAR,W 22-10,8,86,10.8,1,3,RB,4-128
15,Ezekiel Elliott,78,22,78,Sun,5,5,2022-10-09,27-079,DAL,@,LAR,W 22-10,22,78,3.5,0,3,RB,1-4
16,Joe Mixon,78,14,78,Sun,5,5,2022-10-09,26-077,CIN,@,BAL,L 17-19,14,78,5.6,0,4,RB,2-48
17,Travis Etienne,71,10,71,Sun,5,5,2022-10-09,23-256,JAX,,HOU,L 6-13,10,71,7.1,0,2,RB,1-25
18,Saquon Barkley,70,13,70,Sun,5,5,2022-10-09,25-242,NYG,@,GNB,W 27-22,13,70,5.4,1,2,RB,1-2
19,Aaron Jones,63,13,63,Sun,5,5,2022-10-09,27-311,GNB,,NYG,L 22-27,13,63,4.8,0,3,RB,5-182
20,Deon Jackson,62,13,62,Thu,5,5,2022-10-06,23-230,IND,@,DEN,W 12-9 (OT),13,62,4.8,0,3,RB,
21,Jalen Hurts,61,15,61,Sun,5,5,2022-10-09,24-063,PHI,@,ARI,W 20-17,15,61,4.1,2,8,QB,2-53
22,Marcus Mariota,61,7,61,Sun,5,5,2022-10-09,28-344,ATL,@,TAM,L 15-21,7,61,8.7,0,4,QB,1-2
23,Lamar Jackson,58,12,58,Sun,5,5,2022-10-09,25-275,BAL,,CIN,W 19-17,12,58,4.8,0,5,QB,1-32
24,Miles Sanders,58,15,58,Sun,5,5,2022-10-09,25-161,PHI,@,ARI,W 20-17,15,58,3.9,0,3,RB,2-53
25,Leonard Fournette,56,14,56,Sun,5,5,2022-10-09,27-264,TAM,,ATL,W 21-15,14,56,4,1,3,RB,1-4
26,Jamaal Williams,56,15,56,Sun,5,5,2022-10-09,27-189,DET,@,NWE,L 0-29,15,56,3.7,0,3,RB,4-134
27,James Conner,55,9,55,Sun,5,5,2022-10-09,27-157,ARI,,PHI,L 17-20,9,55,6.1,0,2,RB,3-105
28,Melvin Gordon,54,15,54,Thu,5,5,2022-10-06,29-176,DEN,,IND,L 9-12 (OT),15,54,3.6,0,3,RB,1-15
29,Christian McCaffrey,54,14,54,Sun,5,5,2022-10-09,26-124,CAR,,SFO,L 15-37,14,54,3.9,1,3,RB,1-8
30,Rashaad Penny,54,8,54,Sun,5,5,2022-10-09,26-249,SEA,@,NOR,L 32-39,8,54,6.8,0,2,RB,1-27
31,Jerick McKinnon,53,8,53,Mon,5,5,2022-10-10,30-160,KAN,,LVR,W 30-29,8,53,6.6,0,3,RB,3-96
32,Joshua Kelley,49,10,49,Sun,5,5,2022-10-09,24-323,LAC,@,CLE,W 30-28,10,49,4.9,1,3,RB,4-112
33,Justin Fields,47,8,47,Sun,5,5,2022-10-09,23-218,CHI,@,MIN,L 22-29,8,47,5.9,0,3,QB,1-11
34,Kareem Hunt,47,11,47,Sun,5,5,2022-10-09,27-064,CLE,,LAC,L 28-30,11,47,4.3,1,3,RB,3-86
35,Tyler Allgeier,45,13,45,Sun,5,5,2022-10-09,22-177,ATL,@,TAM,L 15-21,13,45,3.5,0,3,RB,5-151
36,J.K. Dobbins,44,8,44,Sun,5,5,2022-10-09,23-296,BAL,,CIN,W 19-17,8,44,5.5,0,5,RB,2-55
37,Josh Allen,42,5,42,Sun,5,5,2022-10-09,26-141,BUF,,PIT,W 38-3,5,42,8.4,0,2,QB,1-7
38,Kyler Murray,42,4,42,Sun,5,5,2022-10-09,25-063,ARI,,PHI,L 17-20,4,42,10.5,0,2,QB,1-1
39,Devin Singletary,42,6,42,Sun,5,5,2022-10-09,25-036,BUF,,PIT,W 38-3,6,42,7,0,1,RB,3-74
40,Phillip Lindsay,40,11,40,Thu,5,5,2022-10-06,28-074,IND,@,DEN,W 12-9 (OT),11,40,3.6,0,1,RB,
41,Mike Boone,38,7,38,Thu,5,5,2022-10-06,27-068,DEN,,IND,L 9-12 (OT),7,38,5.4,0,2,RB,
42,Daniel Jones,37,10,37,Sun,5,5,2022-10-09,25-135,NYG,@,GNB,W 27-22,10,37,3.7,0,3,QB,1-6
43,AJ Dillon,34,6,34,Sun,5,5,2022-10-09,24-160,GNB,,NYG,L 22-27,6,34,5.7,0,2,RB,2-62
44,Caleb Huntley,34,8,34,Sun,5,5,2022-10-09,24-024,ATL,@,TAM,L 15-21,8,34,4.3,0,2,RB,
45,Cam Akers,33,13,33,Sun,5,5,2022-10-09,23-109,LAR,,DAL,L 10-22,13,33,2.5,0,2,RB,2-52
46,Jacoby Brissett,32,3,32,Sun,5,5,2022-10-09,29-302,CLE,,LAC,L 28-30,3,32,10.7,0,2,QB,3-91
47,James Cook,31,4,31,Sun,5,5,2022-10-09,23-014,BUF,,PIT,W 38-3,4,31,7.8,1,1,RB,2-63
48,Trevor Lawrence,29,4,29,Sun,5,5,2022-10-09,23-003,JAX,,HOU,L 6-13,4,29,7.3,0,2,QB,1-1
49,Patrick Mahomes,28,4,28,Mon,5,5,2022-10-10,27-023,KAN,,LVR,W 30-29,4,28,7,0,1,QB,1-10
50,James Robinson,27,10,27,Sun,5,5,2022-10-09,24-061,JAX,,HOU,L 6-13,10,27,2.7,0,2,RB,
51,Kenyan Drake,26,4,26,Sun,5,5,2022-10-09,28-256,BAL,,CIN,W 19-17,4,26,6.5,0,1,RB,3-73
52,Eno Benjamin,25,8,25,Sun,5,5,2022-10-09,23-179,ARI,,PHI,L 17-20,8,25,3.1,1,2,RB,7-222
53,Devin Duvernay,24,3,24,Sun,5,5,2022-10-09,25-027,BAL,,CIN,W 19-17,3,24,8,0,2,WR,3-92
54,Craig Reynolds,24,6,24,Sun,5,5,2022-10-09,26-116,DET,@,NWE,L 0-29,6,24,4,0,2,RB,
55,Jaylen Warren,24,5,24,Sun,5,5,2022-10-09,23-342,PIT,@,BUF,L 3-38,5,24,4.8,0,2,RB,
56,Tevin Coleman,23,8,23,Sun,5,5,2022-10-09,29-176,SFO,@,CAR,W 37-15,8,23,2.9,1,2,RB,3-73
57,Brian Robinson Jr.,22,9,22,Sun,5,5,2022-10-09,23-201,WAS,,TEN,L 17-21,9,22,2.4,0,2,RB,3-98
58,Russell Wilson,22,4,22,Thu,5,5,2022-10-06,33-311,DEN,,IND,L 9-12 (OT),4,22,5.5,0,1,QB,3-75
59,Michael Carter,21,10,21,Sun,5,5,2022-10-09,23-155,NYJ,,MIA,W 40-17,10,21,2.1,2,2,RB,4-107
60,Kenneth Gainwell,20,3,20,Sun,5,5,2022-10-09,23-209,PHI,@,ARI,W 20-17,3,20,6.7,0,1,RB,5-150
61,Najee Harris,20,11,20,Sun,5,5,2022-10-09,24-214,PIT,@,BUF,L 3-38,11,20,1.8,0,,RB,1-24
62,David Montgomery,20,12,20,Sun,5,5,2022-10-09,25-124,CHI,@,MIN,L 22-29,12,20,1.7,1,1,RB,3-73
63,Alexander Mattison,19,9,19,Sun,5,5,2022-10-09,24-112,MIN,,CHI,W 29-22,9,19,2.1,0,2,RB,3-102
64,Samaje Perine,17,3,17,Sun,5,5,2022-10-09,27-023,CIN,@,BAL,L 17-19,3,17,5.7,0,1,RB,4-114
65,Mark Ingram,16,9,16,Sun,5,5,2022-10-09,32-292,NOR,,SEA,W 39-32,9,16,1.8,0,,RB,1-28
66,Braxton Berrios,15,1,15,Sun,5,5,2022-10-09,27-003,NYJ,,MIA,W 40-17,1,15,15,1,1,WR,6-210
67,Rex Burkhead,15,3,15,Sun,5,5,2022-10-09,32-099,HOU,@,JAX,W 13-6,3,15,5,0,1,RB,6-190
68,Clyde Edwards-Helaire,15,9,15,Mon,5,5,2022-10-10,23-182,KAN,,LVR,W 30-29,9,15,1.7,0,2,RB,1-32
69,Carson Wentz,15,5,15,Sun,5,5,2022-10-09,29-283,WAS,,TEN,L 17-21,5,15,3,0,1,QB,1-2
70,Matt Breida,14,4,14,Sun,5,5,2022-10-09,27-223,NYG,@,GNB,W 27-22,4,14,3.5,0,1,RB,
71,Justin Jackson,14,3,14,Sun,5,5,2022-10-09,26-170,DET,@,NWE,L 0-29,3,14,4.7,0,1,RB,7-251
72,Rachaad White,14,5,14,Sun,5,5,2022-10-09,23-270,TAM,,ATL,W 21-15,5,14,2.8,0,4,RB,3-91
73,Justin Herbert,13,5,13,Sun,5,5,2022-10-09,24-213,LAC,@,CLE,W 30-28,5,13,2.6,0,1,QB,1-6
74,Tyreek Hill,13,2,13,Sun,5,5,2022-10-09,28-222,MIA,@,NYJ,L 17-40,2,13,6.5,0,1,WR,5-165
75,Geno Smith,13,3,13,Sun,5,5,2022-10-09,31-364,SEA,@,NOR,L 32-39,3,13,4.3,0,1,QB,2-39
76,Deebo Samuel,12,2,12,Sun,5,5,2022-10-09,26-267,SFO,@,CAR,W 37-15,2,12,6,0,0,WR,2-36
77,Damien Harris,11,4,11,Sun,5,5,2022-10-09,25-240,NWE,,DET,W 29-0,4,11,2.8,0,,RB,3-87
78,Khalil Herbert,11,4,11,Sun,5,5,2022-10-09,24-171,CHI,@,MIN,L 22-29,4,11,2.8,0,,RB,6-217
79,Avery Williams,11,3,11,Sun,5,5,2022-10-09,24-086,ATL,@,TAM,L 15-21,3,11,3.7,1,1,RB,5-183
80,Kenny Pickett,10,1,10,Sun,5,5,2022-10-09,24-125,PIT,@,BUF,L 3-38,1,10,10,0,0,QB,1-20
81,Myles Gaskin,9,4,9,Sun,5,5,2022-10-09,25-236,MIA,@,NYJ,L 17-40,4,9,2.3,0,1,RB,7-234
82,Montrell Washington,9,1,9,Thu,5,5,2022-10-06,23-206,DEN,,IND,L 9-12 (OT),1,9,9,0,,WR,5-162
83,Darrel Williams,9,3,9,Sun,5,5,2022-10-09,27-177,ARI,,PHI,L 17-20,3,9,3,0,1,RB,
84,D.J. Moore,8,1,8,Sun,5,5,2022-10-09,25-178,CAR,,SFO,L 15-37,1,8,8,0,0,WR,1-24
85,Jared Goff,7,3,7,Sun,5,5,2022-10-09,27-360,DET,@,NWE,L 0-29,3,7,2.3,0,0,QB,1-1
86,Mecole Hardman,7,1,7,Mon,5,5,2022-10-10,24-212,KAN,,LVR,W 30-29,1,7,7,0,1,WR,2-56
87,Zack Moss,7,1,7,Sun,5,5,2022-10-09,24-298,BUF,,PIT,W 38-3,1,7,7,0,,RB,3-86
88,Joe Burrow,6,3,6,Sun,5,5,2022-10-09,25-303,CIN,@,BAL,L 17-19,3,6,2,1,2,QB,1-1
89,Antonio Gibson,6,3,6,Sun,5,5,2022-10-09,24-108,WAS,,TEN,L 17-21,3,6,2,0,1,RB,3-66
90,Jamycal Hasty,6,1,6,Sun,5,5,2022-10-09,26-027,JAX,,HOU,L 6-13,1,6,6,0,,RB,
91,Brandon Bolden,5,1,5,Mon,5,5,2022-10-10,32-257,LVR,@,KAN,L 29-30,1,5,5,0,0,RB,
92,Gary Brightwell,5,2,5,Sun,5,5,2022-10-09,23-223,NYG,@,GNB,W 27-22,2,5,2.5,1,1,RB,6-196
93,Bailey Zappe,5,5,5,Sun,5,5,2022-10-09,23-166,NWE,,DET,W 29-0,5,5,1,0,0,QB,4-137
94,Kirk Cousins,4,4,4,Sun,5,5,2022-10-09,34-051,MIN,,CHI,W 29-22,4,4,1,1,2,QB,4-102
95,DeeJay Dallas,4,1,4,Sun,5,5,2022-10-09,24-023,SEA,@,NOR,L 32-39,1,4,4,0,,RB,4-144
96,Andy Dalton,4,7,4,Sun,5,5,2022-10-09,34-345,NOR,,SEA,W 39-32,7,4,0.6,0,1,QB,2-35
97,Cooper Kupp,4,1,4,Sun,5,5,2022-10-09,29-116,LAR,,DAL,L 10-22,1,4,4,0,0,WR,3-69
98,Jamal Agnew,3,1,3,Sun,5,5,2022-10-09,27-189,JAX,,HOU,L 6-13,1,3,3,0,,WR,5-165
99,Derek Carr,3,1,3,Mon,5,5,2022-10-10,31-196,LVR,@,KAN,L 29-30,1,3,3,0,0,QB,2-36
100,Mike Davis,3,1,3,Sun,5,5,2022-10-09,29-232,BAL,,CIN,W 19-17,1,3,3,0,,RB,4-126
101,Nyheim Hines,3,1,3,Thu,5,5,2022-10-06,25-328,IND,@,DEN,W 12-9 (OT),1,3,3,0,,RB,4-104
102,Zander Horvath,3,2,3,Sun,5,5,2022-10-09,23-303,LAC,@,CLE,W 30-28,2,3,1.5,0,,FB,7-260
103,Ryan Tannehill,3,3,3,Sun,5,5,2022-10-09,34-074,TEN,@,WAS,W 21-17,3,3,1,0,0,QB,1-8
104,Daniel Bellinger,2,1,2,Sun,5,5,2022-10-09,22-017,NYG,@,GNB,W 27-22,1,2,2,1,1,TE,4-112
105,D'Onta Foreman,2,2,2,Sun,5,5,2022-10-09,26-168,CAR,,SFO,L 15-37,2,2,1,0,1,RB,3-89
106,Chris Godwin,2,1,2,Sun,5,5,2022-10-09,26-224,TAM,,ATL,W 21-15,1,2,2,0,0,WR,3-84
107,Davis Mills,2,2,2,Sun,5,5,2022-10-09,23-353,HOU,@,JAX,W 13-6,2,2,1,0,0,QB,3-67
108,Devine Ozigbo,2,1,2,Thu,5,5,2022-10-06,26-004,DEN,,IND,L 9-12 (OT),1,2,2,0,,RB,
109,Zach Wilson,2,4,2,Sun,5,5,2022-10-09,23-067,NYJ,,MIA,W 40-17,4,2,0.5,1,1,QB,1-2
110,Chase Edmonds,1,1,1,Sun,5,5,2022-10-09,26-179,MIA,@,NYJ,L 17-40,1,1,1,0,,RB,4-134
111,Brandon Powell,1,1,1,Sun,5,5,2022-10-09,27-027,LAR,,DAL,L 10-22,1,1,1,0,,WR,
112,Matt Ryan,1,1,1,Thu,5,5,2022-10-06,37-142,IND,@,DEN,W 12-9 (OT),1,1,1,0,0,QB,1-3
113,Durham Smythe,1,1,1,Sun,5,5,2022-10-09,27-061,MIA,@,NYJ,L 17-40,1,1,1,1,1,TE,4-123
114,Ja'Marr Chase,0,1,0,Sun,5,5,2022-10-09,22-222,CIN,@,BAL,L 17-19,1,0,0,0,0,WR,1-5
115,Dontrell Hilliard,0,1,0,Sun,5,5,2022-10-09,27-225,TEN,@,WAS,W 21-17,1,0,0,0,0,RB,
116,Sony Michel,0,1,0,Sun,5,5,2022-10-09,27-234,LAC,@,CLE,W 30-28,1,0,0,0,,RB,1-31
117,Isiah Pacheco,0,1,0,Mon,5,5,2022-10-10,22-222,KAN,,LVR,W 30-29,1,0,0,0,,RB,7-251
118,Kendrick Bourne,-1,1,-1,Sun,5,5,2022-10-09,27-066,NWE,,DET,W 29-0,1,-1,-1,0,,WR,
119,Jimmy Garoppolo,-1,1,-1,Sun,5,5,2022-10-09,30-341,SFO,@,CAR,W 37-15,1,-1,-1,0,1,QB,2-62
120,Brock Purdy,-1,1,-1,Sun,5,5,2022-10-09,22-286,SFO,@,CAR,W 37-15,1,-1,-1,0,,QB,7-262
121,Cooper Rush,-1,4,-1,Sun,5,5,2022-10-09,28-322,DAL,@,LAR,W 22-10,4,-1,-0.3,0,0,QB,
122,Case Keenum,-2,2,-2,Sun,5,5,2022-10-09,34-234,BUF,,PIT,W 38-3,2,-2,-1,0,,QB,
123,Tom Brady,-3,3,-3,Sun,5,5,2022-10-09,45-067,TAM,,ATL,W 21-15,3,-3,-1,0,0,QB,6-199
124,Jamie Gillan,-3,1,-3,Sun,5,5,2022-10-09,25-097,NYG,@,GNB,W 27-22,1,-3,-3,0,,P,
125,Christian Watson,-3,1,-3,Sun,5,5,2022-10-09,23-150,GNB,,NYG,L 22-27,1,-3,-3,0,,WR,2-34
126,Rondale Moore,-7,2,-7,Sun,5,5,2022-10-09,22-122,ARI,,PHI,L 17-20,2,-7,-3.5,0,0,WR,2-49
127,Zamir White,-7,1,-7,Mon,5,5,2022-10-10,23-022,LVR,@,KAN,L 29-30,1,-7,-7,0,,RB,4-122
128,Michael Dickson,-8,1,-8,Sun,5,5,2022-10-09,26-278,SEA,@,NOR,L 32-39,1,-8,-8,0,,P,5-149
