,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,Tyreek Hill,190,13,Sun,2,2,2022-09-18,28-201,MIA,@,BAL,W 42-38,13,11,190,17.3,2,84.6,14.6,6,WR,5-165
2,Jaylen Waddle,171,19,Sun,2,2,2022-09-18,23-297,MIA,@,BAL,W 42-38,19,11,171,15.5,2,57.9,9,9,WR,1-6
3,Stefon Diggs,148,15,Mon,2,2,2022-09-19,28-294,BUF,,TEN,W 41-7,15,12,148,12.3,3,80,9.9,6,WR,5-146
4,Courtland Sutton,122,11,Sun,2,2,2022-09-18,26-343,DEN,,HOU,W 16-9,11,7,122,17.4,0,63.6,11.1,6,WR,2-40
5,Amon-Ra St. Brown,116,12,Sun,2,2,2022-09-18,22-329,DET,,WAS,W 36-27,12,9,116,12.9,2,75,9.7,5,WR,4-112
6,Mike Williams,113,10,Thu,2,2,2022-09-15,27-346,LAC,@,KAN,L 24-27,10,8,113,14.1,1,80,11.3,4,WR,1-7
7,Nelson Agholor,110,6,Sun,2,2,2022-09-18,29-117,NWE,@,PIT,W 17-14,6,6,110,18.3,1,100,18.3,3,WR,1-20
8,Rashod Bateman,108,7,Sun,2,2,2022-09-18,22-293,BAL,,MIA,L 38-42,7,4,108,27,1,57.1,15.4,3,WR,1-27
9,Cooper Kupp,108,14,Sun,2,2,2022-09-18,29-095,LAR,,ATL,W 31-27,14,11,108,9.8,2,78.6,7.7,8,WR,3-69
10,Tyler Lockett,107,11,Sun,2,2,2022-09-18,29-355,SEA,@,SFO,L 7-27,11,9,107,11.9,0,81.8,9.7,6,WR,3-69
11,Mark Andrews,104,11,Sun,2,2,2022-09-18,27-012,BAL,,MIA,L 38-42,11,9,104,11.6,1,81.8,9.5,6,TE,3-86
12,Garrett Wilson,102,14,Sun,2,2,2022-09-18,22-058,NYJ,@,CLE,W 31-30,14,8,102,12.8,2,57.1,7.3,6,WR,1-10
13,Amari Cooper,101,10,Sun,2,2,2022-09-18,28-093,CLE,,NYJ,L 30-31,10,9,101,11.2,1,90,10.1,8,WR,1-4
14,Jakobi Meyers,95,13,Sun,2,2,2022-09-18,25-313,NWE,@,PIT,W 17-14,13,9,95,10.6,0,69.2,7.3,4,WR,
15,Sammy Watkins,93,4,Sun,2,2,2022-09-18,29-096,GNB,,CHI,W 27-10,4,3,93,31,0,75,23.3,3,WR,1-4
16,Noah Brown,91,5,Sun,2,2,2022-09-18,26-255,DAL,,CIN,W 20-17,5,5,91,18.2,1,100,18.2,5,WR,7-239
17,Drake London,86,12,Sun,2,2,2022-09-18,21-056,ATL,@,LAR,L 27-31,12,8,86,10.8,1,66.7,7.2,5,WR,1-8
18,Corey Davis,83,4,Sun,2,2,2022-09-18,27-250,NYJ,@,CLE,W 31-30,4,2,83,41.5,1,50,20.8,2,WR,1-5
19,Dallas Goedert,82,6,Mon,2,2,2022-09-19,27-259,PHI,,MIN,W 24-7,6,5,82,16.4,0,83.3,13.7,4,TE,2-49
20,Chris Olave,80,13,Sun,2,2,2022-09-18,22-083,NOR,,TAM,L 10-20,13,5,80,16,0,38.5,6.2,1,WR,1-11
21,DeVonta Smith,80,7,Mon,2,2,2022-09-19,23-309,PHI,,MIN,W 24-7,7,7,80,11.4,0,100,11.4,5,WR,1-10
