,,Rushing,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Aaron Jones,132,15,Sun,2,2,2022-09-18,27-290,GNB,,CHI,W 27-10,15,132,8.8,1,7,RB,5-182
2,David Montgomery,122,15,Sun,2,2,2022-09-18,25-103,CHI,@,GNB,L 10-27,15,122,8.1,0,6,RB,3-73
3,Lamar Jackson,119,9,Sun,2,2,2022-09-18,25-254,BAL,,MIA,L 38-42,9,119,13.2,1,3,QB,1-32
4,Christian McCaffrey,102,15,Sun,2,2,2022-09-18,26-103,CAR,@,NYG,L 16-19,15,102,6.8,0,5,RB,1-8
5,Nick Chubb,87,17,Sun,2,2,2022-09-18,26-265,CLE,,NYJ,L 30-31,17,87,5.1,3,5,RB,2-35
6,Jeff Wilson,84,18,Sun,2,2,2022-09-18,26-306,SFO,,SEA,W 27-7,18,84,4.7,0,4,RB,
7,Miles Sanders,80,17,Mon,2,2,2022-09-19,25-141,PHI,,MIN,W 24-7,17,80,4.7,0,5,RB,2-53
8,Javonte Williams,75,15,Sun,2,2,2022-09-18,22-146,DEN,,HOU,W 16-9,15,75,5,0,3,RB,2-35
9,Clyde Edwards-Helaire,74,8,Thu,2,2,2022-09-15,23-157,KAN,,LAC,W 27-24,8,74,9.3,0,1,RB,1-32
10,Saquon Barkley,72,21,Sun,2,2,2022-09-18,25-221,NYG,,CAR,W 19-16,21,72,3.4,0,3,RB,1-2
11,Damien Harris,71,15,Sun,2,2,2022-09-18,25-219,NWE,@,PIT,W 17-14,15,71,4.7,1,4,RB,3-87
12,Josh Jacobs,69,19,Sun,2,2,2022-09-18,24-219,LVR,,ARI,L 23-29 (OT),19,69,3.6,0,4,RB,1-24
13,Dameon Pierce,69,15,Sun,2,2,2022-09-18,22-211,HOU,@,DEN,L 9-16,15,69,4.6,0,6,RB,4-107
14,Amon-Ra St. Brown,68,2,Sun,2,2,2022-09-18,22-329,DET,,WAS,W 36-27,2,68,34,0,1,WR,4-112
15,Leonard Fournette,65,24,Sun,2,2,2022-09-18,27-243,TAM,@,NOR,W 20-10,24,65,2.7,0,1,RB,1-4
16,James Robinson,64,23,Sun,2,2,2022-09-18,24-040,JAX,,IND,W 24-0,23,64,2.8,1,5,RB,
17,AJ Dillon,61,18,Sun,2,2,2022-09-18,24-139,GNB,,CHI,W 27-10,18,61,3.4,0,5,RB,2-62
18,Darrel Williams,59,8,Sun,2,2,2022-09-18,27-156,ARI,@,LVR,W 29-23 (OT),8,59,7.4,1,4,RB,
19,Kareem Hunt,58,13,Sun,2,2,2022-09-18,27-043,CLE,,NYJ,L 30-31,13,58,4.5,0,4,RB,3-86
20,Mark Ingram,58,10,Sun,2,2,2022-09-18,32-271,NOR,,TAM,L 10-20,10,58,5.8,0,3,RB,1-28
21,Jalen Hurts,57,11,Mon,2,2,2022-09-19,24-043,PHI,,MIN,W 24-7,11,57,5.2,2,3,QB,2-53
22,Joe Mixon,57,19,Sun,2,2,2022-09-18,26-056,CIN,@,DAL,L 17-20,19,57,3,0,2,RB,2-48
23,D'Andre Swift,56,5,Sun,2,2,2022-09-18,23-247,DET,,WAS,W 36-27,5,56,11.2,0,1,RB,2-35
24,Jonathan Taylor,54,9,Sun,2,2,2022-09-18,23-242,IND,@,JAX,L 0-24,9,54,6,0,3,RB,2-41
25,James Cook,53,11,Mon,2,2,2022-09-19,22-359,BUF,,TEN,W 41-7,11,53,4.8,0,3,RB,2-63
26,Ezekiel Elliott,53,15,Sun,2,2,2022-09-18,27-058,DAL,,CIN,W 20-17,15,53,3.5,0,3,RB,1-4
27,Deebo Samuel,53,4,Sun,2,2,2022-09-18,26-246,SFO,,SEA,W 27-7,4,53,13.3,0,1,WR,2-36
28,Jamaal Williams,53,12,Sun,2,2,2022-09-18,27-168,DET,,WAS,W 36-27,12,53,4.4,0,2,RB,4-134
29,Raheem Mostert,51,11,Sun,2,2,2022-09-18,30-162,MIA,@,BAL,W 42-38,11,51,4.6,0,1,RB,
30,Breece Hall,50,7,Sun,2,2,2022-09-18,21-110,NYJ,@,CLE,W 31-30,7,50,7.1,0,1,RB,2-36
31,Najee Harris,49,15,Sun,2,2,2022-09-18,24-193,PIT,,NWE,L 14-17,15,49,3.3,0,2,RB,1-24
32,Melvin Gordon,47,10,Sun,2,2,2022-09-18,29-158,DEN,,HOU,W 16-9,10,47,4.7,0,1,RB,1-15
33,Darrell Henderson,47,10,Sun,2,2,2022-09-18,25-030,LAR,,ATL,W 31-27,10,47,4.7,1,4,RB,3-70
34,Rhamondre Stevenson,47,9,Sun,2,2,2022-09-18,24-207,NWE,@,PIT,W 17-14,9,47,5.2,0,2,RB,4-120
35,Cam Akers,44,15,Sun,2,2,2022-09-18,23-088,LAR,,ATL,W 31-27,15,44,2.9,0,2,RB,2-52
36,Jacoby Brissett,43,6,Sun,2,2,2022-09-18,29-281,CLE,,NYJ,L 30-31,6,43,7.2,0,3,QB,3-91
